Country,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank
Tajikistan,0.668,71.1,11.7,10.7,"3,954",25,126
Cabo Verde,0.665,73,12.7,6.3,"7,019",-1,125
Guatemala,0.663,74.3,10.8,6.6,"8,494",-10,128
Nicaragua,0.66,74.5,12.3,6.9,"5,284",6,127
Bhutan,0.654,71.8,13,4.1,"10,746",-21,131
Namibia,0.646,63.7,12.6,7,"9,357",-17,129
India,0.645,69.7,12.2,6.5,"6,681",-5,130
Honduras,0.634,75.3,10.1,6.6,"5,308",1,132
Bangladesh,0.632,72.6,11.6,6.2,"4,976",7,134
Kiribati,0.63,68.4,11.8,8,"4,260",12,133
Sao Tome and Principe,0.625,70.4,12.7,6.4,"3,952",16,135
Micronesia (Federated States of),0.62,67.9,11.5,7.8,"3,983",13,136
Lao People's Democratic Republic,0.613,67.9,11,5.3,"7,413",-16,137
Eswatini (Kingdom of),0.611,60.2,11.8,6.9,"7,919",-19,139
Ghana,0.611,64.1,11.5,7.3,"5,269",-3,138
Vanuatu,0.609,70.5,11.7,7.1,"3,105",20,140
Timor-Leste,0.606,69.5,12.6,4.8,"4,440",3,141
Nepal,0.602,70.8,12.8,5,"3,457",13,143
Kenya,0.601,66.7,11.3,6.6,"4,244",5,141
Cambodia,0.594,69.8,11.5,5,"4,246",3,144
Equatorial Guinea,0.592,58.7,9.7,5.9,"13,944",-57,145
Zambia,0.584,63.9,11.5,7.2,"3,326",10,145
Myanmar,0.583,67.1,10.7,5,"4,961",-6,148
Angola,0.581,61.2,11.8,5.2,"6,104",-17,145
Congo,0.574,64.6,11.7,6.5,"2,879",13,149
Zimbabwe,0.571,61.5,11,8.5,"2,666",14,150
Solomon Islands,0.567,73,10.2,5.7,"2,253",17,151
Syrian Arab Republic,0.567,72.7,8.9,5.1,"3,613",2,152
Cameroon,0.563,59.3,12.1,6.3,"3,581",1,153
Pakistan,0.557,67.3,8.3,5.2,"5,005",-15,154
Papua New Guinea,0.555,64.5,10.2,4.7,"4,301",-10,156
Comoros,0.554,64.3,11.2,5.1,"3,099",5,154
Mauritania,0.546,64.9,8.6,4.7,"5,135",-21,157
Benin,0.545,61.8,12.6,3.8,"3,254",0,158
Uganda,0.544,63.4,11.4,6.2,"2,123",15,160
Rwanda,0.543,69,11.2,4.4,"2,155",12,159
Nigeria,0.539,54.7,10,6.7,"4,910",-19,161
Côte d'Ivoire,0.538,57.8,10,5.3,"5,069",-25,161
Tanzania (United Republic of),0.529,65.5,8.1,6.1,"2,600",2,164
Madagascar,0.528,67,10.2,6.1,"1,596",16,163
Lesotho,0.527,54.3,11.3,6.5,"3,151",-6,165
Djibouti,0.524,67.1,6.8,4.1,"5,689",-34,166
Togo,0.515,61,12.7,4.9,"1,602",12,168
Senegal,0.512,67.9,8.6,3.2,"3,309",-11,167
Afghanistan,0.511,64.8,10.2,3.9,"2,229",0,169
Haiti,0.51,64,9.7,5.6,"1,709",7,170
Sudan,0.51,65.3,7.9,3.8,"3,829",-18,171
Gambia,0.496,62.1,9.9,3.9,"2,168",-1,172
Ethiopia,0.485,66.6,8.8,2.9,"2,207",-3,174
Malawi,0.483,64.3,11.2,4.7,"1,035",13,174
Congo (Democratic Republic of the),0.48,60.7,9.7,6.8,"1,063",11,174
Guinea-Bissau,0.48,58.3,10.6,3.6,"1,996",1,178
Liberia,0.48,64.1,9.6,4.8,"1,258",8,173
Guinea,0.477,61.6,9.4,2.8,"2,405",-12,177
Yemen,0.47,66.1,8.8,3.2,"1,594",2,179
Eritrea,0.459,66.3,5,3.9,"2,793",-17,180
Mozambique,0.456,60.9,10,3.5,"1,250",3,181
Burkina Faso,0.452,61.6,9.3,1.6,"2,133",-9,183
Sierra Leone,0.452,54.7,10.2,3.7,"1,668",-4,182
Mali,0.434,59.3,7.5,2.4,"2,269",-17,184
Burundi,0.433,61.6,11.1,3.3,754,4,184
South Sudan,0.433,57.9,5.3,4.8,"2,003",-10,186
Chad,0.398,54.2,7.3,2.5,"1,555",-5,187
Central African Republic,0.397,53.3,7.6,4.3,993,0,188
Niger,0.394,62.4,6.5,2.1,"1,201",-4,189
