"SOURCE","TARGET","TYPE","COUNT"
"Demi Moore","A Few Good Men","ACTED_IN",1
"Diane Keaton","Something's Gotta Give","ACTED_IN",1
"Dina Meyer","Johnny Mnemonic","ACTED_IN",1
"Ed Harris","Apollo 13","ACTED_IN",1
"Emil Eifrem","The Matrix","ACTED_IN",1
"Emile Hirsch","Speed Racer","ACTED_IN",1
"Ethan Hawke","Snow Falling on Cedars","ACTED_IN",1
"Frank Darabont","The Green Mile","DIRECTED",1
"Frank Langella","Frost/Nixon","ACTED_IN",1
"Gary Sinise","Apollo 13","ACTED_IN",1
"Gary Sinise","The Green Mile","ACTED_IN",1
"Geena Davis","A League of Their Own","ACTED_IN",1
"Gene Hackman","The Birdcage","ACTED_IN",1
"Gene Hackman","The Replacements","ACTED_IN",1
"Gene Hackman","Unforgiven","ACTED_IN",1
"Greg Kinnear","As Good as It Gets","ACTED_IN",1
"Greg Kinnear","You've Got Mail","ACTED_IN",1
"Halle Berry","Cloud Atlas","ACTED_IN",1
"Helen Hunt","As Good as It Gets","ACTED_IN",1
"Helen Hunt","Cast Away","ACTED_IN",1
"Helen Hunt","Twister","ACTED_IN",1
"Howard Deutch","The Replacements","DIRECTED",1
"Hugo Weaving","Cloud Atlas","ACTED_IN",1
"Hugo Weaving","The Matrix","ACTED_IN",1
"Hugo Weaving","The Matrix Reloaded","ACTED_IN",1
"Hugo Weaving","The Matrix Revolutions","ACTED_IN",1
"Hugo Weaving","V for Vendetta","ACTED_IN",1
"Ian McKellen","The Da Vinci Code","ACTED_IN",1
"Ice-T","Johnny Mnemonic","ACTED_IN",1
"J.T. Walsh","A Few Good Men","ACTED_IN",1
"J.T. Walsh","Hoffa","ACTED_IN",1
"Jack Nicholson","A Few Good Men","ACTED_IN",1
"Jack Nicholson","As Good as It Gets","ACTED_IN",1
"Jack Nicholson","Hoffa","ACTED_IN",1
"Jack Nicholson","One Flew Over the Cuckoo's Nest","ACTED_IN",1
"Jack Nicholson","Something's Gotta Give","ACTED_IN",1
"James Cromwell","Snow Falling on Cedars","ACTED_IN",1
"James Cromwell","The Green Mile","ACTED_IN",1
"James L. Brooks","As Good as It Gets","DIRECTED",1
"James Marshall","A Few Good Men","ACTED_IN",1
"James Marshall","Ninja Assassin","DIRECTED",1
"James Marshall","V for Vendetta","DIRECTED",1
"James Thompson","The Da Vinci Code","REVIEWED",1
"James Thompson","The Replacements","REVIEWED",1
"Jan de Bont","Twister","DIRECTED",1
"Jay Mohr","Jerry Maguire","ACTED_IN",1
"Jerry O'Connell","Jerry Maguire","ACTED_IN",1
"Jerry O'Connell","Stand By Me","ACTED_IN",1
"Jessica Thompson","Cloud Atlas","REVIEWED",1
"Jessica Thompson","The Birdcage","REVIEWED",1
"Jessica Thompson","The Da Vinci Code","REVIEWED",1
"Jessica Thompson","The Replacements","REVIEWED",1
"Jessica Thompson","Unforgiven","REVIEWED",1
"Jim Broadbent","Cloud Atlas","ACTED_IN",1
"Jim Cash","Top Gun","WROTE",1
"Joel Silver","Ninja Assassin","PRODUCED",1
"Joel Silver","Speed Racer","PRODUCED",1
"Joel Silver","The Matrix","PRODUCED",1
"Joel Silver","The Matrix Reloaded","PRODUCED",1
"Joel Silver","The Matrix Revolutions","PRODUCED",1
"Joel Silver","V for Vendetta","PRODUCED",1
"John C. Reilly","Hoffa","ACTED_IN",1
"John Cusack","Stand By Me","ACTED_IN",1
"John Goodman","Speed Racer","ACTED_IN",1
"John Hurt","V for Vendetta","ACTED_IN",1
"John Patrick Stanley","Joe Versus the Volcano","DIRECTED",1
"Jonathan Lipnicki","Jerry Maguire","ACTED_IN",1
"Julia Roberts","Charlie Wilson's War","ACTED_IN",1
"Keanu Reeves","Johnny Mnemonic","ACTED_IN",1
"Keanu Reeves","Something's Gotta Give","ACTED_IN",1
"Keanu Reeves","The Devil's Advocate","ACTED_IN",1
"Keanu Reeves","The Matrix","ACTED_IN",1
"Keanu Reeves","The Matrix Reloaded","ACTED_IN",1
"Keanu Reeves","The Matrix Revolutions","ACTED_IN",1
"Keanu Reeves","The Replacements","ACTED_IN",1
"Kelly McGillis","Top Gun","ACTED_IN",1
"Kelly Preston","Jerry Maguire","ACTED_IN",1
"Kevin Bacon","A Few Good Men","ACTED_IN",1
"Kevin Bacon","Apollo 13","ACTED_IN",1
"Kevin Bacon","Frost/Nixon","ACTED_IN",1
"Kevin Pollak","A Few Good Men","ACTED_IN",1
"Kiefer Sutherland","A Few Good Men","ACTED_IN",1
"Kiefer Sutherland","Stand By Me","ACTED_IN",1
"Lana Wachowski","Cloud Atlas","DIRECTED",1
"Lana Wachowski","Ninja Assassin","PRODUCED",1
"Lana Wachowski","Speed Racer","DIRECTED-WROTE",1
"Lana Wachowski","The Matrix","DIRECTED",1
"Lana Wachowski","The Matrix Reloaded","DIRECTED",1
"Lana Wachowski","The Matrix Revolutions","DIRECTED",1
"Lana Wachowski","V for Vendetta","WROTE-PRODUCED",1
"Laurence Fishburne","The Matrix","ACTED_IN",1
"Laurence Fishburne","The Matrix Reloaded","ACTED_IN",1
"Laurence Fishburne","The Matrix Revolutions","ACTED_IN",1
"Liv Tyler","That Thing You Do","ACTED_IN",1
"Lori Petty","A League of Their Own","ACTED_IN",1
"Madonna","A League of Their Own","ACTED_IN",1
"Marshall Bell","RescueDawn","ACTED_IN",1
"Marshall Bell","Stand By Me","ACTED_IN",1
"Matthew Fox","Speed Racer","ACTED_IN",1
"Max von Sydow","Snow Falling on Cedars","ACTED_IN",1
"Max von Sydow","What Dreams May Come","ACTED_IN",1
"Meg Ryan","Joe Versus the Volcano","ACTED_IN",1
"Meg Ryan","Sleepless in Seattle","ACTED_IN",1
"Meg Ryan","Top Gun","ACTED_IN",1
"Meg Ryan","When Harry Met Sally","ACTED_IN",1
"Meg Ryan","You've Got Mail","ACTED_IN",1
"Michael Clarke Duncan","The Green Mile","ACTED_IN",1
"Michael Sheen","Frost/Nixon","ACTED_IN",1
"Mike Nichols","Charlie Wilson's War","DIRECTED",1
"Mike Nichols","The Birdcage","DIRECTED",1
"Milos Forman","One Flew Over the Cuckoo's Nest","DIRECTED",1
"Nancy Meyers","Something's Gotta Give","WROTE-PRODUCED-DIRECTED",1
"Naomie Harris","Ninja Assassin","ACTED_IN",1
"Natalie Portman","V for Vendetta","ACTED_IN",1
"Nathan Lane","Joe Versus the Volcano","ACTED_IN",1
"Nathan Lane","The Birdcage","ACTED_IN",1
"Noah Wyle","A Few Good Men","ACTED_IN",1
"Nora Ephron","Sleepless in Seattle","DIRECTED",1
"Nora Ephron","When Harry Met Sally","WROTE-PRODUCED",1
"Nora Ephron","You've Got Mail","DIRECTED",1
"Oliver Platt","Bicentennial Man","ACTED_IN",1
"Oliver Platt","Frost/Nixon","ACTED_IN",1
"Orlando Jones","The Replacements","ACTED_IN",1
"Parker Posey","You've Got Mail","ACTED_IN",1
"Patricia Clarkson","The Green Mile","ACTED_IN",1
"Paul Bettany","The Da Vinci Code","ACTED_IN",1
"Penny Marshall","A League of Their Own","DIRECTED",1
"Philip Seymour Hoffman","Charlie Wilson's War","ACTED_IN",1
"Philip Seymour Hoffman","Twister","ACTED_IN",1
"Rain","Ninja Assassin","ACTED_IN",1
"Rain","Speed Racer","ACTED_IN",1
"Regina King","Jerry Maguire","ACTED_IN",1
"Renee Zellweger","Jerry Maguire","ACTED_IN",1
"Richard Harris","Unforgiven","ACTED_IN",1
"Rick Yune","Ninja Assassin","ACTED_IN",1
"Rick Yune","Snow Falling on Cedars","ACTED_IN",1
"Rita Wilson","Sleepless in Seattle","ACTED_IN",1
"River Phoenix","Stand By Me","ACTED_IN",1
"Rob Reiner","A Few Good Men","DIRECTED",1
"Rob Reiner","Stand By Me","DIRECTED",1
"Rob Reiner","When Harry Met Sally","PRODUCED-DIRECTED",1
"Robert Longo","Johnny Mnemonic","DIRECTED",1
"Robert Zemeckis","Cast Away","DIRECTED",1
"Robert Zemeckis","The Polar Express","DIRECTED",1
"Robin Williams","Bicentennial Man","ACTED_IN",1
"Robin Williams","The Birdcage","ACTED_IN",1
"Robin Williams","What Dreams May Come","ACTED_IN",1
"Ron Howard","Apollo 13","DIRECTED",1
"Ron Howard","Frost/Nixon","DIRECTED",1
"Ron Howard","The Da Vinci Code","DIRECTED",1
"Rosie O'Donnell","A League of Their Own","ACTED_IN",1
"Rosie O'Donnell","Sleepless in Seattle","ACTED_IN",1
"Sam Rockwell","Frost/Nixon","ACTED_IN",1
"Sam Rockwell","The Green Mile","ACTED_IN",1
"Scott Hicks","Snow Falling on Cedars","DIRECTED",1
"Stephen Rea","V for Vendetta","ACTED_IN",1
"Steve Zahn","RescueDawn","ACTED_IN",1
"Steve Zahn","You've Got Mail","ACTED_IN",1
"Susan Sarandon","Speed Racer","ACTED_IN",1
"Takeshi Kitano","Johnny Mnemonic","ACTED_IN",1
"Taylor Hackford","The Devil's Advocate","DIRECTED",1
"Tom Cruise","A Few Good Men","ACTED_IN",1
"Tom Cruise","Jerry Maguire","ACTED_IN",1
"Tom Cruise","Top Gun","ACTED_IN",1
"Tom Hanks","A League of Their Own","ACTED_IN",1
"Tom Hanks","Apollo 13","ACTED_IN",1
"Tom Hanks","Cast Away","ACTED_IN",1
"Tom Hanks","Charlie Wilson's War","ACTED_IN",1
"Tom Hanks","Cloud Atlas","ACTED_IN",1
"Tom Hanks","Joe Versus the Volcano","ACTED_IN",1
"Tom Hanks","Sleepless in Seattle","ACTED_IN",1
"Tom Hanks","That Thing You Do","DIRECTED-ACTED_IN",2
"Tom Hanks","The Da Vinci Code","ACTED_IN",1
"Tom Hanks","The Green Mile","ACTED_IN",1
"Tom Hanks","The Polar Express","ACTED_IN",1
"Tom Hanks","You've Got Mail","ACTED_IN",1
"Tom Skerritt","Top Gun","ACTED_IN",1
"Tom Tykwer","Cloud Atlas","DIRECTED",1
"Tony Scott","Top Gun","DIRECTED",1
"Val Kilmer","Top Gun","ACTED_IN",1
"Victor Garber","Sleepless in Seattle","ACTED_IN",1
"Vincent Ward","What Dreams May Come","DIRECTED",1
"Werner Herzog","RescueDawn","DIRECTED",1
"Werner Herzog","What Dreams May Come","ACTED_IN",1
"Wil Wheaton","Stand By Me","ACTED_IN",1
"Zach Grenier","RescueDawn","ACTED_IN",1
"Zach Grenier","Twister","ACTED_IN",1
