SOURCE,TARGET,SOURCE_NAME,SOURCE_TYPE,TARGET_NAME,TARGET_TYPE,SIZE_DISORDER,DISORDER_TYPE
68,1514,Asthma,D,IL12B,G,31.288366,Respiratory
68,1515,Asthma,D,IL13,G,31.288366,Respiratory
68,1516,Asthma,D,PTGDR,G,31.288366,Respiratory
68,3567,Asthma,D,TNF,G,31.288366,Respiratory
68,1518,Asthma,D,SCGB1A1,G,31.288366,Respiratory
68,3344,Asthma,D,PLA2G7,G,31.288366,Respiratory
68,2625,Asthma,D,PHF11,G,31.288366,Respiratory
68,1521,Asthma,D,SCGB3A2,G,31.288366,Respiratory
68,1522,Asthma,D,GPR154,G,31.288366,Respiratory
219,2182,Ataxia,D,CACNB4,G,15.860395,Neurological
219,1524,Ataxia,D,TTPA,G,15.860395,Neurological
219,1525,Ataxia,D,ALS4,G,15.860395,Neurological
219,1526,Ataxia,D,APTX,G,15.860395,Neurological
219,1527,Ataxia,D,ATCAY,G,15.860395,Neurological
154,3708,Ataxia-telangiectasia,D,ATM,G,12.187026,Immunological
154,1529,Ataxia-telangiectasia,D,MRE11A,G,12.187026,Immunological
408,2203,Atelosteogenesis,D,SLC26A2,G,12.187026,Connective tissue disorder
408,3653,Atelosteogenesis,D,FLNB,G,12.187026,Connective tissue disorder
98,1533,Atherosclerosis,D,ALOX5,G,11.619047,Cardiovascular
661,1534,Atopy,D,IL4R,G,15.860395,Immunological
661,1535,Atopy,D,SELP,G,15.860395,Immunological
661,3344,Atopy,D,PLA2G7,G,15.860395,Immunological
661,3117,Atopy,D,SPINK5,G,15.860395,Immunological
661,1538,Atopy,D,HAVCR1,G,15.860395,Immunological
327,3713,Atrial fibrillation,D,NKX2-5,G,15.860395,Cardiovascular
327,1541,Atrial fibrillation,D,GATA4,G,15.860395,Cardiovascular
327,2816,Atrial fibrillation,D,KCNQ1,G,15.860395,Cardiovascular
327,1727,Atrial fibrillation,D,MYH6,G,15.860395,Cardiovascular
327,2818,Atrial fibrillation,D,KCNE2,G,15.860395,Cardiovascular
328,3713,Atrioventricular block,D,NKX2-5,G,13.181497,Cardiovascular
328,3913,Atrioventricular block,D,GJA1,G,13.181497,Cardiovascular
328,1548,Atrioventricular block,D,CRELD1,G,13.181497,Cardiovascular
570,1550,Autism,D,GLO1,G,14.426924,Psychiatric
570,3488,Autism,D,MECP2,G,14.426924,Psychiatric
570,1552,Autism,D,NLGN3,G,14.426924,Psychiatric
570,2932,Autism,D,NLGN4X,G,14.426924,Psychiatric
119,1554,Autoimmune disease,D,AIRE,G,14.426924,Immunological
119,3662,Autoimmune disease,D,FAS,G,14.426924,Immunological
119,2437,Autoimmune disease,D,CASP8,G,14.426924,Immunological
119,3159,Autoimmune disease,D,CASP10,G,14.426924,Immunological
490,3511,Axenfeld anomaly,D,FOXC1,G,11.619047,Ophthamological
941,3806,Bannayan-Riley-Ruvalcaba syndrome,D,PTEN,G,11.619047,Unclassified
778,3980,Bare lymphocyte syndrome,D,CIITA,G,15.860395,Immunological
778,1573,Bare lymphocyte syndrome,D,RFX5,G,15.860395,Immunological
778,1574,Bare lymphocyte syndrome,D,RFXAP,G,15.860395,Immunological
778,3841,Bare lymphocyte syndrome,D,TAP2,G,15.860395,Immunological
778,1576,Bare lymphocyte syndrome,D,TAPBP,G,15.860395,Immunological
1033,3158,Barth syndrome,D,TAZ,G,11.619047,Multiple
555,3821,Bart-Pumphrey syndrome,D,GJB2,G,11.619047,Multiple
938,3894,Basal cell carcinoma,D,PTCH,G,14.426924,Cancer
938,3288,Basal cell carcinoma,D,RASA1,G,14.426924,Cancer
938,1586,Basal cell carcinoma,D,SMO,G,14.426924,Cancer
938,2887,Basal cell carcinoma,D,PTCH2,G,14.426924,Cancer
481,3523,Beare-Stevenson cutis gyrata syndrome,D,FGFR2,G,11.619047,Multiple
385,2099,Becker muscular dystrophy,D,DMD,G,12.187026,Muscular
385,3082,Becker muscular dystrophy,D,MYF6,G,12.187026,Muscular
380,2747,Benzene toxicity,D,NQO1,G,11.619047,Unclassified
69,3168,"Beta-2-adrenoreceptor agonist, reduced response to",D,ADRB2,G,11.619047,Unclassified
1306,3446,Birt-Hogg-Dube syndrome,D,FLCN,G,11.619047,Dermatological
474,3720,Bladder cancer,D,FGFR3,G,14.426924,Cancer
474,3738,Bladder cancer,D,HRAS,G,14.426924,Cancer
474,3677,Bladder cancer,D,KRAS,G,14.426924,Cancer
474,3485,Bladder cancer,D,RB1,G,14.426924,Cancer
48,1621,Blood group,D,ABO,G,55.289974,Hematological
48,1622,Blood group,D,ACHE,G,55.289974,Hematological
48,1623,Blood group,D,AQP1,G,55.289974,Hematological
48,1624,Blood group,D,AQP3,G,55.289974,Hematological
48,1625,Blood group,D,DO,G,55.289974,Hematological
48,1626,Blood group,D,BSG,G,55.289974,Hematological
48,1627,Blood group,D,CD44,G,55.289974,Hematological
48,1628,Blood group,D,CR1,G,55.289974,Hematological
48,1629,Blood group,D,DAF,G,55.289974,Hematological
48,1630,Blood group,D,FUT3,G,55.289974,Hematological
48,1631,Blood group,D,GCNT2,G,55.289974,Hematological
48,1632,Blood group,D,GYPA,G,55.289974,Hematological
48,1633,Blood group,D,GYPB,G,55.289974,Hematological
48,2856,Blood group,D,GYPC,G,55.289974,Hematological
48,1635,Blood group,D,ICAM4,G,55.289974,Hematological
48,1636,Blood group,D,KEL,G,55.289974,Hematological
48,1637,Blood group,D,LU,G,55.289974,Hematological
48,3506,Blood group,D,RHCE,G,55.289974,Hematological
48,3974,Blood group,D,SLC4A1,G,55.289974,Hematological
48,1640,Blood group,D,SLC14A1,G,55.289974,Hematological
48,1641,Blood group,D,XG,G,55.289974,Hematological
48,1642,Blood group,D,B3GALT3,G,55.289974,Hematological
48,1643,Blood group,D,A4GALT,G,55.289974,Hematological
743,3805,Bone mineral density variability,D,LRP5,G,11.619047,Bone
965,3467,Bothnia retinal dystrophy,D,RLBP1,G,11.619047,Ophthamological
442,1660,Branchiootic syndrome,D,EYA1,G,11.619047,Neurological
137,3631,Breast cancer,D,AR,G,45.35532,Cancer
137,3708,Breast cancer,D,ATM,G,45.35532,Cancer
137,1663,Breast cancer,D,BARD1,G,45.35532,Cancer
137,3278,Breast cancer,D,BRCA1,G,45.35532,Cancer
137,3852,Breast cancer,D,BRCA2,G,45.35532,Cancer
137,3246,Breast cancer,D,CDH1,G,45.35532,Cancer
137,3677,Breast cancer,D,KRAS,G,45.35532,Cancer
137,3492,Breast cancer,D,SLC22A18,G,45.35532,Cancer
137,1669,Breast cancer,D,PHB,G,45.35532,Cancer
137,3251,Breast cancer,D,PIK3CA,G,45.35532,Cancer
137,1671,Breast cancer,D,RAD51,G,45.35532,Cancer
137,3957,Breast cancer,D,TP53,G,45.35532,Cancer
137,1673,Breast cancer,D,TSG101,G,45.35532,Cancer
137,2899,Breast cancer,D,XRCC3,G,45.35532,Cancer
137,2840,Breast cancer,D,RAD54L,G,45.35532,Cancer
137,1676,Breast cancer,D,PPM1D,G,45.35532,Cancer
137,1677,Breast cancer,D,RB1CC1,G,45.35532,Cancer
137,3397,Breast cancer,D,CHEK2,G,45.35532,Cancer
137,2253,Breast cancer,D,BRIP1,G,45.35532,Cancer
977,3943,Brugada syndrome,D,SCN5A,G,11.619047,Cardiovascular
958,3917,"Butterfly dystrophy, retinal",D,RDS,G,11.619047,Ophthamological
208,1687,Complementary component deficiency,D,C1QA,G,31.288366,Immunological
208,1688,Complementary component deficiency,D,C1QB,G,31.288366,Immunological
208,1689,Complementary component deficiency,D,C1QG,G,31.288366,Immunological
208,1690,Complementary component deficiency,D,C1S,G,31.288366,Immunological
208,1691,Complementary component deficiency,D,C2,G,31.288366,Immunological
208,1692,Complementary component deficiency,D,C3,G,31.288366,Immunological
208,1693,Complementary component deficiency,D,C4A,G,31.288366,Immunological
208,1694,Complementary component deficiency,D,C4B,G,31.288366,Immunological
208,3951,Complementary component deficiency,D,C6,G,31.288366,Immunological
208,1696,Complementary component deficiency,D,C7,G,31.288366,Immunological
208,1697,Complementary component deficiency,D,C8B,G,31.288366,Immunological
208,1698,Complementary component deficiency,D,C9,G,31.288366,Immunological
208,1699,Complementary component deficiency,D,IF,G,31.288366,Immunological
784,3781,Cafe-au-lait spots,D,MLH1,G,12.187026,Cancer
784,3250,Cafe-au-lait spots,D,MSH2,G,12.187026,Cancer
283,3236,Caffey disease,D,COL1A1,G,11.619047,Connective tissue disorder
485,1709,Cancer susceptibility,D,FGFR4,G,12.187026,Cancer
485,3249,Cancer susceptibility,D,MSH6,G,12.187026,Cancer
954,3288,Capillary malformations,D,RASA1,G,11.619047,Cardiovascular
986,3325,"Carcinoid tumors, intestinal",D,SDHD,G,11.619047,Cancer
54,1719,Cardiomyopathy,D,ACTC,G,60.344677,Cardiovascular
54,3514,Cardiomyopathy,D,CAV3,G,60.344677,Cardiovascular
54,2722,Cardiomyopathy,D,COX15,G,60.344677,Cardiovascular
54,3080,Cardiomyopathy,D,DES,G,60.344677,Cardiovascular
54,2099,Cardiomyopathy,D,DMD,G,60.344677,Cardiovascular
54,2000,Cardiomyopathy,D,EYA4,G,60.344677,Cardiovascular
54,2792,Cardiomyopathy,D,LMNA,G,60.344677,Cardiovascular
54,1726,Cardiomyopathy,D,MYBPC3,G,60.344677,Cardiovascular
54,1727,Cardiomyopathy,D,MYH6,G,60.344677,Cardiovascular
54,3896,Cardiomyopathy,D,MYH7,G,60.344677,Cardiovascular
54,1729,Cardiomyopathy,D,MYL2,G,60.344677,Cardiovascular
54,1730,Cardiomyopathy,D,MYL3,G,60.344677,Cardiovascular
54,1731,Cardiomyopathy,D,PLN,G,60.344677,Cardiovascular
54,3023,Cardiomyopathy,D,SGCD,G,60.344677,Cardiovascular
54,3158,Cardiomyopathy,D,TAZ,G,60.344677,Cardiovascular
54,1734,Cardiomyopathy,D,TNNC1,G,60.344677,Cardiovascular
54,1735,Cardiomyopathy,D,TNNI3,G,60.344677,Cardiovascular
54,1736,Cardiomyopathy,D,TNNT2,G,60.344677,Cardiovascular
54,1737,Cardiomyopathy,D,TPM1,G,60.344677,Cardiovascular
54,3025,Cardiomyopathy,D,TTN,G,60.344677,Cardiovascular
54,1739,Cardiomyopathy,D,CSRP3,G,60.344677,Cardiovascular
54,3027,Cardiomyopathy,D,TCAP,G,60.344677,Cardiovascular
54,1741,Cardiomyopathy,D,ABCC9,G,60.344677,Cardiovascular
54,3860,Cardiomyopathy,D,PRKAG2,G,60.344677,Cardiovascular
54,1743,Cardiomyopathy,D,MYLK2,G,60.344677,Cardiovascular
815,3772,Carney complex,D,MYH8,G,12.187026,Multiple
815,3931,Carney complex,D,PRKAR1A,G,12.187026,Multiple
1081,2120,"Carpal tunnel syndrome, familial",D,TTR,G,11.619047,Unclassified
325,1750,Cataract,D,CRYAA,G,35.824245,Ophthamological
325,3079,Cataract,D,CRYAB,G,35.824245,Ophthamological
325,1752,Cataract,D,CRYBA1,G,35.824245,Ophthamological
325,1753,Cataract,D,CRYBB1,G,35.824245,Ophthamological
325,1754,Cataract,D,CRYBB2,G,35.824245,Ophthamological
325,1755,Cataract,D,CRYGC,G,35.824245,Ophthamological
325,1756,Cataract,D,CRYGD,G,35.824245,Ophthamological
325,1757,Cataract,D,GJA3,G,35.824245,Ophthamological
325,1758,Cataract,D,GJA8,G,35.824245,Ophthamological
325,1759,Cataract,D,HSF4,G,35.824245,Ophthamological
325,1760,Cataract,D,LIM2,G,35.824245,Ophthamological
325,1761,Cataract,D,MIP,G,35.824245,Ophthamological
325,3958,Cataract,D,PAX6,G,35.824245,Ophthamological
325,1763,Cataract,D,PITX3,G,35.824245,Ophthamological
325,1764,Cataract,D,BFSP2,G,35.824245,Ophthamological
187,3189,Central hypoventilation syndrome,D,BDNF,G,15.860395,Respiratory
187,3581,Central hypoventilation syndrome,D,EDN3,G,15.860395,Respiratory
187,2462,Central hypoventilation syndrome,D,GDNF,G,15.860395,Respiratory
187,3921,Central hypoventilation syndrome,D,RET,G,15.860395,Respiratory
187,3120,Central hypoventilation syndrome,D,PHOX2B,G,15.860395,Respiratory
210,3638,Cerebellar ataxia,D,CACNA1A,G,12.187026,Neurological
210,2569,Cerebellar ataxia,D,CP,G,12.187026,Neurological
36,3704,Cerebral amyloid angiopathy,D,ABCA1,G,12.187026,Neurological
36,1776,Cerebral amyloid angiopathy,D,CST3,G,12.187026,Neurological
475,3720,Cervical carcinoma,D,FGFR3,G,11.619047,Cancer
390,1792,Charcot-Marie-Tooth disease,D,DNM2,G,42.92585,Neurological
390,3129,Charcot-Marie-Tooth disease,D,EGR2,G,42.92585,Neurological
390,3632,Charcot-Marie-Tooth disease,D,GARS,G,42.92585,Neurological
390,1795,Charcot-Marie-Tooth disease,D,GJB1,G,42.92585,Neurological
390,3813,Charcot-Marie-Tooth disease,D,HOXD10,G,42.92585,Neurological
390,3130,Charcot-Marie-Tooth disease,D,HSPB1,G,42.92585,Neurological
390,3519,Charcot-Marie-Tooth disease,D,MPZ,G,42.92585,Neurological
390,1799,Charcot-Marie-Tooth disease,D,NEFL,G,42.92585,Neurological
390,3520,Charcot-Marie-Tooth disease,D,PMP22,G,42.92585,Neurological
390,1801,Charcot-Marie-Tooth disease,D,RAB7,G,42.92585,Neurological
390,1802,Charcot-Marie-Tooth disease,D,MTMR2,G,42.92585,Neurological
390,1803,Charcot-Marie-Tooth disease,D,LITAF,G,42.92585,Neurological
390,1804,Charcot-Marie-Tooth disease,D,MFN2,G,42.92585,Neurological
390,1805,Charcot-Marie-Tooth disease,D,NDRG1,G,42.92585,Neurological
390,1806,Charcot-Marie-Tooth disease,D,KIF1B,G,42.92585,Neurological
390,1807,Charcot-Marie-Tooth disease,D,GDAP1,G,42.92585,Neurological
390,1808,Charcot-Marie-Tooth disease,D,SH3TC2,G,42.92585,Neurological
390,1809,Charcot-Marie-Tooth disease,D,SBF2,G,42.92585,Neurological
796,3858,Cleft palate,D,MSX1,G,13.181497,Developmental
796,3887,Cleft palate,D,PVRL1,G,13.181497,Developmental
796,1852,Cleft palate,D,TBX22,G,13.181497,Developmental
828,3164,Coats disease,D,NDP,G,11.619047,Ophthamological
969,2920,Coffin-Lowry syndrome,D,RPS6KA3,G,11.619047,Multiple
873,3958,"Coloboma, ocular",D,PAX6,G,12.187026,Ophthamological
873,3608,"Coloboma, ocular",D,SHH,G,12.187026,Ophthamological
114,3780,Colon cancer,D,APC,G,83.15607,Cancer
114,3709,Colon cancer,D,BAX,G,83.15607,Cancer
114,3823,Colon cancer,D,CCND1,G,83.15607,Cancer
114,3160,Colon cancer,D,BRAF,G,83.15607,Cancer
114,1868,Colon cancer,D,BUB1,G,83.15607,Cancer
114,1869,Colon cancer,D,BUB1B,G,83.15607,Cancer
114,3335,Colon cancer,D,CTNNB1,G,83.15607,Cancer
114,1871,Colon cancer,D,DCC,G,83.15607,Cancer
114,3522,Colon cancer,D,EP300,G,83.15607,Cancer
114,3720,Colon cancer,D,FGFR3,G,83.15607,Cancer
114,3249,Colon cancer,D,MSH6,G,83.15607,Cancer
114,1875,Colon cancer,D,MCC,G,83.15607,Cancer
114,3781,Colon cancer,D,MLH1,G,83.15607,Cancer
114,3250,Colon cancer,D,MSH2,G,83.15607,Cancer
114,2309,Colon cancer,D,MUTYH,G,83.15607,Cancer
114,1879,Colon cancer,D,NRAS,G,83.15607,Cancer
114,1880,Colon cancer,D,ODC1,G,83.15607,Cancer
114,2441,Colon cancer,D,PDGFRL,G,83.15607,Cancer
114,3251,Colon cancer,D,PIK3CA,G,83.15607,Cancer
114,1883,Colon cancer,D,PLA2G2A,G,83.15607,Cancer
114,1884,Colon cancer,D,PMS1,G,83.15607,Cancer
114,3782,Colon cancer,D,PMS2,G,83.15607,Cancer
114,1886,Colon cancer,D,PTPN12,G,83.15607,Cancer
114,1887,Colon cancer,D,PTPRJ,G,83.15607,Cancer
114,1888,Colon cancer,D,SRC,G,83.15607,Cancer
114,2809,Colon cancer,D,TGFBR2,G,83.15607,Cancer
114,3957,Colon cancer,D,TP53,G,83.15607,Cancer
114,3204,Colon cancer,D,AXIN2,G,83.15607,Cancer
114,2840,Colon cancer,D,RAD54L,G,83.15607,Cancer
114,3580,Colon cancer,D,BCL10,G,83.15607,Cancer
114,1894,Colon cancer,D,DLC1,G,83.15607,Cancer
114,2842,Colon cancer,D,RAD54B,G,83.15607,Cancer
114,1896,Colon cancer,D,MLH3,G,83.15607,Cancer
114,3446,Colon cancer,D,FLCN,G,83.15607,Cancer
961,3921,"Colonic aganglionosis, total, with small bowel involvement",D,RET,G,11.619047,Gastrointestinal
42,3915,Cone dystrophy,D,ABCA4,G,19.15717,Ophthamological
42,3459,Cone dystrophy,D,CRX,G,19.15717,Ophthamological
42,1907,Cone dystrophy,D,GUCA1A,G,19.15717,Ophthamological
42,2711,Cone dystrophy,D,GUCY2D,G,19.15717,Ophthamological
42,3472,Cone dystrophy,D,RPGR,G,19.15717,Ophthamological
42,3481,Cone dystrophy,D,AIPL1,G,19.15717,Ophthamological
42,2715,Cone dystrophy,D,RPGRIP1,G,19.15717,Ophthamological
1289,3801,Convulsions,D,MASS1,G,11.619047,Neurological
122,2565,Corneal dystrophy,D,APOA1,G,19.15717,Ophthamological
122,2285,Corneal dystrophy,D,COL8A2,G,19.15717,Ophthamological
122,1935,Corneal dystrophy,D,TACSTD2,G,19.15717,Ophthamological
122,1936,Corneal dystrophy,D,TGFBI,G,19.15717,Ophthamological
122,1937,Corneal dystrophy,D,KERA,G,19.15717,Ophthamological
122,2685,Corneal dystrophy,D,VSX1,G,19.15717,Ophthamological
122,1939,Corneal dystrophy,D,PIP5K3,G,19.15717,Ophthamological
37,3704,Coronary artery disease,D,ABCA1,G,17.445396,Cardiovascular
37,1942,Coronary artery disease,D,MEF2A,G,17.445396,Cardiovascular
37,1943,Coronary artery disease,D,MMP3,G,17.445396,Cardiovascular
37,1944,Coronary artery disease,D,PON1,G,17.445396,Cardiovascular
37,1945,Coronary artery disease,D,PON2,G,17.445396,Cardiovascular
37,1946,Coronary artery disease,D,KL,G,17.445396,Cardiovascular
633,3738,Costello syndrome,D,HRAS,G,11.619047,Multiple
342,3146,Coumarin resistance,D,CYP2A6,G,11.619047,Hematological
191,3356,Cowden disease,D,BMPR1A,G,12.187026,Cancer
191,3806,Cowden disease,D,PTEN,G,12.187026,Cancer
322,1955,"CPT deficiency, hepatic",D,CPT1A,G,12.187026,Metabolic
322,3078,"CPT deficiency, hepatic",D,CPT2,G,12.187026,Metabolic
974,3283,"Cramps, potassium-aggravated",D,SCN4A,G,11.619047,Muscular
1227,2685,"Craniofacial anomalies, empty sella turcica, corneal endothelial changes",D,VSX1,G,11.619047,Multiple
871,3828,Craniofacial-deafness-hand syndrome,D,PAX3,G,11.619047,Multiple
482,3523,Craniofacial-skeletal-dermatologic dysplasia,D,FGFR2,G,11.619047,Multiple
483,3523,Craniosynostosis,D,FGFR2,G,12.187026,Skeletal
483,3286,Craniosynostosis,D,MSX2,G,12.187026,Skeletal
231,3514,Creatine phosphokinase,D,CAV3,G,11.619047,Metabolic
616,1967,Creutzfeldt-Jakob disease,D,HLA-DQB1,G,12.187026,Neurological
616,3377,Creutzfeldt-Jakob disease,D,PRNP,G,12.187026,Neurological
476,3720,Crouzon syndrome,D,FGFR3,G,12.187026,Skeletal
476,3523,Crouzon syndrome,D,FGFR2,G,12.187026,Skeletal
165,3192,Cutis laxa,D,ATP7A,G,13.181497,Connective tissue disorder
165,3851,Cutis laxa,D,ELN,G,13.181497,Connective tissue disorder
165,2850,Cutis laxa,D,FBLN5,G,13.181497,Connective tissue disorder
702,3792,Cyclic ichthyosis with epidermolytic hyperkeratosis,D,KRT1,G,11.619047,Dermatological
55,1990,Deafness,D,ACTG1,G,100,ENT
55,3712,Deafness,D,JAG1,G,100,ENT
55,1992,Deafness,D,ATP2B2,G,100,ENT
55,3844,Deafness,D,COL11A2,G,100,ENT
55,1994,Deafness,D,CRYM,G,100,ENT
55,2985,Deafness,D,TIMM8A,G,100,ENT
55,1996,Deafness,D,DFNA5,G,100,ENT
55,2904,Deafness,D,COCH,G,100,ENT
55,1998,Deafness,D,DIAPH1,G,100,ENT
55,2049,Deafness,D,DSPP,G,100,ENT
55,2000,Deafness,D,EYA4,G,100,ENT
55,3821,Deafness,D,GJB2,G,100,ENT
55,2214,Deafness,D,GJB3,G,100,ENT
55,3555,Deafness,D,MYH9,G,100,ENT
55,2004,Deafness,D,MYO1A,G,100,ENT
55,2005,Deafness,D,MYO6,G,100,ENT
55,3795,Deafness,D,MYO7A,G,100,ENT
55,3306,Deafness,D,SLC26A4,G,100,ENT
55,2008,Deafness,D,POU3F4,G,100,ENT
