"year","topic","value","rank","color"
2005,"Umweltschutz",9,16,"#ca51af"
2006,"Umweltschutz",7,20,"#ca51af"
2007,"Umweltschutz",25,7,"#ca51af"
2008,"Umweltschutz",20,9,"#ca51af"
2009,"Umweltschutz",17,10,"#ca51af"
2010,"Umweltschutz",18,9,"#ca51af"
2011,"Umweltschutz",16,10,"#ca51af"
2012,"Umweltschutz",18,10,"#ca51af"
2013,"Umweltschutz",16,11,"#ca51af"
2014,"Umweltschutz",16,9,"#ca51af"
2015,"Umweltschutz",15,9,"#ca51af"
2016,"Umweltschutz",13,13,"#ca51af"
2017,"Umweltschutz",16,9,"#ca51af"
2018,"Umweltschutz",23,5,"#ca51af"
1995,"Persönliche Sicherheit",14,11,"#d9d9d9"
1996,"Persönliche Sicherheit",13,13,"#d9d9d9"
1997,"Persönliche Sicherheit",13,13,"#d9d9d9"
1998,"Persönliche Sicherheit",15,12,"#d9d9d9"
1999,"Persönliche Sicherheit",18,10,"#d9d9d9"
2000,"Persönliche Sicherheit",15,12,"#d9d9d9"
2001,"Persönliche Sicherheit",14,13,"#d9d9d9"
2002,"Persönliche Sicherheit",19,9,"#d9d9d9"
2003,"Persönliche Sicherheit",16,10,"#d9d9d9"
2004,"Persönliche Sicherheit",23,7,"#d9d9d9"
2005,"Persönliche Sicherheit",20,9,"#d9d9d9"
2006,"Persönliche Sicherheit",13,13,"#d9d9d9"
2007,"Persönliche Sicherheit",30,5,"#d9d9d9"
2008,"Persönliche Sicherheit",27,7,"#d9d9d9"
2009,"Persönliche Sicherheit",25,6,"#d9d9d9"
2010,"Persönliche Sicherheit",28,6,"#d9d9d9"
2011,"Persönliche Sicherheit",27,6,"#d9d9d9"
2012,"Persönliche Sicherheit",21,7,"#d9d9d9"
2013,"Persönliche Sicherheit",24,5,"#d9d9d9"
2014,"Persönliche Sicherheit",17,7,"#d9d9d9"
2015,"Persönliche Sicherheit",17,8,"#d9d9d9"
2016,"Persönliche Sicherheit",15,10,"#d9d9d9"
2017,"Persönliche Sicherheit",14,13,"#d9d9d9"
2018,"Persönliche Sicherheit",12,15,"#d9d9d9"
1995,"Bundesfinanzen",NA,NA,"#d9d9d9"
1996,"Bundesfinanzen",19,10,"#d9d9d9"
1997,"Bundesfinanzen",22,7,"#d9d9d9"
1998,"Bundesfinanzen",17,10,"#d9d9d9"
1999,"Bundesfinanzen",26,6,"#d9d9d9"
2000,"Bundesfinanzen",22,8,"#d9d9d9"
2001,"Bundesfinanzen",19,11,"#d9d9d9"
2002,"Bundesfinanzen",20,7,"#d9d9d9"
2003,"Bundesfinanzen",22,6,"#d9d9d9"
2004,"Bundesfinanzen",26,5,"#d9d9d9"
2005,"Bundesfinanzen",23,7,"#d9d9d9"
2006,"Bundesfinanzen",17,11,"#d9d9d9"
2007,"Bundesfinanzen",18,13,"#d9d9d9"
2008,"Bundesfinanzen",20,10,"#d9d9d9"
2009,"Bundesfinanzen",12,14,"#d9d9d9"
2010,"Bundesfinanzen",10,15,"#d9d9d9"
2011,"Bundesfinanzen",11,16,"#d9d9d9"
2012,"Bundesfinanzen",8,21,"#d9d9d9"
2013,"Bundesfinanzen",10,21,"#d9d9d9"
2014,"Bundesfinanzen",11,16,"#d9d9d9"
2015,"Bundesfinanzen",9,19,"#d9d9d9"
2016,"Bundesfinanzen",10,19,"#d9d9d9"
2017,"Bundesfinanzen",13,14,"#d9d9d9"
2018,"Bundesfinanzen",15,10,"#d9d9d9"
1995,"Löhne",NA,NA,"#d9d9d9"
1996,"Löhne",13,12,"#d9d9d9"
1997,"Löhne",14,12,"#d9d9d9"
1998,"Löhne",12,13,"#d9d9d9"
1999,"Löhne",13,13,"#d9d9d9"
2000,"Löhne",13,14,"#d9d9d9"
2001,"Löhne",19,10,"#d9d9d9"
2002,"Löhne",9,16,"#d9d9d9"
2003,"Löhne",12,14,"#d9d9d9"
2004,"Löhne",12,12,"#d9d9d9"
2005,"Löhne",21,8,"#d9d9d9"
2006,"Löhne",26,7,"#d9d9d9"
2007,"Löhne",23,9,"#d9d9d9"
2008,"Löhne",17,13,"#d9d9d9"
2009,"Löhne",16,11,"#d9d9d9"
2010,"Löhne",7,18,"#d9d9d9"
2011,"Löhne",14,14,"#d9d9d9"
2012,"Löhne",13,14,"#d9d9d9"
2013,"Löhne",19,8,"#d9d9d9"
2014,"Löhne",10,18,"#d9d9d9"
2015,"Löhne",10,16,"#d9d9d9"
2016,"Löhne",14,11,"#d9d9d9"
2017,"Löhne",6,31,"#d9d9d9"
2018,"Löhne",15,9,"#d9d9d9"
1995,"Drogen / Alkohol",34,4,"#d9d9d9"
1996,"Drogen / Alkohol",30,5,"#d9d9d9"
1997,"Drogen / Alkohol",28,6,"#d9d9d9"
1998,"Drogen / Alkohol",22,7,"#d9d9d9"
1999,"Drogen / Alkohol",16,12,"#d9d9d9"
2000,"Drogen / Alkohol",15,13,"#d9d9d9"
2001,"Drogen / Alkohol",11,15,"#d9d9d9"
2002,"Drogen / Alkohol",12,13,"#d9d9d9"
2003,"Drogen / Alkohol",18,9,"#d9d9d9"
2004,"Drogen / Alkohol",11,14,"#d9d9d9"
2005,"Drogen / Alkohol",14,14,"#d9d9d9"
2006,"Drogen / Alkohol",14,12,"#d9d9d9"
2007,"Drogen / Alkohol",10,16,"#d9d9d9"
2008,"Drogen / Alkohol",10,16,"#d9d9d9"
2009,"Drogen / Alkohol",9,18,"#d9d9d9"
2010,"Drogen / Alkohol",8,17,"#d9d9d9"
2011,"Drogen / Alkohol",7,21,"#d9d9d9"
2012,"Drogen / Alkohol",10,17,"#d9d9d9"
2013,"Drogen / Alkohol",14,14,"#d9d9d9"
2014,"Drogen / Alkohol",16,11,"#d9d9d9"
2015,"Drogen / Alkohol",13,13,"#d9d9d9"
2016,"Drogen / Alkohol",10,21,"#d9d9d9"
2017,"Drogen / Alkohol",11,16,"#d9d9d9"
2018,"Drogen / Alkohol",8,22,"#d9d9d9"
1995,"Inflation",15,10,"#d9d9d9"
1996,"Inflation",12,15,"#d9d9d9"
1997,"Inflation",10,14,"#d9d9d9"
1998,"Inflation",8,16,"#d9d9d9"
1999,"Inflation",5,22,"#d9d9d9"
2000,"Inflation",10,18,"#d9d9d9"
2001,"Inflation",10,18,"#d9d9d9"
2002,"Inflation",9,17,"#d9d9d9"
2003,"Inflation",10,17,"#d9d9d9"
2004,"Inflation",15,11,"#d9d9d9"
2005,"Inflation",12,15,"#d9d9d9"
2006,"Inflation",19,9,"#d9d9d9"
2007,"Inflation",20,11,"#d9d9d9"
2008,"Inflation",32,4,"#d9d9d9"
2009,"Inflation",14,12,"#d9d9d9"
2010,"Inflation",15,11,"#d9d9d9"
2011,"Inflation",15,11,"#d9d9d9"
2012,"Inflation",9,20,"#d9d9d9"
2013,"Inflation",13,16,"#d9d9d9"
2014,"Inflation",9,20,"#d9d9d9"
2015,"Inflation",11,15,"#d9d9d9"
2016,"Inflation",12,15,"#d9d9d9"
2017,"Inflation",15,11,"#d9d9d9"
2018,"Inflation",13,14,"#d9d9d9"
1995,"Globalisierung",NA,NA,"#d9d9d9"
1996,"Globalisierung",8,17,"#d9d9d9"
1997,"Globalisierung",9,15,"#d9d9d9"
1998,"Globalisierung",10,15,"#d9d9d9"
1999,"Globalisierung",13,14,"#d9d9d9"
2000,"Globalisierung",11,17,"#d9d9d9"
2001,"Globalisierung",24,8,"#d9d9d9"
2002,"Globalisierung",17,11,"#d9d9d9"
2003,"Globalisierung",15,12,"#d9d9d9"
2004,"Globalisierung",10,17,"#d9d9d9"
2005,"Globalisierung",16,11,"#d9d9d9"
2006,"Globalisierung",11,15,"#d9d9d9"
2007,"Globalisierung",14,14,"#d9d9d9"
2008,"Globalisierung",11,15,"#d9d9d9"
2009,"Globalisierung",11,15,"#d9d9d9"
2010,"Globalisierung",14,12,"#d9d9d9"
2011,"Globalisierung",13,15,"#d9d9d9"
2012,"Globalisierung",7,22,"#d9d9d9"
2013,"Globalisierung",11,19,"#d9d9d9"
2014,"Globalisierung",10,19,"#d9d9d9"
2015,"Globalisierung",7,23,"#d9d9d9"
2016,"Globalisierung",9,24,"#d9d9d9"
2017,"Globalisierung",8,24,"#d9d9d9"
2018,"Globalisierung",8,21,"#d9d9d9"
1995,"(Kern-) Energie",10,16,"#d9d9d9"
1996,"(Kern-) Energie",4,24,"#d9d9d9"
1997,"(Kern-) Energie",5,21,"#d9d9d9"
1998,"(Kern-) Energie",4,22,"#d9d9d9"
1999,"(Kern-) Energie",7,17,"#d9d9d9"
2000,"(Kern-) Energie",11,16,"#d9d9d9"
2001,"(Kern-) Energie",6,21,"#d9d9d9"
2002,"(Kern-) Energie",6,21,"#d9d9d9"
2003,"(Kern-) Energie",4,22,"#d9d9d9"
2004,"(Kern-) Energie",2,26,"#d9d9d9"
2005,"(Kern-) Energie",5,20,"#d9d9d9"
2006,"(Kern-) Energie",11,14,"#d9d9d9"
2007,"(Kern-) Energie",10,15,"#d9d9d9"
2008,"(Kern-) Energie",15,14,"#d9d9d9"
2009,"(Kern-) Energie",9,17,"#d9d9d9"
2010,"(Kern-) Energie",11,14,"#d9d9d9"
2011,"(Kern-) Energie",15,12,"#d9d9d9"
2012,"(Kern-) Energie",16,12,"#d9d9d9"
2013,"(Kern-) Energie",19,9,"#d9d9d9"
2014,"(Kern-) Energie",17,8,"#d9d9d9"
2015,"(Kern-) Energie",13,12,"#d9d9d9"
2016,"(Kern-) Energie",10,20,"#d9d9d9"
2017,"(Kern-) Energie",16,10,"#d9d9d9"
2018,"(Kern-) Energie",11,17,"#d9d9d9"
1995,"Rassismus / Fremdenfeindlichkeit",NA,NA,"#d9d9d9"
1996,"Rassismus / Fremdenfeindlichkeit",NA,NA,"#d9d9d9"
1997,"Rassismus / Fremdenfeindlichkeit",NA,NA,"#d9d9d9"
1998,"Rassismus / Fremdenfeindlichkeit",NA,NA,"#d9d9d9"
1999,"Rassismus / Fremdenfeindlichkeit",NA,NA,"#d9d9d9"
2000,"Rassismus / Fremdenfeindlichkeit",15,10,"#d9d9d9"
2001,"Rassismus / Fremdenfeindlichkeit",10,17,"#d9d9d9"
2002,"Rassismus / Fremdenfeindlichkeit",7,20,"#d9d9d9"
2003,"Rassismus / Fremdenfeindlichkeit",11,15,"#d9d9d9"
2004,"Rassismus / Fremdenfeindlichkeit",10,16,"#d9d9d9"
2005,"Rassismus / Fremdenfeindlichkeit",7,18,"#d9d9d9"
2006,"Rassismus / Fremdenfeindlichkeit",9,18,"#d9d9d9"
2007,"Rassismus / Fremdenfeindlichkeit",9,18,"#d9d9d9"
2008,"Rassismus / Fremdenfeindlichkeit",8,19,"#d9d9d9"
2009,"Rassismus / Fremdenfeindlichkeit",5,22,"#d9d9d9"
2010,"Rassismus / Fremdenfeindlichkeit",4,25,"#d9d9d9"
2011,"Rassismus / Fremdenfeindlichkeit",4,26,"#d9d9d9"
2012,"Rassismus / Fremdenfeindlichkeit",10,16,"#d9d9d9"
2013,"Rassismus / Fremdenfeindlichkeit",11,18,"#d9d9d9"
2014,"Rassismus / Fremdenfeindlichkeit",11,17,"#d9d9d9"
2015,"Rassismus / Fremdenfeindlichkeit",10,17,"#d9d9d9"
2016,"Rassismus / Fremdenfeindlichkeit",12,14,"#d9d9d9"
2017,"Rassismus / Fremdenfeindlichkeit",7,26,"#d9d9d9"
2018,"Rassismus / Fremdenfeindlichkeit",14,12,"#d9d9d9"
1995,"Verkehr / Neat",12,13,"#d9d9d9"
1996,"Verkehr / Neat",7,20,"#d9d9d9"
1997,"Verkehr / Neat",7,17,"#d9d9d9"
1998,"Verkehr / Neat",12,14,"#d9d9d9"
1999,"Verkehr / Neat",7,15,"#d9d9d9"
2000,"Verkehr / Neat",11,15,"#d9d9d9"
2001,"Verkehr / Neat",10,16,"#d9d9d9"
2002,"Verkehr / Neat",10,15,"#d9d9d9"
2003,"Verkehr / Neat",6,19,"#d9d9d9"
2004,"Verkehr / Neat",7,19,"#d9d9d9"
2005,"Verkehr / Neat",4,23,"#d9d9d9"
2006,"Verkehr / Neat",3,26,"#d9d9d9"
2007,"Verkehr / Neat",6,21,"#d9d9d9"
2008,"Verkehr / Neat",6,22,"#d9d9d9"
2009,"Verkehr / Neat",5,21,"#d9d9d9"
2010,"Verkehr / Neat",7,19,"#d9d9d9"
2011,"Verkehr / Neat",8,19,"#d9d9d9"
2012,"Verkehr / Neat",9,19,"#d9d9d9"
2013,"Verkehr / Neat",13,15,"#d9d9d9"
2014,"Verkehr / Neat",12,15,"#d9d9d9"
2015,"Verkehr / Neat",8,21,"#d9d9d9"
2016,"Verkehr / Neat",15,9,"#d9d9d9"
2017,"Verkehr / Neat",19,7,"#d9d9d9"
2018,"Verkehr / Neat",15,11,"#d9d9d9"
1995,"Landwirtschaft / Milchpreis / Subventionen",13,12,"#d9d9d9"
1996,"Landwirtschaft / Milchpreis / Subventionen",13,14,"#d9d9d9"
1997,"Landwirtschaft / Milchpreis / Subventionen",8,16,"#d9d9d9"
1998,"Landwirtschaft / Milchpreis / Subventionen",7,20,"#d9d9d9"
1999,"Landwirtschaft / Milchpreis / Subventionen",7,19,"#d9d9d9"
2000,"Landwirtschaft / Milchpreis / Subventionen",7,22,"#d9d9d9"
2001,"Landwirtschaft / Milchpreis / Subventionen",7,20,"#d9d9d9"
2002,"Landwirtschaft / Milchpreis / Subventionen",12,14,"#d9d9d9"
2003,"Landwirtschaft / Milchpreis / Subventionen",11,16,"#d9d9d9"
2004,"Landwirtschaft / Milchpreis / Subventionen",6,20,"#d9d9d9"
2005,"Landwirtschaft / Milchpreis / Subventionen",4,26,"#d9d9d9"
2006,"Landwirtschaft / Milchpreis / Subventionen",10,17,"#d9d9d9"
2007,"Landwirtschaft / Milchpreis / Subventionen",7,20,"#d9d9d9"
2008,"Landwirtschaft / Milchpreis / Subventionen",4,26,"#d9d9d9"
2009,"Landwirtschaft / Milchpreis / Subventionen",5,24,"#d9d9d9"
2010,"Landwirtschaft / Milchpreis / Subventionen",5,24,"#d9d9d9"
2011,"Landwirtschaft / Milchpreis / Subventionen",5,23,"#d9d9d9"
2012,"Landwirtschaft / Milchpreis / Subventionen",6,26,"#d9d9d9"
2013,"Landwirtschaft / Milchpreis / Subventionen",8,24,"#d9d9d9"
2014,"Landwirtschaft / Milchpreis / Subventionen",5,30,"#d9d9d9"
2015,"Landwirtschaft / Milchpreis / Subventionen",3,33,"#d9d9d9"
2016,"Landwirtschaft / Milchpreis / Subventionen",9,26,"#d9d9d9"
2017,"Landwirtschaft / Milchpreis / Subventionen",10,20,"#d9d9d9"
2018,"Landwirtschaft / Milchpreis / Subventionen",6,30,"#d9d9d9"
1995,"Sozialpartnerschaft",NA,NA,"#d9d9d9"
1996,"Sozialpartnerschaft",8,19,"#d9d9d9"
1997,"Sozialpartnerschaft",7,18,"#d9d9d9"
1998,"Sozialpartnerschaft",7,19,"#d9d9d9"
1999,"Sozialpartnerschaft",5,23,"#d9d9d9"
2000,"Sozialpartnerschaft",7,21,"#d9d9d9"
2001,"Sozialpartnerschaft",5,22,"#d9d9d9"
2002,"Sozialpartnerschaft",5,24,"#d9d9d9"
2003,"Sozialpartnerschaft",6,21,"#d9d9d9"
2004,"Sozialpartnerschaft",8,18,"#d9d9d9"
2005,"Sozialpartnerschaft",9,17,"#d9d9d9"
2006,"Sozialpartnerschaft",8,19,"#d9d9d9"
2007,"Sozialpartnerschaft",7,19,"#d9d9d9"
2008,"Sozialpartnerschaft",10,17,"#d9d9d9"
2009,"Sozialpartnerschaft",11,16,"#d9d9d9"
2010,"Sozialpartnerschaft",5,23,"#d9d9d9"
2011,"Sozialpartnerschaft",10,17,"#d9d9d9"
2012,"Sozialpartnerschaft",7,23,"#d9d9d9"
2013,"Sozialpartnerschaft",6,28,"#d9d9d9"
2014,"Sozialpartnerschaft",9,23,"#d9d9d9"
2015,"Sozialpartnerschaft",7,24,"#d9d9d9"
2016,"Sozialpartnerschaft",9,25,"#d9d9d9"
2017,"Sozialpartnerschaft",6,32,"#d9d9d9"
2018,"Sozialpartnerschaft",7,27,"#d9d9d9"
1995,"Terrorismus / Extremismus",NA,NA,"#d9d9d9"
