"EVENT_ID_CNTY","EVENT_DATE","YEAR","EVENT_TYPE","SUB_EVENT_TYPE","ACTOR1","ASSOC_ACTOR_1","ACTOR2","ASSOC_ACTOR_2","REGION","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","SOURCE_SCALE","NOTES","FATALITIES"
"AFG51079","29-January-2021",2021,"Protests","Excessive force against protesters","Protesters (Afghanistan)","","Police Forces of Afghanistan (2014-2021)","","Caucasus and Central Asia","Afghanistan","Wardak","Hissa-e-awali Behsud","","Hisa i Awali Bihsud",34.535,68.188,"Twitter; Shamshad TV; TOLO News; New York Times; Khaama Press; Afghanistan Independent Human Rights Commission","Other-New media","On 29 January 2021, 11 civilians were killed and 31 were wounded when Afghan policemen fired on them during a protest against presence of police forces in Hisal i Awali Bihsud district of Wardak. Several sources said civilians were killed during clashes between a group of militia members (adhering to Abdula Ghani Alipour) and Afghan forces in the district, but an investigation by the Afghanistan Independent Human Rights Commission (AIHRC) found that Afghan policemen fired on portesters without cause. [size=no report]",11
"AFG53892","28-April-2021",2021,"Protests","Excessive force against protesters","Protesters (Afghanistan)","","Taliban","","Caucasus and Central Asia","Afghanistan","Ghazni","Qarabagh","","Qarabagh",33.198,68.108,"Afghan Islamic Press News Agency","National","On 28 April 2021, 8 protesters were shot and wounded by Taliban militants after dozens staged a protest against Taliban in Qarabagh district bazar, Ghazni. [size=dozens]",0
"AFG61937","18-August-2021",2021,"Protests","Excessive force against protesters","Protesters (Afghanistan)","","Military Forces of Afghanistan (2021-)","","Caucasus and Central Asia","Afghanistan","Khost","Khost","","Khost",33.34,69.92,"TOLO News; Afghan Islamic Press News Agency; Khaama Press","National","On 18 August 2021, a group of people protested in Khost city for the use of the national Afghanistan flag, demanding Taliban to not change it with their flag. There were reports that Taliban fired in the air or at the protesters. Several protesters were reported to have been wounded in the firing while they were trying to hoist the national flag in Sargardan Chowk. [size=no report]",0
"AFG61938","18-August-2021",2021,"Protests","Excessive force against protesters","Protesters (Afghanistan)","Civilians (Afghanistan); Journalists (Afghanistan)","Military Forces of Afghanistan (2021-)","","Caucasus and Central Asia","Afghanistan","Nangarhar","Jalalabad","","Jalalabad",34.426,70.452,"Twitter; Khaama Press; TOLO News; Afghan Islamic Press News Agency; Reuters","New media-National","On 18 August 2021, at least 3 civilians were killed and more than a dozen wounded after tens of residents of Jalalabad staged a protest in support of the national flag and against the removal of it by Taliban forces in Jalalabad city. To disperse the protestors, Taliban fired in the air and towards the civilians, causing casualties. Some journalists were also beaten and their equipment seized by the Taliban during these protests. [size=tens]",3
"AFG61942","19-August-2021",2021,"Protests","Excessive force against protesters","Protesters (Afghanistan)","","Military Forces of Afghanistan (2021-)","","Caucasus and Central Asia","Afghanistan","Kunar","Asad Abad","","Asad Abad",34.873,71.147,"Khaama Press; Reuters; Twitter","New media-National","On 19 August 2021, several civilians were killed and wounded during the protests where hundreds demanded the use of the national Afghan flag instead of Taliban's flag in Asad Abad city, Kunar. Taliban opened fire during the protests that triggered a stampede. It is not clear whether the casualties resulted directly from the firing or the subsequent stampede. [size=hundreds]",0
"AFG61950","04-September-2021",2021,"Protests","Excessive force against protesters","Protesters (Afghanistan)","Women (Afghanistan); Civilians (Afghanistan); Journalists (Afghanistan)","Military Forces of Afghanistan (2021-) Special Forces","","Caucasus and Central Asia","Afghanistan","Kabul","Kabul","","Kabul",34.517,69.183,"AP; TOLO News; New York Times; HRW; RFE/RL; Khaama Press","Other-National","On 4 September 2021, for the second consecutive day, around 100 of Afghan journalists and activists mainly women protested in Kabul city after the Taliban said that women cannot work in high-ranking posts in the future government. The protesters called for their rights to be preserved and started moving towards the Presidential Palace which resulted in the Taliban special forces beating a number of women who had to be hospitalized and using tear gas on the crowds. Several journalists covering the protest were arrested during the protest. [size=around 100]",0
"AFG61971","07-September-2021",2021,"Protests","Excessive force against protesters","Protesters (Afghanistan)","Civilians (Afghanistan); Journalists (Afghanistan)","Military Forces of Afghanistan (2021-)","","Caucasus and Central Asia","Afghanistan","Herat","Herat","","Herat",34.348,62.2,"GardaWorld; AFP; Twitter","Other-New media","On 7 September 2021, dozens of protesters gathered in Herat city denouncing the Taliban. 1-2 civilians were killed and at least 3 wounded when the Taliban opened fire at the protesters. 1 journalist was detained by Taliban for covering the protest. [size=dozens]",1
"AFG61972","07-September-2021",2021,"Protests","Excessive force against protesters","Protesters (Afghanistan)","Women (Afghanistan); Civilians (Afghanistan); Journalists (Afghanistan)","Military Forces of Afghanistan (2021-)","","Caucasus and Central Asia","Afghanistan","Kabul","Kabul","","Kabul",34.517,69.183,"BBC News; Khaama Press; Shamshad TV; New York Times; CNN; CPJ; TOLO News; Al Jazeera; AFP","Other-National","On 7 September 2021, hundreds of civilians protested in Kabul city demanding a stop to Pakistan's involvement in Afghan affairs and following the call of NRF for a country-wide resistance. A number of women were also participating in the protest demanding their rights be respected. The Taliban used tear gas, fired warning shots, beat and detained some of the protesters. Some civilians stated that Taliban also fired towards the protesters. Some journalists had their equipment destroyed and others were not allowed to cover the event. TOLO News producer was detained while covering the protest and he was released after 3 hours. 4 other journalists were beaten by the Taliban on their way to cover the protests. Several journalists were arrested during the protest and later beaten under custody (coded in a separate event). [size=hundreds]",0
"ALB933","21-May-2021",2021,"Protests","Excessive force against protesters","Protesters (Albania)","","Police Forces of Albania (2013-)","","Europe","Albania","Berat","Kucove","","Lumas",40.816,19.999,"NOA; Albanian Daily News","National","On 21 May 2021, locals protested in Lumas against the use of a water source for municipal purposes. The police used force when residents blocked the road. One protesters was severely injured and hospitalized. [size=no report]",0
"ALG908","13-October-2002",2002,"Protests","Excessive force against protesters","Protesters (Algeria)","Berber Ethnic Group (Algeria)","Police Forces of Algeria (1999-2019)","","Northern Africa","Algeria","Tizi Ouzou","Tizi Ouzou","","Tizi Ouzou",36.712,4.046,"Dispatch Kabylie","Subnational","Police raid the Palace of Justice in Tizi Ouzou and arrested Berber representatives, beating those who resist. They were arrested on the charge of impeding the administration of the recent election.",0
"ALG962","12-January-2003",2003,"Protests","Excessive force against protesters","Protesters (Algeria)","Berber Ethnic Group (Algeria)","Police Forces of Algeria (1999-2019)","","Northern Africa","Algeria","Tizi Ouzou","Tizi Ouzou","","Tizi Ouzou",36.712,4.046,"AP","International","Police fired tear gas to break up protests in Tizi Ouzou. The police also set up roadblocks to stop protesters coming into the city from surrounding villages. There were reports that at least one protester had been stabbed with a police officer's bayonet.",0
"ALG2667","06-February-2011",2011,"Protests","Excessive force against protesters","Police Forces of Algeria (1999-2019)","","Protesters (Algeria)","","Northern Africa","Algeria","Alger","","","Algiers",36.752,3.042,"El Watan (Algeria)","National","Algerian police beat up 'many of the 100 youths' who gathered 'peacefully' in front the Labour Ministry in Algiers to demand jobs on 6 February. One of the protesters tried to set himself on fire 'to express his distress'.",0
"ALG2676","11-February-2011",2011,"Protests","Excessive force against protesters","Police Forces of Algeria (1999-2019)","","Protesters (Algeria)","RCD: Rally for Culture and Democracy Party","Northern Africa","Algeria","Alger","","","Algiers",36.752,3.042,"AFP","International","Police officers broke up a gathering of people outside the Algiers offices for the opposition Rally for Culture and Democracy (RCD), as they celebrated Mubaraks downfall. Police charged the demonstrators and arrested 10 people, said RCD leader Said Sadi, adding that several protestors had to be treated in hospital.",0
"ALG2683","12-February-2011",2011,"Protests","Excessive force against protesters","Rioters (Algeria)","","Protesters (Algeria)","CNCD: National Coordination for Change and Democracy","Northern Africa","Algeria","Alger","","","Algiers",36.752,3.042,"El Watan (Algeria)","National","Young people, thugs according to witnesses, fired up, and shouting pro-Bouteflika slogans, assaulted protesters in Algiers.",0
"ALG2706","19-February-2011",2011,"Protests","Excessive force against protesters","Protesters (Algeria)","Lawyers (Algeria)","Police Forces of Algeria (1999-2019)","","Northern Africa","Algeria","Alger","","","Algiers",36.752,3.042,"AP","International","A demonstrating lawmaker was hospitalized after suffering a head wound when he fell after police kicked and hit him, colleagues said.",0
"ALG2708","21-February-2011",2011,"Protests","Excessive force against protesters","Police Forces of Algeria (1999-2019)","","Protesters (Algeria)","Students (Algeria)","Northern Africa","Algeria","Alger","El Achour","","Algiers - Bir Mourad Rais",36.746,3.039,"AFP; La Tribune (Algeria)","National-International","At least one person was injured Monday when protesting students in the capital Algiers clashed with police who tried to stop their demonstration at the ministry for higher education. A student was injured when security forces blocked protestors from reaching the ministry. Students were calling for the abrogation of a presidential decree which makes it difficult to obtain a master degree.",0
"ALG2718","05-March-2011",2011,"Protests","Excessive force against protesters","Polisario Front","","Protesters (Algeria)","Saharawi Ethnic Group (Algeria)","Northern Africa","Algeria","Tindouf","Tindouf","","Tindouf",27.671,-8.147,"Maghreb Arabe Presse","Regional","Protests in Tindouf to denounce polisarios repressive, corrupted policy were met with violence by polisario on 5 March in front of the headquarters of the polisario Front in Rabouni.",0
"ALG2780","04-May-2011",2011,"Protests","Excessive force against protesters","Police Forces of Algeria (1999-2019)","","Protesters (Algeria)","Health Workers (Algeria)","Northern Africa","Algeria","Alger","","","Algiers",36.752,3.042,"AFP","International","Security forces staged a violent clampdown on a demonstration by hundreds of striking medical specialists in the Algerian capital on Wednesday, in which 10 people were injured, a doctors group said.",0
"ALG3054","09-July-2012",2012,"Protests","Excessive force against protesters","Protesters (Algeria)","Police Forces of Algeria (1999-2019)","Police Forces of Algeria (1999-2019)","","Northern Africa","Algeria","Blida","Blida","","Blida",36.469,2.829,"Xinhua; Al Arabiya","International","Thousands of police auxiliaries, who once helped in the fight against armed Islamist groups, tried on Monday to march on the capital to demand pay rises and other job benefits but were blocked by police. AFP reported that an Algerian police auxiliary wounded in clashes this week during a march to demand pay rises and other benefits has died of his injuries",1
"ALG3093","28-August-2012",2012,"Protests","Excessive force against protesters","Police Forces of Algeria (1999-2019)","","Protesters (Algeria)","Women (Algeria)","Northern Africa","Algeria","Tissemsilt","Layoune","","Laayoune",35.697,1.997,"AFP","International","A woman protester was beaten by police and hospitalised",0
"ALG3278","05-May-2013",2013,"Protests","Excessive force against protesters","Police Forces of Algeria (1999-2019)","","Protesters (Algeria)","","Northern Africa","Algeria","Alger","","","Algiers",36.752,3.042,"Magharebia","Regional","Algerian police beat tens of young people with batons as they protested outside parliament on Sunday about a lack of job security, and arrested several, an opposition MP said.",0
"ALG3302","24-May-2013",2013,"Protests","Excessive force against protesters","Police Forces of Algeria (1999-2019)","","Protesters (Algeria)","","Northern Africa","Algeria","Alger","","","Algiers",36.752,3.042,"Magharebia","Regional","Algerian police beat tens of young people with batons as they protested outside parliament on Sunday about a lack of job security, and arrested several, an opposition MP said.",0
"ALG3301","24-May-2013",2013,"Protests","Excessive force against protesters","Unidentified Armed Group (Algeria)","","Protesters (Algeria)","","Northern Africa","Algeria","Oum El Bouaghi","Ain Beida","","Ain Beida",35.796,7.393,"Al Jazeera","Regional","The Algerian Human Rights League said a group representing the unemployed in Algeria cancelled a protest after 'violent intervention' by unknown assailants. Unknown assailants in cars assaulted groups of unemployed people who gathered on Friday evening [24 May] to plan for the protest.",0
"ALG3515","06-March-2014",2014,"Protests","Excessive force against protesters","Protesters (Algeria)","Journalists (Algeria)","Police Forces of Algeria (1999-2019)","","Northern Africa","Algeria","Alger","","","Algiers",36.752,3.042,"HRW","Other","Police forces assaulted a journalist and another man in a police van during protests in Algiers over President Bouteflikas decision to stand for a fourth term.",0
"ALG3601","16-April-2014",2014,"Protests","Excessive force against protesters","Protesters (Algeria)","Barakat Movement","Police Forces of Algeria (1999-2019)","","Northern Africa","Algeria","Alger","","","Algiers",36.752,3.042,"RFI","International","Anti-Bouteflika protesters were violently dispersed in Algiers on Wednesday evening. Police set about protesters with truncheons, dragged them down staircases and arrested them.",0
"ALG3609","20-April-2014",2014,"Protests","Excessive force against protesters","Protesters (Algeria)","Berber Ethnic Group (Algeria)","Police Forces of Algeria (1999-2019)","","Northern Africa","Algeria","Tizi Ouzou","Tizi Ouzou","","Tizi Ouzou",36.712,4.046,"AFP; El Watan (Algeria)","National-International","Violent clashes took place in Tizi Ouzou between youth and police. The march was called by the MAK on the occasion of the celebration of the Amazigh spring of April 1980 and April events 2001. A video, which was posted on the Internet on Sunday, when the violence first broke out, showed police beating protesters in Tizi Ouzou.",0
"ALG3615","21-April-2014",2014,"Protests","Excessive force against protesters","Protesters (Algeria)","Berber Ethnic Group (Algeria)","Police Forces of Algeria (1999-2019)","","Northern Africa","Algeria","Tizi Ouzou","Tizi Ouzou","","Tizi Ouzou",36.712,4.046,"AFP; El Watan (Algeria)","National-International","Fresh clashes erupted between protesters and security forces in the mainly Berber Kabylie region east of Algiers on Monday. The security forces confronted around 400 demonstrators in the regions main city Tizi Ouzou, firing tear gas and making a number of arrests.",0
"ALG3708","01-November-2014",2014,"Protests","Excessive force against protesters","Protesters (Morocco)","Saharawi Ethnic Group (Morocco)","Polisario Front","","Northern Africa","Algeria","Tindouf","Tindouf","","Tindouf",27.671,-8.147,"Maghreb Arabe Presse","Regional","Polisario militias violently cracked [down] on demonstrators in front of the Polisario leaders office in the locality of Rabbouni. Dozen of demonstrators were injured and 13 people were arrested in the last two days and detained in the 'Dhibiya' prison in Tindouf.",0
"ALG4085","01-December-2015",2015,"Protests","Excessive force against protesters","Protesters (Algeria)","","Military Forces of Algeria (1999-2019) Gendarmerie","","Northern Africa","Algeria","Alger","Rouiba","","Algiers - Rouiba",36.738,3.281,"TSA Algerie; Maghreb Emergent","National-Regional","Violent clashes erupted between protesting workers and anti-riot forces in Rouiba. The demonstrators were claiming the payment of their overdue salaries. Dozens of injuries among the protesters and over twenty arrests were reported.",0
"ALG4204","22-March-2016",2016,"Protests","Excessive force against protesters","Protesters (Algeria)","CNCV: National Coordination of Contractual Teachers","Police Forces of Algeria (1999-2019)","","Northern Africa","Algeria","Alger","","","Algiers",36.752,3.042,"HRW","Other","Police in Algiers beat teachers demonstrating for greater job security on March 21 and 22, 2016, injuring at least two. Police also arrested dozens of protesters and held them for several hours, then released them without charge. The teachers, who are hired on temporary contracts rather than being given permanent posts, took to the streets after a call by the National Coordination of Contractual Teachers, an independent, nonunion group, for a sit-in to demand integration of teachers into the civil service to provide greater job security. A ban on public demonstrations has been in force in the capital since 2001.",0
"ALG4375","29-September-2016",2016,"Protests","Excessive force against protesters","Police Forces of Algeria (1999-2019)","","Protesters (Algeria)","CNFD: National Coordination of the Families of the Missing","Northern Africa","Algeria","Alger","","","Algiers",36.752,3.042,"Alkarama Foundation","Other","A peaceful demonstration organised by the National Coordination of the Families of the Missing was violently disperse by the police who beat up and arrested the protesters in central Algiers.",0
"ALG4582","22-February-2017",2017,"Protests","Excessive force against protesters","Protesters (Algeria)","Students (Algeria)","Police Forces of Algeria (1999-2019)","","Northern Africa","Algeria","Alger","","","Algiers",36.752,3.042,"TSA Algerie","National","Police beat up protesting students in Algiers.",0
"ALG4617","22-March-2017",2017,"Protests","Excessive force against protesters","Protesters (Algeria)","SNATEGZ: National Autonomous Union of Sonelgaz Workers","Police Forces of Algeria (1999-2019)","","Northern Africa","Algeria","Bejaia","Bejaia","","Bejaia",36.75,5.083,"ATUC; El Watan (Algeria)","Other-National","Security forces attacked the participants of the protest march for the second day, after it was suppressed yesterday, police harshly beat the participants, and arrested more than 200 of them, including 30 women, while the President of the SNATEGS union Rauf Mellal was transferred to a hospital after being beaten unconscious by police.",0
"ALG4976","10-December-2017",2017,"Protests","Excessive force against protesters","Police Forces of Algeria (1999-2019)","","Protesters (Zimbabwe)","Students (Zimbabwe)","Northern Africa","Algeria","Alger","","","Algiers",36.752,3.042,"Africa News","Regional","Algerian police attacked 300 Zimbabwean students who were staging a sit-in outside the embassy to complain about a 15-month-delay in receiving their scholarships. One female student was hospitalised.",0
"ALG4992","12-December-2017",2017,"Protests","Excessive force against protesters","Police Forces of Algeria (1999-2019)","","Protesters (Algeria)","SNATEGS: Autonomous National Union of Electricity and Gas Workers","Northern Africa","Algeria","Alger","","","Algiers",36.752,3.042,"ATUC","Other","The Algerian police attacked unionists of the Independent National Union of Electricity and Gas Workers during a protest held in front of the Ministry of Labour, allegedly using paralysing gas and beating and assaulting the protesters. The protesters were denouncing the ministry's decision to ban the union.",0
"ALG5325","24-June-2018",2018,"Protests","Excessive force against protesters","Protesters (Algeria)","Yagout Ethnic Group (Algeria)","Polisario Front","","Northern Africa","Algeria","Tindouf","Tindouf","","Tindouf",27.671,-8.147,"Liberation (Morocco)","Regional","Around 24 June 2018 (week of), dozens of people from the Yagou tribe staged a sit-in near the home of Polisario leader Ibrahim Ghali in Tindouf (Tindouf, Tindouf) to protest against the organisation's violent crackdown on political dissidents. The 60 protesters demanded an investigation into the hanging of a fellow tribesman and political activist whose body was found earlier this month after he was killed/committed suicide in Dheibya prison. On the last two days, the Polisario Front shot at the protesters and arrested some but no-one was injured. [size=no report]",0
"ALG6704","21-June-2019",2019,"Protests","Excessive force against protesters","Protesters (Algeria)","Police Forces of Algeria (1999-2019)","Unidentified Armed Group (Algeria)","","Northern Africa","Algeria","Batna","Batna","","Batna",35.555,6.179,"TSA Algerie","National","On 21 June, 2019, protesters gathered in Batna for the 18th consecutive Friday of anti-regime demonstrations carrying amazigh flags. Unidentified assailants attacked and wounded several protesters with crude weapons and police intervened to apprehend the attackers. [size= no report].",0
"ANG2982","27-May-2013",2013,"Protests","Excessive force against protesters","Protesters (Angola)","","Police Forces of Angola (1975-)","","Middle Africa","Angola","Luanda","Luanda","Maianga","Luanda",-8.838,13.234,"AFP","International","A protest by Angolan youths in Luanda - organised against the disappearance of two men over a year ago - was violently dispersed by police forces.",0
"ANG2996","23-November-2013",2013,"Protests","Excessive force against protesters","Protesters (Angola)","","Police Forces of Angola (1975-)","","Middle Africa","Angola","Luanda","Luanda","Maianga","Luanda",-8.838,13.234,"Daily Review (Towanda); Daily Maverick (South Africa)","Regional-International","Police used tear gas against protesters who gathered against the May killing of activists. 1 person was killed during the protests. Hundreds were arrested.",1
"ANG3006","22-November-2014",2014,"Protests","Excessive force against protesters","Police Forces of Angola (1975-)","","Protesters (Angola)","","Middle Africa","Angola","Luanda","Luanda","Maianga","Luanda",-8.838,13.234,"Maka Angola","National","Youth protesters arrested in Independence Square and beaten with steel cables and truncheons. Protesters were released outside of the city.",0
"ANG3007","23-November-2014",2014,"Protests","Excessive force against protesters","Police Forces of Angola (1975-) State Security and Intelligence Service","","Protesters (Angola)","","Middle Africa","Angola","Luanda","Luanda","Maianga","Luanda",-8.838,13.234,"Maka Angola","National","Four protesters demonstrated at Independence Square to demand the resignation of President dos Santos. State Security and Intelligence Service police commanders took two of the protesters to the 1st of May School across the street from Independence Square and beat them with iron bars and sticks.",0
"ANG3027","09-April-2016",2016,"Protests","Excessive force against protesters","Protesters (Angola)","","Police Forces of Angola (1975-)","","Middle Africa","Angola","Luanda","Luanda","Maianga","Luanda",-8.838,13.234,"Reuters","International","Police detain and kick several who were protesting the detention and sentencing of 17 activists. One detainee was bleeding and unconscious.",0
"ANG3043","05-August-2016",2016,"Protests","Excessive force against protesters","Protesters (Angola)","","Military Forces of Angola (1975-)","","Middle Africa","Angola","Luanda","Belas","Viana Sede","Zango",-9.007,13.26,"HRW","Other","Civilians had gathered to protest the demolition of homes. The military arrived and fired live ammunition to disperse the crowd. A 14 year old was hit and killed.",1
"ANG3046","20-August-2016",2016,"Protests","Excessive force against protesters","Protesters (Angola)","","Police Forces of Angola (1975-)","","Middle Africa","Angola","Luanda","Luanda","Maianga","Luanda",-8.838,13.234,"Maka Angola","National","Demonstrators calling for the resignation of President dos Santos were attacked by security forces. Many were badly beaten, 8 were dumped on the outskirts of Luanda.",0
"ANG3054","11-September-2016",2016,"Protests","Excessive force against protesters","Protesters (Angola)","","Police Forces of Angola (1975-)","","Middle Africa","Angola","Benguela","Catumbela","Lobito","Catumbela",-12.433,13.55,"VOA","International","Police beat and shot at protesters demonstrating against arrests for land occupations",0
"ANG3061","26-November-2016",2016,"Protests","Excessive force against protesters","Protesters (Angola)","","Police Forces of Angola (1975-)","","Middle Africa","Angola","Benguela","Benguela","Benguela","Benguela",-12.58,13.408,"VOA","International","Activists protested against the appointment of Isabel dos Santos as leader of Sonangol. Police attacked the protesters using teargas and dogs. At least one protester wasa critically injured.",0
"ANG3082","24-February-2017",2017,"Protests","Excessive force against protesters","Protesters (Angola)","","Police Forces of Angola (1975-)","","Middle Africa","Angola","Lunda Norte","Cuango","Cuango","Cafunfo",-8.78,17.99,"VOA","International","Police fired on demonstrators protesting the abduction of Yavo Samuel. 2 people were killed and 8 people were injured.",2
"ANG3081","24-February-2017",2017,"Protests","Excessive force against protesters","Protesters (Angola)","","Police Forces of Angola (1975-)","","Middle Africa","Angola","Luanda","Luanda","Maianga","Luanda",-8.838,13.234,"Africa Review","Regional","Demonstrators protested that the Election Commission has been moved to the Ministry of Lands, headed by the Vice-Presidential candidate for the MPLA, Bornito de Sousa. The demonstration was violently suppressed by the police, who set dogs on the protesters and beat them. One of the activists has been abducted.",0
"ANG3096","03-May-2017",2017,"Protests","Excessive force against protesters","Protesters (Angola)","Prisoners (Angola)","Police Forces of Angola (1975-) Prison Guards","Police Forces of Angola (1975-)","Middle Africa","Angola","Luanda","Luanda","Maianga","Luanda",-8.838,13.234,"VOA","International","At least 20 people were injured when police and prison guards fired shots and tear gas at inmates protesting against the poor food served in prison.",0
