source,target,value,EDGE_COLOR
Britain,Rejected,230,#fdf1d9
Switzerland,Rejected,175,#fdf1d9
Total positive decisions,E-Serbia,55,#dcedee
Total positive decisions,E-Serbia,25,#dcedee
Total positive decisions,E-Serbia,155,#dcedee
Total positive decisions,E-Serbia,80,#dcedee
Total positive decisions,E-Serbia,20,#dcedee
Total positive decisions,E-Serbia,70,#dcedee
Rejected,E-Serbia,890,#fceae1
Rejected,E-Serbia,13070,#fceae1
Rejected,E-Serbia,650,#fceae1
Rejected,E-Serbia,30,#fceae1
Rejected,E-Serbia,2435,#fceae1
Rejected,E-Serbia,1225,#fceae1
Total positive decisions,E-Russia,375,#dcedee
Total positive decisions,E-Russia,170,#dcedee
Total positive decisions,E-Russia,900,#dcedee
Total positive decisions,E-Russia,20,#dcedee
Total positive decisions,E-Russia,105,#dcedee
Total positive decisions,E-Russia,55,#dcedee
Total positive decisions,E-Russia,50,#dcedee
Rejected,E-Russia,1445,#fceae1
Rejected,E-Russia,915,#fceae1
Rejected,E-Russia,3965,#fceae1
Rejected,E-Russia,490,#fceae1
Rejected,E-Russia,75,#fceae1
Rejected,E-Russia,175,#fceae1
Total positive decisions,E-Somalia,130,#dcedee
Total positive decisions,E-Somalia,510,#dcedee
Total positive decisions,E-Somalia,165,#dcedee
Total positive decisions,E-Somalia,885,#dcedee
Total positive decisions,E-Somalia,2060,#dcedee
Total positive decisions,E-Somalia,400,#dcedee
Total positive decisions,E-Somalia,275,#dcedee
Rejected,E-Somalia,190,#fceae1
Rejected,E-Somalia,225,#fceae1
Rejected,E-Somalia,525,#fceae1
Rejected,E-Somalia,20,#fceae1
Rejected,E-Somalia,2040,#fceae1
Rejected,E-Somalia,160,#fceae1
Rejected,E-Somalia,155,#fceae1
Total positive decisions,E-Nigeria,10,#dcedee
Total positive decisions,E-Nigeria,45,#dcedee
Total positive decisions,E-Nigeria,85,#dcedee
Total positive decisions,E-Nigeria,5005,#dcedee
Total positive decisions,E-Nigeria,35,#dcedee
Total positive decisions,E-Nigeria,175,#dcedee
Total positive decisions,E-Nigeria,20,#dcedee
Rejected,E-Nigeria,140,#fceae1
Rejected,E-Nigeria,440,#fceae1
Rejected,E-Nigeria,920,#fceae1
Rejected,E-Nigeria,1060,#fceae1
Rejected,E-Nigeria,310,#fceae1
Rejected,E-Nigeria,945,#fceae1
Rejected,E-Nigeria,2350,#fceae1
Total positive decisions,E-Afghanistan,1495,#dcedee
Total positive decisions,E-Afghanistan,1805,#dcedee
Total positive decisions,E-Afghanistan,275,#dcedee
Total positive decisions,E-Afghanistan,960,#dcedee
Total positive decisions,E-Afghanistan,2535,#dcedee
Total positive decisions,E-Afghanistan,360,#dcedee
Total positive decisions,E-Afghanistan,185,#dcedee
Rejected,E-Afghanistan,1035,#fceae1
Rejected,E-Afghanistan,2690,#fceae1
Rejected,E-Afghanistan,330,#fceae1
Rejected,E-Afghanistan,65,#fceae1
Rejected,E-Afghanistan,1655,#fceae1
Rejected,E-Afghanistan,725,#fceae1
Rejected,E-Afghanistan,290,#fceae1
Total positive decisions,E-Pakistan,25,#dcedee
Total positive decisions,E-Pakistan,300,#dcedee
Total positive decisions,E-Pakistan,35,#dcedee
Total positive decisions,E-Pakistan,1170,#dcedee
Total positive decisions,E-Pakistan,40,#dcedee
Total positive decisions,E-Pakistan,660,#dcedee
Total positive decisions,E-Pakistan,5,#dcedee
Rejected,E-Pakistan,410,#fceae1
Rejected,E-Pakistan,1315,#fceae1
Rejected,E-Pakistan,1575,#fceae1
Rejected,E-Pakistan,900,#fceae1
Rejected,E-Pakistan,135,#fceae1
Rejected,E-Pakistan,3210,#fceae1
Rejected,E-Pakistan,55,#fceae1
Total positive decisions,E-Syria,595,#dcedee
Total positive decisions,E-Syria,7465,#dcedee
Total positive decisions,E-Syria,340,#dcedee
Total positive decisions,E-Syria,200,#dcedee
Total positive decisions,E-Syria,4090,#dcedee
Total positive decisions,E-Syria,920,#dcedee
Total positive decisions,E-Syria,415,#dcedee
Rejected,E-Syria,30,#fceae1
Rejected,E-Syria,290,#fceae1
Rejected,E-Syria,35,#fceae1
Rejected,E-Syria,15,#fceae1
Rejected,E-Syria,380,#fceae1
Rejected,E-Syria,230,#fceae1
Rejected,E-Syria,175,#fceae1
