Country_Territory,Continent,Drone_Legal_Status_as_of_Oct_2020
Dominican Republic,North America,Visual line of sight required
Ecuador,South America,Visual line of sight required
"Egypt, Arab Rep.",Africa,Effective ban
El Salvador,North America,No drone-related legislation
Equatorial Guinea,Africa,No drone-related legislation
Eritrea,Africa,No drone-related legislation
Estonia,Europe,Unrestricted
Ethiopia,Africa,No drone-related legislation
Faroe Islands,Europe,Unrestricted
Fiji,Oceania,Visual line of sight required
Finland,Europe,Experimental visual line of sight
France,Europe,Experimental visual line of sight
Gabon,Africa,No drone-related legislation
"Gambia, The",Africa,No drone-related legislation
Georgia,Europe,Visual line of sight required
Germany,Europe,Experimental visual line of sight
Ghana,Africa,Experimental visual line of sight
Gibraltar,Europe,Effective ban
Greece,Europe,Unrestricted
Greenland,North America,Visual line of sight required
Grenada,North America,No drone-related legislation
Guam,Oceania,Unrestricted
Guatemala,North America,No drone-related legislation
Guinea,Africa,No drone-related legislation
Guinea-Bissau,Africa,No drone-related legislation
Guyana,South America,Experimental visual line of sight
Haiti,North America,No drone-related legislation
Honduras,North America,No drone-related legislation
"Hong Kong SAR, China",Asia,Visual line of sight required
Hungary,Europe,Unrestricted
Iceland,Europe,Visual line of sight required
India,Asia,Visual line of sight required
Indonesia,Asia,Visual line of sight required
"Iran, Islamic Rep.",Asia,Outright ban
Iraq,Asia,Outright ban
Ireland,Europe,Experimental visual line of sight
Israel,Asia,Visual line of sight required
Italy,Europe,Visual line of sight required
Jamaica,North America,Visual line of sight required
Japan,Asia,Experimental visual line of sight
Jordan,Asia,Unrestricted
Kazakhstan,Europe,No drone-related legislation
Kenya,Africa,Effective ban
Kiribati,Oceania,No drone-related legislation
"Korea, Dem. People’s Rep.",Asia,No drone-related legislation
"Korea, Rep.",Asia,Visual line of sight required
Kosovo,Europe,Visual line of sight required
Kuwait,Asia,Outright ban
Kyrgyz Republic,Asia,Outright ban
Lao PDR,Asia,Unrestricted
Latvia,Europe,Unrestricted
Lebanon,Asia,No drone-related legislation
Lesotho,Africa,No drone-related legislation
Liberia,Africa,No drone-related legislation
Libya,Africa,No drone-related legislation
Liechtenstein,Europe,Experimental visual line of sight
Lithuania,Europe,Visual line of sight required
Luxembourg,Europe,Visual line of sight required
"Macao SAR, China",Asia,Visual line of sight required
Madagascar,Africa,Outright ban
Malawi,Africa,Visual line of sight required
Malaysia,Asia,Effective ban
Maldives,Asia,Effective ban
Mali,Africa,No drone-related legislation
Malta,Europe,Unrestricted
Marshall Islands,Oceania,No drone-related legislation
Mauritania,Africa,No drone-related legislation
Mauritius,Africa,Visual line of sight required
Mexico,North America,Visual line of sight required
"Micronesia, Fed. Sts.",Oceania,No drone-related legislation
Moldova,Europe,No drone-related legislation
Monaco,Europe,Unrestricted
Mongolia,Asia,No drone-related legislation
Montenegro,Europe,Visual line of sight required
Morocco,Africa,Outright ban
Mozambique,Africa,No drone-related legislation
Myanmar,Asia,Effective ban
Namibia,Africa,Visual line of sight required
Nauru,Oceania,No drone-related legislation
Nepal,Asia,Visual line of sight required
Netherlands,Europe,Visual line of sight required
New Caledonia,Oceania,No drone-related legislation
New Zealand,Oceania,Experimental visual line of sight
Nicaragua,North America,Outright ban
Niger,Africa,No drone-related legislation
Nigeria,Africa,Effective ban
North Macedonia,Europe,Visual line of sight required
Norway,Europe,Visual line of sight required
Oman,Asia,Effective ban
Pakistan,Asia,No drone-related legislation
Palau,Oceania,No drone-related legislation
Panama,North America,Unrestricted
Papua New Guinea,Oceania,Visual line of sight required
Paraguay,South America,No drone-related legislation
Peru,South America,Visual line of sight required
Philippines,Asia,Visual line of sight required
Poland,Europe,Experimental visual line of sight
Portugal,Europe,Experimental visual line of sight
Puerto Rico,North America,Experimental visual line of sight
Qatar,Asia,Unrestricted
Romania,Europe,Visual line of sight required
Russian Federation,Europe,Experimental visual line of sight
Rwanda,Africa,Experimental visual line of sight
Samoa,Oceania,No drone-related legislation
San Marino,Europe,No drone-related legislation
Sao Tome and Principe,Africa,No drone-related legislation
Saudi Arabia,Asia,Experimental visual line of sight
Senegal,Africa,Outright ban
Serbia,Europe,Unrestricted
Seychelles,Africa,Visual line of sight required
Sierra Leone,Africa,No drone-related legislation
Singapore,Asia,Experimental visual line of sight
Sint Maarten (Dutch part),North America,Experimental visual line of sight
Slovak Republic,Europe,Visual line of sight required
Slovenia,Europe,Outright ban
Solomon Islands,Oceania,Visual line of sight required
Somalia,Africa,No drone-related legislation
South Africa,Africa,Experimental visual line of sight
South Sudan,Africa,No drone-related legislation
Spain,Europe,Experimental visual line of sight
Sri Lanka,Asia,Experimental visual line of sight
St. Kitts and Nevis,North America,No drone-related legislation
St. Lucia,North America,Unrestricted
St. Martin (French part),North America,Experimental visual line of sight
St. Vincent and the Grenadines,North America,No drone-related legislation
Sudan,Africa,No drone-related legislation
Suriname,South America,No drone-related legislation
Swaziland,Africa,Visual line of sight required
Sweden,Europe,Unrestricted
Switzerland,Europe,Unrestricted
Syrian Arab Republic,Asia,Outright ban
Taiwan,Asia,Visual line of sight required
Tajikistan,Asia,No drone-related legislation
Tanzania,Africa,Visual line of sight required
Thailand,Asia,Visual line of sight required
Timor-Leste,Asia,No drone-related legislation
Togo,Africa,No drone-related legislation
Tonga,Oceania,No drone-related legislation
Trinidad and Tobago,North America,Experimental visual line of sight
Tunisia,Africa,No drone-related legislation
Turkey,Europe,Unrestricted
Turkmenistan,Asia,No drone-related legislation
Turks and Caicos Islands,North America,Unrestricted
Tuvalu,Oceania,No drone-related legislation
Uganda,Africa,Experimental visual line of sight
Ukraine,Europe,Visual line of sight required
United Arab Emirates,Asia,Visual line of sight required
United Kingdom,Europe,Experimental visual line of sight
United States,North America,Experimental visual line of sight
Uruguay,South America,Visual line of sight required
Uzbekistan,Asia,Outright ban
Vanuatu,Oceania,Visual line of sight required
"Venezuela, RB",South America,Unrestricted
Vietnam,Asia,Unrestricted
"Yemen, Rep.",Asia,No drone-related legislation
Zambia,Africa,Visual line of sight required
Zimbabwe,Africa,Experimental visual line of sight
