"","headlines","links","summary","body","date"
"11","Ethio telecom Launches 4G Service in Southwest West Region","https://ethiopianmonitor.com/2021/09/02/ethio-telecom-launches-4g-service-in-southwest-west-region/","ADDIS ABABA – Ethio Telecom said it has launched the 4G LTE Advanced mobile internet service in Ethiopia’s South Western Region where high mobile data traffic has been observed.","ADDIS ABABA – Ethio Telecom said it has launched the 4G LTE Advanced mobile internet service in Ethiopia’s South Western Region where high mobile data traffic has been observed. CEO of Ethio Telecom, Frehiwot Tamru, attended the launching event of the network service in Gambella town on Thursday. 

(adsbygoogle = window.adsbygoogle || []).push({}); “It is enormously believed that high bandwidth, high-speed features and reliable data services of 4G LTE will enable and empower our customers to digitize their services, increase productivity and improve their experiences,” the telecom firm said. Ethio telecom plans to expand 4G LTE service in 103 cities with high data usage in the country. Including Gambella Town, the telecom firm has expanded the 4G LTE service in 73 towns in Addis Ababa and 13 regions. “Our company is about to finalize the expansion of 4G LTE service in line with the data growth and demand and is in the process of launching the service in the remaining regional towns soon,” Ethio telecom says. The company also advised its customers who reside in those towns where the 4G LTE service is available to upgrade their 3G SIM cards to 4G for free of charge in Ethio telecom shops.","September 2, 2021"
"12","Safaricom Ethiopia Plc Updates Gov’t on its Preparation to Rollout Services","https://ethiopianmonitor.com/2021/09/01/safaricom-ethiopia-plc-updates-govt-on-its-preparation-to-rollout-services/","ADDIS ABABA – Top officials of Safaricom Telecommunications Ethiopia Plc have given update on their ongoing investment to the government on Wednesday.","ADDIS ABABA – Top officials of Safaricom Telecommunications Ethiopia Plc have given update on their ongoing investment to the government on Wednesday. Finanace Minister Ahmed Shide and State minister of Finance Eyob Tekalign held a meeting with Safaricom Plc and Safaricom Ethiopia Plc delegation, led by Peter Ndegwa, the Chief Executive Officer Safaricom Plc. 

     (adsbygoogle = window.adsbygoogle || []).push({}); “The meeting focused on discussing progress updates and the next steps for Safaricom Ethiopia Plc investments in Ethiopia,” said the Ministry of Finance in a statement. The Ministry has described the discussion between the two sides as “fruitful”. Authorities granted a nationwide full-service unified telecom service license to the Safaricom Telecommunications Ethiopia PLC effective from 9 July 2021. The licence is valid for fifteen years and renewable for additional terms of fifteen years subjected to fulfilment of all license obligations. Speaking in Wednesday’s meeting, Safaricom Plc CEO Ndegwa reiterated the commitment of his company to commence its operation as per the licensing agreement for commercial launch in 2022. The CEO also explained about the various preparations being undertaken to realize this target. Ndegwa also affirmed the commitment of Safaricom Ethiopia PLC to work with local companies and ethio telecom to quickly roll out its services. Ethiopia’s newest telecom operator is expected to create digital transformation to positively impact the economic and social lives of the east African nation which is home to over 112 million people. Finance Minister Ahmed reaffirmed the commitment of the government to support the telecom company to deliver result in improvements in telecommunication service quality, coverage and innovation. The Minister has also renewed Government’s pledge to support increased investment in the telecommunications sector in the country. Safaricom-led Consortium, Global Partnership for Ethiopia (GPE), plans to invest up to $8.5 billion in infrastructure among other areas over the next decade. The investment is expected to create between 1 million and 1.5 million jobs.","September 1, 2021"
"13","Ethiopian Airlines Unveils Convenient Digital Options to Economy Travelers","https://ethiopianmonitor.com/2021/09/01/ethiopian-airlines-unveils-convenient-digital-options-to-economy-travelers/","ADDIS ABABA – Ethiopian Airlines Group has today unveiled new digital option dubbed My Sheba Space that enables economy class travelers to purchase one or more empty seats on board to get extra space and relax. ","ADDIS ABABA – Ethiopian Airlines Group has today unveiled new digital option dubbed My Sheba Space that enables economy class travelers to purchase one or more empty seats on board to get extra space and relax. Ethiopian has responded to COVID 19 pandemic by introducing passenger safety guidelines implementing social distancing and sanitization measures in its ultra-modern Addis Ababa Bole International Airport and within the aircraft. 

     (adsbygoogle = window.adsbygoogle || []).push({}); Reducing aircraft capacity and introduction of end to end passenger journey are among the initiatives Ethiopian has taken in its continued pursuit for elevated customer experience, the Airlines said. “With our agility in customer centric service offering and market responsiveness comes the need to provide convenience to those who need it,” said Tewolde GebreMariam, Ethiopian Group CEO, when commenting on the MyShebaSpace. The newly availed digital option “is introduced to allow esteemed clients who prefer to secure extra space and enjoy comfort while in economy class cabin,” he said. The CEO also said the airlines would push to make flying again comfortable and better as it “is a manifestation of our desire to stay up”.
“We believe that our customers will enjoy the feeling of being in control of their journey,” he added. With bundled on-demand services and predictive intelligence, the airlines said MyShebaSpace will offer extra space with a reasonable top up starting from $30. MyShebaSpace requires a 72-hour window before flight time to secure extra seat and is accessible on Ethiopian website and mobile app for convenience, according to the Ethiopian Airlines.","September 1, 2021"
"14","National Bank of Ethiopia Tightens Monetary Policy","https://ethiopianmonitor.com/2021/09/01/national-bank-of-ethiopia-tightens-monetary-policy/","ADDIS ABABA – National Bank of Ethiopia (NBE) has introduced a contractionary monetary policy in a bid to control supply of money in the economy.","ADDIS ABABA – National Bank of Ethiopia (NBE) has introduced a contractionary monetary policy in a bid to control supply of money in the economy. The revised monetary policy has become effective as of Wednesday,  September 1, 2021. 

     (adsbygoogle = window.adsbygoogle || []).push({}); Deputy Governor of Central Bank Gikadu Digafe said the policy is aimed at limiting the amount of money in circulation in the economy and reducing the rising inflation in the country, where headline inflation hit 26.4 percent last month. Accordingly, the revised policy increased commercial banks’ reserve requirement from their outstanding deposit from 5% to 10%. The interest rate levied on commercial banks on loans from the central bank has also been raised by 13% percentage points to 16%. It also obliges banks to deposit 50% of their foreign currency gained from export trade, private and nongovernmental organization remittances, he added. Besides, the policy raised bank customers maximum foreign currency amount in their diaspora account from the previously 31.5% to 40%. The policy also allows the Development Bank of Ethiopia to sell bonds to banks, insurance and pension institutions to increase its revenue, according to State-run Ethiopian News Agency. Agencies","September 1, 2021"
"15","Ethiopian Airlines & Boeing Agree to Position Ethiopia as Africa’s Aviation Hub","https://ethiopianmonitor.com/2021/08/30/ethiopian-airlines-boeing-agree-to-position-ethiopia-as-africas-aviation-hub/","ADDIS ABABA – Ethiopian Airlines Group and the Boeing company have signed a strategic Memorandum of Understanding (MoU) on positioning Ethiopia as an aviation hub for Africa. ","ADDIS ABABA – Ethiopian Airlines Group and the Boeing company have signed a strategic Memorandum of Understanding (MoU) on positioning Ethiopia as an aviation hub for Africa. In a statement today, the airlines said the MoU aims at positioning Ethiopia as Africa’s aviation hub – “Ethiopia for Africa”. 

     (adsbygoogle = window.adsbygoogle || []).push({}); The agreement is expected to pave a way for Ethiopian and Boeing to work in partnership in four areas of strategic collaboration. The areas are Industrial Development, Advanced Aviation Training, Educational Partnership, and Leadership Development in a span of three years. To this effect, Ethiopian says a joint multidisciplinary teams have been established to implement the strategic partnership – an important milestone in their seventy years old shared history in aviation. Tewolde GebreMariam, Group CEO of Ethiopian Airlines, said he was “very much thrilled” to sign this historic agreement. “This partnership expands and builds our capability in multiple fields,” said Tewolde. “I have firm conviction that with our dedication in its implementation, the MoU will successfully attaining its goal of positioning Ethiopia as the continent’s aviation hub,” he added. The agreement will boost the Airlines plan to make its Aviation Academy recognized as a global standard for aviation training. Boeing is also committed to developing Ethiopia’s manufacturing capability and aftermarket aviation service, according to the airlines. Through the newly signed MoU, it says Boeing and Ethiopian will partner to advance capabilities to compete globally. The two companies also seek to build a 21st century pipeline for aviation careers in Ethiopia, the Airlines says.","August 30, 2021"
"16","Prime Minister Abiy Attends G20 Compact with Africa Meeting","https://ethiopianmonitor.com/2021/08/27/prime-minister-abiy-attends-g20-compact-with-africa-meeting/","ADDIS ABABA – Prime Minister Abiy Ahmed has attended today the G20 Compact with Africa Conference, convened by German Chancellor Angela Merkel in Berlin on Friday.","ADDIS ABABA – Prime Minister Abiy Ahmed has attended today the G20 Compact with Africa Conference, convened by German Chancellor Angela Merkel in Berlin on Friday. Several African leaders as well as Chairman of African Union, Moussa Faki, attended the conference – prestige project of the German G20 presidency. Prime Minister Abiy was among the leaders virtually participated in the conference held under the title ‘Framework Conditions for Business and Investment’. 

(adsbygoogle = window.adsbygoogle || []).push({}); The conference focused on how to drive forward the framework conditions for more business and investment opportunities in Compact countries, according to the PM Office. In his remarks, Prime Minister Abiy explained the progress of Ethiopia’s homegrown economic reforms through which macroeconomic, structural and sectoral reforms have been put into place to create a conducive investment climate. “The achievements in the past years are indications of our commitment and potential,” he said. “Ethiopia is committed to continue to implement macro-financial and investment climate reforms to improve the framework for private investment in the country,” the PM added. German chancellor Merkel launched the Compact back in 2017 during Germany’s G20 presidency with a promise to generate additional private investment in African states. In turn, participating African states would commit themselves to implementing economic reforms.
However, the continent still only receives 1% of all German investments worldwide. Moderate rise The “Merkel Plan,” as Ivorian President Alassane Ouattara dubbed it in 2017, has brought about a moderate rise in investments. From 2017 to 2019, German investments in Africa grew by about €1.57 billion ($1.84 billion), according to a report by DW, calling the increase “rather moderate”. No figures are yet available for 2020, but it is likely to stagnate or, at best, grow slightly due to the pandemic, it says. In 2019, just 884 companies were investing in the continent, that’s 42 more than in 2017, despite numerous support programs launched by Merkel’s government. The programs include an investment fund worth billions, more advisory services for companies, and better safeguards and guarantees. Merkel wants more Speaking at the summit on Friday, Chancellor Angela appealed for more German investment in Africa, particularly in the renewable energy sector. “Africa has so much market potential, but we need to make better use of it,” Merkel said at the conference. Expansion of renewable energy investment “is of enormous importance for us to achieve our global climate goals,” the German chancellor added. The chancellor said that she realized during her trips to Africa that it’s a “continent of opportunities and ideas” and a “continent with promising growth markets and with many, many committed young people.” Merkel’s Final Merkel, who attended for the last time as chancellor, has been very involved in Africa, according to Christoph Kannengiesser, chief executive of the Africa Association of German Business. “We hope that future economic and foreign ministers will again increasingly go to Africa with business delegations, but also support concrete projects with appropriate political flanking,” he told DW.","August 27, 2021"
"17","Ethiopia Importing 400,000 Tons of Wheat to Curb Inflation","https://ethiopianmonitor.com/2021/08/25/ethiopia-importing-400000-tons-of-wheat-to-curb-inflation/","ADDIS ABABA – The Government of Ethiopia is importing over 400,000 tons of wheat to curb the rapidly increasing inflation, said Senior economic Advisor at the Prime Minister office.","ADDIS ABABA – The Government of Ethiopia is importing over 400,000 tons of wheat to curb the rapidly increasing inflation, said Senior economic Advisor at the Prime Minister office. Macroeconomics Senior Advisor Mamo Esmelealem said the home-grown economic reform that has been implemented over the past three years has brought change into the country’s economy. He cited the 3.6 billion USD the country secured from export and the 64 percent increase in Foreign Direct Investment in the concluded Ethiopian budget year. 

(adsbygoogle = window.adsbygoogle || []).push({}); Yet, “inflation remains the major challenge we have not solved,” he said, attributing the cause to the gap between demand and supply as well as the rise of price of commodities abroad. He explained that the prices of iron bar at the global market increased by 32 percent, petroleum by 41 percent, and food commodities by 13 percent. In this regard, he said the government has purchased 400,000 tons of wheat to abate the burden of inflation. Out of the purchased wheat, 40,000 tons has arrived at port and about 18,000 tons in warehouses inside the country, according to the Ethiopian news agency. The senior advisor elaborated that the government has been taking corrective measures, especially in the financial transaction and the financial systems to solve the problem permanently. The ministry of trade and industry said the procured wheat will start to arrive beginning from September. In addition, 53.9 million liters of edible oil has also been readied for distribution while 2 million quintals of Sugar are transported into the country as part of an effort to ease the rising inflation. Meanwhile, officials at the ministry said the government will continue taking actions on traders engaged in illegal marketing practices that are exacerbating the inflation and related socio-economic problems. – Agencies   Featured Image: Macroeconomics Senior Advisor Mamo speaking at the monthly ‘Addis Weg’ forum at the PM Office of Ethiopia [Photo PMoE]","August 25, 2021"
"18","Hijra Bank Strikes Deal with Path Solutions to Install Core banking Platform","https://ethiopianmonitor.com/2021/08/25/hijra-bank-strikes-deal-with-path-solutions-to-install-core-banking-platform/","ADDIS ABABA – Software giant Path Solutions said it has signed an agreement with  Hijra Bank, the second fully-fledged interest-free bank in Ethiopia, for the implementation of its AAOIFI-certified core banking platform.","ADDIS ABABA – Software giant Path Solutions said it has signed an agreement with Hijra Bank, the second fully-fledged interest-free bank in Ethiopia, for the implementation of its AAOIFI-certified core banking platform. Hijra Bank will be providing interest-free financial services – a strategy to capture the growing market share of the tech savvy devout customers wishing to comply with the principles of Islamic law, as well as those who prefer ethical and socially responsible banking services. 

(adsbygoogle = window.adsbygoogle || []).push({}); “We are excited to collaborate with Hijra Bank and to support them in realizing their vision of bringing Islamic finance to Ethiopia through advanced technology and great customer experience,” said Mohammed Kateeb, Path Solutions’ Group Chairman & CEO. According to the tech firm, Hijra Bank will have the advantage of capitalizing on the latest version of iMAL from Path Solutions and reap the benefits of the robust growth opportunities of digital banking since more customers in the country are becoming literate of the digital services. The bank also believes it is now the perfect timing for their incorporation to gain a foothold in an ever-growing financial market space by meeting the demands of its customers as part of its vision to be a top interest-free bank in Ethiopia. “Path Solutions understands the vital role of IT in our business to bring value, ensure convenience, functional and service quality and improve profitability,” said Dawit Kenno, the newly appointed acting CEO of Hijra Bank. “The company’s Islamic banking domain know-how and extensive international experience will allow our bank to launch unique interest-free banking products for the best market fit along with an outstanding customer experience,” he added. Ethiopia saw its second Islamic bank this year, boosting its financial inclusion plans.","August 25, 2021"
"19","Export Trade Generates $329 Million in July","https://ethiopianmonitor.com/2021/08/25/export-trade-generates-329-million-in-july/","ADDIS ABABA – Export trade continues its solid performance as it generated more than 329 million US dollars in the first month of the 2021/22 Ethiopian fiscal year.","ADDIS ABABA – Export trade continues its solid performance as it generated more than 329 million US dollars in the first month of the 2021/22 Ethiopian fiscal year. Ethiopia concluded the previous fiscal year on July 7, 2021 obtaining a historic high 3.62 billion US Dollars revenue from export despite various challenges including Covid-19. In a statement today, the Ministry of Trade and Industry (MoTI) said the monthly revenue has shown a 20 percent or 54 million US dollars increase as compared to the corresponding month of the previous year, during which Ethiopia obtained 275 million US dollars. 

(adsbygoogle = window.adsbygoogle || []).push({}); The East African nation planned to collect over 300 million US Dollars revenue export in the 30-day period. It has, however, managed to collect 329 million dollars, attaining 109.63 percent of its target for the period. Commodities such as Khat, Chemical and Construction materials, Food and Pharmaceuticals, Oil-seeds, and meat and dairy products have performed more than the target set for the month. The export of textiles and clothing, cereals and leather and leather products, on the other hand, accounted for 60% to 99% of the plan. Metal, engineering and livestock export managed to perform less than 60 percent of the target, it added. In the rest of the fiscal year, the ministry stressed on the need to further establish a system to supply products to the world market in better quality, competitive price and quantity to increase Ethiopia’s share in the global market. Ethiopia’s export mainly depends on agricultural products with coffee and flowers contributing 25 and 13 percent, respectively, to the total export value last budget year. Authorities want to shift to manufacturing, which is contributing only 6.8 percent to GDP.","August 25, 2021"
"20","Facebook Marketplace Rolls Out to 37 African Countries","https://ethiopianmonitor.com/2021/08/24/facebook-marketplace-rolls-out-to-37-african-countries/","ADDIS ABABA – Facebook on Tuesday announced the launch of Marketplace to 37 countries and territories in Sub-Saharan Africa, including neighboring Djibouti, Eritrea, Somalia, and South Sudan.","ADDIS ABABA – Facebook on Tuesday announced the launch of Marketplace to 37 countries and territories in Sub-Saharan Africa, including neighboring Djibouti, Eritrea, Somalia, and South Sudan. The marketplace is currently available in South Africa, Ethiopia, Kenya and Nigeria. 

(adsbygoogle = window.adsbygoogle || []).push({}); The social media said its marketplace is a convenient destination where people can discover, buy and sell items from others in their local communities, simply by tapping on the Marketplace icon to browse and search for items, or filter by distance or category. “Increasing the availability of Marketplace to 37 more countries and territories in Sub-Saharan Africa reinforces our ongoing commitment to helping connect communities and support buying and selling through one simple online destination,” said Kojo Boakye, Facebook Director of Public Policy Africa. “As the effects of the COVID-19 pandemic continue to impact people and businesses, the expansion of Marketplace will provide more people with a convenient destination where they can discover new products, shop for things they want, or find buyers for the things they want to sell,” the director said.","August 24, 2021"
"21","Somalia Becomes Top Destination for Ethiopia’s Export Trade","https://ethiopianmonitor.com/2021/08/21/somalia-becomes-top-destination-for-ethiopias-export-trade/","ADDIS ABABA – Somalia has taken over the Netherlands and become the top buyer of Ethiopian commodities during the 2020/21 budget year, which ended on July 7, 2021.","ADDIS ABABA – Somalia has taken over the Netherlands and become the top buyer of Ethiopian commodities during the 2020/21 budget year, which ended on July 7, 2021. Export trade generated 3.62 billion US Dollars in the fiscal year, a record high in the export trade history of Ethiopia, that exported a range of commodities to 136 countries. Somalia, which bought 347.83 worth of Ethiopian products, has established itself as the top destination for export trade, reveals the ministry of Trade and Industry. In the previous year, the neighboring nation was the third-largest importer of the export trade, buying 298.2 million US dollars worth of commodities from Ethiopia. 

(adsbygoogle = window.adsbygoogle || []).push({}); According to the Trade Ministry, the Netherlands has become the second major destination absorbing 344.94 of the total exports of Ethiopia. The European nation was the top destination for Ethiopian goods in the previous year importing $320.16mln or 10.5 percent of total exports. The Ministry also put the United States as the third top market for the export trade. Commodities worth $293.3 million have been exported to the U.S. from Ethiopia, it says. Saudi Arabia ($226.6mln), United Arab Emirates ($191.93Mln), Germany ($154.47mln). Djibouti ($137.47mln), Belgium ($104.23mln), India ($88.72mln), and Sudan ($88.19mln) make up the top 10 destinations for Ethiopia’s export trade, respectively.","August 21, 2021"
"22","Ethiopians Abroad urged to Send Money via Formal Channels","https://ethiopianmonitor.com/2021/08/21/ethiopians-abroad-urged-to-send-money-via-formal-channels/","ADDIS ABABA – Don’t not support terrorist organizations by sending money via informal black market channels, government urges Ethiopians in Diaspora on Friday.","ADDIS ABABA – Don’t not support terrorist organizations by sending money via informal black market channels, government urges Ethiopians in Diaspora on Friday. “Curb illicit financial flows,” says Billene Seyoum, spokeswoman of the PM Office, in a message directed to the Ethiopian diaspora. 

(adsbygoogle = window.adsbygoogle || []).push({}); “You’re urged to use formal financial channels for remittances and not fall into the trap of aiding and abetting terror organizations through informal black-market channels,” she continues. “It is a critical juncture to stand guard for Ethiopia.” The call came a few weeks after the difference between legal and black market currencies exchange, despite stabilizing in recent days, reportedly skyrocketed with a US Dollar exchanged for 67 to 70 Birr a couple of weeks ago. The government believes that the rise is a part of an economic sabotage orchestrated by individuals and groups who have links with the Tigray People’s Liberation Front (TPLF) and Shene, a group designated as terrorist entities by the Ethiopian parliament in May, 2021. Agents of the terrorist group in Addis Ababa and other cities have been caught attempting to undertake widespread economic scams through coordinating illicit financial flows, illegal fundraising and logistical arrangement in support of these groups, the PM office said. The Federal Police says the agents, who are engaged in transferring the value of dollars to Ethiopia by keeping the foreign currency abroad, are using the dollars sent by Ethiopians living abroad as a means of financing and logistical support for the terrorist group, according to Federal police. Eleven individuals have recently been arrested for having a direct link with the network, according to the federal police. Six money transfer companies are also under investigation, says the Police, which also reveals the names of 14 individuals who are participating in the illegal financial flow from countries where many Ethiopians reside. [Featured Image File]","August 21, 2021"
"23","Ethio Telecom Projects Annual Revenue to Reach 70bln Birr","https://ethiopianmonitor.com/2021/08/20/ethio-telecom-projects-annual-revenue-to-reach-70bln-birr/","ADDIS ABABA – Ethio telecom has revealed its plans to earn about 70 billion Birr this Ethiopian budget year by offering 100 new and revamped local and international telecom service packages to its customers.","ADDIS ABABA – Ethio telecom has revealed its plans to earn about 70 billion Birr this Ethiopian budget year by offering 100 new and revamped local and international telecom service packages to its customers. The telecom firm said it is engaging in new business streams and shifting revenue sources from traditional to value-added services to generate 70bln Birr revenue, an increment of 24%. 

(adsbygoogle = window.adsbygoogle || []).push({}); Accordingly, it telco company says 4G/LTE Advanced network capacity expansion will be carried out in Addis Ababa and in regional towns following data traffic growth and demand. “To improve network coverage and capacity, more than 3.88 Million additional Mobile network capacity will be installed in Addis Ababa and Regions,” it says. New operation support systems and corporate solutions projects that improve service provisioning, automation, operational efficiency will be deployed. Accordingly, 5th generation (5G) mobile network technology will be introduced as a pilot, it added. Ethio telecom CEO Frehiwot Tamiru said her firm will also focus on boosting and ensuring customer satisfaction in the process of achieving the plan. In the recently concluded fiscal year, the company recorded a 22% jump in subscribers to 56.2 million.
This year, the plan is to increase its total subscribers by 14% to 64mln and bring telecom penetration in the country to 61%, said the state-run Ethio Telecom, which has invited private investors to buy a stake in it. Recently, the government launched a tendering process for the proposed sell-off of a 40% stake in Ethio Telecom to private investors, part of the government’s broader plan to open up the country’s telecoms sector.","August 20, 2021"
"24","Ethiopian Sets Up B767 Passenger to Freighter Conversion Site in Addis Ababa","https://ethiopianmonitor.com/2021/08/19/ethiopian-sets-up-b767-passenger-to-freighter-conversion-site-in-addis-ababa/","ADDIS ABABA – Ethiopian Airlines Group on Thursday announced it has established a global standard cargo conversion program to convert the B-767-300 ER to dedicated freighter services.","ADDIS ABABA – Ethiopian Airlines Group on Thursday announced it has established a global standard cargo conversion program to convert the B-767-300 ER to dedicated freighter services. The airlines established the B767 passenger to freighter conversion site in its Addis Ababa HUB MRO center in partnership agreement with Israel Aerospace Industries (IAI). 

(adsbygoogle = window.adsbygoogle || []).push({}); The latest move is part of the airlines’ Diversified Aviation Business Model of Vision 2025, which aims to increase its cargo capacity in fleet, ground service infrastructure and cargo connectivity network. “Accordingly, we are partnering with IAI, one of the global technology leaders in the Aerospace industry, in building a cargo conversion center in our MRO facilities in Addis Ababa Airport,” said Tewolde GebreMariam, CEO of Ethiopian Airlines Group. The Cargo conversion center will commence its first business with three Ethiopian Airlines owned B-767-300 aircraft. And then will then expand its services to all airlines in Africa and the wider region, according to Tewolde. “We are very happy that we are able to collaborate with IAI to enable us to expand our cargo and logistics services which is already the largest and leading cargo network in Africa,” the CEO said. “The capacity building will also help us expand our MRO services with cutting edge technology and knowledge transfer,” he added. The global aviation industry is witnessing a sharp rise in the demand for cargo aircraft as a result of the rise in e-commerce, which has peaked to record levels during the COVID-19 pandemic. “I am excited by the opening of the current center in Ethiopia and thank my colleagues in Ethiopian Airlines for the trust they have put in IAI’s Aviation Group, as the world’s leader in conversions,” said Yossi Melamed, IAI’s Executive VP and General Manager of Aviation Group. The conversion line in Addis Ababa will join existing conversion sites IAI operates at its campus in Ben Gurion International Airport and in Mexico. The newly established centre “will provide solutions for the rising demand for cargo aircraft of B767 models,” said IAI’s Executive VP. Recently, Ethiopian MRO, with its internal capacity, temporarily converted 25 of its passenger aircraft to freighters to boost its cargo capacity as demand to transport emergency medical supplies soared.","August 19, 2021"
"25","Ethiopia Keen to Work with China to Improve its Transport Sector, says Ministry","https://ethiopianmonitor.com/2021/08/19/ethiopia-keen-to-work-with-china-to-improve-its-transport-sector-says-ministry/","ADDIS ABABA –  Ethiopia is keen to continue working with China to further improve its transport and logistics sector, said Dagmawit Moges, minister of Transport.","ADDIS ABABA – Ethiopia is keen to continue working with China to further improve its transport and logistics sector, said Dagmawit Moges, minister of Transport. The minister said this following a meeting she held with her Chinese counterpart, Li Xiaopeng, on Thursday. 

(adsbygoogle = window.adsbygoogle || []).push({}); “(I) had a fruitful discussion with Li Xiaopeng, minister of Transport of China, on areas of strengthening bilateral cooperation between Ethiopia and China,” Dagmawit revealed in a brief statement on twitter. “I look forward to working together towards improving Ethiopia’s transport and logistics sector,” she added. Similar topics, particularly railway projects, were the major discussion point when the minister spoke with the Chinese ambassador to Ethiopia last year on ways of further strengthening bilateral cooperation with an emphasis on railway projects. Ethiopia and China have in recent years developed strong cooperation in the development of the railway sector. It resulted in the successful completion of two major railway projects including Ethiopia-Djibouti Standard Gauge Railway which began operating in January, 2018. Since then, the 756-km railway, which provides passenger and freight services between Addis Ababa and Djibouti, has become among key infrastructures that links the country to neighboring Red Sea nation of Djibouti.","August 19, 2021"
"26","Ethiopia Attracts $3.9 billion FDI in 2020/21 Fiscal Year","https://ethiopianmonitor.com/2021/08/19/ethiopia-attracts-3-9-billion-fdi-in-2020-21-fiscal-year/","ADDIS ABABA – Foreign Direct Investment (FDI) inflow into Ethiopia reached 3.9 billion US dollars in the recently concluded 2020/21 fiscal year, says country’s investment commission.","ADDIS ABABA – Foreign Direct Investment (FDI) inflow into Ethiopia reached 3.9 billion US dollars in the recently concluded 2020/21 fiscal year, says country’s investment commission. The amount, recorded in the FY which ended on July 7, has shown nearly a billion jump as compared to the figure the East African nation attracted in the previous year. 

     (adsbygoogle = window.adsbygoogle || []).push({}); The Ethiopian Investment Commission (EIC) said the encouraging performance in attracting the FDI, amid the security and Covid-19 pandemic induced challenges, could be attributed to several reasons. “The sale of the first private telecom license, however, has been the main factor,” said Henok Solomon, Communication Director of the EIC. A Global Partnership for Ethiopia, a consortium of telecom companies, won a telecom service licence offering a $850 million bid. ‘Invests Keen on Agro-processing’ Apart from the license sale, Henok said the commission’s “intensive campaign to promote investment prospects  of Ethiopia has also played a key part in” recording the second highest FDI figure Ethiopia attracted in past five years. “This has particularly paid dividends in bringing more businesses to invest in agro-processing sector,” the communication director said. At least 19 foreign businesses invested in the newly inaugurated Yirgalem Integrated Agro-Industrial Park last year alone. The park is among the three Agro-industrial Parks launched in the 2020/21 Fiscal year. The investments in these parks will not only boost the export volume but also the import substitute push of the country, Henok said. Officials of the EIC are currently ramping up their efforts of promoting the investment prospects in Ethiopia to the world to drive more FDI into the country, which plans to attract about five billion USD in the the ongoing 2021/22 budget year. The amount seem within a reaching distance as the government pushes ahead with its two major plans to liberalize the telecommunication sector this year – selling a 40 percent stake in the state-controlled telecom firm, Ethio Telecom, and a second telecom operator licence to foreign companies.     Featured Image: Integrated Agro-Industrial Parks (IAIPs) have become magnates to attract foreign investors to Ethiopia [Photo File]  ","August 19, 2021"
"27","Italy Agree to Support Ethiopian Women Enter Leather Industry","https://ethiopianmonitor.com/2021/08/19/italy-agree-to-support-ethiopian-women-enter-leather-industry/","ADDIS ABABA – Italy on Thursday said the latest cooperation agreement its ambassador signed with the Ethiopian ministry of finance will boost the skills of women entrepreneurs to enter the leather industry. ","ADDIS ABABA – Italy on Thursday said the latest cooperation agreement its ambassador signed with the Ethiopian ministry of finance will boost the skills of women entrepreneurs to enter the leather industry. The two countries signed implementing agreements related to two programs within the Ethio-Italian Cooperation Country Framework. The agreement signed between Ambassador of Italy to Ethiopia, Arturo Luzzi, and Yasmin Wohabrebbi, State Minister Finance, on July 1, particularly, focuses on supporting women “to enter or grow in the leather sector”, said the embassy of Italy in Addis Ababa. 

(adsbygoogle = window.adsbygoogle || []).push({}); The program, with a budget of 1 Million Euro, aims at promoting entrepreneurial development and employment opportunities for women in the leather sector enhancing entrepreneurial skills, strengthening market linkages, and networking opportunities, it added. Meanwhile, the two countries agreed another implementing deal on “building labour market intermediation that supports economic transformation in Ethiopia”. With a grant of 4 Million Euros, the overall objective of the project is to improve labour market outcomes for the rural population in Ethiopia by building effective Public Employment Services, according to the embassy. “The project aims to establish pilot rural job centers in three regions of the country providing services to vulnerable job seekers,” it added. The project is part of the government’s ‘National Job Creation Plan 2020- 2025’ established to respond to one of the national priorities. These include creating jobs for millions of young Ethiopians entering the workforce each year and reducing the national unemployment rate. Both agreements were also co-signed by the Head of the Italian Development Cooperation Agency’s (AICS) office in Addis Ababa, Isabella Lucaferri.   Featuered Image: Ambassador of Italy to Ethiopia, Arturo Luzzi [Photo Twitter/ItalyMFA]","August 19, 2021"
"28","Coffee Export Generates $115.4 million in July","https://ethiopianmonitor.com/2021/08/18/coffee-export-generates-115-4-million-in-july/","ADDIS ABABA – Coffee export generated 115.4 million dollars in the first month of the new 2021/22 fiscal year, surpassing the value and volume of the corresponding month of previous year.","ADDIS ABABA – Coffee export generated 115.4 million dollars in the first month of the new 2021/22 fiscal year, surpassing the value and volume of the corresponding month of previous year. Ethiopian Coffee & Tea Authority, in its performance report, says the country had a plan to export 21,339.80 tons of coffee to the international market in the 30-day period of the FY, beginning July 8. But it has managed to export a total of 31,145 tons of coffee, generating 115.46 million dollars, says the Authority. 

(adsbygoogle = window.adsbygoogle || []).push({}); The performance has shown an increase as compared to the previous fiscal year in terms of both revenue and volume. The volume of export increased by 146 percent while the revenue jumped by 161 percent, according to the Authority. Germany has been the main destination for Ethiopian coffee in the month with more than 22.86 million birr worth of coffee exported or 20 percent to the European nation. The United States and Belgium were also the second and third major destinations of Ethiopian coffee in the 30 days period. More than $17.8 million worth of coffee (15 percent) exported to the US while Belgium imported close to $12.3 worth of Ethiopian coffee (11 percent), according to the Authority.   ","August 18, 2021"
