FID,the_geom,NAME,SOURCE,DATE_,Syn_name,POINT_X,POINT_Y,FID_1,STATE,Fmr_County,New_COUNTY,New_PAYAM,New_BOMA,VILLAGE,LAT,LON,Classifica,OBJECTID_1,OBJECTID_2,OBJECTID,HIC_PCODE,NAME2,NAME3,TYPE,NAME1,PCODE,LATITUDE,LONGITUDE,LOCALITY_C,SETTLEMENT,SETTLMENT_,LOCALITY,Long,SetType,AdminUnit,Id,Pop,Cluster,FID_1_1,EASTING,NORTHING,TILE,LCCODE,LOC_COUNT,X,Y,Con_Name,Con_ID,Con_Type,Time,TRMA_PCODE,X__DD_,Y__DD_,HIERARCHY
southernsudan_settlements_imwg_merged_agr.11,POINT (34.12436998438005 11.189550009450443),Aobak,Central Bureau of statistics,May 2008,,34.12436998,11.18955001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.12,POINT (33.81552001534243 11.454540009697212),Mier,Central Bureau of statistics,May 2008,,33.81552002,11.45454001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.13,POINT (33.824010015350325 11.428250009672752),Tifol,Central Bureau of statistics,May 2008,,33.82401002,11.42825001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.14,POINT (33.69851001523347 11.366010009614797),Ahmar Sidak,Central Bureau of statistics,May 2008,,33.69851002,11.36601001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.15,POINT (33.70784001524214 11.330930009582119),Wad Yora,Central Bureau of statistics,May 2008,,33.70784002,11.33093001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.16,POINT (33.875470015398264 11.35935000960859),Malifa,Central Bureau of statistics,May 2008,,33.87547002,11.35935001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.17,POINT (33.868590015391874 11.353580009603206),Armad,Central Bureau of statistics,May 2008,,33.86859002,11.35358001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.18,POINT (33.87081001539394 11.336040009586839),Koril,Central Bureau of statistics,May 2008,,33.87081002,11.33604001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.19,POINT (34.052870015563485 11.352690009602384),Saliak,Central Bureau of statistics,May 2008,,34.05287002,11.35269001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.20,POINT (33.935200015453916 11.294740009548377),Soda,Central Bureau of statistics,May 2008,,33.93520002,11.29474001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.21,POINT (33.88346001540572 11.284310009538672),Bosh,Central Bureau of statistics,May 2008,,33.88346002,11.28431001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.22,POINT (33.80309001533084 11.278090009532889),Al Jazeera,Central Bureau of statistics,May 2008,,33.80309002,11.27809001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.23,POINT (33.7944300153228 11.235020009492757),Sagir,Central Bureau of statistics,May 2008,,33.79443002,11.23502001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.24,POINT (33.81441001534142 11.27742000953225),Arel,Central Bureau of statistics,May 2008,,33.81441002,11.27742001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.25,POINT (33.55353001509843 11.109570009375943),Bir Altibirab,Central Bureau of statistics,May 2008,,33.55353002,11.10957001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.26,POINT (33.832940015358645 11.039290009310491),Al Abiad,Central Bureau of statistics,May 2008,,33.83294002,11.03929001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.27,POINT (33.86360001538719 11.03124000930302),Galaa' Alsamina,Central Bureau of statistics,May 2008,,33.86360002,11.03124001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.28,POINT (33.847940015372615 11.080040009348465),Flnti,Central Bureau of statistics,May 2008,,33.84794002,11.08004001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.29,POINT (33.887800015409766 11.071190009340228),Mogaja,Central Bureau of statistics,May 2008,,33.88780002,11.07119001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.30,POINT (33.660100015197656 11.122450009387933),Al Hamrat,Central Bureau of statistics,May 2008,,33.66010002,11.12245001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.31,POINT (33.765890015296236 11.052650009322917),Toarma',Central Bureau of statistics,May 2008,,33.76589002,11.05265001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.32,POINT (33.66920001520617 10.98790000926266),Jabal Moada,Central Bureau of statistics,May 2008,,33.66920002,10.98790001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.33,POINT (33.815300015342245 10.898200009179106),Baldgo,Central Bureau of statistics,May 2008,,33.81530002,10.89820001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.34,POINT (33.93209001545097 10.907300009187566),Taha Rajab,Central Bureau of statistics,May 2008,,33.93209002,10.90730001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.35,POINT (33.9349700154537 10.87488000915738),Bargo Al Khor,Central Bureau of statistics,May 2008,,33.93497002,10.87488001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.36,POINT (33.92187001544147 10.863560009146852),Bargo Al Jabal,Central Bureau of statistics,May 2008,,33.92187002,10.86356001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.37,POINT (33.92298001544253 10.887980009169553),Janai,Central Bureau of statistics,May 2008,,33.92298002,10.88798001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.38,POINT (33.385010014941486 10.787400009075895),Algrawid,Central Bureau of statistics,May 2008,,33.38501001,10.78740001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.39,POINT (33.66621945270339 10.830625290366186),Melkan,Central Bureau of statistics,May 2008,,33.66621945,10.83062529,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.40,POINT (33.8836800154059 10.80073000908834),Aldod,Central Bureau of statistics,May 2008,,33.88368002,10.80073001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.41,POINT (33.41343001496796 10.66840000896508),Walo,Central Bureau of statistics,May 2008,,33.41343002,10.66840001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.42,POINT (33.52554001507235 11.724450009948612),Goli Almak,Central Bureau of statistics,May 2008,,33.52554002,11.72445001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.43,POINT (33.513490015061166 11.714290009939134),Goli ALgaleen,Central Bureau of statistics,May 2008,,33.51349002,11.71429001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.44,POINT (34.06768001557725 11.742450009965353),Kamat,Central Bureau of statistics,May 2008,,34.06768002,11.74245001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.45,POINT (34.07362001558283 11.092750009360259),Kasim,Central Bureau of statistics,May 2008,,34.07362002,11.09275001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.46,POINT (34.077400015586306 11.102980009369787),Jabal Mrafien,Central Bureau of statistics,May 2008,,34.07740002,11.10298001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.47,POINT (34.09652001560414 11.062570009332148),Barmik,Central Bureau of statistics,May 2008,,34.09652002,11.06257001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.48,POINT (34.075780015584826 11.063920009333458),Mimoa,Central Bureau of statistics,May 2008,,34.07578002,11.06392001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.49,POINT (34.028090015540386 11.023770009296015),Bargalak,Central Bureau of statistics,May 2008,,34.02809002,11.02377001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.50,POINT (34.04183001555322 11.017850009290555),Dandor,Central Bureau of statistics,May 2008,,34.04183002,11.01785001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.51,POINT (34.06500001557475 11.020810009293257),Alazaza,Central Bureau of statistics,May 2008,,34.06500002,11.02081001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.52,POINT (34.03456001554645 11.011110009284266),Gaglt,Central Bureau of statistics,May 2008,,34.03456002,11.01111001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.53,POINT (34.17438998442668 10.917350009196923),Doya,Central Bureau of statistics,May 2008,,34.17438998,10.91735001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.54,POINT (34.17869998443069 10.887720009169357),Kakakli,Central Bureau of statistics,May 2008,,34.17869998,10.88772001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.55,POINT (34.375369984613826 10.893110009174336),Alragrif,Central Bureau of statistics,May 2008,,34.37536998,10.89311001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.56,POINT (34.367559984606544 10.923010009202187),Kakado,Central Bureau of statistics,May 2008,,34.36755998,10.92301001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.57,POINT (34.39288998463013 10.941600009219542),Banglola,Central Bureau of statistics,May 2008,,34.39288998,10.94160001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.58,POINT (34.407169984643474 10.893910009175102),Al Jazeera,Central Bureau of statistics,May 2008,,34.40716998,10.89391001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.59,POINT (34.412819984648706 10.904150009184661),Almoh,Central Bureau of statistics,May 2008,,34.41281998,10.90415001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.60,POINT (34.4112099846472 10.91628000919593),Blamin,Central Bureau of statistics,May 2008,,34.41120998,10.91628001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.61,POINT (34.43006998466478 10.94349000922125),Blioni,Central Bureau of statistics,May 2008,,34.43006998,10.94349001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.62,POINT (34.4149799846507 10.94349000922125),Blagola,Central Bureau of statistics,May 2008,,34.41497998,10.94349001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.63,POINT (34.4297999846645 10.90604000918637),Blinbdn,Central Bureau of statistics,May 2008,,34.42979998,10.90604001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.64,POINT (34.49202998472248 10.843260009127903),Baoa,Central Bureau of statistics,May 2008,,34.49202998,10.84326001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.65,POINT (34.47236998470419 10.82494000911089),Jambila,Central Bureau of statistics,May 2008,,34.47236998,10.82494001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.66,POINT (34.43491998466931 10.825210009111117),Nazila,Central Bureau of statistics,May 2008,,34.43491998,10.82521001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.67,POINT (34.43733998467155 10.796650009084544),Gambo,Central Bureau of statistics,May 2008,,34.43733998,10.79665001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.68,POINT (34.44110998467505 10.783720009072454),Abirka,Central Bureau of statistics,May 2008,,34.44110998,10.78372001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.69,POINT (34.424139984659234 10.771870009061445),Fartrgr,Central Bureau of statistics,May 2008,,34.42413998,10.77187001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.70,POINT (34.22287998447183 10.331360008651188),Babrs,Central Bureau of statistics,May 2008,,34.22287998,10.33136001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.71,POINT (34.26059998450694 10.325170008645443),Shima,Central Bureau of statistics,May 2008,,34.26059998,10.32517001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.72,POINT (34.25332998450017 10.325700008645924),Galfash,Central Bureau of statistics,May 2008,,34.25332998,10.32570001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.73,POINT (34.26463998451072 10.32032000864092),Abu Suliman,Central Bureau of statistics,May 2008,,34.26463998,10.32032001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.74,POINT (34.27891998452401 10.31654000863739),Kongel Jerdan,Central Bureau of statistics,May 2008,,34.27891998,10.31654001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.75,POINT (34.29265998453678 10.312500008633606),Khor Alhasan,Central Bureau of statistics,May 2008,,34.29265998,10.31250001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.76,POINT (34.28861998453306 10.306040008627576),Alkashaf,Central Bureau of statistics,May 2008,,34.28861998,10.30604001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.77,POINT (34.29750998454131 10.307920008629367),Abd Algani,Central Bureau of statistics,May 2008,,34.29750998,10.30792001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.78,POINT (34.260869984507224 10.296340008618586),Galam Althora,Central Bureau of statistics,May 2008,,34.26086998,10.29634001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.79,POINT (34.27298998451846 10.296610008618813),Maslos,Central Bureau of statistics,May 2008,,34.27298998,10.29661001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.80,POINT (34.27352998451897 10.285290008608285),Kongel Aljabal,Central Bureau of statistics,May 2008,,34.27352998,10.28529001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.81,POINT (34.260869984507224 10.270470008594486),Wad Zarog,Central Bureau of statistics,May 2008,,34.26086998,10.27047001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.82,POINT (34.16064998441385 10.257270008582168),Aora Aljabal,Central Bureau of statistics,May 2008,,34.16064998,10.25727001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.83,POINT (34.132359984387506 10.2561900085812),Jalgoni,Central Bureau of statistics,May 2008,,34.13235998,10.25619001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.84,POINT (34.11377001562022 10.28863107111141),Galango,Central Bureau of statistics,May 2008,,34.11377002,10.28863107,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.85,POINT (34.168777921921446 10.189688758519253),Shanash,Central Bureau of statistics,May 2008,,34.16877792,10.18968876,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.86,POINT (34.12319998437897 10.2203600085478),Banda,Central Bureau of statistics,May 2008,,34.12319998,10.22036001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.87,POINT (34.24901998449616 10.164320008495622),Naro,Central Bureau of statistics,May 2008,,34.24901998,10.16432001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.88,POINT (34.17977998443166 10.187490008517216),Eid,Central Bureau of statistics,May 2008,,34.17977998,10.18749001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.89,POINT (34.072810015582036 10.267240008591443),Abana,Central Bureau of statistics,May 2008,,34.07281002,10.26724001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.90,POINT (34.067700015577316 10.277210008600775),Al Jondi,Central Bureau of statistics,May 2008,,34.06770002,10.27721001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.91,POINT (34.05261001556323 10.283940008607033),Fanga,Central Bureau of statistics,May 2008,,34.05261002,10.28394001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.92,POINT (34.022970015535634 10.278290008601743),Saeed,Central Bureau of statistics,May 2008,,34.02297002,10.27829001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
