Country_Territory,Recreational,Recreational_Notes
Turkey,Illegal,
Turkmenistan,Illegal,
Tuvalu,Illegal,
Uganda,Illegal,
Ukraine,Illegal,
United Arab Emirates,Illegal,
United Kingdom,Illegal,"But a cannabis warning or an on-the-spot fine (""Penalty Notice for Disorder"") may be issued for simple possession instead of prosecution."
United States,Illegal,"Legalized in 18 states, 2 territories, and the District of Columbia – but illegal at federal level. Decriminalized in another 13 states and 1 territory."
Uruguay,Legal,But buying prohibited for foreigners. Cultivation allowed up to six plants.
Uzbekistan,Illegal,
Vanuatu,Illegal,
Venezuela,Illegal,
Vietnam,Illegal,
Yemen,Illegal,
Zambia,Illegal,
Zimbabwe,Illegal,
Nepal,Illegal,But allowed during Maha Shivaratri
Switzerland,Decriminalized,Legal below 1.0% THC
Vatican City,Illegal,
