Cause Of Conflict (Long),Comment,Dates,End Year,Link,Notes On Targeted Peoples Figures,NULL Highlight,Parameter - Size Sort by,Parameter - Sort by in dashboard,Selected Conflict,Senseless / Conflict Deaths,Size Of Conflict,Source,Start Year,Summary,Tooltip - year(s) plural/singular,Type Of Conflict,Type Of Conflict2,Wikipedia Link,YEARS OF CONFLICT,Deaths,Deaths As % Of Targeted Peoples,Duration Of Conflict,How Many Years?,Months (For Wars <3 Years),No. Targeted Peoples,Size Of Conflict As Integer
Battle of the First World War fought by the armies of the British and French empires against the German Empire.,per year is extrapolated. war lasted less than 1 year.,July-Nov 1916,1916,http://en.wikipedia.org/wiki/Battle_of_the_Somme,"3m soldiers fought in the battle overall. 
German losses: 500,000 (contemporary. pop. 56,000,000)
British losses: 419,654 (contemporary. pop. 46,000,000)
French losses: 204,253 (contemporary. pop. 38,000,000)",,,,False,BATTLE OF THE SOMME,GLOBAL,"Boraston, J. H. (1919). Sir Douglas Haig's Despatches (1920 ed.). London: Dent. OCLC 633614212.",1916,Largest battle of the First World War saw over a million men killed.,years,WAR,,http://en.wikipedia.org/wiki/Battle_of_the_Somme,1916,310486,10.4%,0.33,0,4,3000000,8
Bosnian Genocide refers to either genocide at Srebrenica and Žepa committed by Bosnian Serb forces in 1995 or the ethnic cleansing campaign throughout areas controlled by the Army of the Republika Srpska that took place during the 1992–1995 Bosnian War.,,Jul-95,1995,https://docs.google.com/viewer?a=v&q=cache:FPckMtHNGMwJ:www.teachgenocide.com/files/LessonPlans/Overhead/Case%2520Study%2520First%2520Modern%2520Genocide%252020th%2520Century%25204th%2520Ed-%2520Overheads%2520-%2520Section%25204.pdf+genocide+20th+century&hl=en&gl=uk&pid=bl&srcid=ADGEESiEOlXYEEsUrnD9wZSNnDdD6QuOHhg4UnSJ-jD5J1T1oYQqz8VZ402ncofnDjezprcLxvMlZmSv1uXVfqnk6eLVnaDudiLy0SWuz2nyWMmj-a0X0-NSMh84Cv0mfsc7Zb6PcF_Y&sig=AHIEtbQhIQolCrcDCdRUGtZ3hrGHcm_tNA,Number of Bosniaks and Croatians living in Bosnia in 1991.,,False,1,False,BOSNIAN GENOCIDE,SMALL COUNTRY,A Case Study of the First Modern Genocide of the 20th Century,1995,"Ethnic cleansing of Bosnian muslims by elements of the Serbian army, including specific massacres of civilians, during the breakup of Yugoslavia.",years,GENOCIDE,,http://en.wikipedia.org/wiki/Bosnian_Genocide,1995,8000,0.3%,0.08,0,36,2440000,2
"The war came about as a result of the breakup of Yugoslavia. Bosnian Serbs, following their declaration of independence, mobilized their forces inside the Republic of Bosnia and Herzegovina in order to secure Serbian territory, then war soon broke out across the country, accompanied by the ethnic cleansing of the Muslim Bosniak and Croat population, especially in eastern Bosnia and throughout the Republika Srpska.",,1992-1995,1995,http://news.bbc.co.uk/2/hi/europe/6228152.stm,Population of Bosnia & Herzegovnia 1992.,,True,2,False,BOSNIAN WAR,CIVIL WAR,,1992,Separatist movements in multi-ethnic Yugoslavia triggered a war of independence between various factions.,years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/Bosnian_War,1992,110000,2.6%,3.75,4,45,4301200,2
"The war came about as a result of the breakup of Yugoslavia. Bosnian Serbs, following their declaration of independence, mobilized their forces inside the Republic of Bosnia and Herzegovina in order to secure Serbian territory, then war soon broke out across the country, accompanied by the ethnic cleansing of the Muslim Bosniak and Croat population, especially in eastern Bosnia and throughout the Republika Srpska.",,1992-1995,1995,http://news.bbc.co.uk/2/hi/europe/6228152.stm,Population of Bosnia & Herzegovnia 1992.,,True,2,False,BOSNIAN WAR,CIVIL WAR,,1992,Separatist movements in multi-ethnic Yugoslavia triggered a war of independence between various factions.,years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/Bosnian_War,1993,110000,2.6%,3.75,4,45,4301200,2
"The war came about as a result of the breakup of Yugoslavia. Bosnian Serbs, following their declaration of independence, mobilized their forces inside the Republic of Bosnia and Herzegovina in order to secure Serbian territory, then war soon broke out across the country, accompanied by the ethnic cleansing of the Muslim Bosniak and Croat population, especially in eastern Bosnia and throughout the Republika Srpska.",,1992-1995,1995,http://news.bbc.co.uk/2/hi/europe/6228152.stm,Population of Bosnia & Herzegovnia 1992.,,True,2,False,BOSNIAN WAR,CIVIL WAR,,1992,Separatist movements in multi-ethnic Yugoslavia triggered a war of independence between various factions.,years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/Bosnian_War,1994,110000,2.6%,3.75,4,45,4301200,2
"The war came about as a result of the breakup of Yugoslavia. Bosnian Serbs, following their declaration of independence, mobilized their forces inside the Republic of Bosnia and Herzegovina in order to secure Serbian territory, then war soon broke out across the country, accompanied by the ethnic cleansing of the Muslim Bosniak and Croat population, especially in eastern Bosnia and throughout the Republika Srpska.",,1992-1995,1995,http://news.bbc.co.uk/2/hi/europe/6228152.stm,Population of Bosnia & Herzegovnia 1992.,,True,2,False,BOSNIAN WAR,CIVIL WAR,,1992,Separatist movements in multi-ethnic Yugoslavia triggered a war of independence between various factions.,years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/Bosnian_War,1995,110000,2.6%,3.75,4,45,4301200,2
"In 1972, Hutu refugees from surrounding nations organized an uprising of Hutus in Burundi. This was repulsed and followed by organized ethnic violence that killed some 150,000 Hutus.",,May-July 1972,1972,http://www.scaruffi.com/politics/dictat.html,Estimated Hutu population in Burundi 1972.,,,,False,BURUNDIAN GENOCIDE,SMALL COUNTRY,Piero Scaruffi,1972,The systematic slaughter of Hutu peoples by a Tutsi-controlled government.,years,GENOCIDE,ethnoreligious coup,http://en.wikipedia.org/wiki/Burundian_Genocide,1972,150000,18.1%,0.25,0,3,830000,2
Charles Taylor assembled a group of rebels in Côte d'Ivoire who later became known as the National Patriotic Front of Liberia (NPFL). They invaded Nimba County on 24 December 1989 and The Liberian Army retaliated against the whole population of the region.,Only 'several hundred deaths' by 1990 (http://www.un.org/en/peacekeeping/missions/unmil/background.shtml),1989-1996,1996,http://www.scaruffi.com/politics/dictat.html,Population of Liberia 1989.,,,,False,CHARLES TAYLOR (LIBERIA),SMALL COUNTRY,Piero Scaruffi,1989,Battle between US-backed Doe regime and Charles Taylor-led rebel forces in Liberia plunged the nation into bloody disorder.,years,GENOCIDE,,http://en.wikipedia.org/wiki/Charles_Taylor_(Liberian_politician),1989,220000,10.3%,7,7,84,2137000,2
Charles Taylor assembled a group of rebels in Côte d'Ivoire who later became known as the National Patriotic Front of Liberia (NPFL). They invaded Nimba County on 24 December 1989 and The Liberian Army retaliated against the whole population of the region.,Only 'several hundred deaths' by 1990 (http://www.un.org/en/peacekeeping/missions/unmil/background.shtml),1989-1996,1996,http://www.scaruffi.com/politics/dictat.html,Population of Liberia 1989.,,,,False,CHARLES TAYLOR (LIBERIA),SMALL COUNTRY,Piero Scaruffi,1989,Battle between US-backed Doe regime and Charles Taylor-led rebel forces in Liberia plunged the nation into bloody disorder.,years,GENOCIDE,,http://en.wikipedia.org/wiki/Charles_Taylor_(Liberian_politician),1990,220000,10.3%,7,7,84,2137000,2
Charles Taylor assembled a group of rebels in Côte d'Ivoire who later became known as the National Patriotic Front of Liberia (NPFL). They invaded Nimba County on 24 December 1989 and The Liberian Army retaliated against the whole population of the region.,Only 'several hundred deaths' by 1990 (http://www.un.org/en/peacekeeping/missions/unmil/background.shtml),1989-1996,1996,http://www.scaruffi.com/politics/dictat.html,Population of Liberia 1989.,,,,False,CHARLES TAYLOR (LIBERIA),SMALL COUNTRY,Piero Scaruffi,1989,Battle between US-backed Doe regime and Charles Taylor-led rebel forces in Liberia plunged the nation into bloody disorder.,years,GENOCIDE,,http://en.wikipedia.org/wiki/Charles_Taylor_(Liberian_politician),1991,220000,10.3%,7,7,84,2137000,2
Charles Taylor assembled a group of rebels in Côte d'Ivoire who later became known as the National Patriotic Front of Liberia (NPFL). They invaded Nimba County on 24 December 1989 and The Liberian Army retaliated against the whole population of the region.,Only 'several hundred deaths' by 1990 (http://www.un.org/en/peacekeeping/missions/unmil/background.shtml),1989-1996,1996,http://www.scaruffi.com/politics/dictat.html,Population of Liberia 1989.,,,,False,CHARLES TAYLOR (LIBERIA),SMALL COUNTRY,Piero Scaruffi,1989,Battle between US-backed Doe regime and Charles Taylor-led rebel forces in Liberia plunged the nation into bloody disorder.,years,GENOCIDE,,http://en.wikipedia.org/wiki/Charles_Taylor_(Liberian_politician),1992,220000,10.3%,7,7,84,2137000,2
Charles Taylor assembled a group of rebels in Côte d'Ivoire who later became known as the National Patriotic Front of Liberia (NPFL). They invaded Nimba County on 24 December 1989 and The Liberian Army retaliated against the whole population of the region.,Only 'several hundred deaths' by 1990 (http://www.un.org/en/peacekeeping/missions/unmil/background.shtml),1989-1996,1996,http://www.scaruffi.com/politics/dictat.html,Population of Liberia 1989.,,,,False,CHARLES TAYLOR (LIBERIA),SMALL COUNTRY,Piero Scaruffi,1989,Battle between US-backed Doe regime and Charles Taylor-led rebel forces in Liberia plunged the nation into bloody disorder.,years,GENOCIDE,,http://en.wikipedia.org/wiki/Charles_Taylor_(Liberian_politician),1993,220000,10.3%,7,7,84,2137000,2
Charles Taylor assembled a group of rebels in Côte d'Ivoire who later became known as the National Patriotic Front of Liberia (NPFL). They invaded Nimba County on 24 December 1989 and The Liberian Army retaliated against the whole population of the region.,Only 'several hundred deaths' by 1990 (http://www.un.org/en/peacekeeping/missions/unmil/background.shtml),1989-1996,1996,http://www.scaruffi.com/politics/dictat.html,Population of Liberia 1989.,,,,False,CHARLES TAYLOR (LIBERIA),SMALL COUNTRY,Piero Scaruffi,1989,Battle between US-backed Doe regime and Charles Taylor-led rebel forces in Liberia plunged the nation into bloody disorder.,years,GENOCIDE,,http://en.wikipedia.org/wiki/Charles_Taylor_(Liberian_politician),1994,220000,10.3%,7,7,84,2137000,2
Charles Taylor assembled a group of rebels in Côte d'Ivoire who later became known as the National Patriotic Front of Liberia (NPFL). They invaded Nimba County on 24 December 1989 and The Liberian Army retaliated against the whole population of the region.,Only 'several hundred deaths' by 1990 (http://www.un.org/en/peacekeeping/missions/unmil/background.shtml),1989-1996,1996,http://www.scaruffi.com/politics/dictat.html,Population of Liberia 1989.,,,,False,CHARLES TAYLOR (LIBERIA),SMALL COUNTRY,Piero Scaruffi,1989,Battle between US-backed Doe regime and Charles Taylor-led rebel forces in Liberia plunged the nation into bloody disorder.,years,GENOCIDE,,http://en.wikipedia.org/wiki/Charles_Taylor_(Liberian_politician),1995,220000,10.3%,7,7,84,2137000,2
Charles Taylor assembled a group of rebels in Côte d'Ivoire who later became known as the National Patriotic Front of Liberia (NPFL). They invaded Nimba County on 24 December 1989 and The Liberian Army retaliated against the whole population of the region.,Only 'several hundred deaths' by 1990 (http://www.un.org/en/peacekeeping/missions/unmil/background.shtml),1989-1996,1996,http://www.scaruffi.com/politics/dictat.html,Population of Liberia 1989.,,,,False,CHARLES TAYLOR (LIBERIA),SMALL COUNTRY,Piero Scaruffi,1989,Battle between US-backed Doe regime and Charles Taylor-led rebel forces in Liberia plunged the nation into bloody disorder.,years,GENOCIDE,,http://en.wikipedia.org/wiki/Charles_Taylor_(Liberian_politician),1996,220000,10.3%,7,7,84,2137000,2
"China fought between forces loyal to the government of the Republic of China led by the Kuomintang (KMT) and forces of the Communist Party of China (CPC). The war represented an ideological split (Left vs. Right) between the Communist CPC, and the KMT's brand of Nationalism.",,1928-1937,1937,http://necrometrics.com/20c1m.htm,Population of China 1928.,,,,False,CHINESE CIVIL WAR,LARGE COUNTRY,necrometrics.com,1928,Battle between Communist Party & Chinese government forces. In 1945 the two sides formed a united army against a Japanese invasio. The recommenced fighting a year after WWII.,years,CIVIL WAR,,http://en.wikipedia.org/wiki/Chinese_Civil_War,1928,5000000,1.0%,9,9,108,485508838,4
"China fought between forces loyal to the government of the Republic of China led by the Kuomintang (KMT) and forces of the Communist Party of China (CPC). The war represented an ideological split (Left vs. Right) between the Communist CPC, and the KMT's brand of Nationalism.",,1928-1937,1937,http://necrometrics.com/20c1m.htm,Population of China 1928.,,,,False,CHINESE CIVIL WAR,LARGE COUNTRY,necrometrics.com,1928,Battle between Communist Party & Chinese government forces. In 1945 the two sides formed a united army against a Japanese invasio. The recommenced fighting a year after WWII.,years,CIVIL WAR,,http://en.wikipedia.org/wiki/Chinese_Civil_War,1929,5000000,1.0%,9,9,108,485508838,4
"China fought between forces loyal to the government of the Republic of China led by the Kuomintang (KMT) and forces of the Communist Party of China (CPC). The war represented an ideological split (Left vs. Right) between the Communist CPC, and the KMT's brand of Nationalism.",,1928-1937,1937,http://necrometrics.com/20c1m.htm,Population of China 1928.,,,,False,CHINESE CIVIL WAR,LARGE COUNTRY,necrometrics.com,1928,Battle between Communist Party & Chinese government forces. In 1945 the two sides formed a united army against a Japanese invasio. The recommenced fighting a year after WWII.,years,CIVIL WAR,,http://en.wikipedia.org/wiki/Chinese_Civil_War,1930,5000000,1.0%,9,9,108,485508838,4
"China fought between forces loyal to the government of the Republic of China led by the Kuomintang (KMT) and forces of the Communist Party of China (CPC). The war represented an ideological split (Left vs. Right) between the Communist CPC, and the KMT's brand of Nationalism.",,1928-1937,1937,http://necrometrics.com/20c1m.htm,Population of China 1928.,,,,False,CHINESE CIVIL WAR,LARGE COUNTRY,necrometrics.com,1928,Battle between Communist Party & Chinese government forces. In 1945 the two sides formed a united army against a Japanese invasio. The recommenced fighting a year after WWII.,years,CIVIL WAR,,http://en.wikipedia.org/wiki/Chinese_Civil_War,1931,5000000,1.0%,9,9,108,485508838,4
"China fought between forces loyal to the government of the Republic of China led by the Kuomintang (KMT) and forces of the Communist Party of China (CPC). The war represented an ideological split (Left vs. Right) between the Communist CPC, and the KMT's brand of Nationalism.",,1928-1937,1937,http://necrometrics.com/20c1m.htm,Population of China 1928.,,,,False,CHINESE CIVIL WAR,LARGE COUNTRY,necrometrics.com,1928,Battle between Communist Party & Chinese government forces. In 1945 the two sides formed a united army against a Japanese invasio. The recommenced fighting a year after WWII.,years,CIVIL WAR,,http://en.wikipedia.org/wiki/Chinese_Civil_War,1932,5000000,1.0%,9,9,108,485508838,4
"China fought between forces loyal to the government of the Republic of China led by the Kuomintang (KMT) and forces of the Communist Party of China (CPC). The war represented an ideological split (Left vs. Right) between the Communist CPC, and the KMT's brand of Nationalism.",,1928-1937,1937,http://necrometrics.com/20c1m.htm,Population of China 1928.,,,,False,CHINESE CIVIL WAR,LARGE COUNTRY,necrometrics.com,1928,Battle between Communist Party & Chinese government forces. In 1945 the two sides formed a united army against a Japanese invasio. The recommenced fighting a year after WWII.,years,CIVIL WAR,,http://en.wikipedia.org/wiki/Chinese_Civil_War,1933,5000000,1.0%,9,9,108,485508838,4
"China fought between forces loyal to the government of the Republic of China led by the Kuomintang (KMT) and forces of the Communist Party of China (CPC). The war represented an ideological split (Left vs. Right) between the Communist CPC, and the KMT's brand of Nationalism.",,1928-1937,1937,http://necrometrics.com/20c1m.htm,Population of China 1928.,,,,False,CHINESE CIVIL WAR,LARGE COUNTRY,necrometrics.com,1928,Battle between Communist Party & Chinese government forces. In 1945 the two sides formed a united army against a Japanese invasio. The recommenced fighting a year after WWII.,years,CIVIL WAR,,http://en.wikipedia.org/wiki/Chinese_Civil_War,1934,5000000,1.0%,9,9,108,485508838,4
"China fought between forces loyal to the government of the Republic of China led by the Kuomintang (KMT) and forces of the Communist Party of China (CPC). The war represented an ideological split (Left vs. Right) between the Communist CPC, and the KMT's brand of Nationalism.",,1928-1937,1937,http://necrometrics.com/20c1m.htm,Population of China 1928.,,,,False,CHINESE CIVIL WAR,LARGE COUNTRY,necrometrics.com,1928,Battle between Communist Party & Chinese government forces. In 1945 the two sides formed a united army against a Japanese invasio. The recommenced fighting a year after WWII.,years,CIVIL WAR,,http://en.wikipedia.org/wiki/Chinese_Civil_War,1935,5000000,1.0%,9,9,108,485508838,4
"China fought between forces loyal to the government of the Republic of China led by the Kuomintang (KMT) and forces of the Communist Party of China (CPC). The war represented an ideological split (Left vs. Right) between the Communist CPC, and the KMT's brand of Nationalism.",,1928-1937,1937,http://necrometrics.com/20c1m.htm,Population of China 1928.,,,,False,CHINESE CIVIL WAR,LARGE COUNTRY,necrometrics.com,1928,Battle between Communist Party & Chinese government forces. In 1945 the two sides formed a united army against a Japanese invasio. The recommenced fighting a year after WWII.,years,CIVIL WAR,,http://en.wikipedia.org/wiki/Chinese_Civil_War,1936,5000000,1.0%,9,9,108,485508838,4
"China fought between forces loyal to the government of the Republic of China led by the Kuomintang (KMT) and forces of the Communist Party of China (CPC). The war represented an ideological split (Left vs. Right) between the Communist CPC, and the KMT's brand of Nationalism.",,1928-1937,1937,http://necrometrics.com/20c1m.htm,Population of China 1928.,,,,False,CHINESE CIVIL WAR,LARGE COUNTRY,necrometrics.com,1928,Battle between Communist Party & Chinese government forces. In 1945 the two sides formed a united army against a Japanese invasio. The recommenced fighting a year after WWII.,years,CIVIL WAR,,http://en.wikipedia.org/wiki/Chinese_Civil_War,1937,5000000,1.0%,9,9,108,485508838,4
"Falling states, ethnic tensions plus aftermath of the Rwandan genocide. Most deaths were as a result of malnutrition and disease.",Some controversy over the death toll. This BBC article explains: http://news.bbc.co.uk/1/hi/world/africa/8471147.stm,1998-2005,2008,http://news.bbc.co.uk/1/hi/world/africa/8471147.stm,Population of DR Congo 1998.,,,,False,CONGO WAR,MEDIUM COUNTRY,BBC,1998,Regional disruption and ethnic tensions after the Rwandan massacre triggered a wider conflict.,years,CIVIL WAR,territorial,http://en.wikipedia.org/wiki/First_Congo_War and http://en.wikipedia.org/wiki/Second_Congo_War,1998,3000000,6.7%,7,7,84,44960000,3
"Falling states, ethnic tensions plus aftermath of the Rwandan genocide. Most deaths were as a result of malnutrition and disease.",Some controversy over the death toll. This BBC article explains: http://news.bbc.co.uk/1/hi/world/africa/8471147.stm,1998-2005,2008,http://news.bbc.co.uk/1/hi/world/africa/8471147.stm,Population of DR Congo 1998.,,,,False,CONGO WAR,MEDIUM COUNTRY,BBC,1998,Regional disruption and ethnic tensions after the Rwandan massacre triggered a wider conflict.,years,CIVIL WAR,territorial,http://en.wikipedia.org/wiki/First_Congo_War and http://en.wikipedia.org/wiki/Second_Congo_War,1999,3000000,6.7%,7,7,84,44960000,3
"Falling states, ethnic tensions plus aftermath of the Rwandan genocide. Most deaths were as a result of malnutrition and disease.",Some controversy over the death toll. This BBC article explains: http://news.bbc.co.uk/1/hi/world/africa/8471147.stm,1998-2005,2008,http://news.bbc.co.uk/1/hi/world/africa/8471147.stm,Population of DR Congo 1998.,,,,False,CONGO WAR,MEDIUM COUNTRY,BBC,1998,Regional disruption and ethnic tensions after the Rwandan massacre triggered a wider conflict.,years,CIVIL WAR,territorial,http://en.wikipedia.org/wiki/First_Congo_War and http://en.wikipedia.org/wiki/Second_Congo_War,2000,3000000,6.7%,7,7,84,44960000,3
"Falling states, ethnic tensions plus aftermath of the Rwandan genocide. Most deaths were as a result of malnutrition and disease.",Some controversy over the death toll. This BBC article explains: http://news.bbc.co.uk/1/hi/world/africa/8471147.stm,1998-2005,2008,http://news.bbc.co.uk/1/hi/world/africa/8471147.stm,Population of DR Congo 1998.,,,,False,CONGO WAR,MEDIUM COUNTRY,BBC,1998,Regional disruption and ethnic tensions after the Rwandan massacre triggered a wider conflict.,years,CIVIL WAR,territorial,http://en.wikipedia.org/wiki/First_Congo_War and http://en.wikipedia.org/wiki/Second_Congo_War,2001,3000000,6.7%,7,7,84,44960000,3
"Falling states, ethnic tensions plus aftermath of the Rwandan genocide. Most deaths were as a result of malnutrition and disease.",Some controversy over the death toll. This BBC article explains: http://news.bbc.co.uk/1/hi/world/africa/8471147.stm,1998-2005,2008,http://news.bbc.co.uk/1/hi/world/africa/8471147.stm,Population of DR Congo 1998.,,,,False,CONGO WAR,MEDIUM COUNTRY,BBC,1998,Regional disruption and ethnic tensions after the Rwandan massacre triggered a wider conflict.,years,CIVIL WAR,territorial,http://en.wikipedia.org/wiki/First_Congo_War and http://en.wikipedia.org/wiki/Second_Congo_War,2002,3000000,6.7%,7,7,84,44960000,3
"Falling states, ethnic tensions plus aftermath of the Rwandan genocide. Most deaths were as a result of malnutrition and disease.",Some controversy over the death toll. This BBC article explains: http://news.bbc.co.uk/1/hi/world/africa/8471147.stm,1998-2005,2008,http://news.bbc.co.uk/1/hi/world/africa/8471147.stm,Population of DR Congo 1998.,,,,False,CONGO WAR,MEDIUM COUNTRY,BBC,1998,Regional disruption and ethnic tensions after the Rwandan massacre triggered a wider conflict.,years,CIVIL WAR,territorial,http://en.wikipedia.org/wiki/First_Congo_War and http://en.wikipedia.org/wiki/Second_Congo_War,2003,3000000,6.7%,7,7,84,44960000,3
"Falling states, ethnic tensions plus aftermath of the Rwandan genocide. Most deaths were as a result of malnutrition and disease.",Some controversy over the death toll. This BBC article explains: http://news.bbc.co.uk/1/hi/world/africa/8471147.stm,1998-2005,2008,http://news.bbc.co.uk/1/hi/world/africa/8471147.stm,Population of DR Congo 1998.,,,,False,CONGO WAR,MEDIUM COUNTRY,BBC,1998,Regional disruption and ethnic tensions after the Rwandan massacre triggered a wider conflict.,years,CIVIL WAR,territorial,http://en.wikipedia.org/wiki/First_Congo_War and http://en.wikipedia.org/wiki/Second_Congo_War,2004,3000000,6.7%,7,7,84,44960000,3
"Falling states, ethnic tensions plus aftermath of the Rwandan genocide. Most deaths were as a result of malnutrition and disease.",Some controversy over the death toll. This BBC article explains: http://news.bbc.co.uk/1/hi/world/africa/8471147.stm,1998-2005,2008,http://news.bbc.co.uk/1/hi/world/africa/8471147.stm,Population of DR Congo 1998.,,,,False,CONGO WAR,MEDIUM COUNTRY,BBC,1998,Regional disruption and ethnic tensions after the Rwandan massacre triggered a wider conflict.,years,CIVIL WAR,territorial,http://en.wikipedia.org/wiki/First_Congo_War and http://en.wikipedia.org/wiki/Second_Congo_War,2005,3000000,6.7%,7,7,84,44960000,3
