Country killed,Country killed (group),Coverage,Date,Date 1 New,Date1,Date2,Freelance,Impunity for murder,Job,Local Foreign,Medium,Name,Nationality,Number,Organization,Point,Sex,Source fire,Taken captive,Threatened,Tortured,Type,Type (group),Type death,Type death (group),Type death (group) 1,Year,Number of Records,X,Y
Afghanistan,Afghanistan,"Politics, War","january 15, 2008",1/15/2008,"january 15, 2008",,No,,Print Reporter,Foreign,Print,Carsten Thomassen,Norway,18,Dagbladet,18,Male,Political Group,No,No,No,Motive Confirmed,Other,Dangerous Assignment,Dangerous Assignment,Dangerous Assignment,2008,1,24.352408974,17.499993484
Afghanistan,Afghanistan,Crime,"june 7 or 8, 2008",6/7/2008,"june 7, 2008",,No,Yes,"Broadcast, Print Reporter",Local,"Print, Radio",Abdul Samad Rohani,Afghanistan,19,BBC and Pajhwok Afghan News,19,Male,Criminal Group,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,2008,1,17.719803248,25.126596375
Afghanistan,Afghanistan,,"march 11, 2009",3/11/2009,"march 11, 2009",,Unknown,,,Unknown,,Jawed Ahmad,Unknown,20,freelance,20,,,Unknown,,Unknown,Motive Unconfirmed,Motive Unconfirmed,,Unknown,Unknown,2009,1,8.972643657,30.180268647
Afghanistan,Afghanistan,"Human Rights, War","september  9, 2009",9/9/2009,"september  9, 2009",,Yes,,Print Reporter,Local,Print,Sultan Mohammed Munadi,Afghanistan,21,The New York Times,21,Male,Political Group,Yes,Yes,Unknown,Motive Confirmed,Other,Dangerous Assignment,Dangerous Assignment,Dangerous Assignment,2009,1,-0.921789809,32.194744074
Afghanistan,Afghanistan,War,"december 30, 2009",12/30/2009,"december 30, 2009",,No,,Print Reporter,Foreign,Print,Michelle Lang,Canada,22,Calgary Herald and Canwest News Service,22,Female,Political Group,Unknown,,Unknown,Motive Confirmed,Other,Crossfire/Combat-Related,Crossfire/Combat-Related,Crossfire/Combat-Related,2009,1,-10.948614144,31.039495214
Afghanistan,Afghanistan,War,"january 10, 2010",1/10/2010,"january 10, 2010",,No,,Print Reporter,Foreign,Print,Rupert Hamer,British,23,Sunday Mirror,23,Male,Political Group,Unknown,,Unknown,Motive Confirmed,Other,Crossfire/Combat-Related,Crossfire/Combat-Related,Crossfire/Combat-Related,2010,1,-20.147423952,26.895236538
Afghanistan,Afghanistan,War,"june 24, 2010",6/24/2010,"june 24, 2010",,No,,"Photographer, Print Reporter",Foreign,Print,James P. Hunter,American,24,"Fort Campbell Courier, U.S. military publications",24,Male,Political Group,No,No,No,Motive Confirmed,Other,Crossfire/Combat-Related,Crossfire/Combat-Related,Crossfire/Combat-Related,2010,1,-27.694347153,20.204608015
Afghanistan,Afghanistan,,"september  5, 2010",9/5/2010,"september  5, 2010",,Unknown,,,Unknown,,Sayed Hamid Noori,Afghanistan,25,Radio Television Afghanistan,25,,,Unknown,,Unknown,Motive Unconfirmed,Motive Unconfirmed,,Unknown,Unknown,2010,1,-32.960527606,11.606868101
Afghanistan,Afghanistan,War,"july 28, 2011",7/28/2011,"july 28, 2011",,No,,"Broadcast, Photographer",Local,"Print, Television",Ahmad Omaid Khpalwak,Afghanistan,26,"Pajhwok Afghan News, BBC",26,Male,Military Officials,No,No,No,Motive Confirmed,Other,Crossfire/Combat-Related,Crossfire/Combat-Related,Crossfire/Combat-Related,2011,1,-35.546225433,1.864887026
Afghanistan,Afghanistan,"Politics, War","september 20, 2011",9/20/2011,"september 20, 2011",,No,,Camera Operator,Foreign,Television,Farhad Taqaddosi,Iran,27,Press TV,27,Male,Political Group,Unknown,,Unknown,Motive Confirmed,Other,Crossfire/Combat-Related,Crossfire/Combat-Related,Crossfire/Combat-Related,2011,1,-35.291866418,-8.208346658
Afghanistan,Afghanistan,,"february 21 or 22, 2012",2/21/2012,"february 21, 2012",,Unknown,,,Unknown,,Samid Khan Bahadarzai,Afghanistan,28,Melma Radio,28,,,Unknown,,Unknown,Motive Unconfirmed,Motive Unconfirmed,,Unknown,Unknown,2012,1,-32.268908622,-17.817881811
Afghanistan,Afghanistan,,"january 23, 2014",1/23/2014,"january 23, 2014",,Unknown,,,Unknown,,Noor Ahmad Noori,Afghanistan,29,Bost,29,,,Unknown,,Unknown,Motive Unconfirmed,Motive Unconfirmed,,Unknown,Unknown,2014,1,-26.754368755,-26.245312397
Afghanistan,Afghanistan,"Politics, War","march 11, 2014",3/11/2014,"march 11, 2014",,No,,Broadcast,Foreign,Radio,Nils Horner,Sweden,30,Sveriges Radio,30,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Dangerous Assignment,Dangerous Assignment,Dangerous Assignment,2014,1,-19.193333317,-32.894824837
Afghanistan,Afghanistan,"Human Rights, War","april  4, 2014",4/4/2014,"april  4, 2014",,No,,Photographer,Foreign,"Print, Internet",Anja Niedringhaus,Germany,31,The Associated Press,31,Female,Government Officials,No,No,No,Motive Confirmed,Other,Dangerous Assignment,Dangerous Assignment,Dangerous Assignment,2014,1,-10.153855560,-37.325353384
Afghanistan,Afghanistan,,"september 17, 2014",9/17/2014,"september 17, 2014",,Unknown,,,Unknown,,Palwasha Tokhi,Afghanistan,32,Bayan-e-Shamal,32,,,Unknown,,Unknown,Motive Unconfirmed,Motive Unconfirmed,,Unknown,Unknown,2014,1,-0.278399502,-39.268608437
Afghanistan,Afghanistan,"Human Rights, Politics, War","december 21, 2014",12/21/2014,"december 21, 2014",,No,,Camera Operator,Local,Television,Zubair Hatami,Afghanistan,33,Mitra TV,33,Male,Political Group,No,No,No,Motive Confirmed,Other,Dangerous Assignment,Dangerous Assignment,Dangerous Assignment,2014,1,9.764475747,-38.633718307
Afghanistan,Afghanistan,,"january 29, 2016",1/29/2016,"january 29, 2016",,Unknown,,,Unknown,,Mohammad Zubair Khaksar,Afghan,34,Nangarhar Radio and Television,34,,,Unknown,,Unknown,Motive Unconfirmed,Motive Unconfirmed,,Unknown,Unknown,2016,1,19.325113473,-35.499965600
Afghanistan,Afghanistan,,"june  5, 2016",6/5/2016,"june  5, 2016",,No,,Photographer,Foreign,"Radio, Internet",David Gilkey,American,35,National Public Radio,35,Male,Political Group,Unknown,,Unknown,Motive Confirmed,Other,Crossfire/Combat-Related,Crossfire/Combat-Related,Crossfire/Combat-Related,2016,1,27.812053723,-30.099609654
Afghanistan,Afghanistan,"Culture, Human Rights, Politics, War","june  5, 2016",6/5/2016,"june  5, 2016",,Yes,,Producer,Local,"Print, Radio, Internet",Zabihullah Tamanna,Afghan,36,National Public Radio,36,Male,Political Group,No,No,No,Motive Confirmed,Other,Crossfire/Combat-Related,Crossfire/Combat-Related,Crossfire/Combat-Related,2016,1,34.723951730,-22.793083340
Algeria,Algeria,"Corruption, Human Rights, Politics","december 27, 1992",12/27/1992,"december 27, 1992",,Yes,Yes,Print Reporter,Local,Print,Youcef Sebti,Algeria,1,Freelancer,1,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1992,1,-3.090169944,-9.510565163
Algeria,Algeria,"Corruption, Politics","june  2, 1993",6/2/1993,"june  2, 1993",,No,Yes,"Editor, Publisher",Local,Print,Tahar Djaout,Algeria,2,Ruptures,2,Male,Political Group,No,Yes,No,Motive Confirmed,Other,Murder,Murder,Murder,1993,1,7.773190463,-9.498410343
Algeria,Algeria,Politics,"august  3, 1993",8/3/1993,"august  3, 1993",,No,Yes,Broadcast,Local,Television,Rabah Zenati,Algeria,3,Algerian State Television,3,Male,Political Group,No,Yes,No,Motive Confirmed,Other,Murder,Murder,Murder,1993,1,14.091306992,-0.990859251
Algeria,Algeria,,"august  9, 1993",8/9/1993,"august  9, 1993",,No,Yes,Print Reporter,Local,Print,Abdelhamid Benmeni,Algeria,4,AlgÃ©rie-ActualitÃ©,4,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1993,1,12.642991314,9.368294483
Algeria,Algeria,Politics,"september 10, 1993",9/10/1993,"september 10, 1993",,No,Yes,Print Reporter,Local,Print,Saad Bakhtaoui,Algeria,5,El-Minbar,5,Male,Unknown Fire,Yes,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1993,1,5.037593584,16.425388861
Algeria,Algeria,Politics,"september 28, 1993",9/28/1993,"september 28, 1993",,Yes,Yes,Print Reporter,Local,Print,Abderrahmane Chergou,Algeria,6,Freelance,6,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1993,1,-5.193030175,17.760275011
Algeria,Algeria,,"october  5, 1993",10/5/1993,"october  5, 1993",,No,Yes,Photographer,Local,Print,Djamel Bouhidel,Algeria,7,Nouveau Tell,7,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1993,1,-14.493130968,13.391292603
Algeria,Algeria,"Business, Culture, Politics","october 14, 1993",10/14/1993,"october 14, 1993",,No,Yes,Producer,Local,Television,Mustafa Abada,Algeria,8,Algerian State Television,8,Male,Political Group,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1993,1,-20.290584026,4.946738521
Algeria,Algeria,Human Rights,"october 18, 1993",10/18/1993,"october 18, 1993",,No,Yes,Producer,Local,Television,Smail Yefsah,Algeria,9,Algerian State Television,9,Male,Political Group,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1993,1,-21.345366462,-5.216451179
Algeria,Algeria,War,"february  1, 1994",2/1/1994,"february  1, 1994",,Yes,Yes,Camera Operator,Foreign,Television,Olivier Quemener,France,10,Freelancer,10,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1994,1,-17.674835018,-14.730231596
Algeria,Algeria,Politics,"february 28, 1994",2/28/1994,"february 28, 1994",,No,Partial,Broadcast,Foreign,Television,Abdelkader Hireche,Algeria,11,Algerian Television (ENTV),11,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1994,1,-10.251222035,-21.696573791
Algeria,Algeria,,"march  1, 1994",3/1/1994,"march  1, 1994",,Unknown,,,Unknown,,Mohamed Hassaine,Unknown,12,Alger RÃ©publicain,12,,,Unknown,,Unknown,Motive Unconfirmed,Motive Unconfirmed,,Unknown,Unknown,1994,1,-0.615119571,-24.936340482
Algeria,Algeria,,"march 12, 1994",3/12/1994,"march 12, 1994",,No,Yes,Broadcast,Local,Television,Hassan Benaouda,Algeria,13,Algerian Television (ENTV),13,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1994,1,9.499876598,-24.046943024
Algeria,Algeria,Politics,"march 19, 1994",3/19/1994,"march 19, 1994",,No,Yes,"Editor, Print Reporter",Local,Print,Yahia Djamel Benzaghou,Algeria,14,Unknown,14,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1994,1,18.476275687,-19.322952385
Algeria,Algeria,"Corruption, Politics","march 20, 1994",3/20/1994,"march 20, 1994",,No,Yes,Photographer,Local,Print,Madjid Yacef,Algeria,15,L'Hebdo LibÃ©rÃ©,15,Male,Political Group,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1994,1,25.030744782,-11.593410284
Algeria,Algeria,"Politics, War","april 13, 1994",4/13/1994,"april 13, 1994",,No,Yes,Print Reporter,Local,Print,Mohamed Meceffeuk,Algeria,16,DÃ©tective,16,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1994,1,28.337408412,-2.022082411
Algeria,Algeria,,"june  7, 1994",6/7/1994,"june  7, 1994",,No,Yes,Editor,Local,Print,Ferhat Cherkit,Algeria,17,El Moudjahid,17,Male,Political Group,No,Yes,No,Motive Confirmed,Other,Murder,Murder,Murder,1994,1,28.066078448,8.093584670
Algeria,Algeria,,"july 10, 1994",7/10/1994,"july 10, 1994",,No,Yes,Editor,Local,Print,Yasmina Drici,Algeria,18,Le Soir d'AlÃ©grie,18,Female,Unknown Fire,Unknown,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1994,1,24.352408974,17.499993484
Algeria,Algeria,"Politics, War","july 21, 1994",7/21/1994,"july 21, 1994",,No,Yes,Print Reporter,Local,Print,Mohamed Lamine Legoui,Algeria,19,Algerian Press Service,19,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1994,1,17.719803248,25.126596375
Algeria,Algeria,"Politics, War","september 25, 1994",9/25/1994,"september 25, 1994",,No,Yes,Print Reporter,Local,Print,Smail Sbaghdi,Algeria,20,Algerian Press Service,20,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1994,1,8.972643657,30.180268647
Algeria,Algeria,"Culture, Politics","september 25, 1994",9/25/1994,"september 25, 1994",,No,Yes,Camera Operator,Local,Television,Mouloud Barroudi,Algeria,21,National Agency of Filmed News,21,Male,Unknown Fire,Yes,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1994,1,-0.921789809,32.194744074
Algeria,Algeria,Politics,"october 12, 1994",10/12/1994,"october 12, 1994",,No,Yes,Editor,Local,Print,Lahcene Bensaadallah,Algeria,22,El-Irshad,22,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1994,1,-10.948614144,31.039495214
Algeria,Algeria,"Politics, War","october 16, 1994",10/16/1994,"october 16, 1994",,No,Yes,Broadcast,Local,Radio,Tayeb Bouterfif,Algeria,23,Algerian Radio,23,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1994,1,-20.147423952,26.895236538
Algeria,Algeria,"Politics, War","october 20, 1994",10/20/1994,"october 20, 1994",,No,Yes,Print Reporter,Local,Print,Mohamed Salah Benachour,Algeria,24,Algerian Press Service,24,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1994,1,-27.694347153,20.204608015
Algeria,Algeria,Politics,"october 20, 1994",10/20/1994,"october 20, 1994",,No,Yes,Editor,Local,Print,Farah Ziane,Algeria,25,RÃ©volution Africaine,25,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1994,1,-32.960527606,11.606868101
Algeria,Algeria,,"november 30, 1994",11/30/1994,"november 30, 1994",,No,Yes,Print Reporter,Local,Print,Nasseredine Lekhal,Algeria,26,El-Massa,26,Male,Unknown Fire,No,No,Yes,Motive Confirmed,Other,Murder,Murder,Murder,1994,1,-35.546225433,1.864887026
Algeria,Algeria,,"november 30, 1994",11/30/1994,"november 30, 1994",,No,Yes,Broadcast,Local,Television,Ahmed Issaad,Algeria,27,Algerian Television,27,Male,Unknown Fire,No,No,Yes,Motive Confirmed,Other,Murder,Murder,Murder,1994,1,-35.291866418,-8.208346658
Algeria,Algeria,"Business, Culture, Politics, War","december  4, 1994",12/4/1994,"december  4, 1994",,No,Yes,Editor,Local,Print,Said Mekbel,Algeria,28,Le Matin,28,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1994,1,-32.268908622,-17.817881811
Algeria,Algeria,"Corruption, Politics","january 6, 1995",1/6/1995,"january 6, 1995",,No,Yes,Print Reporter,Local,Print,Zineddine Aliou Salah,Algeria,29,LibertÃ©,29,Male,Political Group,No,Yes,No,Motive Confirmed,Other,Murder,Murder,Murder,1995,1,-26.754368755,-26.245312397
Algeria,Algeria,,"january  7, 1995",1/7/1995,"january  7, 1995",,No,Yes,Producer,Local,Radio,Ali Abboud,Algeria,30,Radio Chaine 1,30,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1995,1,-19.193333317,-32.894824837
Algeria,Algeria,,"january 12, 1995",1/12/1995,"january 12, 1995",,No,Yes,Editor,Local,Print,Abdelhamid Yahiaoui,Algeria,31,El-Chaab,31,Male,Unknown Fire,Yes,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1995,1,-10.153855560,-37.325353384
Algeria,Algeria,,"february  1, 1995",2/1/1995,"february  1, 1995",,No,Yes,Producer,Local,Television,Nacer Ouari,Algeria,32,Algerian State Television,32,Male,Political Group,No,Yes,No,Motive Confirmed,Other,Murder,Murder,Murder,1995,1,-0.278399502,-39.268608437
Algeria,Algeria,,"february 17, 1995",2/17/1995,"february 17, 1995",,No,Yes,Print Reporter,Local,Print,Djamel Ziater,Algeria,33,El-Djoumhouria,33,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1995,1,9.764475747,-38.633718307
Algeria,Algeria,"Culture, War","march 21, 1995",3/21/1995,"march 21, 1995",,No,Yes,Publisher,Local,Television,Ali Boukerbache,Algeria,34,Media-TV,34,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1995,1,19.325113473,-35.499965600
Algeria,Algeria,"Culture, Politics","march 27, 1995",3/27/1995,"march 27, 1995",,No,Yes,Editor,Local,Print,Mohamed Abderrahmani,Algeria,35,El-Moudjahid,35,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1995,1,27.812053723,-30.099609654
Algeria,Algeria,"Corruption, Human Rights, Politics","march 31, 1995",3/31/1995,"march 31, 1995",,No,Yes,Broadcast,Local,Television,Rachida Hammadi,Algeria,36,Algerian State Television,36,Female,Political Group,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1995,1,34.723951730,-22.793083340
Algeria,Algeria,Sports,"april  4, 1995",4/4/1995,"april  4, 1995",,No,Yes,Broadcast,Local,Television,Mekhlouf Boukzer,Algeria,37,Algerian State Television,37,Male,Unknown Fire,Yes,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1995,1,39.673133082,-14.038962004
Algeria,Algeria,"Culture, Politics, War","may 15, 1995",5/15/1995,"may 15, 1995",,No,Yes,Editor,Local,Print,Azzedine Saidj,Algeria,38,El-Ouma,38,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1995,1,42.400422974,-4.361055065
Algeria,Algeria,Culture,"may 21, 1995",5/21/1995,"may 21, 1995",,No,Yes,Print Reporter,Local,Print,Malika Sabour,Algeria,39,Echourouk al-Arabi,39,Female,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1995,1,42.781427537,5.685200264
Algeria,Algeria,Politics,"may 22, 1995",5/22/1995,"may 22, 1995",,No,Yes,Columnist,Local,Print,Bakhti Benaouda,Algeria,40,El-Djoumhouria,40,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1995,1,40.824888079,15.545125986
Algeria,Algeria,,"may 27, 1995",5/27/1995,"may 27, 1995",,No,Yes,Broadcast,Local,Television,Mourad Hmaizi,Algeria,41,Algerian State Television,41,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1995,1,36.664068466,24.694376741
Algeria,Algeria,,"june 18, 1995",6/18/1995,"june 18, 1995",,No,Yes,Broadcast,Local,Radio,Ahmed (aka Hakim) Takouchet,Algeria,42,Radio Cirta,42,Male,Unknown Fire,Yes,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1995,1,30.542372670,32.664461116
Algeria,Algeria,Culture,"august  2, 1995",8/2/1995,"august  2, 1995",,No,Yes,Print Reporter,Local,Print,NaÃ¯ma Hammouda,Algeria,43,RÃ©volution Africaine,43,Female,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1995,1,22.794529571,39.063337141
Algeria,Algeria,"Business, Culture, Politics","august 20, 1995",8/20/1995,"august 20, 1995",,No,Yes,Editor,Local,Print,Ameur Ouagueni,Algeria,44,Le Matin,44,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1995,1,13.824735035,43.590562599
Algeria,Algeria,War,"september  3, 1995",9/3/1995,"september  3, 1995",,No,Yes,Editor,Local,Print,SaÃ¯d Tazrout,Algeria,45,Le Matin,45,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1995,1,4.083118986,46.046809006
Algeria,Algeria,Politics,"september  4, 1995",9/4/1995,"september  4, 1995",,No,Yes,Columnist,Local,Print,Brahim Guaraoui,Algeria,46,El-Moudjahid,46,Male,Unknown Fire,Yes,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1995,1,-5.958178915,46.337839068
Algeria,Algeria,"Culture, Sports","september  4, 1995",9/4/1995,"september  4, 1995",,No,Yes,Broadcast,Local,Radio,Yasmina Brikh,Algeria,47,Algerian Radio,47,Female,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1995,1,-15.828173602,44.473293387
Algeria,Algeria,War,"september  9, 1995",9/9/1995,"september  9, 1995",,No,Yes,Broadcast,Local,Television,SaÃ¯d Brahimi,Algeria,48,Algerian State Television,48,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1995,1,-25.078454280,40.560829082
Algeria,Algeria,War,"october  3, 1995",10/3/1995,"october  3, 1995",,No,Yes,Editor,Local,Print,Omar Ouartilan,Algeria,49,El-Khabar,49,Male,Political Group,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1995,1,-33.302063318,34.796299544
Algeria,Algeria,,"october 17, 1995",10/17/1995,"october 17, 1995",,No,Yes,Print Reporter,Local,Print,SaÃ¯da Djebaili,Algeria,50,Al-Hayat al-Arabia,50,Female,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1995,1,-40.149237086,27.450761826
Algeria,Algeria,,"december  2, 1995",12/2/1995,"december  2, 1995",,No,Yes,Print Reporter,Local,Print,Hamid Mahiout,Algeria,51,LibertÃ©,51,Male,Unknown Fire,Yes,No,Yes,Motive Confirmed,Other,Murder,Murder,Murder,1995,1,-45.339610499,18.855149395
Algeria,Algeria,,"december  5, 1995",12/5/1995,"december  5, 1995",,No,Yes,Print Reporter,Local,Print,Khadija Dahmani,Algeria,52,Echourouk al-Arabi,52,Female,Political Group,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1995,1,-48.670678017,9.383457496
Algeria,Algeria,"Politics, War","january 10, 1996",1/10/1996,"january 10, 1996",,No,Yes,Print Reporter,Local,Print,Mohamed Mekati,Algeria,53,El-Moudjahid,53,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1996,1,-50.022479862,-0.564738198
