CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
40560896,YAKITORI TAISHO,MANHATTAN,5,ST MARKS PLACE,10003,2122285086,Japanese,8/13/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,,,8/28/2017,Cycle Inspection / Initial Inspection
41696945,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,QUEENS,13858,FRANCIS LEWIS BOULEVARD,11422,7183412011,Caribbean,10/14/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,24,,,8/28/2017,Cycle Inspection / Initial Inspection
41701178,CRAB SPOT RESTAURANT,BROOKLYN,833,UNION STREET,11215,7186222722,Seafood,7/28/2016,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,12,A,7/28/2016,8/28/2017,Cycle Inspection / Initial Inspection
41374557,M NOODLE SHOP,BROOKLYN,549,METROPOLITAN AVENUE,11211,7183848008,Chinese,1/19/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,1/19/2017,8/28/2017,Cycle Inspection / Re-inspection
41688137,LOWER SUITES STOLI BAR SOUTH CLUB LOUNGE,BROOKLYN,620,ATLANTIC AVENUE,11217,9176186310,American,1/25/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,1/25/2017,8/28/2017,Cycle Inspection / Initial Inspection
40570634,AN BEAL BOCHT CAFE,BRONX,445,WEST  238 STREET,10463,7188847127,American,8/14/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,8/14/2017,8/28/2017,Cycle Inspection / Re-inspection
41552184,NOM WAH TEA/DIM SUM PALOR,MANHATTAN,13,DOYERS STREET,10013,2129626047,Chinese,9/2/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,18,B,9/2/2014,8/28/2017,Cycle Inspection / Re-inspection
41696159,LUIGI'S PIZZA & PASTA,BRONX,119,EAST MOUNT EDEN AVENUE,10452,7182941800,Pizza,10/27/2014,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,10/27/2014,8/28/2017,Cycle Inspection / Re-inspection
50000705,ANARKALI INDIAN FOOD,BROOKLYN,1125,CHURCH AVE,11218,7182822200,Indian,6/25/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,31,,,8/28/2017,Cycle Inspection / Initial Inspection
41575449,MIDNIGHT EXPRESS,MANHATTAN,1715,2 AVENUE,10128,2128602320,American,12/19/2014,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,25,,,8/28/2017,Cycle Inspection / Initial Inspection
41690659,NEW PANDA GARDEN,QUEENS,5917,ROOSEVELT AVENUE,11377,7184241038,Chinese,8/28/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,28,,,8/28/2017,Cycle Inspection / Initial Inspection
50018449,SPRING FISH VILLAGE,QUEENS,13621,41ST AVE,11355,7189393633,Chinese,3/21/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,19,,,8/28/2017,Cycle Inspection / Initial Inspection
41611667,SERVICE BAR 7,QUEENS,11000,ROCKAWAY BOULEVARD,11420,6465881074,American,4/7/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7,A,4/7/2016,8/28/2017,Cycle Inspection / Initial Inspection
41006018,THE FIVE SPOT,BROOKLYN,459,MYRTLE AVENUE,11205,7188520202,Soul Food,5/12/2016,Violations were cited in the following area(s).,04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",Critical,16,,,8/28/2017,Cycle Inspection / Initial Inspection
50017063,MEZQUITE,QUEENS,4506,30TH AVE,11103,7182551722,Mexican,1/31/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,17,,,8/28/2017,Cycle Inspection / Initial Inspection
40743578,EL RUMBERO BAR RESTAURANT,QUEENS,8205,NORTHERN BOULEVARD,11372,7188033125,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/16/2017,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,10,,,8/28/2017,Cycle Inspection / Initial Inspection
50055935,TROPICAL REVIVAL RESTAURANT & CATERING,QUEENS,1240C,CLINTONVILLE ST,11357,9175637877,Caribbean,11/15/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,11/15/2016,8/28/2017,Pre-permit (Operational) / Initial Inspection
41468267,ICHI UMI,MANHATTAN,6,EAST   32 STREET,10016,2127251333,Japanese,9/26/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,9/26/2016,8/28/2017,Cycle Inspection / Re-inspection
50047546,BROOKLYN DINER,BROOKLYN,5922-24,AVENUE N,11234,7182092246,American,4/25/2017,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,47,,,8/28/2017,Cycle Inspection / Initial Inspection
50000892,ANABLE BASIN SAILING,QUEENS,Apr-40,44 DRIVE,11101,6462071333,American,5/20/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,5/20/2015,8/28/2017,Cycle Inspection / Initial Inspection
50012840,MR. WONTON,QUEENS,7805,JAMAICA AVE,11421,7182963800,Chinese,6/16/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,6/16/2015,8/28/2017,Cycle Inspection / Re-inspection
41312436,BAGEL WORLD,BROOKLYN,223,DEKALB AVENUE,11205,7186432686,Bagels/Pretzels,7/24/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,27,,,8/28/2017,Cycle Inspection / Initial Inspection
50042390,BEST EAST STAR RESTAURANT,QUEENS,8024,NORTHERN BLVD,11372,7184783088,Chinese,2/7/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,2/7/2017,8/28/2017,Cycle Inspection / Initial Inspection
50032836,HAPPY RESTAURANT,QUEENS,4028,MAIN ST,11354,9175672882,Chinese,9/17/2015,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,25,,,8/28/2017,Cycle Inspection / Compliance Inspection
40668380,WOLF AND LAMB,MANHATTAN,10,EAST   48 STREET,10017,2123171950,Steak,12/16/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,12/16/2014,8/28/2017,Cycle Inspection / Re-inspection
50060117,KBBQ,MANHATTAN,672,LEXINGTON AVE,10022,2123178822,Korean,6/26/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A,6/26/2017,8/28/2017,Pre-permit (Operational) / Initial Inspection
41681367,JUMBO CHINESE KITCHEN,QUEENS,11304,JAMAICA AVENUE,11418,7184415946,Chinese,7/13/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,38,,,8/28/2017,Cycle Inspection / Initial Inspection
41184464,REGAL CINEMAS,QUEENS,8028,COOPER AVENUE,11385,7184161349,American,10/17/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,27,,,8/28/2017,Cycle Inspection / Initial Inspection
41473028,OLD SICHUAN CUISINE,MANHATTAN,65,BAYARD STREET,10013,2122279888,Chinese,12/1/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,19,,,8/28/2017,Cycle Inspection / Initial Inspection
41427683,HUDSON'S MARKET @ SHERATON NEW YORK,MANHATTAN,811,7 AVENUE,10019,2128416569,American,4/2/2015,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,11,A,4/2/2015,8/28/2017,Cycle Inspection / Initial Inspection
41454995,MANOLO TAPAS RESTAURANT,MANHATTAN,4161,BROADWAY,10033,2129239100,Tapas,1/21/2016,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,17,B,1/21/2016,8/28/2017,Cycle Inspection / Re-inspection
50003400,THE CHESTER,MANHATTAN,18,9TH AVE,10014,6462532284,American,11/27/2015,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,Not Critical,,,,8/28/2017,Administrative Miscellaneous / Initial Inspection
41278299,LEMON LEAVES,MANHATTAN,55,LIBERTY STREET,10005,2124252890,Chinese/Japanese,8/24/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,11,A,8/24/2016,8/28/2017,Cycle Inspection / Re-inspection
41704194,THE BREAD FACTORY,MANHATTAN,935,8 AVENUE,10019,2125862221,American,3/17/2017,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,18,,,8/28/2017,Cycle Inspection / Initial Inspection
40782999,WENDY'S,STATEN ISLAND,26,RICHMOND HILL ROAD,10314,7187613950,Hamburgers,2/23/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,2/23/2017,8/28/2017,Cycle Inspection / Initial Inspection
41105300,"DUNKIN' DONUTS, BASKIN ROBBINS",BROOKLYN,1710,EASTERN PARKWAY,11233,6463548755,American,11/18/2014,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,16,,,8/28/2017,Cycle Inspection / Initial Inspection
50003346,BOMBAY SANDWICH CO,MANHATTAN,48,W. 27TH STREET,10001,6467819756,Vegetarian,6/3/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,,,8/28/2017,Cycle Inspection / Initial Inspection
50000345,BROTHERS BAGELS,BROOKLYN,285,COURT STREET,11231,7182224357,American,1/8/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,17,,,8/28/2017,Cycle Inspection / Initial Inspection
41263738,MEXICAN FAST FOOD,BRONX,2620,JEROME AVENUE,10468,7184503698,Mexican,5/3/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,18,,,8/28/2017,Cycle Inspection / Initial Inspection
50003451,CHINA AAA,QUEENS,8210,ROOSEVELT AVE,11372,7185058866,Chinese,12/5/2013,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,22,B,12/5/2013,8/28/2017,Pre-permit (Operational) / Re-inspection
41411901,GULLUOGLU BAKLAVA & CAFE,MANHATTAN,982,2 AVENUE,10022,2128130500,Turkish,5/27/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,5/27/2015,8/28/2017,Cycle Inspection / Re-inspection
