Actor1,Actor2,Admin1,Admin2,Admin3,Assoc Actor 1,Assoc Actor 2,Country,Event Date,Event Id Cnty,Event ID Irrespective,Event Id No Cnty,Event Type,Latitude,Location,Longitude,Notes,Region,Source,Source Scale,Year,"Annual Fatalities Per 100,000 Population","Events Per 100,000 Population",Fatalities,Geo Precision,Inter1,Inter2,Interaction,Iso,Latitude1,Long Name of Region,Longitude1,Name of Region for Title Sheet,Number of Records,Population,Rounded Latitude to 30min,Rounded Longitude to 30min,Short Name of Region,Time Precision
Operation Restoring Hope,Military Forces of Yemen (2016-) Supreme Political Council,Sadah,Al Dhaher,,,Hezbollah,Yemen,8/7/2018,,21590,21590,Remote violence,17,Al Malahit,43.5,"Yemeni military sources claim that a Saudi-led coalition airstrike hit a vehicle carrying missiles in the Malahit front, killing a number of Houthi fighters, including one affiliated to Hezbollah.",Middle East,AlArabiya.net (Arabic),Regional,2018,4.850193966,0.485019397,10,1,8,1,18,887,16.7685,Middle East: Yemen: Sadah: Al Dhaher: Al Malahit,43.2758,Middle East: Yemen: Sadah: Al Dhaher: Al Malahit,1,163224.4,17,43.5,,1
Operation Restoring Hope,Military Forces of Yemen (2016-) Supreme Political Council,Taizz,Dhubab,,,,Yemen,3/4/2018,,10021,10021,Remote violence,13,Bir al Umari,43.5,"Saudi-led coalition fighter jets reportedly targeted al-Houthi ammunition dumps in al-Omari area of Dhubab district, resulting in the death of ""dozens"".",Middle East,Emirates News Agency (WAM),Regional,2018,1.870406572,0.155867214,12,1,8,1,18,887,13.038,Middle East: Yemen: Taizz: Dhubab: Bir al Umari,43.4786,Middle East: Yemen: Taizz: Dhubab: Bir al Umari,1,507913.1,13,43.5,,1
Operation Restoring Hope,Military Forces of Yemen (2016-) Supreme Political Council,Sanaa,Bani Hushaysh,,,,Yemen,11/4/2018,,10549,10549,Remote violence,15.5,Saraf,44.5,"Saudi-led coalition airstrike raids reportedly targeted Houthi targets in Saraf, San'aa. No further info.",Middle East,Al Arabiya,Regional,2018,0,1.116282808,0,1,8,1,18,887,15.4288,Middle East: Yemen: Sanaa: Bani Hushaysh: Saraf,44.2693,Middle East: Yemen: Sanaa: Bani Hushaysh: Saraf,1,70920.2,15.5,44.5,,1
Operation Restoring Hope,Military Forces of Yemen (2016-) Supreme Political Council,Sadah,Kitaf wa Al Boqee,,,,Yemen,1/4/2018,,9981,9981,Remote violence,17.5,Al Buqa,44.5,"Airstrike missiles hit Houthi positions in Al-Buqa, near the Alib border crossing point. The source said that a number of Houthi miltiamen were killed and injured as a result of the strikes. Unknown fatalities coded as 10.",Middle East,AlArabiya.net (Arabic),Regional,2018,89.74409551,8.974409551,10,1,8,1,18,887,17.3317,Middle East: Yemen: Sadah: Kitaf wa Al Boqee: Al Buqa,44.6066,Middle East: Yemen: Sadah: Kitaf wa Al Boqee: Al Buqa,1,8821.416,17.5,44.5,,1
Operation Restoring Hope,Military Forces of Yemen (2016-) Supreme Political Council,Sadah,Kitaf wa Al Boqee,,,,Yemen,3/5/2018,,11183,11183,Remote violence,17.5,Al Buqa,44.5,15 Houthi militiamen were reportedly killed by Saudi-led coalition airstrikes near the Al-Buqa site in Sadah.,Middle East,AlArabiya.net (Arabic),Regional,2018,134.6161433,8.974409551,15,1,8,1,18,887,17.3317,Middle East: Yemen: Sadah: Kitaf wa Al Boqee: Al Buqa,44.6066,Middle East: Yemen: Sadah: Kitaf wa Al Boqee: Al Buqa,1,8821.416,17.5,44.5,,1
Operation Restoring Hope,Military Forces of Yemen (2016-) Supreme Political Council,Al Bayda,As Sawadiyah,,,,Yemen,6/4/2018,,10037,10037,Remote violence,14.5,Bani Wahab,45.5,"Saudi-led coalition airstrikes hit a Houthi weapons depot in Bani Wahab, Al-Bayda. No injuries were reported.",Middle East,Al Arabiya,Regional,2018,0,0.514491708,0,1,8,1,18,887,14.4352,Middle East: Yemen: Al Bayda: As Sawadiyah: Bani Wahab,45.3645,Middle East: Yemen: Al Bayda: As Sawadiyah: Bani Wahab,1,153874.2,14.5,45.5,,1
Operation Restoring Hope,Military Forces of Yemen (2016-) Supreme Political Council,Al Bayda,Al Bayda City,,,,Yemen,2/4/2018,,9986,9986,Remote violence,14,Al Bayda,45.5,"In Al -Bayda city, coalition airforce planes reportedly pounded the security headquarters building they claimed was being used as Houthi center for gathering newly recruited militiamembers. ""Dozens"" of Houthi militiamembers were reportedly killed or wounded during the bombardment. Fatalities coded as half.",Middle East,Arab News,Regional,2018,2.582623206,0.430437201,6,1,8,1,18,887,13.9852,Middle East: Yemen: Al Bayda: Al Bayda City: Al Bayda,45.5727,Middle East: Yemen: Al Bayda: Al Bayda City: Al Bayda,1,183922.3,14,45.5,,1
Operation Restoring Hope,Military Forces of Yemen (2016-) Supreme Political Council,Al Bayda,Nati,,,,Yemen,7/1/2018,,7977,7977,Remote violence,14.5,Jamaliyat Al al Arif,45.5,"""A number"" of Houthi militiamen were killed by coalition airstrikes on Al Arif area, targeting Houthis groups in Jabal al Marqouza, Bayda. Unknown fatalities coded as 10.",Middle East,Arab News,Regional,2018,5.144917082,0.514491708,10,1,8,1,18,887,14.4524,Middle East: Yemen: Al Bayda: Nati: Jamaliyat Al al Arif,45.5639,Middle East: Yemen: Al Bayda: Nati: Jamaliyat Al al Arif,1,153874.2,14.5,45.5,,1
Operation Restoring Hope,Military Forces of Yemen (2016-) Supreme Political Council,Al Bayda,Al Malagim,,,,Yemen,10/4/2018,,10540,10540,Remote violence,14.5,Al Malagim,45.5,"At least 12 Houthi militiamen were reportedly killed in a Saudi-led coalition airstrike on a convoy passing through Fadahah, Malajim.",Middle East,Al Arabiya,Regional,2018,6.173900498,0.514491708,12,1,8,1,18,887,14.3653,Middle East: Yemen: Al Bayda: Al Malagim: Al Malagim,45.385,Middle East: Yemen: Al Bayda: Al Malagim: Al Malagim,1,153874.2,14.5,45.5,,1
Operation Restoring Hope,Military Forces of Yemen (2016-) Supreme Political Council,Marib,Mahliyah,,,,Yemen,10/4/2018,,10541,10541,Remote violence,14.5,Qaniyah,45.5,"At least 20 Houthi militiamen were reportedly killed by airstrikes launched by Saudi-led coalition jets on Qaniyah area, near northern Al-Bayda.",Middle East,Al Arabiya,Regional,2018,10.28983416,0.514491708,20,1,8,1,18,887,14.5712,,45.27,Middle East: Yemen: Marib: Mahliyah: Qaniyah,1,153874.2,14.5,45.5,Middle East: Yemen: Marib: Mahliyah: Qaniyah,1
Operation Restoring Hope,Military Forces of Yemen (2016-) Supreme Political Council,Sadah,Haydan,,,,Yemen,6/4/2018,,10518,10518,Remote violence,17,Jabal Marran,43.5,"The Saudi-led coalition carried out ten air raids - allegedly on weapons caches and pro-Houthi centres - on several areas of Sadah border governorate - northwestern Yemen. These include Hakmi in Marran area, Al Jamilah, Madhab, Sha'ban and Sahar district. No casualties were reported.",Middle East,Marib Press,Subnational,2018,0,0.485019397,0,1,8,1,18,887,16.7981,Middle East: Yemen: Sadah: Haydan: Jabal Marran,43.3833,Middle East: Yemen: Sadah: Haydan: Jabal Marran,1,163224.4,17,43.5,,1
Operation Restoring Hope,Military Forces of Yemen (2016-) Supreme Political Council,Sadah,Majz,,,,Yemen,6/4/2018,,10521,10521,Remote violence,17,Al Jamilah,43.5,"The Saudi-led coalition carried out ten air raids - allegedly on weapons caches and pro-Houthi centres - on several areas of Sadah border governorate - northwestern Yemen. These include Hakmi in Marran area, Al Jamilah, Madhab, Sha'ban and Sahar district. No casualties were reported.",Middle East,Marib Press,Subnational,2018,0,0.485019397,0,1,8,1,18,887,17.1081,,43.563,Middle East: Yemen: Sadah: Majz: Al Jamilah,1,163224.4,17,43.5,Middle East: Yemen: Sadah: Majz: Al Jamilah,1
Operation Restoring Hope,Military Forces of Yemen (2016-) Supreme Political Council,Sadah,Haydan,,,,Yemen,10/4/2018,,10605,10605,Remote violence,17,Al Khamis,43.5,The Saudi-led coalition carried out air raids on a pro-Houthi convoy of three vehicles in Al Khamis area of Haydan district in Sa'dah border governorate - northwestern Yemen. No casualties were reported.,Middle East,Yafa News,Subnational,2018,0,0.485019397,0,1,8,1,18,887,16.8017,,43.3591,Middle East: Yemen: Sadah: Haydan: Al Khamis,1,163224.4,17,43.5,Middle East: Yemen: Sadah: Haydan: Al Khamis,1
Operation Restoring Hope,Military Forces of Yemen (2016-) Supreme Political Council,Sadah,Razih,,,,Yemen,2/5/2018,,11241,11241,Remote violence,17,Qalat Ghumar,43.5,Six Saudi-led coalition air raids were reported on pro-Houthi forces in Ghumar area of Razih border district in northwestern Yemen. No casualties were reported.,Middle East,Mareb Press,Subnational,2018,0,0.485019397,0,1,8,1,18,887,16.9477,Middle East: Yemen: Sadah: Razih: Qalat Ghumar,43.275,Middle East: Yemen: Sadah: Razih: Qalat Ghumar,1,163224.4,17,43.5,,1
Operation Restoring Hope,Military Forces of Yemen (2016-) Supreme Political Council,Sadah,Haydan,,,,Yemen,1/4/2018,,9980,9980,Remote violence,17,Jabal Marran,43.5,"Battles continued on 1 April 2018 in Malahit city's outskirts in Dhaher district as pro-Hadi soldiers advanced toward the suq of the city. Forces managed to take control of Jabal Tayban and Matlah while Saudi-led coalition jets launched airstrikes on approaching Houthi reinforcements in Maran (Haydan). According to the source, the raids and fighting left heavy casualties and losses of life and equipment. Unknown fatalities coded as 10 and spread across 3 locations.",Middle East,26 September website,Subnational,2018,1.940077586,0.485019397,4,1,8,1,18,887,16.7981,Middle East: Yemen: Sadah: Haydan: Jabal Marran,43.3833,Middle East: Yemen: Sadah: Haydan: Jabal Marran,1,163224.4,17,43.5,,1
Operation Restoring Hope,Military Forces of Yemen (2016-) Supreme Political Council,Taizz,Mawza,,,,Yemen,9/3/2018,,9358,9358,Remote violence,13.5,Al Hamili,43.5,"Saudi-led coalition jets struck Houthi militia positions with aristrikes resulting in the death and injuriy of an unknown number of Houthi fighters in Hamili, Mawza. Unknown fatalities coded as 10.",Middle East,September 26 News Website,Subnational,2018,0.568596103,0.05685961,10,1,8,1,18,887,13.4612,,43.5043,Middle East: Yemen: Taizz: Mawza: Al Hamili,1,1392324,13.5,43.5,Middle East: Yemen: Taizz: Mawza: Al Hamili,1
Operation Restoring Hope,Military Forces of Yemen (2016-) Supreme Political Council,Sadah,Baqim,,,,Yemen,10/3/2018,,9373,9373,Remote violence,17.5,Jabal Shair,43.5,"A number of Saudi-led coalition airstrikes were conducted on Houthi targets in Wadi AlThabaan, on Jabal Shair, in Baqim district of Sadah. According to the source, the strikes killed ""a number"" of Houthi forces and destroyed military equipment. Unknown fatalities coded as 10.",Middle East,September 26 News Website,Subnational,2018,16.83118997,1.683118997,10,1,8,1,18,887,17.5047,,43.4824,Middle East: Yemen: Sadah: Baqim: Jabal Shair,1,47035.89,17.5,43.5,Middle East: Yemen: Sadah: Baqim: Jabal Shair,1
Operation Restoring Hope,Military Forces of Yemen (2016-) Supreme Political Council,Sanaa,Arhab,,,,Yemen,2/5/2018,,11176,11176,Remote violence,15.5,Jabal as Sama,44.5,Saudi-led coalition airstrikes reportedly hit the pro-Houthi 61st Brigade in Sama'a camp of Arhab district north-west of Sanaa. No info on casualties.,Middle East,Yemen News Agency (SABA); Mareb Press,Subnational,2018,0,1.116282808,0,1,8,1,18,887,15.6075,Middle East: Yemen: Sanaa: Arhab: Jabal as Sama,44.2932,Middle East: Yemen: Sanaa: Arhab: Jabal as Sama,1,70920.2,15.5,44.5,,1
Operation Restoring Hope,Military Forces of Yemen (2016-) Supreme Political Council,Al Jawf,Al Maslub,,,,Yemen,4/7/2018,,21532,21532,Remote violence,16,As Saqiyah,44.5,Saudi-led coalition air raids reportedly targeted pro-Houthi positions in Saqiyah area of Al Maslub district in northwestern Yemen. No casualties were reported.,Middle East,Yafa News,Subnational,2018,0,0.520589274,0,1,8,1,18,887,16.1694,Middle East: Yemen: Al Jawf: Al Maslub: As Saqiyah,44.5785,Middle East: Yemen: Al Jawf: Al Maslub: As Saqiyah,1,152071.9,16,44.5,,1
Operation Restoring Hope,Military Forces of Yemen (2016-) Supreme Political Council,Sadah,Kitaf wa Al Boqee,,,,Yemen,2/3/2018,,9129,9129,Remote violence,17.5,Qaryat al Malil,44.5,"Saudi-led coalition airstrikes hit a group of Houthi mine experts attempting to lay mines in Malil area of Kitaf district, killing 7.",Middle East,AlArabiya.net,Subnational,2018,62.82086685,8.974409551,7,1,8,1,18,887,17.2952,Middle East: Yemen: Sadah: Kitaf wa Al Boqee: Qaryat al Malil,44.4896,Middle East: Yemen: Sadah: Kitaf wa Al Boqee: Qaryat al Malil,1,8821.416,17.5,44.5,,1
Military Forces of Turkey (2016-),PKK: Kurdistan Workers Party,Erbil,Soran,,,,Iraq,7/1/2018,,5197,5197,Remote violence,37,Kani Rash,44.5,"The Turkish air force carried out an air raid in the area of Kani Rash in Iraqi Kurdistan, six PKK militants were killed in the airstrike.",Middle East,Anadolu Agency; National Iraqi News Agency; Xinhua,International-National,2018,1.318288441,0.21971474,6,1,8,2,28,368,37.0191,,44.4446,Middle East: Iraq: Erbil: Soran: Kani Rash,1,360317.2,37,44.5,Middle East: Iraq: Erbil: Soran: Kani Rash,1
Global Coalition Against Daesh,Islamic State (Iraq),Baghdad,Baghdad,,,,Iraq,4/4/2018,,6157,6157,Remote violence,33.5,Baghdad,44.5,"On Apr 04, global coalition forces carried out one airstrike destroying an IS hideout near Baghdad.",Middle East,Airwars,Other-Local,2018,0,0.1631886,0,1,8,2,28,368,33.3248,,44.4213,Middle East: Iraq: Baghdad: Baghdad: Baghdad,1,485125.8,33.5,44.5,Middle East: Iraq: Baghdad: Baghdad: Baghdad,1
Military Forces of Turkey (2016-),PKK: Kurdistan Workers Party,Erbil,Soran,,,,Iraq,1/6/2018,,6636,6636,Remote violence,37,Sidakan,44.5,"On June 01, Turkish military forces conducted airstrikes in Sidakan area in Erbil, targeting PKK bases.",Middle East,Twitter (Isis Livemap),Other-Local,2018,0,0.21971474,0,1,8,2,28,368,36.7968,,44.6721,Middle East: Iraq: Erbil: Soran: Sidakan,1,360317.2,37,44.5,Middle East: Iraq: Erbil: Soran: Sidakan,1
Military Forces of Iraq (2014-) Popular Mobilization Forces,Islamic State (Syria),Al-Hasakeh,Al-Hasakeh,Markada,,,Syria,5/5/2018,,32634,32634,Remote violence,36,Tal Sfuk Border Crossing,41.5,"Iraqi Popular Mobilization Forces prevented an attempt by Islamic State forces to infiltrate Iraqi territory at the Tal Sfuk crossing, firing artillery at IS fighters attempting to cross the border. No injuries or fatalities were reported.",Middle East,LiveUMap: LiveUMap_https://syria.liveuamap.com/en/2018/6-may-iraqi-pmu-hashd-prevents-isis-infiltration-attempt; LiveUMap_https://twitter.com/DavidMWitty1/status/993005759368753152,Other-Local,2018,0,0.61363536,0,1,8,2,28,760,36.0605,Middle East: Syria: Al-Hasakeh: Al-Hasakeh: Markada: Tal Sfuk Border Crossing,41.2558,Middle East: Syria: Al-Hasakeh: Al-Hasakeh: Markada: Tal Sfuk Border Crossing,1,129013.1,36,41.5,,1
Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Al-Hasakeh,Quamishli,Qahtaniyyeh,,,Syria,2/2/2018,,20607,20607,Remote violence,37,Malabas,41.5,"The Turkish army shelled the positions of the YPG militia in Malabas village in the northern countryside of Al-Hasakeh, no casualties were reported.",Middle East,SHAM: http://www.shaam.org/reports/battleground-reports/%D8%AD%D8%B5%D8%A7%D8%AF-%D8%A7%D9%84%D8%A3%D8%AD%D8%AF%D8%A7%D8%AB-%D8%A7%D9%84%D9%85%D9%8A%D8%AF%D8%A7%D9%86%D9%8A%D8%A9-%D9%84%D9%8A%D9%88%D9%85-%D8%A7%D9%84%D8%AC%D9%85%D8%B9%D8%A9-02-02-2018.html,Other-Local,2018,0,0.383798875,0,1,8,2,28,760,37.0845,Middle East: Syria: Al-Hasakeh: Quamishli: Qahtaniyyeh: Malabas,41.5834,Middle East: Syria: Al-Hasakeh: Quamishli: Qahtaniyyeh: Malabas,1,206272.1,37,41.5,,1
Military Forces of Turkey (2016-),PKK: Kurdistan Workers Party,Dahuk,Amedi,,,,Iraq,11/3/2018,,5882,5882,Remote violence,37,Chiya-e Gara,43.5,"On Mar 11, Turkish jets destroyed at least 18 PKK militant targets in northern Iraq, in the Hakurk, Zap, Metina, Gara, and Avasin-Basyan regions of northern Iraq. The report did not elaborate on what the targets were.",Middle East,Anadolu Agency (AA),Regional,2018,0,0.379741007,0,1,8,2,28,368,37.0394,,43.5175,Middle East: Iraq: Dahuk: Amedi: Chiya-e Gara,1,208476.3,37,43.5,Middle East: Iraq: Dahuk: Amedi: Chiya-e Gara,1
Military Forces of Turkey (2016-),PKK: Kurdistan Workers Party,Dahuk,Amedi,,,,Iraq,4/7/2018,,13409,13409,Remote violence,37,Chiya-e Gara,43.5,"On July 04, Turkish airstrikes struck PKK militants in Turkey's southern Sirnak province and northern Iraq's northern Qandil, Zap-Avasin Basyan, and Gara, killing 11 militants (fatalities split between Turkey and Iraq across locations in Iraq).",Middle East,Anadolu Agency,Regional,2018,0.759482013,0.379741007,2,1,8,2,28,368,37.0394,,43.5175,Middle East: Iraq: Dahuk: Amedi: Chiya-e Gara,1,208476.3,37,43.5,Middle East: Iraq: Dahuk: Amedi: Chiya-e Gara,1
Military Forces of Turkey (2016-),PKK: Kurdistan Workers Party,Dahuk,Zakho,,,,Iraq,4/4/2018,,6153,6153,Remote violence,37,Fish Khabur,42.5,"On Apr 04, Turkey used artillery shelling to bomb PKK targets in the Fishkhabur area, no reported casualties.",Middle East,BBC Monitoring; Rudaw,Subnational,2018,0,0.080553995,0,1,8,2,28,368,37.0673,,42.3776,Middle East: Iraq: Dahuk: Zakho: Fish Khabur,1,982781.8,37,42.5,Middle East: Iraq: Dahuk: Zakho: Fish Khabur,1
Military Forces of Yemen (2016-) Supreme Political Council,Militia (Pro-Government),Asir,Zahran al Janub,,,Military Forces of Saudi Arabia (2015-),Saudi Arabia,10/5/2018,,2038,2038,Remote violence,17.5,Aqabat al Alb,43.5,"In Asir, Houthi missile forces claim to have fired a Zilzal type 2 missile at Saudi affiliated soldiers in the Alb border crossing area. No further info.",Middle East,Yemen News Agency (SABA),National,2018,0,1.683118997,0,1,8,3,38,682,17.5667,Middle East: Saudi Arabia: Asir: Zahran al Janub: Aqabat al Alb,43.4,Middle East: Saudi Arabia: Asir: Zahran al Janub: Aqabat al Alb,1,47035.89,17.5,43.5,,1
Military Forces of Yemen (2016-) Supreme Political Council,Militia (Pro-Government),Asir,Zahran al Janub,,,Military Forces of Saudi Arabia (2015-),Saudi Arabia,10/5/2018,,2039,2039,Remote violence,17.5,Zahran,43.5,Artillery shells fired by Houthi forces reportedly struck positions occupied by Saudi-affiliated soldiers in the black hills near Alb border crossing area (Zahran area).,Middle East,Yemen News Agency (SABA),National,2018,0,1.683118997,0,1,8,3,38,682,17.6723,Middle East: Saudi Arabia: Asir: Zahran al Janub: Zahran,43.5236,Middle East: Saudi Arabia: Asir: Zahran al Janub: Zahran,1,47035.89,17.5,43.5,,1
Military Forces of Yemen (2016-) Supreme Political Council,Militia (Pro-Government),Asir,Zahran al Janub,,,Military Forces of Saudi Arabia (2015-),Saudi Arabia,10/6/2018,,3298,3298,Remote violence,17.5,Al Mijazah,43.5,Pro-Houthi forces claim to have fired artillery at Saudi-affiliated fighters (unidentified in the source) in Al Mijazah area in Asir governorate. Injuries were reported.,Middle East,Yemen News Agency,National,2018,0,1.683118997,0,1,8,3,38,682,17.5204,Middle East: Saudi Arabia: Asir: Zahran al Janub: Al Mijazah,43.5667,Middle East: Saudi Arabia: Asir: Zahran al Janub: Al Mijazah,1,47035.89,17.5,43.5,,1
Military Forces of Yemen (2016-) Supreme Political Council,Militia (Pro-Government),Asir,Zahran al Janub,,,Military Forces of Saudi Arabia (2015-),Saudi Arabia,3/7/2018,,3463,3463,Remote violence,17.5,Al Mijazah,43.5,"Houthi artillery teams fired shells at Saudi-affiliated soldiers in the Alb border crossing and in Mizaja area, Asir, KSA. Injuries were reported but no fatalities specified by the source.",Middle East,Yemen News Agency,National,2018,0,1.683118997,0,1,8,3,38,682,17.5204,Middle East: Saudi Arabia: Asir: Zahran al Janub: Al Mijazah,43.5667,Middle East: Saudi Arabia: Asir: Zahran al Janub: Al Mijazah,1,47035.89,17.5,43.5,,1
Military Forces of Yemen (2016-) Supreme Political Council,Militia (Pro-Government),Asir,Zahran al Janub,,,Military Forces of Saudi Arabia (2015-),Saudi Arabia,3/7/2018,,3464,3464,Remote violence,17.5,Aqabat al Alb,43.5,"Houthi artillery teams fired shells at Saudi-affiliated soldiers in the Alb border crossing and in Mizaja area, Asir, KSA. Injuries were reported but no fatalities specified by the source.",Middle East,Yemen News Agency,National,2018,0,1.683118997,0,1,8,3,38,682,17.5667,Middle East: Saudi Arabia: Asir: Zahran al Janub: Aqabat al Alb,43.4,Middle East: Saudi Arabia: Asir: Zahran al Janub: Aqabat al Alb,1,47035.89,17.5,43.5,,1
Military Forces of Yemen (2016-) Supreme Political Council,Militia (Pro-Government),Najran,Najran,,,Military Forces of Saudi Arabia (2015-),Saudi Arabia,2/7/2018,,3454,3454,Remote violence,17.5,Al Buqa,44.5,"Pro-Houthi forces claim to have killed and injured ""dozens"" of Saudi affiliated soldiers in the Al-Buqa desert when they targeted their vehicle with an explosive device.Additional clashes took place in the desert, near the Asker hill. Fatalities coded as 6.",Middle East,Yemen News Agency,National,2018,53.8464573,8.974409551,6,1,8,3,38,682,17.4712,Middle East: Saudi Arabia: Najran: Najran: Al Buqa,44.6451,Middle East: Saudi Arabia: Najran: Najran: Al Buqa,1,8821.416,17.5,44.5,,1
Military Forces of Yemen (2016-) Supreme Political Council,Militia (Pro-Government),Najran,Najran,,,Military Forces of Saudi Arabia (2015-),Saudi Arabia,11/5/2018,,2094,2094,Remote violence,17.5,Al Ajashir,45.5,Pro-Houthi forces claim to have fired artillery at Saudi-affiliated (unidentified in the source) soldiers in Al Ajashir desert area of Najran governorate. No casualties were reported.,Middle East,Yemen News Agency,National,2018,0,11.28298388,0,1,8,3,38,682,17.3138,Middle East: Saudi Arabia: Najran: Najran: Al Ajashir,45.6726,Middle East: Saudi Arabia: Najran: Najran: Al Ajashir,1,7016.495,17.5,45.5,,1
Military Forces of Yemen (2016-) Supreme Political Council,Militia (Pro-Government),Najran,Najran,,,Military Forces of Saudi Arabia (2015-),Saudi Arabia,6/5/2018,,2026,2026,Remote violence,17.5,Al Ajashir,45.5,Pro-Houthi militias claim to have destroyed a military vehicle filled with Saudi-affiliated soldiers in Ajasher desert area and to have killed its crew. Reports differ in attributing the attack to an IED explosion or artillery shelling. Unknown mentioned fatalities coded as 10.,Middle East,Yemen News Agency,National,2018,112.8298388,11.28298388,10,1,8,3,38,682,17.3138,Middle East: Saudi Arabia: Najran: Najran: Al Ajashir,45.6726,Middle East: Saudi Arabia: Najran: Najran: Al Ajashir,1,7016.495,17.5,45.5,,1
Military Forces of Israel (2009-),Militia (Pro-Government),Quneitra,Quneitra,Khan Arnaba,,,Syria,11/7/2018,,41850,41850,Remote violence,33,Khan Arnaba,36,Israeli forces fired ground-to-ground missiles at loyalist militia forces in the town of Khan Arnaba with no injuries or fatalities reported.,Middle East,LiveUMap: LiveUMap_https://syria.liveuamap.com/en/2018/11-july-continued-israeli-assault-on-proassad-forces-in-quneitra; LiveUMap_https://twitter.com/NationalDefens/status/1017168121805856769,Other-Local,2018,0,0.041554754,0,1,8,3,38,760,33.1821,Middle East: Syria: Quneitra: Quneitra: Khan Arnaba: Khan Arnaba,35.8908,Middle East: Syria: Quneitra: Quneitra: Khan Arnaba: Khan Arnaba,1,1905125,33,36,,1
Military Forces of Israel (2009-),Hezbollah,Rural Damascus,Qatana,Sa'sa',,Militia (Pro-Government); Military Forces of Iran (1989-) Islamic Revolution Guard Corps,Syria,10/5/2018,,32826,32826,Remote violence,33.5,Tall Fatma,36,"The Israeli Air Force targeted positions of Islamic Revolution Guard Corps, Hezbollah and the pro-regime militias in the triangle of Dar'a - Quneitra - Western Rural Damascus likely in Tall Fatma military position. The Israeli strikes across 7 locations resulted in 23 regime, Hezbollah, and Iranian fatalities. Fatalities split between the 7 locations with 4 fatalities in each of Dhameer Airbase and Jaramana and 3 fatalities in Homs, Damascus, M'adamiyat al-Sham, Hadar and Khan Arnaba.",Middle East,SOHR: SOHR_http//www.syriahr.com/en/?p=91710; LiveUMap_https://syria.liveuamap.com/en/2018/10-may-syrian-sources-an-air-strike-targeting-artillery-battalion; LiveUMap_https://twitter.com/SkyNewsArabia_B/status/994363263860269056; LiveUMap_https://syria.liveuamap.com/en/2018/10-may-the-israeli-aircrafts-bombed-the-site-of-the-iranian; LiveUMap_https://twitter.com/BassamJaara/status/994363960429285377,Other-Local,2018,0.104567443,0.034855814,3,1,8,3,38,760,33.3141,Middle East: Syria: Rural Damascus: Qatana: Sa'sa': Tall Fatma,36.0346,Middle East: Syria: Rural Damascus: Qatana: Sa'sa': Tall Fatma,1,2271271,33.5,36,,1
Military Forces of Yemen (2016-) Supreme Political Council,Civilians (Saudi Arabia),Jizan,Jazan,,,,Saudi Arabia,9/6/2018,,3291,3291,Remote violence,17,Jizan,42.5,"Three civilians were reportedly killed in a Houthi-fired missile strike that hit in the town of Jizan, southern Saudi Arabia.",Middle East,Reuters,International,2018,0.513971527,0.171323842,3,1,8,7,78,682,16.8892,Middle East: Saudi Arabia: Jizan: Jazan: Jizan,42.5511,Middle East: Saudi Arabia: Jizan: Jazan: Jizan,1,462089.8,17,42.5,,1
Operation Restoring Hope,Civilians (Yemen),Al Hudaydah,Al Garrahi,,,Farmers (Yemen),Yemen,5/5/2018,,11261,11261,Remote violence,14,Al Jirbah,43.5,2 mango farmers were reportedly killed by a Saudi-led coalition airstrike on Jarbah area of Jarrahi district. Report issued in English on 5 May 2018.,Middle East,Xinhua General News Service,International,2018,0.16335346,0.08167673,2,1,8,7,78,887,14.1627,Middle East: Yemen: Al Hudaydah: Al Garrahi: Al Jirbah,43.4541,Middle East: Yemen: Al Hudaydah: Al Garrahi: Al Jirbah,1,969272.4,14,43.5,,1
Operation Restoring Hope,Civilians (Yemen),Al Hudaydah,Zabid,,,,Yemen,2/7/2018,,21429,21429,Remote violence,14,Zabid,43.5,"Three civilians were killed and three others injured, including a child, when a Saudi-led coalition airstrike hit a school in Zabid city, Hudayda. A second strike hit a cafe nearby on the road leading to Tuhayat district.",Middle East,Xinhua General News Service,International,2018,0.24503019,0.08167673,3,1,8,7,78,887,14.1951,,43.3152,Middle East: Yemen: Al Hudaydah: Zabid: Zabid,1,969272.4,14,43.5,Middle East: Yemen: Al Hudaydah: Zabid: Zabid,1
Operation Restoring Hope,Civilians (Yemen),Amran,Al Qaflah,,,,Yemen,6/2/2018,,8610,8610,Remote violence,16,Al Majzaah,43.5,A Saudi-led coalition strike that hit the main road in Mojazea area of Qaflah district reportedly killed 9 civilians and injured 3 others. BBC Monitoring reported 6 fatalities in the event.,Middle East,Yemen News Agency (SABA); BBC Monitoring,International-National,2018,0.91062703,0.151771172,6,1,8,7,78,887,16.2408,Middle East: Yemen: Amran: Al Qaflah: Al Majzaah,43.5415,Middle East: Yemen: Amran: Al Qaflah: Al Majzaah,1,521620.8,16,43.5,,1
Operation Restoring Hope,Civilians (Yemen),Sadah,Al Dhaher,,,,Yemen,2/7/2018,,21440,21440,Remote violence,16.5,Ghafirah,43.5,A Saudi-led coalition airstrike that hit a wedding party in Ghafr area of Dhaher district reportedly killed 11 civilians and wounded 11 others.,Middle East,Yemen News Agency (SABA); UPI,International-National,2018,2.236281275,0.203298298,11,1,8,7,78,887,16.7167,Middle East: Yemen: Sadah: Al Dhaher: Ghafirah,43.3,Middle East: Yemen: Sadah: Al Dhaher: Ghafirah,1,389413,16.5,43.5,,1
