reference,dateofocc,subreg,hostility_,victim_d,descriptio,hostilityt,hostilit_D,victim_l,victim_l_D,navarea,x,y
1994-34,1994/08/20,"91",PIRATES,TUG FOKU MARU NO. 8,FIVE PIRATES ARMED WITH KNIVES ROBBED THE CREW OF THEIR BELONGINGS     WHILE THE TUG WAS IN MANILA BAY. TWO CREWMEN OF THE TUG WERE           HURT IN THE ATTACK.,"1",Pirate Assault,"10",Tugboat,XI,120.5500030002,14.5166659997
1994-35,1994/08/14,"24",PIRATESS,M/V ALEXANDERGRACHT,"DUTCH M/V ALEXANDERGRACHT WAS ATTACKED BY FOUR ARMED PIRATES           WITH HANDGUNS IN VITORIA ROADS, BRAZIL. NO INJURIES OR DAMAGE          TO VESSEL. ABOUT 10,000 US DOLLARS WORTH OF CASH/PROPERTY              STOLEN FROM CREW.","1",Pirate Assault,"5",Merchant Vessel,V,-40.3499979999,-20.3166679998
1994-36,1994/08/17,"24",PIRATES,M/V MAERSK LA PLATA,"CONTAINER VESSEL MAERSK LA PLATA WAS INVADED BY 10 ARMED PIRATES       WHILE AT ANCHOR IN SANTOS. PIRATES STOLE ELECTRONIC EQUIPMENT,         MONEY AND CREW'S BELONGINGS. PIRATES DEPARTED IN TWO SMALL BOATS.      NO CARGO FROM THE CONTAINERS WAS STOLEN.","1",Pirate Assault,"5",Merchant Vessel,V,-46.3666650004,-23.9333320002
1994-37,1994/08/20,"91",PIRATES,TUG FUKU MARU NO. 8,"20 AUG 94, TUG FUKU MARU NO. 8 WAS ATTACKED BY SIX PIRATES OFF         MANILA YACHT BASIN IN THE PHILIPPINES. PIRATES STOLE TWO RADIO         SETS, COMPASS, TELESCOPE AND MONIES OF VARIOUS CURRENCIES FROM THE     MASTER. ONE OF THE PIRATES WAS A FEMALE A","1",Pirate Assault,"10",Tugboat,XI,120.9666670002,14.6166670004
1989-15,1989/06/13,"71",PIRATES,MAJOR SHIPPING,"SOUTH CHINA SEA.                                                                                                                              1. A LIBERIAN-REGISTERED PETROLEUM GAS TANKER OPERATED BY A JAPANESE   COMPANY WAS ATTACKED AUGUST 6, 1989 BY TH","1",Pirate Assault,"11",Vessel,XI,105.0000000001,2.5000000000
1989-7,1989/07/06,"61",UNKNOWN  TERRORISTS,OCEAN STAR,"AFRICA, WEST COAST.                                                    THE OCEAN STAR AND ANOTHER YACHT WERE FIRED UPON WHILE SAILING OFF     THE MOSAMBICAN COAST, SOUTH OF PUNTA DA BARRA DE SOUSA.                THE ATTACK LASTED 15 MINUTES. NO PERSONAL","6",Other,"11",Vessel,VII,35.9999999997,-20.0000000003
1989-8,1989/07/01,"56",SYRIA,SEA TIGER,LEBANON.                                                               THE LEBANESE YACHT SEA TIGER AND HER CREW OF SIX WERE INTERCEPTED BY   SYRIAN GUNBOATS OFF OF LEBANON'S CHRISTIAN ENCLAVE AND TAKEN TO THE    PORT OF TARTOUS WHERE THEY WERE QUESTIONE,"2",Naval Engagement,"11",Vessel,III,35.2499999999,34.1666679996
1989-9,1985/01/29,"71",PIRATES,AMERICAN FLAG SHIP,"MARINERS ARE ADVISED TO USE EXTREME CAUTION WHEN TRANSITING THE        STRAIT OF MALACCA AND ADJACENT WATERS BECAUSE OF CONTINUED REPORTS OF  SHIPS BEING BOARDED AND ROBBED BY ARMED PIRATES. ON 29 JANUARY,'85     IT WAS REPORTED THAT AN AMERICAN FLAG SHI","1",Pirate Assault,"11",Vessel,XI,101.0000000000,2.5000000000
1989-10,1984/09/01,"93",UNKNOWN,UNNAMED VESSEL,"GULF OF THAILAND.                                                      VESSEL REPORTED BEING FIRED UPON 201744Z SEPT.1984, WHILE IN           POSITION 11-55N 101-08E IN VICINITY OF KO CHUANG ISLAND.","5",Unknown,"11",Vessel,XI,101.1333310002,11.9166670004
1989-11,1989/07/09,"56",SYRIAN GUNBOATS,M TANK ALOIL,"LEBANON.                                                               M TANK ALOIL BROKE THROUGH A SYRIAN NAVAL BLOCKADE TO LEBANON. SHE     DISCHARGED HER CARGO AT JONIEH, LEBANON. THE ALOIL SAILED LIGHT 1215   JULY 9, 1989. WHILE SAILING IN INTERNATIO","2",Naval Engagement,"9",Tanker,III,35.2499999999,34.1666667000
1989-12,1978/05/01,"92",UNKNOWN,UNKNOWN VESSEL,SOUTH SULU SEA                                                         LLOYDS LIST OF 15 MAY REPORTS A 5000 TON SHIP OUTRAN TWO HEAVILY       ARMED BOATS DURING A NIGHT TIME ATTACK IN THE SOUTHERN SULU SEA ON     4 MAY 1978. SHIP HIT BY HAND GRENADES AND,"5",Unknown,"11",Vessel,XI,119.5000000002,5.9999999996
1989-5,1989/06/11,"51",PIRATES/THIEVES,ESSO LANGUEDONC,"AT NIGHT WHILE AT ANCHOR IN ABOVE POSITION, EIGHT MILES OFFSHORE       OF DAKKAR, THE VESSEL WAS BOARDED BY AN UNKNOWN NUMBER OF PERSONS.     THE VESSEL HAD A BRIDGE WATCH AND ALL DECK LIGHTS ON.                  A MOORING LINE AND MOORING TALE, 800 KILO","1",Pirate Assault,"11",Vessel,II,-17.3333333003,14.5833333002
1989-13,1988/09/01,"71",PIRATES,UNKNOWN VESSEL,"SOUTH CHINA SEA, KEPULAUAN ANAMBAS.                                    1, MARINERS ARE ADVISED TO BE ALERT FOR PIRATES BOARDING OR            ATTEMPTING TO BOARD VESSELS WHILE UNDERWAY BETWEEN SINGAPORE AND       HONG KONG.","1",Pirate Assault,"11",Vessel,XI,105.4999999997,3.4833329997
1989-14,1989/01/01,"93",PIRATES,SHIPPING,SOUTH EAST AISA.                                                       MARINERS ARE ADVISED TO BE ALERT FOR THE POSSIBITY OF VESSELS BEING    BOARDED AND HIJAKED BY ARMED PIRATES WHILE TRANSITING THROUGH OR       ANCHORED IN THE WATERS OF SOUTH EAST ASIA,"1",Pirate Assault,"11",Vessel,XI,114.9999999996,7.9999999997
1997-74,1997/08/09,"63",ASSAILANTS,MERCHANT VESSEL,"INDIA, ROADS OF KANDLA.                                                                                                                       THE 4,159 GROSS TON LIBERIAN FLAGGED TANKER (NORMAR SPLENDER) WAS      BOARDED BY PIRATES AT 0100 LOCAL TIME WHI","1",Pirate Assault,"5",Merchant Vessel,VIII,70.2249999998,23.0361111000
1997-69,1997/08/09,"63",ASSAILANTS,MERCHANT VESSEL,"India                                                                                                                                         The 4,159 gross ton Liberian flagged tanker (Normar Splendour) was     boarded by pirates at 0100 local time whi","1",Pirate Assault,"5",Merchant Vessel,VIII,70.2166669996,23.0000000002
1997-75,1997/08/21,"24",ASSAILANTS,MERCHANT VESSEL,"BRAZIL, PORT SANTOS.                                                                                                                          ARMED INTRUDERS HELD TWO CREWMEMBERS AT GUNPOINT TO GAIN ACCESS TO     A SAFE ABOARD THE 11,084 PANAMANIAN FLAGG","1",Pirate Assault,"5",Merchant Vessel,V,-46.2999990003,-23.9500009997
1997-76,1997/09/09,"63",ASSAILANTS,MERCHANT VESSEL,"SRI LANKA, PULMODDAI.                                                                                                                         LIBERATION TIGERS OF TAMIL EELAM (LITE) ATTACKED THE 20,284 GROSS TON  PANAMANIAN-FLAG, CHINESE OWNED BULK CARRI","1",Pirate Assault,"5",Merchant Vessel,VIII,81.0150000001,8.9499999999
1997-77,1997/09/06,"63",ASSAILANTS,MERCHANT VESSEL,"SRI LANKA, COLOMBO.                                                                                                                           THE 16,500 GROSS TON GERMAN FLAGGED CONTAINER SHIP (FRESENA) WAS       ATTACKED 06 SEP 97 BY ROBBERS WHILE AT AN","1",Pirate Assault,"5",Merchant Vessel,VIII,79.4999999998,6.7833333003
1997-62,1997/07/11,"63",ASSAILANTS,MERCHANT VESSEL,"Indian Ocean                                                                                                                                  The 8,957 gross ton Malaysia flagged containership (Bunga Mas Lima)    was boarded by thieves on July 11, 1997 w","1",Pirate Assault,"5",Merchant Vessel,VIII,79.8499979996,6.9499999998
1997-63,1997/07/26,"63",ASSAILANTS,MERCHANT VESSEL,"Indian Ocean                                                                                                                                  The 3,351 gross ton Denmark flagged general cargo ship (Star Bird)     was boarded by pirates during the evening","1",Pirate Assault,"5",Merchant Vessel,VIII,91.8166659996,22.3166679997
1997-64,1997/07/08,"93",ASSAILANTS,MERCHANT VESSEL,"South East Asia                                                                                                                               The 23,658 gross ton Saint Vincent flagged bulk carrier (Argonaut)     was boarded and robbed by 12 armed men wh","1",Pirate Assault,"5",Merchant Vessel,XI,107.0000000002,21.0000000001
1995-124,1995/09/08,"24",THIEVES,URUGUAY EXPRESS,"BETWEEN 08 AND 10 SEP 95, WHILE AT ANCHOR AWAITING ENTRY INTO THE      PORT OF SANTOS, THE URUGUAY-FLAGGED CONTAINERSHIP URUGUAY EXPRESS      WAS BOARDED BY THIEVES. THERE WERE NO PERSONAL INJURIES BUT THE        THIEVES BROKE INTO TEN CONTAINERS.","1",Pirate Assault,"11",Vessel,V,-46.2999990003,-23.9500009997
1995-114,1995/08/10,"93",PIRATES,HERFAH,"ON 10 AUG 95 PIRATES BOARDED THE PANAMANIAN-FLAGGED GENERAL            CARGO SHIP HERFAH WHILE AT THE SOUTH LAMMA ANCHORAGE, HONG             KONG IN 22-07.0N 114-09.6E. ONE LIFERAFT, FOUR MOORING ROPES,          ONE LIFEBUOY AND SOME TOOLS WERE STOLEN.","1",Pirate Assault,"11",Vessel,XI,114.1600039998,22.1166670002
1995-102,1995/06/01,"94",THIEVES,TSAI HSING SHUN NO.2,"ON 01 JUN 95 THIEVES IN TWO CHINESE FISHING VESSELS BOARDED THE        TAIWANESE FISHING VESSEL TSAI HSING SHUN NO.2 IN THE TAIWAN STRAIT,    APPROXIMATELY 45NM OFF THE WEST COAST OF TAIWAN. GOLD AND CASH WERE    STOLEN. NO INJURIES TO THE FIVE-MEMBER CR","1",Pirate Assault,"11",Vessel,XI,119.9999999997,25.0000000003
1995-103,1995/06/13,"93",HIJACKERS,GUIA,"ON 13 JUN 95 THREE TO FIVE GUNMEN, GAINING ACCESS AS PASSENGERS        IN MACAU, HIJACKED THE HONG KONG-BOUND HYDROFOIL FERRY GUIA IN THE     MOUTH OF THE PEARL RIVER (ZHUJIANG KOU). THE HIJACKERS TOOK CONTROL    OF THE BRIDGE AND DIVERTED THE FERRY UP T","1",Pirate Assault,"11",Vessel,XI,113.5499999998,22.6666667001
1995-104,1995/06/23,"93",THIEVES,HYE MIEKO,ON 23 JUN 95 TWELVE MEN WEARING CHINESE ARMY UNIFORMS BOARDED THE      PANAMANIAN-FLAGGED GENERAL CARGO SHIP HYE MIEKO AND HIJACKED THE       VESSEL. THE SHIP'S MASTER CONFIRMED THE SEIZURE OCCURRED NORTH OF      REDANG ISLAND OFF THE EAST COAST OF MALAY,"1",Pirate Assault,"11",Vessel,XI,103.0000000001,5.9999999996
1995-105,1995/03/24,"93",THIEVES,HYE PROSPERITY,ON 24 MAR 95 CHINESE THIEVES HIJACKED THE CARGO SHIP                   HYE PROSPERITY AS THE VESSEL TRANSITED THE GULF OF THAILAND.           THE SHIP WAS ESCORTED TO A PORT IN THE GUANGDONG PROVINCE OF           CHINA. THE CARGO OF CIGARETTES (US$2 MILL,"1",Pirate Assault,"11",Vessel,XI,103.8333332997,8.9999999997
1995-106,1995/05/15,"91",THIEVES,MERCHANT VESSEL,"On 15 may 95 off subic bay, twenty uniformed men armed with ak-47 assault rifles blocked a taiwanese ship bound for manila. The thieves escorted the vessel outside philippine territorial waters and stole its cargo. the thieves were reported to be using a","1",Pirate Assault,"5",Merchant Vessel,XI,119.9999999997,14.5000000004
1995-107,1995/06/30,"71",PIRATES,PETRO CONCORD,"ON 30 JUN 95 2040 LOCAL TIME FOUR PIRATES BOARDED THE SINGAPOREAN-     FLAGGED TANKER PETRO CONCORD. THE TANKER WAS IN TRANSIT BETWEEN        PALEMBANG AND SINGAPORE, IN THE AIR MUSI, WITH THE PILOT ON BOARD.     VARIOUS MOORING LINES WERE STOLEN.","1",Pirate Assault,"9",Tanker,XI,104.9166639996,-2.8033330001
1995-108,1995/07/04,"71",PIRATES,GENERAL MONARCH,"ON 04 JUL 95 AT 2315 LOCAL TIME PIRATES ATTACKED THE GENERAL           MONARCH IN THE STRAIT OF MALACCA IN 02-10N 101-44E. A SMALL            VESSEL, UNLIGHTED, WAS DETECTED BY RADAR AT THREE MILES OFF            APPROACHING THE STERN AT A SPEED OF 15 KN","1",Pirate Assault,"11",Vessel,XI,101.7333300003,2.1666670003
1995-109,1995/05/16,"24",THIEVES,IBN QUTAIBAH,"ON 16 MAY 95 WHILE LOADING PIERSIDE IN RIO DE JANEIRO THE SAUDI        ARABIAN-FLAGGED IBN QUTAIBAH WAS BOARDED BY A GROUP OF ARMED           ROBBERS, PRETENDING TO BE STEVEDORES. TWO CREWMEN WERE HELD AT         GUNPOINT WHILE VARIOUS ITEMS WERE STOLEN","1",Pirate Assault,"11",Vessel,V,-43.1666680001,-22.8999999998
1995-110,1995/07/18,"93",PIRATES,AMORGOS,"ON 18 JUL 95, WHILE ANCHORED OFF HONG KONG PORT LIMITS, THE            GREEK-FLAGGED BULK CARRIER AMORGOS WAS BOARDED BY PIRATES.             THREE MOORING ROPES AND SOME CARPENTER TOOLS WERE STOLEN.","1",Pirate Assault,"11",Vessel,XI,114.1666640002,22.2999990002
