"Birth_Place","Birthday","Gender","Loan_Expire_Date","Name_in_Chinese","Name_in_English","Name_Meaning","Panda_Order","Resident_Since","Status","Age_Year","Return_Date","Zoo","Age","Age_When_Loan_Expires","Age_When_Residence_Starts"
"Beijing, China","8/23/1999","M","NA","##","##","##",25,"4/16/2019","in","21-year","Loan expire date is unknown","Tiergarten Schönbrunn","21.3","NA","19.7"
"Wolong, China","08/10/2000","F","3/14/2023","##","Yang Yang","Sunshine",26,"3/14/2003","in","20-year","Expected to return in 2023","Tiergarten Schönbrunn","20.4","22.6","2.59"
"Ya'an Bi Feng Xia, China","7/31/2016","M","4/29/2029","##","Ru Yi","Wishes come true",27,"4/29/2019","in","4-year","Expected to return in 2029","Moscow Zoo","4.39","12.8","2.75"
"Wolong, China","7/30/2017","F","4/29/2029","##","##","##",28,"4/29/2019","in","3-year","Expected to return in 2029","Moscow Zoo","3.4","11.8","1.75"
"Wolong, China","9/28/2001","F","10/12/2023","##","##","##",29,"10/12/2003","in","19-year","Expected to return in 2023","Chiang Mai Zoo","19.2","22.1","2.04"
"Wolong, China","08/03/2006","M","5/20/2024","##","Xing Xing (Fu Wa)","Prosperity",30,"5/20/2014","in","14-year","Expected to return in 2024","Zoo Negara Malaysia","14.4","17.8","7.8"
"Wolong, China","8/23/2006","F","5/20/2024","##","Liang Liang (Feng Yi)","Pretty",31,"5/20/2014","in","14-year","Expected to return in 2024","Zoo Negara Malaysia","14.3","17.8","7.75"
"Kuala Lumpur Malaysia","1/14/2018","F","1/14/2022","##","Yi Yi","Friendship",32,"1/14/2018","in","3-year","Expected to return in 2022","Zoo Negara Malaysia","2.94","4.0","0.0"
"Wolong, China","9/14/2007","M","09/06/2022","##","Kai Kai (Wu Jie)","Victorious",33,"09/06/2012","in","13-year","Expected to return in 2022","Wildlife Reserves Singapore","13.3","15.0","4.98"
"Ya'an Bi Feng Xia, China","09/03/2008","F","09/06/2022","##","Jia Jia (Hu Bao)","Beautiful",34,"09/06/2012","in","12-year","Expected to return in 2022","Wildlife Reserves Singapore","12.3","14.0","4.01"
"Ya'an Bi Feng Xia, China","08/04/2010","M","9/28/2027","##","Cai Tao","Colorful porcelain",35,"9/28/2017","in","10-year","Expected to return in 2027","Taman Safari","10.4","17.2","7.16"
"Ya'an Bi Feng Xia, China","09/08/2010","F","9/28/2027","##","Hu Chun","Lake in springtime",36,"9/28/2017","in","10-year","Expected to return in 2027","Taman Safari","10.3","17.1","7.06"
"Ya'an Bi Feng Xia, China","7/28/2012","M","4/21/2031","##","Yuan Xin (Le Bao)","Son of Long Xin",37,"4/21/2016","in","8-year","Expected to return in 2031","Everland Resort","8.41","18.7","3.73"
"Ya'an Bi Feng Xia, China","7/13/2013","F","4/21/2031","##","Hua Ni (Ai Bao)","Little girl of China",38,"4/21/2016","in","7-year","Expected to return in 2031","Everland Resort","7.45","17.8","2.78"
"Everland Resort","7/20/2020","F","7/20/2024","##","Hua Ni's daughter","Hua Ni's daughter born in 2020",39,"7/20/2020","in","NA","Expected to return in 2024","Everland Resort","0.422","4.0","0.0"
"Wolong, China","9/16/1995","F","7/16/2020","##","Tan Tan","##",40,"7/16/2000","return","25-year","NA","Kobe Oji Zoo","25.3","24.8","4.84"
"Beijing, China","9/14/1992","M","NA","##","Ei Mei","Bright forever",41,"09/06/1994","in","28-year","Loan expire date is unknown","Adventure World","28.3","NA","1.98"
"Adventure World","09/06/2000","F","NA","##","Rau Hin","Good",42,"09/06/2000","in","20-year","Loan expire date is unknown","Adventure World","20.3","NA","0.0"
"Adventure World","12/02/2014","F","NA","##","Ou Hin","Peach",43,"12/02/2014","in","6-year","Loan expire date is unknown","Adventure World","6.06","NA","0.0"
"Adventure World","12/02/2014","F","NA","##","Tou Hin","Sakura",44,"12/02/2014","in","6-year","Loan expire date is unknown","Adventure World","6.06","NA","0.0"
"Adventure World","9/18/2016","F","NA","##","Yui Hin","Interconnection",45,"9/18/2016","in","4-year","Loan expire date is unknown","Adventure World","4.26","NA","0.0"
"Adventure World","11/22/2020","M","NA","##","Rau Hin's son","Rau Hin's son born in 2020",46,"11/22/2020","in","NA","Loan expire date is unknown","Adventure World","0.0795","NA","0.0"
"Wolong, China","8/16/2005","M","2/21/2021","##","Ri Ri (Bi Li)","Strength",47,"2/21/2011","in","15-year","Expected to return in 2021","Ueno Zoo","15.4","15.5","5.52"
"Wolong, China","07/03/2005","F","2/21/2021","##","Shin Shin (Xian Nv)","Fairy",48,"2/21/2011","in","15-year","Expected to return in 2021","Ueno Zoo","15.5","15.6","5.64"
"Ueno Zoo","06/12/2017","F","12/31/2020","##","Xiang Xiang","Fragrance",49,"06/12/2017","return","4-year","Expected to return in 2020","Ueno Zoo","3.53","3.56","0.0"
"Wolong, China","8/31/2005","M","11/28/2024","##","Wang Wang","Net",50,"11/28/2009","in","15-year","Expected to return in 2024","Adelaide Zoo","15.3","19.3","4.25"
"Wolong, China","8/23/2006","F","11/28/2024","##","Fu Ni","Lucky girl",51,"11/28/2009","in","14-year","Expected to return in 2024","Adelaide Zoo","14.3","18.3","3.27"
"Chapultepec Zoo","6/15/1987","F","NA","##","Shuan Shuan","##",52,"6/15/1987","not on loan","34-year","Would not return","Chapultepec Zoo","33.5","NA","0.0"
"Chapultepec Zoo","07/01/1990","F","NA","##","Xin Xin","##",53,"07/01/1990","not on loan","30-year","Would not return","Chapultepec Zoo","30.5","NA","0.0"
"Chongqing, China","8/30/2008","M","3/25/2023","##","Da Mao","Big Fur",54,"3/25/2013","return","12-year","Returned on 2020-11-27, 2 years earlier than expected","Calgary Zoo","12.3","14.6","4.57"
"Chongqing, China","08/10/2007","F","3/25/2023","##","Er Shun","Double smoothness",55,"3/25/2013","return","13-year","Returned on 2020-11-27, 2 years earlier than expected","Calgary Zoo","13.4","15.6","5.63"
"Toronto Zoo","10/13/2015","M","10/13/2019","##","Jia Panpan","Canadian Hope",56,"10/13/2015","return","5-year","Returned on 2020-01-12","Calgary Zoo","5.19","4.0","0.0"
"Toronto Zoo","10/13/2015","F","10/13/2019","##","Jia Yueyue","Canadian Joy",57,"10/13/2015","return","5-year","Returned on 2020-01-12","Calgary Zoo","5.19","4.0","0.0"
"Chongqing, China","7/18/1998","M","04/07/2023","##","Le Le","Happiness",58,"04/07/2003","in","22-year","Expected to return in 2023","Memphis Zoo","22.4","24.7","4.72"
"Beijing, China","08/03/2000","F","04/07/2023","##","Ya Ya","Little girl",59,"04/07/2003","in","20-year","Expected to return in 2023","Memphis Zoo","20.4","22.7","2.68"
"Chengdu, China","09/09/1997","M","NA","##","Yang Yang","Little sea",60,"11/05/1999","in","23-year","Loan expire date is unknown","Zoo Atlanta","23.3","NA","2.16"
"Chengdu, China","8/25/1997","F","NA","##","Lun Lun","(Renamed by a Taiwanese rock star, Su Hui Lun)",61,"11/05/1999","in","23-year","Loan expire date is unknown","Zoo Atlanta","23.3","NA","2.2"
"Zoo Atlanta","09/03/2016","F","NA","##","Ya Lun","Elegant",62,"09/03/2016","in","4-year","Loan expire date is unknown","Zoo Atlanta","4.3","NA","0.0"
"Zoo Atlanta","09/03/2016","F","NA","##","Xi Lun","Joy",63,"09/03/2016","in","4-year","Loan expire date is unknown","Zoo Atlanta","4.3","NA","0.0"
"Wolong, China","8/27/1997","M","12/07/2023","##","Tian Tian","More and more",64,"12/06/2000","in","23-year","Expected to return in 2023","Smithsonian's National Zoo","23.3","26.3","3.28"
"Wolong, China","7/22/1998","F","12/07/2023","##","Mei Xiang","Beautiful fragrance",65,"12/06/2000","in","22-year","Expected to return in 2023","Smithsonian's National Zoo","22.4","25.4","2.38"
"Smithsonian's National Zoo","8/21/2020","M","12/07/2023","##","Xiao Qi Ji","Little miracle",66,"8/21/2020","in","NA","Expected to return in 2023","Smithsonian's National Zoo","0.334","3.3","0.0"
