YEAR,POUNDS GRADED,PRIME,%,CHOICE,%,GOOD,%,UTILITY,%,CULL,%,% OF FEDERAL  SLAUGHTER LAMB,Y1,%,Y2,%,Y3,%,Y4,%,Y5,%,FOOTNOTES
1994," 240,433 "," 22,433 ",9.3%," 218,000 ",90.7%,,,,,,,87.5%,27,11.2%,98,40.7%,94,38.9%,19,8.0%,3,1.2%,
1995," 221,762 "," 23,128 ",10.4%," 198,634 ",89.6%,,,,,,,85.4%,26,11.5%,94,42.3%,84,38.0%,16,7.2%,2,1.0%,
1996," 212,020 "," 17,102 ",8.1%," 194,917 ",91.9%, 1 ,0.000%,,,,,87.8%,26,12.1%,87,41.2%,81,38.2%,15,7.1%,3,1.4%,
1997," 205,946 "," 17,218 ",8.4%," 188,678 ",91.6%, 50 ,0.024%,,,,,87.2%,21,10.1%,84,40.9%,83,40.2%,15,7.5%,3,1.4%,
1998," 210,247 "," 17,414 ",8.3%," 192,833 ",91.7%,,,,,,,90.7%,25,12.0%,91,43.1%,80,38.1%,12,5.7%,2,1.0%,
1999," 200,242 "," 17,813 ",8.9%," 182,429 ",91.1%,,,,,,,89.2%,20,9.9%,90,45.0%,77,38.2%,12,5.8%,2,1.1%,
,,,,,,,,,,,,,,,,,,,,,,,
2000," 183,741 "," 11,212 ",6.1%," 172,529 ",93.9%,,,,,,,86.6%,13,7.0%,80,43.3%,75,40.5%,15,7.9%,2,1.3%,
2001," 182,576 "," 10,970 ",6.0%," 171,606 ",94.0%,,,,,,,88.4%,8,4.3%,65,35.9%,78,42.9%,24,12.9%,7,4.0%,
2002," 169,363 "," 9,350 ",5.5%," 160,013 ",94.5%,,,,,,,85.3%,11,6.2%,72,42.4%,68,40.1%,15,9.0%,4,2.2%,
2003," 156,650 "," 9,958 ",6.4%," 146,692 ",93.6%,,,,,,,85.0%,8,5.0%,59,37.7%,69,43.8%,18,11.2%,4,2.2%,
2004," 146,624 "," 8,559 ",5.8%," 138,065 ",94.2%,,,,,,,84.0%,7,4.5%,52,35.1%,68,46.1%,18,11.9%,4,2.4%,
2005," 139,549 "," 10,236 ",7.3%," 129,314 ",92.7%,,,,,,,81.5%,7,5.1%,45,32.5%,65,46.8%,18,12.5%,4,3.1%,
2006," 135,373 "," 10,972 ",8.1%," 124,402 ",91.9%,,,,,,,79.7%,6,4.2%,43,32.1%,64,47.2%,18,13.3%,4,3.3%,
2007," 131,824 "," 10,323 ",7.8%," 121,491 ",92.2%,,,,,,,79.2%,5,4.2%,43,32.5%,63,48.1%,16,12.2%,4,3.0%,
2008," 123,270 "," 11,086 ",9.0%," 112,184 ",91.0%,,,,,,,77.4%,6,4.6%,39,31.5%,58,47.1%,17,13.6%,4,3.1%,
2009," 114,757 "," 10,602 ",9.2%," 104,155 ",90.8%,,,,,,,74.3%,5,4.0%,39,33.6%,52,45.0%,16,13.6%,4,3.7%,
,,,,,,,,,,,,,,,,,,,,,,,
2010," 106,222 "," 7,423 ",7.0%," 98,799 ",93.0%,,,,,,,73.9%,5,4.6%,40,37.8%,45,42.6%,13,12.5%,3,2.5%,
2011," 97,984 "," 7,062 ",7.2%," 90,922 ",92.8%,,,,,,,74.2%,6,5.7%,32,32.7%,42,42.7%,15,15.7%,3,3.3%,
2012," 98,523 "," 8,282 ",8.4%," 90,241 ",91.6%,,,,,,,70.9%,5,5.1%,28,28.7%,36,36.2%,17,17.4%,12,12.6%,
2013," 91,834 "," 7,974 ",8.7%," 83,860 ",91.3%,,,,,,,67.3%,7,7.2%,33,36.4%,32,35.3%,13,13.6%,7,7.5%,
2014," 93,051 "," 5,902 ",6.3%," 87,149 ",93.7%,,,,,,,67.4%,5,5.5%,31,33.4%,38,41.3%,13,14.3%,5,5.5%,
2015," 84,301 "," 5,065 ",6.0%," 79,236 ",94.0%,,,,,,,64.6%,4,5.3%,24,28.9%,35,41.4%,14,16.2%,7,8.2%,
