Title,Year,Rating,Votes,Genre
Ozark,2017,8.4,"218,504","Crime, Drama"
The Last Kingdom,2015,8.4,"100,240","Action, Drama"
Taboo,2017,8.4,"122,278","Drama, Mystery"
Outlander,2014,8.4,"140,534","Drama, Fantasy"
Brooklyn NineNine,2013,8.4,"272,078","Comedy, Crime"
Broadchurch,2013,8.4,"104,504","Crime, Drama"
Person of Interest,2011,8.4,"169,496","Crime, Drama"
The Legend of Korra,2012,8.4,"113,069","Animation, Adventure"
Suits,2011,8.4,"383,178","Comedy, Drama"
Luther,2010,8.4,"129,078","Crime, Drama"
Modern Family,2009,8.4,"392,070","Comedy, Drama"
Fringe,2008,8.4,"229,619",SciFi
Supernatural,2005,8.4,"414,219","Drama, Fantasy"
Entourage,2004,8.4,"163,504","Comedy, Drama"
Futurama,1999,8.4,"222,920","Animation, Comedy"
Loki,2021,8.3,"224,675","Action, Adventure"
Sex Education,2019,8.3,"234,168","Comedy, Drama"
Sense8,2015,8.3,"147,039",SciFi
Orphan Black,2013,8.3,"106,304",SciFi
Homeland,2011,8.3,"327,856","Crime, Drama"
Californication,2007,8.3,"175,986","Comedy, Drama"
How I Met Your Mother,2005,8.3,"639,449","Comedy, Romance"
Prison Break,2005,8.3,"502,586","Crime, Drama"
Lost,2004,8.3,"523,354","Adventure, Drama"
Scrubs,2001,8.3,"245,872","Comedy, Drama"
24,2001,8.3,"179,473","Crime, Drama"
Money Heist,2017,8.2,"403,617","Crime, Drama"
The Witcher,2019,8.2,"362,882","Action, Adventure"
The Good Place,2016,8.2,"135,803","Drama, Fantasy"
The Originals,2013,8.2,"126,395","Drama, Fantasy"
Penny Dreadful,2014,8.2,"117,065","Drama, Fantasy"
The Killing,2011,8.2,"105,310","Crime, Drama"
The Walking Dead,2010,8.2,"913,014","Drama, Horror"
White Collar,2009,8.2,"125,128","Crime, Drama"
Chuck,2007,8.2,"132,543","Action, Comedy"
30 Rock,2006,8.2,"117,888",Comedy
Gilmore Girls,2000,8.2,"111,886","Comedy, Drama"
Buffy the Vampire Slayer,1997,8.2,"138,799","Action, Drama"
The End of the F***ing World,2017,8.1,"166,457","Adventure, Comedy"
Tom Clancy's Jack Ryan,2018,8.1,"102,291","Action, Drama"
Lucifer,2016,8.1,"294,824","Crime, Drama"
How to Get Away with Murder,2014,8.1,"140,786","Crime, Drama"
Bates Motel,2013,8.1,"102,746","Drama, Horror"
Castle,2009,8.1,"150,725","Crime, Drama"
The Mentalist,2008,8.1,"173,510","Crime, Drama"
The Big Bang Theory,2007,8.1,"758,654","Comedy, Romance"
Criminal Minds,2005,8.1,"180,219","Crime, Drama"
Family Guy,1999,8.1,"318,434","Animation, Comedy"
The Blacklist,2013,8,"224,229","Crime, Drama"
Orange Is the New Black,2013,8,"288,877","Crime, Drama"
Altered Carbon,2018,8,"153,845",SciFi
American Horror Story,2011,8,"300,255","Drama, Horror"
The Umbrella Academy,2019,8,"186,361","Action, Adventure"
Lie to Me,2009,8,"115,575","Crime, Drama"
Malcolm in the Middle,2000,8,"124,107","Comedy, Family"
That '70s Show,1998,8,"161,182","Comedy, Romance"
Married... with Children,1987,8,"100,231",Comedy
The Sinner,2017,7.9,"103,124","Crime, Drama"
Jessica Jones,2015,7.9,"201,881","Crime, Drama"
Elementary,2012,7.9,"106,073","Crime, Drama"
Weeds,2005,7.9,"105,937","Comedy, Crime"
The Fresh Prince of BelAir,1990,7.9,"127,717",Comedy
Gotham,2014,7.8,"219,995","Crime, Drama"
Revenge,2011,7.8,"116,617","Drama, Mystery"
Grimm,2011,7.8,"114,047","Crime, Drama"
True Blood,2008,7.8,"236,862","Drama, Fantasy"
Bones,2005,7.8,"148,994","Crime, Drama"
You,2018,7.7,"202,695","Crime, Drama"
Once Upon a Time,2011,7.7,"215,898","Adventure, Fantasy"
New Girl,2011,7.7,"207,094",Comedy
The Vampire Diaries,2009,7.7,"300,733","Drama, Fantasy"
NCIS,2003,7.7,"133,041","Crime, Drama"
The Flash,2014,7.6,"327,535","Action, Adventure"
The 100,2014,7.6,"233,655",SciFi
Teen Wolf,2011,7.6,"137,361","Action, Drama"
Agents of S.H.I.E.L.D.,2013,7.5,"208,749","Action, Adventure"
Arrow,2012,7.5,"419,558","Action, Adventure"
13 Reasons Why,2017,7.5,"273,301","Drama, Mystery"
Heroes,2006,7.5,"234,938",SciFi
Grey's Anatomy,2005,7.5,"279,170","Drama, Romance"
Desperate Housewives,2004,7.5,"122,433","Comedy, Drama"
Smallville,2001,7.5,"121,805","Drama, Romance"
Pretty Little Liars,2010,7.4,"158,864","Drama, Romance"
Gossip Girl,2007,7.4,"163,834","Drama, Romance"
Luke Cage,2016,7.3,"122,647","Crime, Drama"
American Dad!,2005,7.3,"121,834","Animation, Comedy"
Star Trek: Discovery,2017,7.2,"105,098","Action, Adventure"
Sex and the City,1998,7.2,"115,034","Comedy, Romance"
Two and a Half Men,2003,7,"250,932","Comedy, Romance"
Fear the Walking Dead,2015,6.9,"122,164",SciFi
Riverdale,2017,6.7,"132,860","Crime, Drama"
Glee,2009,6.7,"142,466","Comedy, Drama"
Under the Dome,2013,6.6,"103,876",SciFi
Iron Fist,2017,6.4,"121,853","Action, Adventure"
Supergirl,2015,6.2,"119,013","Action, Adventure"
