LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,Unit Code,Unit,Value
SVK,Slovak Republic,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,9.9
ESP,Spain,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,23.1
SWE,Sweden,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,3.2
TUR,Turkey,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,12.5
GBR,United Kingdom,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,4.5
USA,United States,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,7.7
CHL,Chile,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,8.7
EST,Estonia,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,3.8
ISR,Israel,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,4.2
LVA,Latvia,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,9.6
SVN,Slovenia,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,5.8
OECD,OECD - Total,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,7
AUS,Australia,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,5.9
AUT,Austria,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,4.2
BEL,Belgium,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,4.7
CAN,Canada,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,6.7
CZE,Czech Republic,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,2.8
DNK,Denmark,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,4.3
FIN,Finland,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,4.9
FRA,France,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,8.1
DEU,Germany,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,4.9
GRC,Greece,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,23.7
HUN,Hungary,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,4.7
ISL,Iceland,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0.7
IRL,Ireland,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,10.5
ITA,Italy,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,12.1
JPN,Japan,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,2.4
KOR,Korea,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,3.1
LUX,Luxembourg,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,1.4
MEX,Mexico,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,5.5
NLD,Netherlands,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,4.9
POL,Poland,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,6
PRT,Portugal,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,10.2
SVK,Slovak Republic,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,8.4
ESP,Spain,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,21.1
SWE,Sweden,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,3.9
TUR,Turkey,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,10.2
GBR,United Kingdom,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,4.9
USA,United States,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,7.8
CHL,Chile,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,7
EST,Estonia,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,4.1
LVA,Latvia,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,11.1
SVN,Slovenia,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,5
OECD,OECD - Total,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,7.2
AUS,Australia,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,5
AUT,Austria,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,2.7
BEL,Belgium,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,2.7
CAN,Canada,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,5.4
CZE,Czech Republic,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,3.5
DNK,Denmark,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,4.1
FIN,Finland,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,2.9
FRA,France,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,7
DEU,Germany,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,4.2
GRC,Greece,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,36
HUN,Hungary,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,4.6
ISL,Iceland,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0.7
IRL,Ireland,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,5.2
ITA,Italy,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,12.5
JPN,Japan,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0.3
KOR,Korea,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,2.1
LUX,Luxembourg,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,1.9
MEX,Mexico,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,5.5
NLD,Netherlands,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,4.7
POL,Poland,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,5.3
PRT,Portugal,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,9.7
SVK,Slovak Republic,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,11.4
ESP,Spain,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,25
SWE,Sweden,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,2.4
TUR,Turkey,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,14.9
GBR,United Kingdom,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,4.2
USA,United States,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,7.6
CHL,Chile,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,10.3
EST,Estonia,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,3.6
LVA,Latvia,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,8
SVN,Slovenia,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,6.5
OECD,OECD - Total,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,7.2
AUS,Australia,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,2.29
AUT,Austria,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,2.67
BEL,Belgium,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,2.19
CAN,Canada,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,4.17
CZE,Czech Republic,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,1.5
DNK,Denmark,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,3.65
FIN,Finland,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,3.41
FRA,France,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,4.11
DEU,Germany,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,2.41
GRC,Greece,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,23.78
HUN,Hungary,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,1.62
ISL,Iceland,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0.59
IRL,Ireland,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,4.1
ITA,Italy,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,6.98
JPN,Japan,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,2.65
KOR,Korea,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,2.6
LUX,Luxembourg,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,2.02
MEX,Mexico,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,6.26
NLD,Netherlands,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,3.07
POL,Poland,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,2.92
PRT,Portugal,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,7.46
SVK,Slovak Republic,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,5.02
ESP,Spain,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,13.05
SWE,Sweden,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,2.15
TUR,Turkey,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,11.48
GBR,United Kingdom,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,3.1
USA,United States,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,4.35
CHL,Chile,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,6.64
EST,Estonia,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,2.43
LVA,Latvia,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,4.59
SVN,Slovenia,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,3.84
OECD,OECD - Total,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,5
AUS,Australia,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,11.02
AUT,Austria,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,7.31
BEL,Belgium,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,6.97
CAN,Canada,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,12.97
CZE,Czech Republic,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,25.14
DNK,Denmark,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,6.78
FIN,Finland,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,7.43
FRA,France,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,15.09
DEU,Germany,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,10.43
GRC,Greece,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,32.72
HUN,Hungary,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,10.66
ISL,Iceland,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0.62
IRL,Ireland,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,16.32
ITA,Italy,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,16.78
JPN,Japan,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,4.35
KOR,Korea,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,1.11
LUX,Luxembourg,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,1.59
MEX,Mexico,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,4.22
NLD,Netherlands,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,7.18
POL,Poland,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,15
PRT,Portugal,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,10.76
SVK,Slovak Republic,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,72.16
ESP,Spain,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,36.71
SWE,Sweden,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,9.51
TUR,Turkey,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,11.22
GBR,United Kingdom,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,7.02
USA,United States,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,17.91
CHL,Chile,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,8.2
EST,Estonia,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,8.03
LVA,Latvia,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,23.29
SVN,Slovenia,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,10.55
OECD,OECD - Total,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,12.35
AUS,Australia,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,2.7
AUT,Austria,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,1.3
BEL,Belgium,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,2
CAN,Canada,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,2.9
CZE,Czech Republic,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,1.6
DNK,Denmark,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,2
FIN,Finland,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,2.2
FRA,France,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,2.1
DEU,Germany,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,1.8
GRC,Greece,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,1.8
HUN,Hungary,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,1.2
ISL,Iceland,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,2.1
IRL,Ireland,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,1.3
ITA,Italy,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,2.5
JPN,Japan,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,1.4
KOR,Korea,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,2.9
LUX,Luxembourg,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,1.7
MEX,Mexico,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,3.2
NLD,Netherlands,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,2.6
NZL,New Zealand,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,2.5
NOR,Norway,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,2.2
POL,Poland,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,2.6
PRT,Portugal,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,1.5
SVK,Slovak Republic,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,3
ESP,Spain,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,1.8
SWE,Sweden,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,2
CHE,Switzerland,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,2.3
TUR,Turkey,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,1.5
GBR,United Kingdom,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,3.1
USA,United States,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,3.1
BRA,Brazil,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,2.2
CHL,Chile,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,1.3
EST,Estonia,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,2.7
ISR,Israel,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,2.5
LVA,Latvia,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,2.2
SVN,Slovenia,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,2.5
OECD,OECD - Total,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,2.4
AUT,Austria,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0.9
BEL,Belgium,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,1.9
CAN,Canada,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0.2
CZE,Czech Republic,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0.7
DNK,Denmark,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0.5
FIN,Finland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0.5
FRA,France,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0.5
DEU,Germany,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0.2
GRC,Greece,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0.5
HUN,Hungary,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,4.7
ISL,Iceland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0
IRL,Ireland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,1
ITA,Italy,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0.7
JPN,Japan,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,6.4
KOR,Korea,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,2.5
LUX,Luxembourg,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0.5
MEX,Mexico,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,25.5
NLD,Netherlands,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0.1
NOR,Norway,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0
POL,Poland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,3
PRT,Portugal,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,1
SVK,Slovak Republic,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,1.2
ESP,Spain,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0.1
SWE,Sweden,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0
CHE,Switzerland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0.1
TUR,Turkey,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,8
GBR,United Kingdom,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0.3
USA,United States,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0.1
BRA,Brazil,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,6.7
CHL,Chile,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,9.4
EST,Estonia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,7
LVA,Latvia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,13.9
RUS,Russia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,14.8
SVN,Slovenia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0.4
ZAF,South Africa,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,37
OECD,OECD - Total,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,4.4
AUS,Australia,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,20
AUT,Austria,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,21
BEL,Belgium,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,21
CAN,Canada,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,22
CZE,Czech Republic,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,24
DNK,Denmark,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,23
FIN,Finland,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,23
FRA,France,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,21
DEU,Germany,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,20
GRC,Greece,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,23
HUN,Hungary,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,19
ISL,Iceland,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,24
IRL,Ireland,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,20
ITA,Italy,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,23
JPN,Japan,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,22
KOR,Korea,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,15
LUX,Luxembourg,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,21
MEX,Mexico,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,20
NLD,Netherlands,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,19
NZL,New Zealand,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,26
NOR,Norway,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,17
POL,Poland,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,22
PRT,Portugal,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,21
SVK,Slovak Republic,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,23
ESP,Spain,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,21
SWE,Sweden,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,19
CHE,Switzerland,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,22
TUR,Turkey,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,20
GBR,United Kingdom,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,26
USA,United States,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,19
CHL,Chile,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,18
EST,Estonia,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,17
LVA,Latvia,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,23
RUS,Russia,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,18
SVN,Slovenia,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,18
ZAF,South Africa,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,18
OECD,OECD - Total,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,20
AUS,Australia,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,63.5
AUT,Austria,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,80.6
BEL,Belgium,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,70.1
CAN,Canada,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,82.2
