,Africa Life Expectancy + Population,,,,,
Somalia,37,45.4,55.9,"12,316,895",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
South Africa,52.2,62.1,61.9,"54,956,900",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
South Sudan,31.7,43.5,56.3,"8,260,490",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Sudan,48.2,55.5,64.2,"40,235,000",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Tanzania,43.7,50.2,64.9,"51,046,000",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Togo,40.3,55.8,59.9,"6,191,155",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Tunisia,42,68.8,75.5,"10,982,754",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Uganda,44,45.6,59.5,"34,856,813",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Zambia,45.1,45,61.3,"15,473,905",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Zimbabwe,51.5,58,60.3,"13,061,239",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
