"COUNTRY","RANK","YEAR"
"Israel",13,1996
"Italy",10,1996
"Japan",3,1996
"Mexico",14,1996
"Netherlands",11,1996
"New Zealand",20,1996
"South Korea",7,1996
"Spain",19,1996
"Switzerland",12,1996
"Taiwan",9,1996
"U.K.",2,1996
"U.S.",1,1996
"Australia",7,1997
"Belgium",19,1997
"Brazil",16,1997
"China",15,1997
"France",4,1997
"Germany",5,1997
"Hong Kong",8,1997
"India",17,1997
"Israel",14,1997
"Italy",11,1997
"Japan",3,1997
"Mexico",13,1997
"Netherlands",10,1997
"New Zealand",18,1997
"South Korea",6,1997
"Spain",20,1997
"Switzerland",12,1997
"Taiwan",9,1997
"U.K.",2,1997
"U.S.",1,1997
"Australia",7,1998
"Belgium",18,1998
"Brazil",15,1998
"China",16,1998
"France",4,1998
"Germany",5,1998
"Hong Kong",6,1998
"India",17,1998
"Israel",13,1998
"Italy",9,1998
"Japan",3,1998
"Mexico",10,1998
"Netherlands",11,1998
"New Zealand",19,1998
"South Korea",14,1998
"Spain",20,1998
"Switzerland",12,1998
"Taiwan",8,1998
"U.K.",2,1998
"U.S.",1,1998
"Australia",6,1999
"Belgium",17,1999
"Brazil",18,1999
"China",15,1999
"France",4,1999
"Germany",5,1999
"Hong Kong",8,1999
"India",16,1999
"Israel",14,1999
"Italy",10,1999
"Japan",3,1999
"Mexico",9,1999
"Netherlands",11,1999
"New Zealand",20,1999
"South Korea",12,1999
"Spain",19,1999
"Switzerland",13,1999
"Taiwan",7,1999
"U.K.",2,1999
"U.S.",1,1999
"Australia",6,2000
"Belgium",17,2000
"Brazil",18,2000
"China",15,2000
"France",4,2000
"Germany",5,2000
"Hong Kong",10,2000
"India",16,2000
"Israel",14,2000
"Italy",12,2000
"Japan",3,2000
"Mexico",9,2000
"Netherlands",11,2000
"New Zealand",20,2000
"South Korea",8,2000
"Spain",19,2000
"Switzerland",13,2000
"Taiwan",7,2000
"U.K.",2,2000
"U.S.",1,2000
"Australia",6,2001
"Belgium",17,2001
"Brazil",18,2001
"China",14,2001
"France",4,2001
"Germany",5,2001
"Hong Kong",9,2001
"India",16,2001
"Israel",15,2001
"Italy",12,2001
"Japan",3,2001
"Mexico",8,2001
"Netherlands",11,2001
"Philippines",20,2001
"South Korea",7,2001
"Spain",19,2001
"Switzerland",13,2001
"Taiwan",10,2001
"U.K.",2,2001
"U.S.",1,2001
"Australia",8,2002
"Belgium",18,2002
"Brazil",20,2002
"China",13,2002
"France",4,2002
"Germany",5,2002
"Hong Kong",9,2002
"India",16,2002
"Israel",15,2002
"Italy",12,2002
"Japan",3,2002
"Mexico",7,2002
"Netherlands",10,2002
"Philippines",19,2002
"South Korea",6,2002
"Spain",17,2002
"Switzerland",14,2002
"Taiwan",11,2002
"U.K.",2,2002
"U.S.",1,2002
"Australia",6,2003
"Belgium",17,2003
"Brazil",20,2003
"China",12,2003
"France",3,2003
"Germany",5,2003
"Hong Kong",10,2003
"India",16,2003
"Israel",15,2003
"Italy",14,2003
"Japan",4,2003
"Mexico",8,2003
"Netherlands",9,2003
"Philippines",18,2003
"South Korea",7,2003
"Spain",19,2003
"Switzerland",11,2003
"Taiwan",13,2003
"U.K.",2,2003
"U.S.",1,2003
"Australia",7,2004
"Belgium",18,2004
"Brazil",17,2004
"China",12,2004
"France",4,2004
"Germany",5,2004
"Hong Kong",9,2004
"India",15,2004
"Israel",16,2004
"Italy",13,2004
"Japan",3,2004
"Mexico",8,2004
"Netherlands",10,2004
"Philippines",20,2004
"South Korea",6,2004
"Spain",19,2004
"Switzerland",14,2004
"Taiwan",11,2004
"U.K.",2,2004
"U.S.",1,2004
"Australia",6,2005
"Belgium",20,2005
"Brazil",17,2005
"China",10,2005
"France",4,2005
"Germany",5,2005
"Hong Kong",11,2005
"India",16,2005
"Israel",15,2005
"Italy",14,2005
"Japan",3,2005
"Mexico",7,2005
"Netherlands",9,2005
"Philippines",19,2005
"South Korea",8,2005
"Spain",18,2005
"Switzerland",13,2005
"Taiwan",12,2005
"U.K.",2,2005
"U.S.",1,2005
"Australia",7,2006
"Belgium",20,2006
"Brazil",17,2006
"China",9,2006
"France",4,2006
"Germany",5,2006
"Hong Kong",11,2006
"India",15,2006
"Israel",16,2006
"Italy",14,2006
"Japan",3,2006
"Mexico",6,2006
"Netherlands",10,2006
"Philippines",19,2006
"South Korea",8,2006
"Spain",18,2006
"Switzerland",13,2006
"Taiwan",12,2006
"U.K.",2,2006
"U.S.",1,2006
"Australia",7,2007
"Belgium",20,2007
"Brazil",18,2007
"China",9,2007
"France",3,2007
"Germany",5,2007
"Hong Kong",11,2007
"India",12,2007
"Israel",16,2007
"Italy",13,2007
"Japan",4,2007
"Mexico",6,2007
"Netherlands",10,2007
"Philippines",19,2007
"South Korea",8,2007
"Spain",17,2007
"Switzerland",14,2007
"Taiwan",15,2007
"U.K.",2,2007
"U.S.",1,2007
"Australia",7,2008
"Belgium",20,2008
"Brazil",16,2008
"China",9,2008
"France",3,2008
"Germany",4,2008
"Hong Kong",10,2008
"India",12,2008
"Israel",17,2008
"Italy",13,2008
"Japan",5,2008
"Mexico",6,2008
"Netherlands",11,2008
"Philippines",19,2008
"South Korea",8,2008
"Spain",15,2008
"Switzerland",14,2008
"Taiwan",18,2008
"U.K.",2,2008
"U.S.",1,2008
"Australia",5,2009
"Belgium",20,2009
"Brazil",17,2009
"China",8,2009
"France",3,2009
"Germany",4,2009
"Hong Kong",10,2009
"India",11,2009
"Israel",18,2009
"Italy",14,2009
"Japan",6,2009
"Mexico",7,2009
"Netherlands",12,2009
"Philippines",16,2009
"South Korea",9,2009
"Spain",15,2009
"Switzerland",13,2009
"Taiwan",19,2009
"U.K.",2,2009
"U.S.",1,2009
"Australia",5,2010
"Belgium",20,2010
"Brazil",15,2010
"China",7,2010
"France",3,2010
"Germany",4,2010
"Hong Kong",11,2010
"India",9,2010
"Israel",17,2010
"Italy",13,2010
"Japan",6,2010
"Mexico",10,2010
"Netherlands",12,2010
"Philippines",18,2010
"South Korea",8,2010
"Spain",16,2010
"Switzerland",14,2010
"Taiwan",19,2010
"U.K.",2,2010
"U.S.",1,2010
"Australia",5,2011
"Belgium",20,2011
"Brazil",15,2011
"China",6,2011
"France",3,2011
"Germany",4,2011
"Hong Kong",11,2011
"India",9,2011
"Israel",17,2011
"Italy",14,2011
"Japan",7,2011
"Mexico",10,2011
"Netherlands",13,2011
"Philippines",18,2011
"South Korea",8,2011
"Spain",16,2011
"Switzerland",12,2011
"Taiwan",19,2011
"U.K.",2,2011
"U.S.",1,2011
"Australia",6,2012
"Belgium",19,2012
"Brazil",15,2012
"China",5,2012
"France",3,2012
"Germany",4,2012
"Hong Kong",11,2012
"India",8,2012
"Israel",16,2012
"Italy",14,2012
"Japan",7,2012
"Mexico",10,2012
"Netherlands",13,2012
"Philippines",17,2012
"South Korea",9,2012
"Spain",18,2012
"Switzerland",12,2012
"Taiwan",20,2012
"U.K.",2,2012
"U.S.",1,2012
"Australia",6,2013
"Belgium",20,2013
"Brazil",15,2013
"China",4,2013
"France",3,2013
"Germany",5,2013
"Hong Kong",11,2013
"India",10,2013
"Israel",18,2013
"Italy",13,2013
"Japan",7,2013
"Mexico",9,2013
"Netherlands",14,2013
"Philippines",16,2013
"South Korea",8,2013
"Spain",19,2013
"Switzerland",12,2013
"Taiwan",17,2013
"U.K.",2,2013
"U.S.",1,2013
"Australia",6,2014
"Belgium",20,2014
"Brazil",15,2014
"China",4,2014
"France",3,2014
"Germany",5,2014
"Hong Kong",11,2014
"India",8,2014
"Israel",19,2014
"Italy",12,2014
"Japan",7,2014
"Mexico",10,2014
"Netherlands",14,2014
"Philippines",16,2014
"South Korea",9,2014
"Spain",18,2014
"Switzerland",13,2014
"Taiwan",17,2014
"U.K.",2,2014
"U.S.",1,2014
"Australia",6,2015
"Belgium",20,2015
"Brazil",15,2015
"China",3,2015
"France",4,2015
"Germany",5,2015
"Hong Kong",11,2015
"India",10,2015
"Israel",18,2015
"Italy",12,2015
"Japan",7,2015
"Mexico",8,2015
"Netherlands",13,2015
"Philippines",19,2015
"South Korea",9,2015
"Spain",16,2015
"Switzerland",14,2015
"Taiwan",17,2015
"U.K.",2,2015
"U.S.",1,2015
"Australia",6,2016
"Belgium",19,2016
"Brazil",15,2016
"China",3,2016
"France",4,2016
"Germany",5,2016
"Hong Kong",11,2016
"India",10,2016
"Israel",18,2016
"Italy",12,2016
"Japan",7,2016
"Mexico",9,2016
"Netherlands",13,2016
"Philippines",20,2016
"South Korea",8,2016
"Spain",17,2016
"Switzerland",14,2016
"Taiwan",16,2016
"U.K.",2,2016
"U.S.",1,2016
"Australia",6,2017
"Belgium",19,2017
"Brazil",13,2017
"China",3,2017
"France",4,2017
"Germany",5,2017
"Hong Kong",11,2017
"India",10,2017
"Israel",18,2017
"Italy",12,2017
"Japan",8,2017
"Mexico",7,2017
"Netherlands",14,2017
"Philippines",20,2017
"South Korea",9,2017
"Spain",17,2017
"Switzerland",15,2017
"Taiwan",16,2017
"U.K.",2,2017
"U.S.",1,2017
"Australia",7,2018
"Belgium",19,2018
"Brazil",12,2018
"China",2,2018
"France",4,2018
"Germany",6,2018
"Hong Kong",14,2018
"India",8,2018
"Israel",18,2018
"Italy",13,2018
"Japan",9,2018
"Mexico",5,2018
"Netherlands",11,2018
"Philippines",20,2018
"South Korea",10,2018
"Spain",17,2018
"Switzerland",16,2018
"Taiwan",15,2018
"U.K.",3,2018
"U.S.",1,2018
