Territory,km2
Nicaragua,"121,428"
Cameroon,"466,050"
Iran,"1,648,195"
Norfolk Island,35
Guinea,"245,857"
Afghanistan,"645,807"
Fiji,"18,333"
Montserrat,102
Equatorial Guinea,"28,051"
South Africa,"1,220,813"
Djibouti,"23,000"
Liberia,"97,036"
Belarus,"207,600"
Montenegro,"13,812"
Guinea-Bissau,"36,125"
Madagascar,"587,041"
Lithuania,"65,300"
Colombia,"1,141,748"
Palau,444
Cocos Islands,14
Zimbabwe,"390,757"
Democratic Republic of the Congo,"2,345,095"
Mozambique,"799,380"
Venezuela,"916,445"
Faroe Islands,"1,399"
United States,"9,833,517"
Kyrgyzstan,"199,945"
Latvia,"64,562"
Estonia,"45,339"
Eritrea,"121,100"
Abkhazia,"8,660"
Bahamas,"13,940"
Laos,"236,800"
Peru,"1,285,216"
Brazil,"8,515,767"
Vanuatu,"12,281"
Saint Pierre and Miquelon,242
Solomon Islands,"28,370"
Somalia,"637,657"
Angola,"1,246,700"
Sweden,"450,295"
Chile,"756,096"
Sudan,"1,839,542"
Zambia,"752,612"
Bhutan,"38,394"
Uruguay,"176,215"
Somaliland,"176,120"
South Sudan,"644,329"
Åland Islands,"1,552"
Papua New Guinea,"462,840"
New Zealand,"270,467"
Niger,"1,186,408"
Algeria,"2,381,741"
Belize,"22,965"
Paraguay,"406,752"
Norway,"323,808"
Finland,"338,424"
Argentina,"2,780,400"
Saudi Arabia,"2,149,690"
Republic of the Congo,"342,000"
Mali,"1,248,574"
Christmas Island,137
Oman,"309,500"
"Saint Helena, Ascension and Tristan da Cunha",394
New Caledonia,"18,575"
South Ossetia,"3,900"
Artsakh,"11,458"
Chad,"1,284,000"
Turkmenistan,"491,210"
Bolivia,"1,098,581"
Russia,"17,125,242"
Gabon,"267,667"
Central African Republic,"622,436"
Kazakhstan,"2,724,900"
Niue,261
Canada,"9,984,670"
Botswana,"581,730"
Mauritania,"1,030,700"
Libya,"1,770,060"
Guyana,"214,999"
Iceland,"102,775"
Suriname,"163,820"
Australia,"7,692,024"
French Guiana,"86,504"
Namibia,"825,118"
Western Sahara,"252,120"
Mongolia,"1,564,100"
Pitcairn Islands,47.3
Falkland Islands,"12,173"
Svalbard and Jan Mayen,"61,399"
Greenland,"2,166,000"
