YEAR,POUNDS GRADED,PRIME,%,CHOICE,%,GOOD,%,STAND'D,%,UTILITY,%,CULL,%,% OF FEDERAL  SLAUGHTER VEAL & CALF,FOOTNOTES
1986," 46,982 "," 4,393 ",9.4%," 36,837 ",78.4%," 3,955 ",8.4%," 1,764 ",3.755%,33,0.070%,,,10.1%,
1987," 39,024 "," 2,844 ",7.3%," 33,334 ",85.4%," 2,519 ",6.5%, 326 ,0.835%,1,0.003%,,,10.1%,
1988," 39,305 "," 3,135 ",8.0%," 33,818 ",86.0%," 2,005 ",5.1%, 346 ,0.880%,1,0.003%,,,10.7%,
1989," 38,666 "," 3,476 ",9.0%," 34,324 ",88.8%, 840 ,2.2%, 26 ,0.067%,,,,,11.7%,
,,,,,,,,,,,,,,,
1990," 39,613 "," 4,242 ",10.7%," 34,596 ",87.3%, 681 ,1.7%, 94 ,0.237%,,,,,13.0%,
1991," 43,102 "," 4,733 ",11.0%," 37,795 ",87.7%, 568 ,1.3%, 3 ,0.007%,2,0.005%,,,14.8%,
1992," 47,600 "," 5,123 ",10.8%," 41,659 ",87.5%, 782 ,1.6%, 36 ,0.076%,,,,,16.2%,
1993," 51,798 "," 6,814 ",13.2%," 43,447 ",83.9%," 1,373 ",2.7%, 164 ,0.317%,,,,,19.5%,
1994," 50,478 "," 7,158 ",14.2%," 41,180 ",81.6%," 1,995 ",4.0%, 145 ,0.287%,,,,,18.3%,
1995," 56,318 "," 7,607 ",13.5%," 47,244 ",83.9%," 1,402 ",2.5%, 66 ,0.117%,,,,,18.5%,
1996," 73,284 "," 9,301 ",12.7%," 62,908 ",85.8%," 1,003 ",1.4%, 71 ,0.097%,,,,,20.4%,
1997," 71,605 "," 9,468 ",13.2%," 61,538 ",85.9%, 594 ,0.8%, 5 ,0.007%,,,,,22.4%,
1998," 57,707 "," 6,841 ",11.9%," 50,334 ",87.2%, 532 ,0.9%,,,,,,,22.8%,
1999," 51,613 "," 5,077 ",9.8%," 46,123 ",89.4%, 413 ,0.8%,,,,,,,23.6%,
,,,,,,,,,,,,,,,
2000," 54,826 "," 4,477 ",8.2%," 50,040 ",91.3%, 308 ,0.6%,,,,,,,26.2%,
2001," 58,257 "," 4,419 ",7.6%," 53,537 ",91.9%, 301 ,0.5%,,,,,,,30.5%,
2002," 58,211 "," 4,420 ",7.6%," 53,356 ",91.7%, 435 ,0.7%,,,,,,,30.2%,
2003," 64,573 "," 3,313 ",5.1%," 60,618 ",93.9%, 640 ,1.0%, 1 ,0.002%,,,,,33.5%,
2004," 69,127 "," 3,875 ",5.6%," 64,118 ",92.8%," 1,099 ",1.6%, 35 ,0.051%,,,,,42.3%,
2005," 71,576 "," 3,790 ",5.3%," 66,695 ",93.2%," 1,091 ",1.5%,,,,,,,46.0%,
2006," 66,098 "," 2,443 ",3.7%," 62,732 ",94.9%, 922 ,1.4%,,,,,,,42.7%,
2007," 49,246 "," 1,143 ",2.3%," 47,464 ",96.4%, 639 ,1.3%,,,,,,,36.6%,
2008," 40,551 "," 1,639 ",4.0%," 38,621 ",95.2%, 291 ,0.7%,,,,,,,28.3%,
2009," 39,162 "," 1,423 ",3.6%," 37,423 ",95.6%, 316 ,0.8%,,,,,,,27.9%,
,,,,,,,,,,,,,,,
2010," 41,272 "," 1,264 ",3.1%," 39,643 ",96.1%, 365 ,0.9%,,,,,,,31.0%,
2011," 41,288 "," 1,229 ",3.0%," 39,900 ",96.6%, 159 ,0.4%,,,,,,,31.9%,
2012," 37,839 ", 874 ,2.3%," 36,824 ",97.3%, 141 ,0.4%,,,,,,,32.7%,
2013," 33,607 "," 1,141 ",3.4%," 32,385 ",96.4%, 81 ,0.2%,,,,,,,30.9%,
2014," 36,534 "," 1,783 ",4.9%," 34,667 ",94.9%, 85 ,0.2%,,,,,,,38.7%,
2015," 35,808 "," 1,154 ",3.2%," 34,606 ",96.6%, 49 ,0.1%,,,,,,,44.1%,
