"source","target","km"
"Djibouti","Ethiopia",349
"Djibouti","Somalia",58
"DominicanRepublic","Haiti",360
"EastTimor","Indonesia",228
"Ecuador","Colombia",590
"Ecuador","Peru",1420
"Egypt","GazaStrip",11
"Egypt","Israel",266
"Egypt","Libya",1115
"Egypt","Sudan",1273
"ElSalvador","Guatemala",203
"ElSalvador","Honduras",342
"EquatorialGuinea","Cameroon",189
"EquatorialGuinea","Gabon",350
"Eritrea","Djibouti",109
"Eritrea","Ethiopia",912
"Eritrea","SouthSudan",605
"Eritrea","Sudan",605
"Estonia","Latvia",343
"Estonia","Russia",290
"Ethiopia","Djibouti",349
"Ethiopia","Eritrea",912
"Ethiopia","Kenya",861
"Ethiopia","Somalia",1600
"Ethiopia","SouthSudan",803
"Ethiopia","Sudan",803
"Finland","Norway",727
"Finland","Russia",1313
"Finland","Sweden",614
"France","Andorra",56.6
"France","Belgium",620
"France","Germany",451
"France","Italy",488
"France","Luxembourg",73
"France","Monaco",4.4
"France","Spain",623
"France","Switzerland",573
"FrenchGuiana","Brazil",702
"FrenchGuiana","Suriname",510
"Gabon","Cameroon",298
"Gabon","EquatorialGuinea",350
"Gabon","RepublicCongo",1903
"Gambia","Senegal",740
"GazaStrip","Egypt",11
"GazaStrip","Israel",51
"Georgia","Armenia",164
"Georgia","Azerbaijan",322
"Georgia","Russia",723
"Georgia","Turkey",252
"Germany","Austria",784
"Germany","Belgium",167
"Germany","CzechRepublic",730
"Germany","Denmark",68
"Germany","France",451
"Germany","Luxembourg",138
"Germany","Netherlands",577
"Germany","Poland",456
"Germany","Switzerland",334
"Ghana","BurkinaFaso",549
"Ghana","IvoryCoast",668
"Ghana","Togo",877
"Gibraltar","Spain",1.2
"Greece","Albania",282
"Greece","Bulgaria",494
"Greece","Macedonia",246
"Greece","Turkey",206
"Guadeloupe","FormerNetherlandsAntilles",15
"Guatemala","Belize",266
"Guatemala","ElSalvador",203
"Guatemala","Honduras",256
"Guatemala","Mexico",962
"Guinea","GuineaBissau",386
"Guinea","IvoryCoast",610
"Guinea","Liberia",563
"Guinea","Mali",858
"Guinea","Senegal",330
"Guinea","SierraLeone",652
"GuineaBissau","Guinea",386
"GuineaBissau","Senegal",338
"Guyana","Brazil",1606
"Guyana","Suriname",600
"Guyana","Venezuela",743
"Haiti","DominicanRepublic",360
"Honduras","ElSalvador",342
"Honduras","Guatemala",256
"Honduras","Nicaragua",922
"HongKong","China",30
"Hungary","Austria",366
"Hungary","Croatia",329
"Hungary","Romania",443
"Hungary","Serbia",158
"Hungary","Slovakia",676
"Hungary","Slovenia",102
"Hungary","Ukraine",103
"India","Bangladesh",4053
"India","Bhutan",605
"India","China",3380
"India","Myanmar",1463
"India","Nepal",1690
"India","Pakistan",2912
"Indonesia","EastTimor",228
"Indonesia","Malaysia",1782
"Indonesia","PapuaNewGuinea",820
"Iran","Afghanistan",936
"Iran","Armenia",35
"Iran","Azerbaijan",611
"Iran","Iraq",1458
"Iran","Pakistan",909
"Iran","Turkey",499
"Iran","Turkmenistan",992
"Iraq","Iran",1458
"Iraq","Jordan",181
"Iraq","Kuwait",240
"Iraq","SaudiArabia",814
"Iraq","Syria",605
"Iraq","Turkey",352
"Ireland","UnitedKingdom",360
"Israel","Egypt",266
"Israel","GazaStrip",51
"Israel","Jordan",238
"Israel","Lebanon",79
"Israel","Syria",76
"Israel","WestBank",307
"Italy","Austria",430
"Italy","France",488
"Italy","SanMarino",39
"Italy","Slovenia",199
"Italy","Switzerland",740
"Italy","VaticanCity",3.2
"IvoryCoast","BurkinaFaso",584
"IvoryCoast","Ghana",668
"IvoryCoast","Guinea",610
"IvoryCoast","Liberia",716
"IvoryCoast","Mali",532
"Jordan","Iraq",181
"Jordan","Israel",238
"Jordan","SaudiArabia",744
"Jordan","Syria",375
"Jordan","WestBank",97
"Kazakhstan","China",1533
"Kazakhstan","Kyrgyzstan",1224
"Kazakhstan","Russia",6846
"Kazakhstan","Turkmenistan",379
"Kazakhstan","Uzbekistan",2203
"Kenya","Ethiopia",861
"Kenya","Somalia",682
"Kenya","SouthSudan",232
"Kenya","Tanzania",769
"Kenya","Uganda",933
"Kosovo","Albania",112
"Kosovo","Macedonia",159
"Kosovo","Montenegro",79
"Kosovo","Serbia",352
"Kuwait","Iraq",240
"Kuwait","SaudiArabia",222
"Kyrgyzstan","China",858
"Kyrgyzstan","Kazakhstan",1224
"Kyrgyzstan","Tajikistan",870
"Kyrgyzstan","Uzbekistan",1099
"Laos","Cambodia",541
"Laos","China",423
"Laos","Myanmar",235
"Laos","Thailand",1754
"Laos","Vietnam",2130
"Latvia","Belarus",171
"Latvia","Estonia",343
"Latvia","Lithuania",576
"Latvia","Russia",292
"Lebanon","Israel",79
"Lebanon","Syria",375
"Lesotho","SouthAfrica",909
"Liberia","Guinea",563
"Liberia","IvoryCoast",716
"Liberia","SierraLeone",306
"Libya","Algeria",982
"Libya","Chad",1055
"Libya","Egypt",1115
"Libya","Niger",354
"Libya","Sudan",383
"Libya","Tunisia",459
"Liechtenstein","Austria",35
"Liechtenstein","Switzerland",41
"Lithuania","Belarus",680
"Lithuania","Latvia",576
"Lithuania","Poland",91
"Lithuania","Russia",227
"Luxembourg","Belgium",148
"Luxembourg","France",73
"Luxembourg","Germany",138
"Macau","China",0.34
"Macedonia","Albania",151
"Macedonia","Bulgaria",148
"Macedonia","Greece",246
"Macedonia","Kosovo",159
"Macedonia","Serbia",62
"Malawi","Mozambique",1569
"Malawi","Tanzania",475
"Malawi","Zambia",837
"Malaysia","Brunei",381
"Malaysia","Indonesia",1782
"Malaysia","Thailand",506
"Mali","Algeria",1376
"Mali","BurkinaFaso",1000
"Mali","Guinea",858
"Mali","IvoryCoast",532
"Mali","Mauritania",2237
"Mali","Niger",821
"Mali","Senegal",419
"Mauritania","Algeria",463
"Mauritania","Mali",2237
"Mauritania","Senegal",813
"Mauritania","WesternSahara",1561
"Mexico","Belize",250
"Mexico","Guatemala",962
"Mexico","UnitedStates",3141
"Moldova","Romania",450
"Moldova","Ukraine",940
"Monaco","France",4.4
"Mongolia","China",4677
"Mongolia","Russia",3492
"Montenegro","Albania",172
"Montenegro","BosniaHerzegovina",237
"Montenegro","Croatia",25
"Montenegro","Kosovo",79
"Montenegro","Serbia",124
"Morocco","Algeria",1559
"Morocco","Spain",16
"Morocco","WesternSahara",443
"Mozambique","Malawi",1569
"Mozambique","SouthAfrica",491
"Mozambique","Swaziland",105
"Mozambique","Tanzania",756
"Mozambique","Zambia",419
"Mozambique","Zimbabwe",1231
"Myanmar","Bangladesh",193
"Myanmar","China",2185
"Myanmar","India",1463
"Myanmar","Laos",235
"Myanmar","Thailand",1800
"Namibia","Angola",1376
"Namibia","Botswana",1360
"Namibia","SouthAfrica",967
"Namibia","Zambia",233
"Nepal","China",1236
"Nepal","India",1690
"Netherlands","Belgium",450
"Netherlands","Germany",577
"Nicaragua","CostaRica",309
"Nicaragua","Honduras",922
"Niger","Algeria",956
"Niger","Benin",266
"Niger","BurkinaFaso",628
"Niger","Chad",1175
"Niger","Libya",354
"Niger","Mali",821
"Niger","Nigeria",1497
"Nigeria","Benin",773
"Nigeria","Cameroon",1690
"Nigeria","Chad",87
"Nigeria","Niger",1497
"NorthKorea","China",1416
"NorthKorea","Russia",18
"NorthKorea","SouthKorea",238
"Norway","Finland",727
"Norway","Russia",196
"Norway","Sweden",1619
"Oman","SaudiArabia",676
"Oman","UnitedArabEmirates",410
"Oman","Yemen",288
"Pakistan","Afghanistan",2430
"Pakistan","China",523
"Pakistan","India",2912
"Pakistan","Iran",909
"Panama","Colombia",225
"Panama","CostaRica",330
"PapuaNewGuinea","Indonesia",820
"Paraguay","Argentina",1880
"Paraguay","Bolivia",750
"Paraguay","Brazil",1365
"Peru","Bolivia",1075
"Peru","Brazil",2995
"Peru","Chile",171
"Peru","Colombia",1800
"Peru","Ecuador",1420
"Poland","Belarus",605
"Poland","CzechRepublic",615
"Poland","Germany",456
"Poland","Lithuania",91
"Poland","Russia",432
"Poland","Slovakia",420
"Poland","Ukraine",428
"Portugal","Spain",1214
"Qatar","SaudiArabia",60
"RepublicCongo","Angola",201
"RepublicCongo","Cameroon",523
"RepublicCongo","CentralAfricanRepublic",467
"RepublicCongo","DemocraticRepublicCongo",2410
"RepublicCongo","Gabon",1903
"Romania","Bulgaria",608
"Romania","Hungary",443
"Romania","Moldova",450
"Romania","Serbia",476
"Romania","Ukraine",534
"Russia","Azerbaijan",284
"Russia","Belarus",959
"Russia","China",3645
"Russia","Estonia",290
"Russia","Finland",1313
"Russia","Georgia",723
"Russia","Kazakhstan",6846
"Russia","Latvia",292
"Russia","Lithuania",227
"Russia","Mongolia",3492
"Russia","NorthKorea",18
"Russia","Norway",196
"Russia","Poland",432
"Russia","Ukraine",1576
"Rwanda","Burundi",290
"Rwanda","DemocraticRepublicCongo",217
"Rwanda","Tanzania",217
"Rwanda","Uganda",169
"SanMarino","Italy",39
"SaudiArabia","Iraq",814
"SaudiArabia","Jordan",744
"SaudiArabia","Kuwait",222
"SaudiArabia","Oman",676
"SaudiArabia","Qatar",60
"SaudiArabia","UnitedArabEmirates",457
"SaudiArabia","Yemen",1458
"Senegal","Gambia",740
"Senegal","Guinea",330
"Senegal","GuineaBissau",338
"Senegal","Mali",419
"Senegal","Mauritania",813
"Serbia","BosniaHerzegovina",330
"Serbia","Bulgaria",318
"Serbia","Croatia",241
"Serbia","Hungary",158
"Serbia","Kosovo",352
"Serbia","Macedonia",62
"Serbia","Montenegro",124
"Serbia","Romania",476
"SierraLeone","Guinea",652
"SierraLeone","Liberia",306
"SintMaarten","Guadeloupe",15
"Slovakia","Austria",91
"Slovakia","CzechRepublic",197
"Slovakia","Hungary",676
"Slovakia","Poland",420
"Slovakia","Ukraine",90
"Slovenia","Austria",330
"Slovenia","Croatia",455
"Slovenia","Hungary",102
"Slovenia","Italy",199
"Somalia","Djibouti",58
"Somalia","Ethiopia",1600
"Somalia","Kenya",682
"SouthAfrica","Botswana",1840
"SouthAfrica","Lesotho",909
"SouthAfrica","Mozambique",491
"SouthAfrica","Namibia",967
"SouthAfrica","Swaziland",430
"SouthAfrica","Zimbabwe",225
"SouthKorea","NorthKorea",238
"SouthSudan","CentralAfricanRepublic",821
"SouthSudan","DemocraticRepublicCongo",628
"SouthSudan","Eritrea",605
"SouthSudan","Ethiopia",803
"SouthSudan","Kenya",232
"SouthSudan","Sudan",2100
"SouthSudan","Uganda",435
"Spain","Andorra",63.7
"Spain","France",623
"Spain","Gibraltar",1.2
"Spain","Morocco",16
"Spain","Portugal",1214
"Sudan","CentralAfricanRepublic",344
"Sudan","Chad",1360
"Sudan","Egypt",1273
"Sudan","Eritrea",605
"Sudan","Ethiopia",803
"Sudan","Libya",383
"Sudan","SouthSudan",2100
"Suriname","Brazil",593
"Suriname","FrenchGuiana",510
"Suriname","Guyana",600
"Swaziland","Mozambique",105
"Swaziland","SouthAfrica",430
"Sweden","Finland",614
"Sweden","Norway",1619
"Switzerland","Austria",164
"Switzerland","France",573
"Switzerland","Germany",334
"Switzerland","Italy",740
"Switzerland","Liechtenstein",41
"Syria","Iraq",605
"Syria","Israel",76
"Syria","Jordan",375
"Syria","Lebanon",375
"Syria","Turkey",822
"Tajikistan","Afghanistan",1206
"Tajikistan","China",414
"Tajikistan","Kyrgyzstan",870
"Tajikistan","Uzbekistan",1161
"Tanzania","Burundi",451
"Tanzania","DemocraticRepublicCongo",459
"Tanzania","Kenya",769
"Tanzania","Malawi",475
"Tanzania","Mozambique",756
"Tanzania","Rwanda",217
"Tanzania","Uganda",396
"Tanzania","Zambia",338
"Thailand","Cambodia",803
"Thailand","Laos",1754
"Thailand","Malaysia",506
"Thailand","Myanmar",1800
"Togo","Benin",644
"Togo","BurkinaFaso",126
"Togo","Ghana",877
"Tunisia","Algeria",965
"Tunisia","Libya",459
"Turkey","Armenia",268
"Turkey","Azerbaijan",9
"Turkey","Bulgaria",240
"Turkey","Georgia",252
"Turkey","Greece",206
"Turkey","Iran",499
"Turkey","Iraq",352
"Turkey","Syria",822
"Turkmenistan","Afghanistan",744
"Turkmenistan","Iran",992
"Turkmenistan","Kazakhstan",379
"Turkmenistan","Uzbekistan",1621
"Uganda","DemocraticRepublicCongo",765
"Uganda","Kenya",933
"Uganda","Rwanda",169
"Uganda","SouthSudan",435
"Uganda","Tanzania",396
"Ukraine","Belarus",891
"Ukraine","Hungary",103
"Ukraine","Moldova",940
"Ukraine","Poland",428
"Ukraine","Romania",534
"Ukraine","Russia",1576
"Ukraine","Slovakia",90
"UnitedArabEmirates","Oman",410
"UnitedArabEmirates","SaudiArabia",457
"UnitedKingdom","Ireland",360
"UnitedStates","Canada",8893
"UnitedStates","Mexico",3141
"Uruguay","Argentina",580
"Uruguay","Brazil",1068
"Uzbekistan","Afghanistan",137
"Uzbekistan","Kazakhstan",2203
"Uzbekistan","Kyrgyzstan",1099
"Uzbekistan","Tajikistan",1161
"Uzbekistan","Turkmenistan",1621
"VaticanCity","Italy",3.2
"Venezuela","Brazil",2200
"Venezuela","Colombia",2050
"Venezuela","Guyana",743
"Vietnam","Cambodia",1228
"Vietnam","China",1281
"Vietnam","Laos",2130
"WestBank","Israel",307
"WestBank","Jordan",97
"WesternSahara","Algeria",42
"WesternSahara","Mauritania",1561
"WesternSahara","Morocco",443
"Yemen","Oman",288
"Yemen","SaudiArabia",1458
"Zambia","Angola",1110
"Zambia","Botswana",2.6
"Zambia","DemocraticRepublicCongo",1930
"Zambia","Malawi",837
"Zambia","Mozambique",419
"Zambia","Namibia",233
"Zambia","Tanzania",338
"Zambia","Zimbabwe",797
"Zimbabwe","Botswana",813
"Zimbabwe","Mozambique",1231
"Zimbabwe","SouthAfrica",225
"Zimbabwe","Zambia",797
