"event_id_cnty","event_date","year","event_type","source_scale","notes","location","latitude","longitude","fatalities"
"MZM907","26-Jul-18",2018,"Violence against civilians","Subnational","On July 26, suspected ASWJ gunmen allegedly burst from the forest to attack Chitolo in Cabo Delgado, decapitating at least one civilian, torching houses and stealing food.","Chitolo",-11.3622,40.1047,1
"SOM26304","26-Jul-18",2018,"Violence against civilians","Other","26 July. A man identified as a Spouse to a Somalia MP has been assassinated in Hawlwadag district of Mogadishu. Perpetrators and their motive not known.","Hawl Wadaag",2.048,45.32,1
"SOM26305","26-Jul-18",2018,"Violence against civilians","Other","26 July. A driver was gunned down in Mogadishu's Wabere district by Somali soldier, over dispute unknown reason, the criminal escaped the scene.","Waaberi",2.0195,45.31,1
"SOM26306","26-Jul-18",2018,"Violence against civilians","Other","26 July. Unidentified gunmen in the Showriyada neighbourhood of Dharkenley District severely wounded a [former] electorate college delegate from the Southwest State.","Dharkenley",2.0095,45.25,0
"SOM26307","26-Jul-18",2018,"Violence against civilians","Other","26 July. Armed al-Shabaab fighters shot and wounded an official working for the Puntland administration in Bosaso town, Bari Region.","Bossaso",11.2837,49.1806,0
"SOM26308","26-Jul-18",2018,"Violence against civilians","Subnational-International","26 July. An unidentified gunman assassinated a journalist in Xamar Jaabjab. Dalsan Radio report the perpetrators were government soldiers.","Xamar Jaabjab",2.0276,45.33,1
"SAF10053","26-Jul-18",2018,"Violence against civilians","Regional","On 26 July, Turkish security personnel pounced on a crowd of civic society group members belonging to the Turkey Solidarity Network (TSN) who were picketing outside the Turkish Embassy in Pretoria ahead of President Recep Tayyip Erdogan's visit to the mission. Some protesters were allegedly kicked in the face and bled.","Pretoria",-25.7449,28.1878,0
"ZIM6091","26-Jul-18",2018,"Violence against civilians","Subnational","On 26 July, ZANU youth came to the home of Godfrey Gandawa, a former ZANU leader in the G40 faction who is running as an independent candidate in the election. They wanted to kill him. When they did not find him, they abducted his family. The family was dumped in the bush.","Magunje",-16.85,29.4167,0
"ZIM6092","26-Jul-18",2018,"Violence against civilians","Local","On 26 July, soldiers beat an MDC supporter for distributing party material in Chinhoyi.","Chinhoyi",-17.3666,30.2,0
"PHL5357","26-Jul-18",2018,"Violence against civilians","National","A drug suspect (Samson Faniega) was killed in a vigilante-style attack by unidentified assailants at Barangay Poblacion, Hinigaran town, Negros Occidental province on July 26.","Hinigaran",10.2706,122.8507,1
"PHL5360","26-Jul-18",2018,"Violence against civilians","National","A drug suspect (Jayvee Lagrimas) was killed during a police raid at Barangay Minuyan, San Jose del Monte City, Bulacan province on July 26.","San Jose del Monte",14.8138,121.0452,1
"PHL5361","26-Jul-18",2018,"Violence against civilians","National","A drug suspect (alias Dodong) was killed during a police raid at Barangay Lumbac, Pulilan town, Bulacan province on July 26.","Pulilan",14.9016,120.8491,1
"PSE3457","26-Jul-18",2018,"Violence against civilians","International","A Palestinian carried out a knife attack on July 26 stabbing 3 Israeli settlers. 1 of them later died.","Adam",31.8333,35.2667,1
"SYR43151","26-Jul-18",2018,"Violence against civilians","Other-Local","Islamic State fighters executed four Syrian regime fighters they had captured during fighting in as-Sweida province.","As-Sweida",32.7068,36.568,4
"DRC12798","25-Jul-18",2018,"Violence against civilians","Subnational","On the night of July 24 to 25, armed men from Uganda reportedly arrested four Congolese fishermen on Lake Albert and tortured one of them who was sent to the hospital. They also stole their material.","Lake Albert",1.7771,30.8364,0
"MLI2167","25-Jul-18",2018,"Violence against civilians","Subnational-International","On July 25, Dozo militiamen attacked the village of Somena (coded as Senoussa at geoprecision 2) near Djenne, 17 Fulani men were killed including several who had their throats slit and their bodies stuffed into a well.","Senoussa",13.9555,-4.5689,17
"MLI2168","25-Jul-18",2018,"Violence against civilians","Other","On July 25, MSA militiamen abducted a marabout and his student in the area of Tin Techori.","Tin Techori",16.7881,1.6987,0
"UGA5150","25-Jul-18",2018,"Violence against civilians","National","During the municipal elections in the week of 23 July, UPC supporters attacked and beat NRM supporters in Apac. One NRM activist was hospitalised.","Apac",1.9756,32.5386,0
"IND33596","25-Jul-18",2018,"Violence against civilians","National","On July 25, a group of unidentified men attacked the officials of the Department of Atomic Energy, besides setting ablaze their two vehicles, at Wahkaji village in South West Khasi Hills, Meghalaya.","Wahkaji",25.2955,91.1993,0
"IND33607","25-Jul-18",2018,"Violence against civilians","National","On July 25, two Hindus and two Muslims were attacked by a vigilante militia while transporting a dead buffalo in Hathras district (Hathras, UP) and were saved by the intervention of the police.","Hathras",27.5955,78.052,0
"PAK43180","25-Jul-18",2018,"Violence against civilians","Subnational","On July 25, unidentified assailants kidnapped the presiding officer of a polling station in Chaman area of Balochistan's Killa Abdullah district.","Chaman",30.8944,66.4681,0
"PAK43181","25-Jul-18",2018,"Violence against civilians","International","On July 25, Geo News reported that police beating up a voter in Lahore.","Lahore",31.5497,74.3436,0
"PAK43185","25-Jul-18",2018,"Violence against civilians","National","A man was shot and killed by two other men over a land dispute in a village in the Sihala area of Islamabad on the evening of July 25.","Islamabad",33.7214,73.0432,1
"PAK43190","25-Jul-18",2018,"Violence against civilians","National","Two people were injured in a firing incident near a polling station in Dera Murad Jamali, Balochistan Province on election day, July 25.","Dera Murad Jamali",28.5467,68.223,0
"PAK43193","25-Jul-18",2018,"Violence against civilians","National","Unidentified actors attacked a polling station in the Ropashakh Akbar area of Nasirabad District, Balochistan Province on election day, July 25. 2 people were injured.","Naseerabad",28.6463,68.1562,0
"PAK43198","25-Jul-18",2018,"Violence against civilians","National","A PML-N worker was reportedly assaulted by his rivals and prevented from voting with a dagger in Marot, Fort Abbas, Bahawalnagar District on election day, July 25. A suspect was arrested.","Marot",29.2259,72.4234,0
"PHL5352","25-Jul-18",2018,"Violence against civilians","National","A drug suspect (Ernesto Briones Pogado) was killed in a vigilante-style attack by unidentified assailants at Barangay Don Gregorio Antigua, Borbon town, Cebu province on July 25.","Borbon",10.838,124.0297,1
"PHL5353","25-Jul-18",2018,"Violence against civilians","National","A drug suspect (Jerry Boy Dimaliwat) was killed in a vigilante-style attack by unidentified assailants at Navotas City, Metro Manila on July 25. Relatives suspect that police officers perpetrated the killing.","Navotas",14.6705,120.9407,1
"PHL5354","25-Jul-18",2018,"Violence against civilians","National","A drug suspect (Crisanto Ocampo) was killed during a police raid at Barangay Maderan, General Mariano Alvarez town, Cavite province on July 25.","General Mariano Alvarez",14.2934,121.0033,1
"PHL5356","25-Jul-18",2018,"Violence against civilians","National","A drug suspect (Nino Loveriza) was killed during a police raid at Barangay Ponso, Polangui town, Albay province on July 25.","Ponso",13.2885,123.5172,1
"THA2919","25-Jul-18",2018,"Violence against civilians","National","On 25-July-2018, in Kampung Balukar, Bacho district, Narathiwat, unidentified gunmen opened fire on a pickup truck, killing the driver and injuring another man.","Bacho",6.5168,101.651,1
"AFG11948","25-Jul-18",2018,"Violence against civilians","Other-Local","The Islamic State executed 4 civilians they had captured that they claimed were spies for the American and Afghan armies in Dara I Pech District, Kunar Province on July 25.","Dara i Pech",34.9844,70.9051,4
"AFG11949","25-Jul-18",2018,"Violence against civilians","Other-Local","Unidentified people killed a Jamiat-e-Islami commander and 3 of his family members in Panjshir Province, as reported on July 25.","Bazarak",35.3129,69.5152,4
"IRQ13622","25-Jul-18",2018,"Violence against civilians","Regional-International","On Jul 25, a suspected IS gunmen also shot dead 2 more civilians in Hawd al Waqf area, northeast of Baquba.","Baquba",33.7466,44.6437,2
"IRQ13623","25-Jul-18",2018,"Violence against civilians","Regional-International","On Jul 25, IS militants attacked a village at the edge of the town of Udheim, north of Baquba, killing a villager and kidnapping another.","Adhaim",34.2412,44.5091,1
"YEM22049","25-Jul-18",2018,"Violence against civilians","Subnational","Unidentified gunmen riding a motorcycle opened fire on the preacher of the Krayter mosque, Izz Al-Din al-Muhammadi just after prayers on the 25 July 2018. Al-Muhammadi survived the attempted assassination with minor injuries.","Aden-Kraytar",12.7775,45.0328,0
"SYR43136","25-Jul-18",2018,"Violence against civilians","Other-Local","Four children were injured by the explosion of an unexploded heavy machine gun munition in the village of Rael. No fatalities were reported.","Rael",36.5891,37.2687,0
"BFO1064","24-Jul-18",2018,"Violence against civilians","Other-Regional","On July 24, presumed ISGS militants shot dead two peasants in the village of Kpendima, near Natiaboani.","Natiaboani",11.7034,0.5054,2
"CAO1488","24-Jul-18",2018,"Violence against civilians","Subnational","On 24 July 5 civilians were killed by Boko Haram militants in Gouzoudou, Kolofata, Extreme-Nord.","Gouzoudou",11.1106,14.0389,5
"CAO1489","24-Jul-18",2018,"Violence against civilians","Subnational","On 24 July a villager was kidnapped and killed by Boko Haram militants in Blangoua, Extreme-Nord.","Blangoua",12.7676,14.5757,1
"DRC12797","24-Jul-18",2018,"Violence against civilians","Subnational","On July 24, Twigwaneho Banyamulenge militiamen attacked displaced people at Nambindu Village in Kabindula, Uvira territory, leaving five people shot dead and several houses burned down. They first allegedly bypassed a FARDC camp in Ruhuha before attacking Nambindu village by surprise.","Kabindula",-3.4013,29.1309,5
"ETH4698","24-Jul-18",2018,"Violence against civilians","Other","On 24th July, police killed a pregnant woman who was on her way to give birth in a hospital. The event took place in Dembi Dolo, Kelem Wellega zone. Three police were arrested.","Dembi Dolo",8.5333,34.8,1
"NIG12871","24-Jul-18",2018,"Violence against civilians","National","24 July. Unidentified gunmen attacked Kwadi village, killing four and injuring others. @daily_trust reports at least 20 villagers killed; police say 4 killed, 8 wounded.","Kwadi",13.0748,6.6962,4
"SUD11450","24-Jul-18",2018,"Violence against civilians","Subnational","On 24th July, gunmen abducted two farmers from Dobo Umda (North Darfur). The whereabouts of the victims is unknown.","Dobo Umda",13.1521,24.7643,0
"IND33539","24-Jul-18",2018,"Violence against civilians","Subnational","On July 24, a Muslim man was attacked by a mob formed from the surrounding crowd when he tried to marry a Hindu girl at court in Ghaziabad city (Ghaziabad, UP).","Ghaziabad",28.6653,77.4391,0
"PAK43164","24-Jul-18",2018,"Violence against civilians","International","On July 24, at least two people were wounded in a hand grenade attack in the evening at the Muslim Milli League's (MML) office in Latifabad No. 8.","Latifabad",25.3683,68.3503,0
"PAK43166","24-Jul-18",2018,"Violence against civilians","National","Two attackers riding on a motorcycle threw an explosive at a car of a candidate of Allah-o-Akbar Tehreek (AAT) party in Latifabad No. 8, Hyderabad on the evening of July 24. 1-2 people were injured (definitely the driver of the car, potentially the candidate as well - sources vary).","Latifabad",25.3683,68.3503,0
"PHL5349","24-Jul-18",2018,"Violence against civilians","National","Two unidentified drug suspects were killed during a police raid at Makati City, Metro Manila on July 24.","Makati",14.5502,121.0326,2
"PHL5350","24-Jul-18",2018,"Violence against civilians","National","Two drug suspects (Joel Sabiano and Jun Batara) were killed during a police raid at Barangay Pogonsino, Bagabag town, Nueva Vizcaya province on July 24.","Bagabag",16.6068,121.2542,2
"AFG11924","24-Jul-18",2018,"Violence against civilians","International","Unidentified gunmen kidnapped 6 civilians (a doctor, his driver, and 4 university students; 3 women are among the 6) in Ghor Province, as reported on July 24.","Chaghcharan",34.5195,65.2509,0
"IRQ13619","24-Jul-18",2018,"Violence against civilians","International","On Jul 24, unidentified armed men killed a lawyer who had taken up the defense of protesters arrested during the recent demonstrations in Iraq's Basra.","Basrah",30.533,47.7975,1
"YEM22015","24-Jul-18",2018,"Violence against civilians","National","Unidentified gunmen assassinated the Imam of Dhu Al Qarnin mosque, Abduh Ghalib Al Shamiri, in Al Kasarah (As Sadah) neighbourhood of Aden port city, Buraiqah district.","As Sadah",12.7573,44.8932,1
"YEM22045","24-Jul-18",2018,"Violence against civilians","National","Militiamen from Abu al Abbas stormed the house of Wahid Al Mujahid, who had been in the custody of the militia with his son for a week, in Al Nusayriyah neighbourhood of Taizz and killed his sister, firing at her until she got decapitated, in front of her son.","Taizz-Bab Musa",13.5742,44.0086,1
"SYR43087","24-Jul-18",2018,"Violence against civilians","Other-Local","A civilian from Darayya was tortured and killed in an unidentified regime detention centre in Damascus city.","Damascus",33.5172,36.2767,1
"BUR8093","23-Jul-18",2018,"Violence against civilians","National","Between 22-28 July, suspected armed Imbonerakure with machetes was reported in the Nkenga-Busoro district of Kanyosha in Bujumbura Town Hall. Residents in this area report that two people were injured with machetes in separate attacks on that week by this group. Coded as two separare events at different points between July 22-28.","Nkenga",-3.438,29.3655,0
"ETH4697","23-Jul-18",2018,"Violence against civilians","Other","On 23rd July, a large number of protesters gathered in Jijiga city (Somali zone) demanding the resignation of the controversial regional president, Abdi Illey. Police violently broke up the protests, causing a number of injuries.","Jijiga",9.35,42.8,0
"MLI2161","23-Jul-18",2018,"Violence against civilians","Subnational","On July 23, unknown gunmen assassinated a young man in Pepa, south of Kiri, close to the border with Burkina Faso (approx coordinates used).","Pepa",13.76,-3.077,1
"NIG12867","23-Jul-18",2018,"Violence against civilians","National","23 July, on or before. Police kill a civilian in Akure over food.","Akure",7.2526,5.1931,1
"NIG12868","23-Jul-18",2018,"Violence against civilians","National-International","23 July. A Boko Haram suicide bomber targeted a mosque in Mainari (Mairami) during the morning hours. Eight worshipers killed (plus bomber), five injured. Xinhua claims 11 fatalities.","Mairami",11.577,13.5367,9
"SOM26291","23-Jul-18",2018,"Violence against civilians","Other","23 July. An armed SNA soldier using an AK47 shot and killed a male driver of a rickshaw at Mac-Macanka village vicinity in Dharkenley district. The district police attended to the scene of the incident where the perpetrator was shot and killed. The motive behind the incident was a dispute over extortion money.","Dharkenley",2.0095,45.25,1
"SAF10040","23-Jul-18",2018,"Violence against civilians","National","On 23 July, A Knysna ward councillor was gunned down just metres from his home.","Knysna",-34.0363,23.0471,1
"SSD5150","23-Jul-18",2018,"Violence against civilians","Regional","On 23rd July, unknown gunmen entered the IDP camp at Bentiu (Unity state), and killed a community guard patrolling the camp at night (it is unclear if the guard was armed). The assailants were allegedly seeking to enter the camp to steal.","Bentiu",9.2525,29.7883,1
"SUD11447","23-Jul-18",2018,"Violence against civilians","Subnational","On 23rd July, herders attacked and killed a farmer at his farm close to Abu Jou village, El Radoom locality (South Darfur, coordinates for Buram used).","Radom",9.8238,24.8543,1
"SUD11448","23-Jul-18",2018,"Violence against civilians","Subnational","On 23rd July, militiamen shot and killed a pregnant woman near Tendy (Central Darfur). A suspect was later arrested by the police.","Tendy",12.082,23.415,1
"UGA5148","23-Jul-18",2018,"Violence against civilians","National","On 23 July, 2 NRM supporters were stabbed as they were leaving a rally in Bugiri. It is believed that they were stabbed by youths from one of the leading opposition parties, JEEMA. Both victims wree hospitalised.","Bugiri",0.5714,33.7417,0
"UGA5149","23-Jul-18",2018,"Violence against civilians","National","On 23 July, the FDC candidate for the Mparo mayoral seat in Rukiga district was ambushed and beaten by unidentified attackers. He is currently in hospital.","Mparo",-1.1844,30.0544,0
"ZIM6088","23-Jul-18",2018,"Violence against civilians","Local","On 23 July, MDC activists were doing door to door campaigning in Bindura. ZANU activists, including the ZANU councillor, blocked the road with logs and then beat the MDC activists. The victims were hospitalised.","Bindura",-17.2964,31.3297,0
"ZIM6089","23-Jul-18",2018,"Violence against civilians","Local","On 23 July, a ZANU PF candidate beat an MDC candidate in Mutoko.","Mutoko",-17.4,32.2167,0
"ZIM6090","23-Jul-18",2018,"Violence against civilians","Local","On 23 July, ZANU supporters stoned MDC activists leaving a rally in Goromonzi.","Goromonzi",-17.85,31.3833,0
"IND33477","23-Jul-18",2018,"Violence against civilians","Subnational","On July 23, two unidentified persons on motorcycles opened fire at the house of Congress leader Vakil Singh in Muktsar city (Muktsar, Punjab). The assailants are believed to be relatives of the Congress leader angry over a property dispute.","Muktsar",30.4742,74.5166,0
"IND33479","23-Jul-18",2018,"Violence against civilians","National","On July 23, in Sirkazhi town (Nagapattinam, TN), unidentified actors attacked and killed an AIADMK functionary for unknown reasons.","Sirkazhi",11.2373,79.7359,1
"IND33499","23-Jul-18",2018,"Violence against civilians","National","On July 23, four women were beaten up and stripped by a huge mob in Daukimari village, Jalpaiguri district, West Bengal. The women were accused to be child-lifters.","Jalpaiguri",26.5232,88.7166,0
"PAK43159","23-Jul-18",2018,"Violence against civilians","National","As reported on July 23, 8 PML-N activists were arrested after reports that they assaulted a family, kidnapped them, and tore the clothing of three women, for allegedly supporting the PTI. Multiple members of the family were injured.","Toba Tek Singh",30.9686,72.4659,0
"PAK43160","23-Jul-18",2018,"Violence against civilians","National","A former district bar associated president along with 10 PTI workers were arrested on July 23 for actions taken on or before that day in which they attacked a PML-N corner meeting at Chak 322-JB (Shehzada) in Toba Tek Singh with guns. 3 PML-N activists were injured.","Toba Tek Singh",30.9686,72.4659,0
"PAK43161","23-Jul-18",2018,"Violence against civilians","International","A man with a history of mental illness opened fire on an unidentified political rally in the Torote area of Talagang region, Chakwal District, Punjab on the evening of July 23. He killed 6 people before shooting himself and injured 10 others.","Talagang",32.9277,72.4111,7
"PHL5346","23-Jul-18",2018,"Violence against civilians","National","A drug suspect (alias Rafael) was killed during a police raid at Barangay Pinac-pinacan, San Rafael town, Bulacan provine on July 23.","San Rafael",14.9933,120.9667,1
"PHL5347","23-Jul-18",2018,"Violence against civilians","National","A drug suspect (Daniel Gelicame) was killed during a police raid at Barangay Lawa, Meycauayan town, Bulacan province on July 23.","Meycauayan",14.7369,120.9608,1
"PHL5348","23-Jul-18",2018,"Violence against civilians","National","A drug suspect (Armando Moron) was killed during a police raid at Barangay Palo Alto, Calamba town, Laguna province on July 23.","Calamba",14.2117,121.1653,1
"PSE3435","23-Jul-18",2018,"Violence against civilians","Subnational","A Palestinian was reportedly shot by Israeli forces and injured near the border east of Gaza city on July 23.","Gaza",31.5,34.4667,0
"PSE3436","23-Jul-18",2018,"Violence against civilians","Subnational","A Palestinian was reportedly shot by Israeli forces and injured near the border east of Al Buryj refugee camp on July 23.","Al Burayj",31.4394,34.4031,0
"YEM21982","23-Jul-18",2018,"Violence against civilians","National","Unidentified gunmen opened fire at the vehicle of journalist Mazen Shaabi, correspondent for the UAE-based Sharjah TV, in Inma neighbourhood of Aden port city, in Al Mansurah district. Shaabi survived the assassination attempt but was hospitalised following the incident.","Enma",12.8386,44.9607,0
"YEM21983","23-Jul-18",2018,"Violence against civilians","Subnational","Two people were killed and five others wounded in a grenade attack targeting a refugee camp in Sheikh Osman district of Aden city. According to the source, unidentified assailants threw the grenade at a group of people who had been displaced by the fighting in Hudayda governorate.","Ash Shaikh Outhman",12.8768,44.9931,2
"SYR43046","23-Jul-18",2018,"Violence against civilians","Other-Local","Turkish border guards shot and killed 3 people (child, woman, man) in Al-Dirriyah border crossing in Idleb as they attempted to cross the Syrian-Turkish border.","Al-Dirriyah",35.9933,36.3097,3
"BUR8091","22-Jul-18",2018,"Violence against civilians","Local","On 22 July, Imbonerakure from Musenga sub-locality of Rutegama locality of Munanira zone, Gihogazi commune beat and wounded an inhabitant, accusing him of walking late at night.","Rutegama",-3.1131,29.9488,0
"CAO1486","22-Jul-18",2018,"Violence against civilians","Subnational","On 22 July 11 civilians were kidnapped by Boko Haram militants in Greya, Extreme-Nord. The victims were later released by the army. No fatalities were reported.","Greya",10.5909,14.3159,0
"DRC12792","22-Jul-18",2018,"Violence against civilians","Subnational","On the night from July 22 to 23, armed bandits attacked and robbed a magistrate and his family at their home in the Golf Plateau district of Lubumbashi. The magistrate was admitted in hospital.","Lubumbashi",-11.6596,27.4741,0
"DRC12793","22-Jul-18",2018,"Violence against civilians","Other","On July 22, the ADF raided Mavivi town in Nord-Kivu. The attackers killed two people and injured five, looted cattle. 13 people went missing.","Mavivi",0.5832,29.4873,2
"DRC12794","22-Jul-18",2018,"Violence against civilians","Other","On July 22, the ADF detained two men who were going to their fields near Masulukwede village, Beni territory, and killed them.","Beni",0.4966,29.4654,2
"ETH4695","22-Jul-18",2018,"Violence against civilians","Other","On 22nd July, residents of the Benshangul-Gumaz zone attacked Oromo civilians and looted their property in the zone (coordinates for Asosa used).","Asosa",10.0667,34.5333,0
"MAG1090","22-Jul-18",2018,"Violence against civilians","National","On 22 July, in Tsaratanana, Dahalo militants kidnapped 6 government employees.","Tsaratanana",-23.15,47.3,0
"MLI2158","22-Jul-18",2018,"Violence against civilians","Subnational","On July 22, Fulani militiamen attacked and burned the Dogon village of Seneboumboudie between Dioungani and Gourti in Mopti (approx coordinates used). No casualties were reported.","Seneboumboudie",14.2955,-2.792,0
"MLI2159","22-Jul-18",2018,"Violence against civilians","Other-Local","On July 22, presumed Katiba Macina militants attacked the convoy of the electoral campaign management of presidential candidate Aliou Diallo including the family of the Cherif of Nioro in the area of Guire (Cercle of Nara), Koulikoro Region, three vehicles seized and one set ablaze. No casualties reported.","Guire",14.6432,-6.6909,0
"NIG12861","22-Jul-18",2018,"Violence against civilians","National","22 July, on or about. Boko Haram slit the throats of no fewer than 18 civilians in the Lake Chad region ""at the weekend.""","Konduga",11.6558,13.4213,18
"CON446","22-Jul-18",2018,"Violence against civilians","National-International","On the night of 22 to 23 July, in Brazzaville, 13 people died inside the Chacona police station in Mpila. The Congolese Observatory of Human Rights claims to have collected several testimonies claiming that they died at the police station after police violence. Other reports suggest they died after clashes involving the ""black babies"" armed group.","Mpila",-4.08,14.66,13
"SOM26282","22-Jul-18",2018,"Violence against civilians","Other","22 July. An 18-year-old boy was abducted by al Shabaab militants near Camaara village in south Mudug. It was believed that the motive behind the incident was recruitment to al Shabaab militants. Many families fled with their children from the area for fear of al Shabaab conscription.","Camaara",5.1143,47.9303,0
