title,date,image,nationality,country,color
A Woodland Road with Travelers,1607,https://images.metmuseum.org/CRDImages/ep/web-large/DT10768.jpg,Netherlandish,,"[40, 32, 15]"
A Basket of Flowers,1620,https://images.metmuseum.org/CRDImages/ep/web-large/DT2134.jpg,Flemish,,"[20, 15, 8]"
Katharina Merian,1536,https://images.metmuseum.org/CRDImages/ep/web-large/DP164865.jpg,German,,"[44, 48, 13]"
Portrait of a Young Man,1530,https://images.metmuseum.org/CRDImages/ep/web-large/DP-14286-011.jpg,Italian,,"[38, 34, 29]"
Portrait of a Man,1533,https://images.metmuseum.org/CRDImages/ep/web-large/DP280346.jpg,German,,"[32, 27, 23]"
Portrait of a Woman,1533,https://images.metmuseum.org/CRDImages/ep/web-large/DP280348.jpg,German,,"[34, 29, 25]"
Portrait of a Woman of the Slosgin Family of Cologne,1557,https://images.metmuseum.org/CRDImages/ep/web-large/DP280350.jpg,German,,"[41, 34, 24]"
The Annunciation,1495,https://images.metmuseum.org/CRDImages/ep/web-large/ep58.145.1.bw.R.jpg,Spanish,,"[56, 56, 56]"
The Crucifixion with the Virgin and Saint John,1624,https://images.metmuseum.org/CRDImages/ep/web-large/DP146490.jpg,Dutch,,"[57, 44, 27]"
Adam; Eve,1495,https://images.metmuseum.org/CRDImages/ep/web-large/DP246969.jpg,Italian,,"[72, 57, 43]"
"Portrait of a Woman, Said to Be Emma (1765–1815), Lady Hamilton",1804,https://images.metmuseum.org/CRDImages/ep/web-large/DT345086.jpg,Irish,,"[173, 172, 169]"
The Presentation in the Temple,1400,https://images.metmuseum.org/CRDImages/ep/web-large/DT242201.jpg,Byzantine,,"[106, 73, 35]"
Madonna and Child Enthroned with Saints Mary Magdalen and John the Baptist,1518,https://images.metmuseum.org/CRDImages/ep/web-large/DT894.jpg,Italian,,"[180, 136, 88]"
The Love Song,1868,https://images.metmuseum.org/CRDImages/ep/web-large/DP323394.jpg,British,,"[66, 52, 41]"
The Harvesters,1565,https://images.metmuseum.org/CRDImages/ep/web-large/DP119115.jpg,Netherlandish,,"[145, 108, 62]"
Florentine Poet,1861,https://images.metmuseum.org/CRDImages/ep/web-large/DP208015.jpg,French,,"[100, 67, 30]"
Catharine Lorillard Wolfe (1828–1887),1876,https://images.metmuseum.org/CRDImages/ep/web-large/DT11971.jpg,French,,"[193, 165, 87]"
The Birth of Venus,1875,https://images.metmuseum.org/CRDImages/ep/web-large/DT2149.jpg,French,,"[191, 181, 161]"
Herodias,1627,https://images.metmuseum.org/CRDImages/ep/web-large/DT10672.jpg,Italian,,"[21, 16, 8]"
"Louis XVI (1754–1793), King of France",1787,https://images.metmuseum.org/CRDImages/ep/web-large/DP327714.jpg,French,,"[173, 172, 168]"
Portrait of a Woman,1567,https://images.metmuseum.org/CRDImages/ep/web-large/DT363544.jpg,Italian,,"[24, 29, 21]"
Virgin and Child in an Apse,1475,https://images.metmuseum.org/CRDImages/ep/web-large/EP726.jpg,Netherlandish,,"[199, 185, 174]"
Baron Joseph Dominique Louis (1755–1837),1844,https://images.metmuseum.org/CRDImages/ep/web-large/50664.jpg,French,,"[40, 40, 40]"
Venice: Santa Maria della Salute,1717,https://images.metmuseum.org/CRDImages/ep/web-large/DP-14936-057.jpg,Italian,,"[141, 138, 104]"
A State Yacht and Other Craft in Calm Water,1655,https://images.metmuseum.org/CRDImages/ep/web-large/DP143157.jpg,Dutch,,"[174, 156, 130]"
Echo,1874,https://images.metmuseum.org/CRDImages/ep/web-large/DP208016.jpg,French,,"[59, 51, 37]"
Piazza San Marco,1727,https://images.metmuseum.org/CRDImages/ep/web-large/DP-14286-009.jpg,Italian,,"[104, 113, 106]"
Portrait of a Woman,1800,https://images.metmuseum.org/CRDImages/ep/web-large/257536.jpg,Italian,,"[217, 217, 217]"
The Glorification of Saint Anthony Abbot,1706,https://images.metmuseum.org/CRDImages/ep/web-large/0540.jpg,Italian,,"[189, 189, 189]"
Man in Prayer,1430,https://images.metmuseum.org/CRDImages/ep/web-large/DP347297.jpg,Netherlandish,,"[32, 23, 21]"
"Saint Vincent, Patron Saint of Lisbon",1525,https://images.metmuseum.org/CRDImages/ep/web-large/DT282013.jpg,Portuguese,,"[187, 187, 177]"
Winter Scene,1644,https://images.metmuseum.org/CRDImages/ep/web-large/DP143174.jpg,Dutch,,"[98, 90, 65]"
"Mrs. William Astor (Caroline Webster Schermerhorn, 1831–1908)",1890,https://images.metmuseum.org/CRDImages/ep/web-large/DT204990.jpg,French,,"[126, 69, 17]"
Two Children Teasing a Cat,1587,https://images.metmuseum.org/CRDImages/ep/web-large/DP243404.jpg,Italian,,"[58, 45, 35]"
Portrait of a Man,1705,https://images.metmuseum.org/CRDImages/ep/web-large/DT200586.jpg,Italian,,"[194, 192, 186]"
The Meditation on the Passion,1485,https://images.metmuseum.org/CRDImages/ep/web-large/DP296427.jpg,Italian,,"[59, 53, 46]"
The First Communion,1891,https://images.metmuseum.org/CRDImages/ep/web-large/DP-14201-043.jpg,French,,"[60, 52, 38]"
Self-Portrait,1888,https://images.metmuseum.org/CRDImages/ep/web-large/DP-14201-015.jpg,French,,"[81, 58, 30]"
The Coronation of the Virgin,1595,https://images.metmuseum.org/CRDImages/ep/web-large/DT11343.jpg,Italian,,"[41, 34, 26]"
Cavalier and Shepherd,1747,https://images.metmuseum.org/CRDImages/ep/web-large/ep07.225.253.bw.R.jpg,Italian,,"[194, 194, 194]"
The Birth of the Virgin,1467,https://images.metmuseum.org/CRDImages/ep/web-large/DP109484.jpg,Italian,,"[176, 162, 156]"
Portrait of a Venetian Senator,1520,https://images.metmuseum.org/CRDImages/ep/web-large/ep30.95.258.bw.R.jpg,Italian,,"[44, 44, 44]"
Saint Catherine of Alexandria,1636,https://images.metmuseum.org/CRDImages/ep/web-large/DP285749.jpg,Italian,,"[34, 32, 26]"
The Musicians,1597,https://images.metmuseum.org/CRDImages/ep/web-large/DP-687-001.jpg,Italian,,"[55, 37, 23]"
The Route Nationale at Samer,1861,https://images.metmuseum.org/CRDImages/ep/web-large/DP236347.jpg,French,,"[140, 120, 96]"
Saint Catherine Disputing and Two Donors,1375,https://images.metmuseum.org/CRDImages/ep/web-large/DT8812.jpg,Italian,,"[154, 104, 45]"
Landscape with a Cave,1818,https://images.metmuseum.org/CRDImages/ep/web-large/DT6102.jpg,French,,"[69, 58, 49]"
Apples,1878,https://images.metmuseum.org/CRDImages/ep/web-large/DT1940.jpg,French,,"[114, 98, 56]"
A Woman with a Dog,1740,https://images.metmuseum.org/CRDImages/ep/web-large/DP-17613-001.jpg,Italian,,"[33, 27, 19]"
The Adoration of the Shepherds,1506,https://images.metmuseum.org/CRDImages/ep/web-large/DT7237.jpg,Italian,,"[61, 49, 38]"
The Gulf of Marseilles Seen from L'Estaque,1880,https://images.metmuseum.org/CRDImages/ep/web-large/DT1029.jpg,French,,"[149, 156, 141]"
"Antoine Dominique Sauveur Aubert (born 1817), the Artist's Uncle",1866,https://images.metmuseum.org/CRDImages/ep/web-large/DT1408.jpg,French,,"[114, 100, 76]"
Bathers,1874,https://images.metmuseum.org/CRDImages/ep/web-large/DT1554.jpg,French,,"[144, 150, 133]"
Gardanne,1885,https://images.metmuseum.org/CRDImages/ep/web-large/DP-14936-047.jpg,French,,"[147, 134, 100]"
"Antoine Dominique Sauveur Aubert (born 1817), the Artist's Uncle, as a Monk",1866,https://images.metmuseum.org/CRDImages/ep/web-large/DT1977.jpg,French,,"[63, 66, 58]"
The House with the Cracked Walls,1892,https://images.metmuseum.org/CRDImages/ep/web-large/DT1943.jpg,French,,"[115, 118, 110]"
The Card Players,1890,https://images.metmuseum.org/CRDImages/ep/web-large/DP231550.jpg,French,,"[66, 69, 69]"
Gustave Boyer (b. 1840) in a Straw Hat,1870,https://images.metmuseum.org/CRDImages/ep/web-large/DT1938.jpg,French,,"[42, 38, 35]"
"Madame Cézanne (Hortense Fiquet, 1850–1922) in a Red Dress",1888,https://images.metmuseum.org/CRDImages/ep/web-large/DP320128.jpg,French,,"[62, 67, 64]"
The Pool at Jas de Bouffan,1885,https://images.metmuseum.org/CRDImages/ep/web-large/DT1492.jpg,French,,"[80, 100, 96]"
Mont Sainte-Victoire,1902,https://images.metmuseum.org/CRDImages/ep/web-large/77J_045R2M.jpg,French,,"[99, 114, 107]"
Mont Sainte-Victoire and the Viaduct of the Arc River Valley,1882,https://images.metmuseum.org/CRDImages/ep/web-large/DT889.jpg,French,,"[124, 122, 87]"
"Madame Cézanne (Hortense Fiquet, 1850–1922) in the Conservatory",1891,https://images.metmuseum.org/CRDImages/ep/web-large/DP317780.jpg,French,,"[63, 73, 67]"
Rocks in the Forest,1890,https://images.metmuseum.org/CRDImages/ep/web-large/DT1942.jpg,French,,"[66, 58, 54]"
Still Life with a Ginger Jar and Eggplants,1893,https://images.metmuseum.org/CRDImages/ep/web-large/DT1024.jpg,French,,"[78, 98, 89]"
Still Life with Apples and Pears,1891,https://images.metmuseum.org/CRDImages/ep/web-large/DP-14936-049.jpg,French,,"[109, 91, 65]"
"Still Life with Jar, Cup, and Apples",1872,https://images.metmuseum.org/CRDImages/ep/web-large/DP130322.jpg,French,,"[102, 96, 69]"
Jean-Baptiste Colbert (1619–1683),1655,https://images.metmuseum.org/CRDImages/ep/web-large/DT223758.jpg,French,,"[23, 20, 21]"
Still Life with Apples and a Pot of Primroses,1885,https://images.metmuseum.org/CRDImages/ep/web-large/DT47.jpg,French,,"[89, 124, 119]"
"Leda and the Swan, after Boucher",1800,https://images.metmuseum.org/CRDImages/ep/web-large/175573.jpg,French,,"[70, 70, 70]"
The Silver Tureen,1728,https://images.metmuseum.org/CRDImages/ep/web-large/DP356136.jpg,French,,"[30, 22, 12]"
Portrait of a Man,1830,https://images.metmuseum.org/CRDImages/ep/web-large/ep49.110.R.jpg,French,,"[42, 39, 34]"
View of the Domaine Saint-Joseph,1886,https://images.metmuseum.org/CRDImages/ep/web-large/DT1937.jpg,French,,"[116, 110, 95]"
Bathsheba at Her Bath,1695,https://images.metmuseum.org/CRDImages/ep/web-large/DP-17059-001.jpg,Italian,,"[57, 51, 41]"
Self-Portrait,1825,https://images.metmuseum.org/CRDImages/ep/web-large/DP213130.jpg,British,,"[58, 44, 30]"
The Adoration of the Shepherds with Saint Catherine of Alexandria,1599,https://images.metmuseum.org/CRDImages/ep/web-large/DT6545.jpg,Italian,,"[54, 45, 34]"
Madonna and Child with Saints Francis and Clare,1505,https://images.metmuseum.org/CRDImages/ep/web-large/SF 41.190.11.jpg,Italian,,"[82, 79, 60]"
Head of Christ,1440,https://images.metmuseum.org/CRDImages/ep/web-large/DT229079.jpg,Netherlandish,,"[36, 33, 38]"
Soap Bubbles,1733,https://images.metmuseum.org/CRDImages/ep/web-large/DP356133.jpg,French,,"[35, 26, 15]"
The Lamentation,1445,https://images.metmuseum.org/CRDImages/ep/web-large/DT1480.jpg,Netherlandish,,"[58, 48, 29]"
The Annunciation,1445,https://images.metmuseum.org/CRDImages/ep/web-large/DT1479.jpg,Netherlandish,,"[69, 54, 30]"
"Three Saints: Roch, Anthony Abbot, and Lucy",1508,https://images.metmuseum.org/CRDImages/ep/web-large/DP214439.jpg,Italian,,"[60, 46, 31]"
Portrait of an Officer,1789,https://images.metmuseum.org/CRDImages/ep/web-large/258482.jpg,French,,"[74, 74, 74]"
Portrait of a Carthusian,1446,https://images.metmuseum.org/CRDImages/ep/web-large/DT26.jpg,Netherlandish,,"[220, 185, 156]"
Still Life with a Skull and a Writing Quill,1628,https://images.metmuseum.org/CRDImages/ep/web-large/DP145929.jpg,Dutch,,"[40, 30, 19]"
The Ford,1636,https://images.metmuseum.org/CRDImages/ep/web-large/DP123844.jpg,French,,"[56, 49, 32]"
Pastoral Landscape: The Roman Campagna,1634,https://images.metmuseum.org/CRDImages/ep/web-large/DP-17628-001.jpg,French,,"[46, 41, 27]"
Sunrise,1646,https://images.metmuseum.org/CRDImages/ep/web-large/DP-14936-013.jpg,French,,"[50, 47, 35]"
"Henry III (1551–1589), King of France",1578,https://images.metmuseum.org/CRDImages/ep/web-large/257525.jpg,French,,"[79, 79, 79]"
The Trojan Women Setting Fire to Their Fleet,1643,https://images.metmuseum.org/CRDImages/ep/web-large/DP226145.jpg,French,,"[115, 104, 82]"
View of La Crescenza,1648,https://images.metmuseum.org/CRDImages/ep/web-large/DT1579.jpg,French,,"[55, 41, 11]"
"Charles IX (1550–1574), King of France",1561,https://images.metmuseum.org/CRDImages/ep/web-large/ep32.100.124.bw.R.jpg,French,,"[21, 21, 21]"
"Charles de Cossé (1506–1563), Count of Brissac",1530,https://images.metmuseum.org/CRDImages/ep/web-large/DT229154.jpg,French,,"[186, 186, 186]"
Vanitas Still Life,1662,https://images.metmuseum.org/CRDImages/ep/web-large/DP146494.jpg,Dutch,,"[46, 34, 18]"
"George Howard (1773–1848), Lord Morpeth",1775,https://images.metmuseum.org/CRDImages/ep/web-large/175487.jpg,British,,"[226, 226, 226]"
"Henry II (1519–1559), King of France",1536,https://images.metmuseum.org/CRDImages/ep/web-large/DP-16201-001.jpg,French,,"[62, 45, 18]"
The Adoration of the Shepherds,1561,https://images.metmuseum.org/CRDImages/ep/web-large/EP80.jpg,Netherlandish,,"[40, 30, 28]"
Portrait of a Man,1755,https://images.metmuseum.org/CRDImages/ep/web-large/50899.jpg,British,,"[56, 56, 56]"
Portrait of a Man,1545,https://images.metmuseum.org/CRDImages/ep/web-large/259022.jpg,Continental,,"[68, 68, 68]"
Portrait of a Woman,1625,https://images.metmuseum.org/CRDImages/ep/web-large/89176.jpg,Continental,,"[231, 231, 231]"
Portrait of a Woman,1625,https://images.metmuseum.org/CRDImages/ep/web-large/175503.jpg,Continental,,"[64, 64, 64]"
"Mrs. James Pulham Sr. (Frances Amys, ca. 1766–1856)",1818,https://images.metmuseum.org/CRDImages/ep/web-large/DP162142.jpg,British,,"[37, 34, 27]"
Portrait of a Man,1665,https://images.metmuseum.org/CRDImages/ep/web-large/175426.jpg,Continental,,"[222, 222, 222]"
Portrait of a Child,1645,https://images.metmuseum.org/CRDImages/ep/web-large/175451.jpg,Continental,,"[65, 65, 65]"
Stoke-by-Nayland,1805,https://images.metmuseum.org/CRDImages/ep/web-large/DP164805.jpg,British,,"[64, 60, 46]"
Portrait of a Man,1685,https://images.metmuseum.org/CRDImages/ep/web-large/260243.jpg,Continental,,"[60, 60, 60]"
Salisbury Cathedral from the Bishop's Grounds,1820,https://images.metmuseum.org/CRDImages/ep/web-large/DP164837.jpg,British,,"[67, 59, 43]"
Guillaume Budé (1467–1540),1531,https://images.metmuseum.org/CRDImages/ep/web-large/DT2977.jpg,French,,"[30, 42, 53]"
Portrait of a Woman,1685,https://images.metmuseum.org/CRDImages/ep/web-large/260244.jpg,Continental,,"[57, 57, 57]"
Portrait of a Woman,1745,https://images.metmuseum.org/CRDImages/ep/web-large/175520.jpg,Continental,,"[66, 66, 66]"
Portrait of a Woman,1740,https://images.metmuseum.org/CRDImages/ep/web-large/175459.jpg,Continental,,"[77, 77, 77]"
Portrait of a Woman,1827,https://images.metmuseum.org/CRDImages/ep/web-large/147886.jpg,Continental,,"[209, 209, 209]"
"Portrait of a Woman, Said to Be Princess Apraxine",1775,https://images.metmuseum.org/CRDImages/ep/web-large/175506.jpg,Continental,,"[66, 66, 66]"
Portrait of a Man,1745,https://images.metmuseum.org/CRDImages/ep/web-large/258499.jpg,Continental/Swiss,,"[44, 44, 44]"
"Henry Carey (1596–1661), Second Earl of Monmouth",1649,https://images.metmuseum.org/CRDImages/ep/web-large/DP327711.jpg,British,,"[188, 187, 186]"
Madonna and Child,1516,https://images.metmuseum.org/CRDImages/ep/web-large/DT8841.jpg,Italian,,"[201, 169, 105]"
"Portrait of a Woman, Said to Be Lucy Percy (1600?–1660), Countess of Carlisle",1653,https://images.metmuseum.org/CRDImages/ep/web-large/57108.jpg,British,,"[60, 60, 60]"
"Charles II (1630–1685), King of England",1672,https://images.metmuseum.org/CRDImages/ep/web-large/DP161831.jpg,British,,"[240, 239, 239]"
"Anne de Pisseleu (1508–1576), Duchesse d'Étampes",1535,https://images.metmuseum.org/CRDImages/ep/web-large/DP102428.jpg,Netherlandish,,"[98, 95, 74]"
Portrait of a Man with Gloves,1530,https://images.metmuseum.org/CRDImages/ep/web-large/DP-13588-001.jpg,Netherlandish,,"[16, 13, 6]"
Portrait of a Bearded Man in White,1533,https://images.metmuseum.org/CRDImages/ep/web-large/ep1978.301.7.bw.R.jpg,Netherlandish,,"[201, 201, 201]"
"Charles de Cossé (1506–1563), Comte de Brissac",1533,https://images.metmuseum.org/CRDImages/ep/web-large/ep49.7.44.bw.R.jpg,Netherlandish,,"[184, 184, 184]"
Jean d'Albon de Saint-André (1472–1549),1533,https://images.metmuseum.org/CRDImages/ep/web-large/ep32.100.103.bw.R.jpg,Netherlandish,,"[216, 216, 216]"
Portrait of a Bearded Man in Black,1533,https://images.metmuseum.org/CRDImages/ep/web-large/DP-13587-001.jpg,Netherlandish,,"[19, 21, 7]"
Portrait of a Man,1540,https://images.metmuseum.org/CRDImages/ep/web-large/DP365508.jpg,Netherlandish,,"[33, 30, 17]"
Portrait of a Man,1540,https://images.metmuseum.org/CRDImages/ep/web-large/DT8871.jpg,Netherlandish,,"[58, 56, 29]"
Portrait of a Man with a Gold Chain,1533,https://images.metmuseum.org/CRDImages/ep/web-large/EP1549.jpg,Netherlandish,,"[41, 35, 23]"
Portrait of a Man with a Pointed Collar,1533,https://images.metmuseum.org/CRDImages/ep/web-large/EP1548.jpg,Netherlandish,,"[39, 33, 24]"
Portrait of a Young Woman,1533,https://images.metmuseum.org/CRDImages/ep/web-large/ep41.190.533.bw.R.jpg,Netherlandish,,"[218, 218, 218]"
Portrait of a Dwarf,1525,https://images.metmuseum.org/CRDImages/ep/web-large/ep22.60.63.bw.R.jpg,Netherlandish,,"[29, 29, 29]"
Portrait of a Man with Gloves,1540,https://images.metmuseum.org/CRDImages/ep/web-large/DP365507.jpg,Netherlandish,,"[35, 37, 19]"
Portrait of a Man,1525,https://images.metmuseum.org/CRDImages/ep/web-large/ep30.95.286.bw.R.jpg,Netherlandish,,"[184, 184, 184]"
Portrait of a Widow,1525,https://images.metmuseum.org/CRDImages/ep/web-large/ep32.100.113.bw.R.jpg,Netherlandish,,"[29, 29, 29]"
The Gypsies,1872,https://images.metmuseum.org/CRDImages/ep/web-large/DP-16064-001.jpg,French,,"[47, 38, 25]"
Portrait of a Man,1533,https://images.metmuseum.org/CRDImages/ep/web-large/ep32.100.121.bw.R.jpg,Netherlandish,,"[29, 29, 29]"
Portrait of a Man with a Black-Plumed Hat,1535,https://images.metmuseum.org/CRDImages/ep/web-large/ep49.7.45.bw.R.jpg,Netherlandish,,"[26, 26, 26]"
Bacchante in a Landscape,1865,https://images.metmuseum.org/CRDImages/ep/web-large/ep29.100.598.R.jpg,French,,"[74, 59, 39]"
Toussaint Lemaistre (1807/8–1888),1833,https://images.metmuseum.org/CRDImages/ep/web-large/DT2017.jpg,French,,"[54, 42, 34]"
The Ferryman,1860,https://images.metmuseum.org/CRDImages/ep/web-large/ep14.40.811.R.jpg,French,,"[69, 64, 54]"
Bacchante by the Sea,1865,https://images.metmuseum.org/CRDImages/ep/web-large/DP-16590-001.jpg,French,,"[104, 94, 78]"
Boatman among the Reeds,1860,https://images.metmuseum.org/CRDImages/ep/web-large/DP332566.jpg,French,,"[107, 102, 94]"
The Environs of Paris,1860,https://images.metmuseum.org/CRDImages/ep/web-large/DT225534.jpg,French,,"[187, 187, 189]"
Hagar in the Wilderness,1835,https://images.metmuseum.org/CRDImages/ep/web-large/DT2013.jpg,French,,"[62, 56, 34]"
Girl Weaving a Garland,1860,https://images.metmuseum.org/CRDImages/ep/web-large/DP-13143-001_cropped.jpg,French,,"[62, 53, 35]"
Honfleur: Calvary,1825,https://images.metmuseum.org/CRDImages/ep/web-large/DT10697.jpg,French,,"[113, 108, 93]"
Italian Landscape,1825,https://images.metmuseum.org/CRDImages/ep/web-large/DP332568.jpg,French,,"[161, 153, 139]"
Lake Albano and Castel Gandolfo,1826,https://images.metmuseum.org/CRDImages/ep/web-large/DP332564.jpg,French,,"[74, 68, 49]"
"The Burning of Sodom (formerly ""The Destruction of Sodom"")",1843,https://images.metmuseum.org/CRDImages/ep/web-large/DT2014.jpg,French,,"[52, 40, 22]"
A Lane through the Trees,1870,https://images.metmuseum.org/CRDImages/ep/web-large/DP332562.jpg,French,,"[47, 45, 34]"
Fontainebleau: Oak Trees at Bas-Bréau,1832,https://images.metmuseum.org/CRDImages/ep/web-large/DT2009.jpg,French,,"[55, 62, 42]"
The Letter,1860,https://images.metmuseum.org/CRDImages/ep/web-large/DT2129.jpg,French,,"[35, 23, 6]"
A Pond in Picardy,1862,https://images.metmuseum.org/CRDImages/ep/web-large/DP-16065-001.jpg,French,,"[70, 64, 47]"
Portrait of a Child,1830,https://images.metmuseum.org/CRDImages/ep/web-large/DT872.jpg,French,,"[111, 94, 70]"
River with a Distant Tower,1865,https://images.metmuseum.org/CRDImages/ep/web-large/DP-14936-055.jpg,French,,"[65, 61, 49]"
Mother and Child,1860,https://images.metmuseum.org/CRDImages/ep/web-large/DT2008.jpg,French,,"[50, 41, 28]"
The Muse: History,1860,https://images.metmuseum.org/CRDImages/ep/web-large/DP-16591-001.jpg,French,,"[109, 94, 69]"
Reverie,1855,https://images.metmuseum.org/CRDImages/ep/web-large/DT2010.jpg,French,,"[61, 54, 39]"
"Study for ""The Destruction of Sodom""",1843,https://images.metmuseum.org/CRDImages/ep/web-large/DT2018.jpg,French,,"[62, 61, 47]"
A Village Street: Dardagny,1852,https://images.metmuseum.org/CRDImages/ep/web-large/DT2139.jpg,French,,"[65, 61, 54]"
View of Lormes,1840,https://images.metmuseum.org/CRDImages/ep/web-large/DT9008.jpg,French,,"[117, 94, 44]"
Sibylle,1865,https://images.metmuseum.org/CRDImages/ep/web-large/DP-16592-001.jpg,French,,"[60, 47, 34]"
The Banks of the Seine at Conflans,1865,https://images.metmuseum.org/CRDImages/ep/web-large/ep21.70.4.R.jpg,French,,"[47, 42, 27]"
Ville-d'Avray,1870,https://images.metmuseum.org/CRDImages/ep/web-large/DT2012.jpg,French,,"[57, 54, 48]"
