"geographicaream49","country","region","measureditemcpc","crop","timepointyears","loss_per_clean","percentage_loss_of_quantity","loss_quantity","loss_qualitiative","loss_monetary","activity","fsc_location1","periodofstorage","treatment","causeofloss","samplesize","units","method_datacollection","tag_datacollection","reference","url"
"356","India","","01341","Apples",2014,0.42,"0.42","","","","Transportation","Farm","","","","1 agro-climatic zone","","Stratified Multistage Random Sampling","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf"
"356","India","","01341","Apples",2014,0.57,"0.57","","","","Wholesaler","Storage","","","","1 agro-climatic zone","","Stratified Multistage Random Sampling","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf"
"356","India","","01341","Apples",2014,3.94,"3.94","","","","Sorting/Grading","Farm","","","Long Duration In The Field","1 agro-climatic zone","","Stratified Multistage Random Sampling","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf"
"356","India","","01341","Apples",2014,4.33,"4.33","","","","Harvesting","Harvest","","","","1 agro-climatic zone","","Stratified Multistage Random Sampling","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf"
"356","India","","01341","Apples",2014,10.39,"10.39","","","","","WholeSupplyChain","","","Physical Losses","","","Stratified Multistage Random Sampling","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf"
"356","India","","01341","Apples",2006,0.1,"0.1","","","","Packaging","Farm","","","","","","","Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India"
"356","India","","01341","Apples",2006,0.42,"0.42","","","","Collection","Farm","","","","","","","Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India"
"356","India","","01341","Apples",2006,0.99,"0.99","","","","Wholesaler","Storage","","","","","","","Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India"
"356","India","","01341","Apples",2006,1.1,"1.1","","","","Retailer","Storage","","","","","","","Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India"
"356","India","","01341","Apples",2006,1.19,"1.19","","","","Transportation","Farm","","","","","","","Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India"
"356","India","","01341","Apples",2006,1.47,"1.47","","","","Storage","Storage","","","","","","","Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India"
"356","India","","01341","Apples",2006,1.7,"1.7","","","","Processing","Storage","","","","","","","Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India"
"356","India","","01341","Apples",2006,2.26,"2.26","","","","","Farm","","","","","","","Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India"
"356","India","","01341","Apples",2006,4.56,"4.56","","","","Harvesting","Harvest","","","","","","","Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India"
"356","India","","01341","Apples",2006,4.79,"4.79","","","","Sorting/Grading","Farm","","","","","","","Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India"
"364","Iran (Islamic Republic of)","","01341","Apples",2001,3.5,"3 - 4%","","","","Harvesting","Harvest","","","","","","","Secondary Sources cited in Documents","Asian Productivity Organization and Food and Agriculture Organization of the United Nations",""
"364","Iran (Islamic Republic of)","","01341","Apples",2001,3.5,"3 - 4%","","","","Transportation","Transport","","","","","","","Secondary Sources cited in Documents","Asian Productivity Organization and Food and Agriculture Organization of the United Nations",""
"364","Iran (Islamic Republic of)","","01341","Apples",2001,14,"13 - 15%","","","","Storage and Sorting","Storage","","","","","","","Secondary Sources cited in Documents","Asian Productivity Organization and Food and Agriculture Organization of the United Nations",""
"364","Iran (Islamic Republic of)","","01341","Apples",2001,2,"2%","","","","Wholesale","Distribution","","","","","","","Secondary Sources cited in Documents","Asian Productivity Organization and Food and Agriculture Organization of the United Nations",""
"364","Iran (Islamic Republic of)","","01341","Apples",2001,4,"4%","","","","Retail","Retail","","","","","","","Secondary Sources cited in Documents","Asian Productivity Organization and Food and Agriculture Organization of the United Nations",""
"364","Iran (Islamic Republic of)","","01341","Apples",2001,2,"2","","","","","Wholesale","","","Improper Harvesting And Transportation Methods, Unsuitable Storage Of Products After Harvest, Poo...","","","","Expert Opinion","Baghkhandan; Ministry of Agriculture, unpublished data7","http://www.apo-tokyo.org/00e-books/AG-18_PostHarvest/AG-18_PostHarvest.pdf"
"364","Iran (Islamic Republic of)","","01341","Apples",2001,3.5,"3.0-4","","","","","Transport","","","Improper Harvesting And Transportation Methods, Unsuitable Storage Of Products After Harvest, Poo...","","","","Expert Opinion","Baghkhandan; Ministry of Agriculture, unpublished data7","http://www.apo-tokyo.org/00e-books/AG-18_PostHarvest/AG-18_PostHarvest.pdf"
"364","Iran (Islamic Republic of)","","01341","Apples",2001,3.5,"3.0-4","","","","","Harvest","","","Improper Harvesting And Transportation Methods, Unsuitable Storage Of Products After Harvest, Poo...","","","","Expert Opinion","Baghkhandan; Ministry of Agriculture, unpublished data7","http://www.apo-tokyo.org/00e-books/AG-18_PostHarvest/AG-18_PostHarvest.pdf"
"364","Iran (Islamic Republic of)","","01341","Apples",2001,4,"4","","","","","Retail","","","Improper Harvesting And Transportation Methods, Unsuitable Storage Of Products After Harvest, Poo...","","","","Expert Opinion","Baghkhandan; Ministry of Agriculture, unpublished data7","http://www.apo-tokyo.org/00e-books/AG-18_PostHarvest/AG-18_PostHarvest.pdf"
"364","Iran (Islamic Republic of)","","01341","Apples",2001,14,"13.0-15","","","","","Processing","","","Improper Harvesting And Transportation Methods, Unsuitable Storage Of Products After Harvest, Poo...","","","","Expert Opinion","Baghkhandan; Ministry of Agriculture, unpublished data7","http://www.apo-tokyo.org/00e-books/AG-18_PostHarvest/AG-18_PostHarvest.pdf"
"40","Austria","","01341","Apples",2012,7.47,"7.474651054","","","","","SWS_Total","","","","","","St A T I S T I K D E R Landwirtschaft 2013","FAO Sources","FAO Sources",""
"40","Austria","","01341","Apples",2011,6.75,"6.749634699","","","","","SWS_Total","","","","","","Statistik Der Landwirtschaft 2012 P. 54","FAO Sources","FAO Sources",""
"40","Austria","","01341","Apples",2010,6.08,"6.079101455","","","","","SWS_Total","","","","","","Statistik Der Landwirtschaft 2012 P.54","FAO Sources","FAO Sources",""
"40","Austria","","01341","Apples",2009,14,"13.99500421","","","","","SWS_Total","","","","","","Statistik Der Landwirtschaft 2010 P. 55","FAO Sources","FAO Sources",""
"40","Austria","","01341","Apples",2007,15.06,"15.06459754","","","","","SWS_Total","","","","","","Statistik_Der_Landwirtschaft_2008[1].Pdf T:\Filipczuk\Austria\Fbs 2009 Pag.59","Food Balance Sheet/Ag. Production Questionnaire","FAO Sources",""
"524","Nepal","Marpha to Pokhara","01341","Apples",2003,35,"35","","","","","Transport","","","Physical Losses","","","","-","","http://www.apo-tokyo.org/00e-books/AG-18_PostHarvest/AG-18_PostHarvest.pdf"
"524","Nepal","Marpha to Pokhara","01341","Apples",2003,35,"35","","","","","Transport","","","Physical Losses","","","","-","","http://www.apo-tokyo.org/00e-books/AG-18_PostHarvest/AG-18_PostHarvest.pdf"
"524","Nepal","","01341","Apples",2003,37,"37%","","","","distribution; harvesting; transport; shelling; storage; threshing; cleaning; collection; harvest; drying; field; threshing/shelling","WholeSupplyChain","","","","","","","Secondary Sources cited in Documents","Asian Productivity Organization and Food and Agriculture Organization of the United Nations",""
"524","Nepal","","01341","Apples",2003,26,"26%","","","","Destined for export","Export","","","","","","","Secondary Sources cited in Documents","Asian Productivity Organization and Food and Agriculture Organization of the United Nations",""
"524","Nepal","Jumla to Nepalgunj.","01341","Apples",2000,10,"10","","","","","Transport","","","Farmgate To Market","","","","-","MDD 1999/2000","http://www.apo-tokyo.org/00e-books/AG-18_PostHarvest/AG-18_PostHarvest.pdf"
"524","Nepal","Birgunj, Nepal to Patna","01341","Apples",2000,22.22,"22.22","","","","","Transport","","","","","","","-","MDD 1999/ 2000","http://www.apo-tokyo.org/00e-books/AG-18_PostHarvest/AG-18_PostHarvest.pdf"
"524","Nepal","Jumla","01341","Apples",2000,22.5,"15-30","","","","","Storage","","","95% Of The Apples Produced In Jumla Are Stored In Underground Pits, While 5% Are Retained The Cel...","","","","-","MDD 1999/2000","http://www.apo-tokyo.org/00e-books/AG-18_PostHarvest/AG-18_PostHarvest.pdf"
"524","Nepal","Bhairahwa, Nepal to Gorakhpur, India","01341","Apples",2000,26.3,"26.3","","","","","Export","","","","","","","-","MDD 1999/ 2000","http://www.apo-tokyo.org/00e-books/AG-18_PostHarvest/AG-18_PostHarvest.pdf"
"524","Nepal","Birgunj, Nepal to Patna","01341","Apples",2000,22.22,"22.22","","","","","Transport","","","","","","","-","MDD 1999/ 2000","http://www.apo-tokyo.org/00e-books/AG-18_PostHarvest/AG-18_PostHarvest.pdf"
"524","Nepal","Jumla","01341","Apples",2000,22.5,"15-30","","","","","Storage","","","95% Of The Apples Produced In Jumla Are Stored In Underground Pits, While 5% Are Retained The Cel...","","","","-","MDD 1999/2000","http://www.apo-tokyo.org/00e-books/AG-18_PostHarvest/AG-18_PostHarvest.pdf"
"524","Nepal","Bhairahwa, Nepal to Gorakhpur, India","01341","Apples",2000,26.3,"26.3","","","","","Export","","","","","","","-","MDD 1999/ 2000","http://www.apo-tokyo.org/00e-books/AG-18_PostHarvest/AG-18_PostHarvest.pdf"
"524","Nepal","from Jumla","01341","Apples",2000,10,"10","","","","","Storage","","","","","","","-","MDD 1999/2000","http://www.apo-tokyo.org/00e-books/AG-18_PostHarvest/AG-18_PostHarvest.pdf"
"524","Nepal","from Jumla","01341","Apples",2000,10,"10","","","","","Storage","","","","","","","-","MDD 1999/2000","http://www.apo-tokyo.org/00e-books/AG-18_PostHarvest/AG-18_PostHarvest.pdf"
"524","Nepal","Jumla to Nepalgunj.","01341","Apples",2000,10,"10","","","","","Transport","","","Farmgate To Market","","","","-","MDD 1999/2000","http://www.apo-tokyo.org/00e-books/AG-18_PostHarvest/AG-18_PostHarvest.pdf"
"586","Pakistan","Northern region","01341","Apples",2003,26.99,"26.99%","","","","distribution; harvesting; transport; shelling; storage; threshing; cleaning; collection; harvest; drying; field; threshing/shelling","WholeSupplyChain","","","","","","","Secondary Sources cited in Documents","Asian Productivity Organization and Food and Agriculture Organization of the United Nations",""
"586","Pakistan","Northern Areas","01341","Apples",2001,26.99,"26.99","4169000","","","","WholeSupplyChain","","","Levels of postharvest losses in fruits owing to improper harvesting, handling, grading, packing, ...","","","","-","Study on Crop Production and Marketing in Northern Areas Development of Agriculture, Northern Areas","http://www.apo-tokyo.org/00e-books/AG-18_PostHarvest/AG-18_PostHarvest.pdf"
"586","Pakistan","Northern Areas","01341","Apples",2001,26.99,"26.99","4169000","","","","WholeSupplyChain","","","Levels of postharvest losses in fruits owing to improper harvesting, handling, grading, packing, ...","","","","-","Study on Crop Production and Marketing in Northern Areas Development of Agriculture, Northern Areas","http://www.apo-tokyo.org/00e-books/AG-18_PostHarvest/AG-18_PostHarvest.pdf"
"604","Peru","","01341","Apples",2007,39.85,"39.84672088","","","","","SWS_Total","","","","","","Hoja De Balance De Alimentos 1998/2007","Food Balance Sheet/Ag. Production Questionnaire","FAO Sources",""
"604","Peru","","01341","Apples",2006,40.51,"40.50542893","","","","","SWS_Total","","","","","","Hoja De Balance De Alimentos 1998/2007","Food Balance Sheet/Ag. Production Questionnaire","FAO Sources",""
"604","Peru","","01341","Apples",2005,39.7,"39.70444693","","","","","SWS_Total","","","","","","Hoja De Balance De Alimentos 1998/2007","Food Balance Sheet/Ag. Production Questionnaire","FAO Sources",""
"604","Peru","","01341","Apples",2004,39.48,"39.48316121","","","","","SWS_Total","","","","","","Hoja De Balance De Alimentos 1998/2007","Food Balance Sheet/Ag. Production Questionnaire","FAO Sources",""
"604","Peru","","01341","Apples",2003,39.34,"39.33847883","","","","","SWS_Total","","","","","","Hoja De Balance De Alimentos 1998/2007","Food Balance Sheet/Ag. Production Questionnaire","FAO Sources",""
"604","Peru","","01341","Apples",2002,40.01,"40.01427807","","","","","SWS_Total","","","","","","Hoja De Balance De Alimentos 1998/2007","Food Balance Sheet/Ag. Production Questionnaire","FAO Sources",""
"604","Peru","","01341","Apples",2001,41.3,"41.30390782","","","","","SWS_Total","","","","","","Hoja De Balance De Alimentos 1998/2007","Food Balance Sheet/Ag. Production Questionnaire","FAO Sources",""
"604","Peru","","01341","Apples",2000,36.7,"36.69623412","","","","","SWS_Total","","","","","","Hoja De Balance De Alimentos 1998/2007","Food Balance Sheet/Ag. Production Questionnaire","FAO Sources",""
"604","Peru","","01341","Apples",2000,64.75,"64.74636968","","","","","SWS_Total","","","","","","Hoja De Balance 1997-2006","Food Balance Sheet/Ag. Production Questionnaire","FAO Sources",""
"792","Turkey","","01341","Apples",2016,5.5825,"","163335","","","","WholeSupplyChain","","","","","","","Food Balance Sheet/Ag. Production Questionnaire","Crop Products Balance Sheets; ""Fruits, nuts and beverage crops"" 2000/'01-2016/'18",""
"792","Turkey","","01341","Apples",2015,6.123,"","157347","","","","WholeSupplyChain","","","","","","","Food Balance Sheet/Ag. Production Questionnaire","Crop Products Balance Sheets; ""Fruits, nuts and beverage crops"" 2000/'01-2016/'18",""
"792","Turkey","","01341","Apples",2014,5.8045,"","143977","","","","WholeSupplyChain","","","","","","","Food Balance Sheet/Ag. Production Questionnaire","Crop Products Balance Sheets; ""Fruits, nuts and beverage crops"" 2000/'01-2016/'18",""
"792","Turkey","","01341","Apples",2013,5.8269,"","182293","","","","WholeSupplyChain","","","","","","","Food Balance Sheet/Ag. Production Questionnaire","Crop Products Balance Sheets; ""Fruits, nuts and beverage crops"" 2000/'01-2016/'18",""
"792","Turkey","","01341","Apples",2012,6.8358,"","197485","","","","WholeSupplyChain","","","","","","","Food Balance Sheet/Ag. Production Questionnaire","Crop Products Balance Sheets; ""Fruits, nuts and beverage crops"" 2000/'01-2016/'18",""
"792","Turkey","","01341","Apples",2011,6.1391,"","164533","","","","WholeSupplyChain","","","","","","","Food Balance Sheet/Ag. Production Questionnaire","Crop Products Balance Sheets; ""Fruits, nuts and beverage crops"" 2000/'01-2016/'18",""
"792","Turkey","","01341","Apples",2010,6.1152,"","158995","","","","WholeSupplyChain","","","","","","","Food Balance Sheet/Ag. Production Questionnaire","Crop Products Balance Sheets; ""Fruits, nuts and beverage crops"" 2000/'01-2016/'18",""
"792","Turkey","","01341","Apples",2009,6.6113,"","183950","","","","WholeSupplyChain","","","","","","","Food Balance Sheet/Ag. Production Questionnaire","Crop Products Balance Sheets; ""Fruits, nuts and beverage crops"" 2000/'01-2016/'18",""
"792","Turkey","","01341","Apples",2008,6.863,"","171884","","","","WholeSupplyChain","","","","","","","Food Balance Sheet/Ag. Production Questionnaire","Crop Products Balance Sheets; ""Fruits, nuts and beverage crops"" 2000/'01-2016/'18",""
"792","Turkey","","01341","Apples",2007,6.4992,"","159740","","","","WholeSupplyChain","","","","","","","Food Balance Sheet/Ag. Production Questionnaire","Crop Products Balance Sheets; ""Fruits, nuts and beverage crops"" 2000/'01-2016/'18",""
"792","Turkey","","01341","Apples",2006,6.8147,"","136432","","","","WholeSupplyChain","","","","","","","Food Balance Sheet/Ag. Production Questionnaire","Crop Products Balance Sheets; ""Fruits, nuts and beverage crops"" 2000/'01-2016/'18",""
"792","Turkey","","01341","Apples",2005,6.0047,"","154322","","","","WholeSupplyChain","","","","","","","Food Balance Sheet/Ag. Production Questionnaire","Crop Products Balance Sheets; ""Fruits, nuts and beverage crops"" 2000/'01-2016/'18",""
"792","Turkey","","01341","Apples",2004,7.2595,"","152449","","","","WholeSupplyChain","","","","","","","Food Balance Sheet/Ag. Production Questionnaire","Crop Products Balance Sheets; ""Fruits, nuts and beverage crops"" 2000/'01-2016/'18",""
"792","Turkey","","01341","Apples",2003,7.2786,"","189245","","","","WholeSupplyChain","","","","","","","Food Balance Sheet/Ag. Production Questionnaire","Crop Products Balance Sheets; ""Fruits, nuts and beverage crops"" 2000/'01-2016/'18",""
"792","Turkey","","01341","Apples",2002,7.344,"","161567","","","","WholeSupplyChain","","","","","","","Food Balance Sheet/Ag. Production Questionnaire","Crop Products Balance Sheets; ""Fruits, nuts and beverage crops"" 2000/'01-2016/'18",""
"792","Turkey","","01341","Apples",2001,7.3176,"","179280","","","","WholeSupplyChain","","","","","","","Food Balance Sheet/Ag. Production Questionnaire","Crop Products Balance Sheets; ""Fruits, nuts and beverage crops"" 2000/'01-2016/'18",""
"792","Turkey","","01341","Apples",2000,7.3097,"","175433","","","","WholeSupplyChain","","","","","","","Food Balance Sheet/Ag. Production Questionnaire","Crop Products Balance Sheets; ""Fruits, nuts and beverage crops"" 2000/'01-2016/'18",""
"826","United Kingdom","","01341","Apples",2011,2.5,"2.0-3","","","","","Retail","","","main causes of this were a mismatch in supply and demand or cosmetic and quality related","","","Using on-farm data collection, a web survey, and farm interviews","WRI Protocol","WRAP, 2011","https://feedbackglobal.org/wp/wp-content/uploads/2018/02/Farm_waste_report_.pdf"
"826","United Kingdom","","01341","Apples",2011,3.5,"3.0-4","","","","","Storage","","","main causes of this were a mismatch in supply and demand or cosmetic and quality related","","","Using on-farm data collection, a web survey, and farm interviews","WRI Protocol","WRAP, 2011","https://feedbackglobal.org/wp/wp-content/uploads/2018/02/Farm_waste_report_.pdf"
"826","United Kingdom","","01341","Apples",2011,5.5,"3.0-8","","","","","Packaging","","","main causes of this were a mismatch in supply and demand or cosmetic and quality related","","","Using on-farm data collection, a web survey, and farm interviews","WRI Protocol","WRAP, 2011","https://feedbackglobal.org/wp/wp-content/uploads/2018/02/Farm_waste_report_.pdf"
"826","United Kingdom","","01341","Apples",2011,15,"5.0-25","","","","","Farm","","","main causes of this were a mismatch in supply and demand or cosmetic and quality related","","","Using on-farm data collection, a web survey, and farm interviews","WRI Protocol","WRAP, 2011","https://feedbackglobal.org/wp/wp-content/uploads/2018/02/Farm_waste_report_.pdf"
"826","United Kingdom","","01341","Apples",2011,15,"5.0-25","","","","Grading","Farm","","","main causes of this were a mismatch in supply and demand or cosmetic and quality related","","","Using on-farm data collection, a web survey, and farm interviews","WRI Protocol","WRAP, 2011","https://feedbackglobal.org/wp/wp-content/uploads/2018/02/Farm_waste_report_.pdf"
"826","United Kingdom","","01341","Apples",2011,39,"16- 62%","","","","Harvesting, sorting, storage and packing","WholeSupplyChain","","","","","","","Survey","Terry et al., 2011",""
"840","United States of America","","01341","Apples",2006,7.8,"7.8","","","","","Retail","","","","","","","Modelled","Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",""
"840","United States of America","","01341","Apples",2005,9.5,"9.5","","","","","Retail","","","","","","","Modelled","Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University.",""
