id,relid,year,start_year,end_year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,iso3,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
30304,SSD-2012-3-626-4,2012,2012,2012,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""Sudan Tribune,2012-08-30,SPLA criticises Jonglei human rights reports despite dismissing over 30 soldiers""",Sudan Tribune,2012-08-30,SPLA criticises Jonglei human rights reports despite dismissing over 30 soldiers,,3,Pibor county,Pibor county,Jonglei state,Pibor county,6.800000,SSD,33.133300,POINT (33.133300 6.800000),139387,South Sudan,626,Africa,1,5,2012-07-15 00:00:00.000,2012-08-20 00:00:00.000,0,0,0,0,0,1,0,626,
31904,SSD-2012-3-626-3,2012,2012,2012,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,-1,"All Africa 2012-07-23 ""SPLA Shoot Dead Civilian in Lakes State",,,,,1,Langcok locality,"Langcok military barracks, Lakes State",Lakes state,Rumbek Centre county,6.913100,SSD,29.702860,POINT (29.702860 6.913100),139380,South Sudan,626,Africa,1,1,2012-07-18 00:00:00.000,2012-07-18 00:00:00.000,0,0,1,0,1,1,1,626,
64155,SSD-2012-3-626-18,2012,2012,2012,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""Human Rights Watch,2013-09-12,“They Are Killing Us” Abuses Against Civilians in South Sudan’s Pibor County""",Human Rights Watch,2013-09-12,“They Are Killing Us” Abuses Against Civilians in South Sudan’s Pibor County,,1,Manyabol village,Manyabol town,Jonglei state,Pibor county,6.604594,SSD,32.768486,POINT (32.768486 6.604594),139386,South Sudan,626,Africa,1,1,2012-11-12 00:00:00.000,2012-11-12 00:00:00.000,0,0,3,0,3,3,3,626,
64143,SSD-2012-3-626-14,2012,2012,2012,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""HRW ""They are Killing us"",2013-09-12,“They Are Killing Us” Abuses Against Civilians in South Sudan’s Pibor County""","HRW ""They are Killing us""",2013-09-12,“They Are Killing Us” Abuses Against Civilians in South Sudan’s Pibor County,,1,Pibor town,Pibor Town,Jonglei state,Pibor county,6.800000,SSD,33.133300,POINT (33.133300 6.800000),139387,South Sudan,626,Africa,1,4,2012-12-01 00:00:00.000,2012-12-31 00:00:00.000,0,0,2,0,2,2,2,626,
64154,SSD-2012-3-626-17,2012,2012,2012,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""HRW ""They are Killing us"",1753-01-01,.""","HRW ""They are Killing us""",1753-01-01,.,,3,Pibor county,close to barracks in Yot village in Vuvet area,Jonglei state,Pibor county,6.800000,SSD,33.133300,POINT (33.133300 6.800000),139387,South Sudan,626,Africa,1,4,2012-12-01 00:00:00.000,2012-12-31 00:00:00.000,0,0,4,0,4,4,4,626,
31911,SSD-2012-3-626-5,2012,2012,2012,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,-1,"AFP 2012-12-10 ""South Sudan soldiers kill 14 in volatile state: officials",,,,,1,Gumuruk town,remote village of Gumuruk in Jonglei's Pibor county,Jonglei state,Pibor county,6.643600,SSD,32.823600,POINT (32.823600 6.643600),139386,South Sudan,626,Africa,1,1,2012-12-04 00:00:00.000,2012-12-04 00:00:00.000,0,0,0,14,14,14,0,626,
64133,SSD-2012-3-626-12,2012,2012,2012,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""HRW “THEY ARE KILLING US”,1753-01-01,.""",HRW “THEY ARE KILLING US”,1753-01-01,.,,2,Gumuruk town,"Lotho village, near
Gumuruk town",Jonglei state,Pibor county,6.643600,SSD,32.823600,POINT (32.823600 6.643600),139386,South Sudan,626,Africa,1,1,2012-12-04 00:00:00.000,2012-12-04 00:00:00.000,0,0,13,0,13,13,13,626,
64145,SSD-2012-3-626-15,2012,2012,2012,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""Human Rights Watch,2013-09-12,“They Are Killing Us” Abuses Against Civilians in South Sudan’s Pibor County""",Human Rights Watch,2013-09-12,“They Are Killing Us” Abuses Against Civilians in South Sudan’s Pibor County,,1,Pibor town,Pibor Town,Jonglei state,Pibor county,6.800000,SSD,33.133300,POINT (33.133300 6.800000),139387,South Sudan,626,Africa,1,1,2012-12-04 00:00:00.000,2012-12-04 00:00:00.000,0,0,1,0,1,1,1,626,
30326,SSD-2012-3-626-9,2012,2012,2012,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,-1,"All Africa 2012-12-10 ""Wau Clashes Leave 25 Dead - Former Commissioner",,,,,1,Wau town,Wau,West Bahr-al-Ghazal state,Wau county,7.697020,SSD,28.004460,POINT (28.004460 7.697020),140817,South Sudan,626,Africa,2,2,2012-12-08 00:00:00.000,2012-12-09 00:00:00.000,0,0,0,0,0,15,0,626,
31914,SSD-2012-3-626-7,2012,2012,2012,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,-1,"AFP 2012-12-09 ""10 dead after S. Sudan army opens fire on protestors: UN"" Al- Jazeera ""Protesters shot at by South Sudanese army"" http://www.aljazeera.com/video/africa/2012/12/2012121432549729855.html",,,,,1,Wau town,Wau,West Bahr-al-Ghazal state,Wau county,7.697020,SSD,28.004460,POINT (28.004460 7.697020),140817,South Sudan,626,Africa,2,2,2012-12-08 00:00:00.000,2012-12-09 00:00:00.000,0,0,0,10,10,10,10,626,
30343,SSD-2012-3-626-11,2012,2012,2012,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,-1,"All Africa 2012-12-26 ""South Sudan President Backs Relocation of Wau County Headquarters",,,,,1,Wau town,Wau,West Bahr-al-Ghazal state,Wau county,7.697020,SSD,28.004460,POINT (28.004460 7.697020),140817,South Sudan,626,Africa,1,1,2012-12-18 00:00:00.000,2012-12-18 00:00:00.000,0,0,0,0,0,12,0,626,
64152,SSD-2012-3-626-16,2012,2012,2012,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""HRW ""They are Killing us"",1753-01-01,.""","HRW ""They are Killing us""",1753-01-01,.,,2,Manyabol village,on the roadside close to Manyabol town,Jonglei state,Pibor county,6.604594,SSD,32.768486,POINT (32.768486 6.604594),139386,South Sudan,626,Africa,1,1,2012-12-22 00:00:00.000,2012-12-22 00:00:00.000,0,0,3,0,3,3,3,626,
64141,SSD-2012-3-626-13,2012,2012,2012,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""HRW ""They are Killing us"",1753-01-01,.""","HRW ""They are Killing us""",1753-01-01,.,,1,Pibor town,Pibor Town,Jonglei state,Pibor county,6.800000,SSD,33.133300,POINT (33.133300 6.800000),139387,South Sudan,626,Africa,1,1,2012-12-24 00:00:00.000,2012-12-24 00:00:00.000,0,0,2,0,2,2,2,626,
64134,SSD-2013-3-626-1,2013,2013,2013,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""HRW “THEY ARE KILLING US”,1753-01-01,.""",HRW “THEY ARE KILLING US”,1753-01-01,.,,1,Pibor town,Pibor town,Jonglei state,Pibor county,6.800000,SSD,33.133300,POINT (33.133300 6.800000),139387,South Sudan,626,Africa,1,1,2013-01-27 00:00:00.000,2013-01-27 00:00:00.000,0,0,5,0,5,7,5,626,
64156,SSD-2013-3-626-8,2013,2013,2013,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""HRW ""They are Killing us"",1753-01-01,.""","HRW ""They are Killing us""",1753-01-01,.,,6,South Sudan,"a cattle camp beside the Jurich river,",,,8.000000,SSD,30.000000,POINT (30.000000 8.000000),141541,South Sudan,626,Africa,1,4,2013-03-01 00:00:00.000,2013-03-31 00:00:00.000,0,0,3,0,3,3,3,626,
64159,SSD-2013-3-626-11,2013,2013,2013,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""HRW ""They are kiling us"",1753-01-01,.""","HRW ""They are kiling us""",1753-01-01,.,,1,Gumuruk town,Gumuruk,Jonglei state,Pibor county,6.643600,SSD,32.823600,POINT (32.823600 6.643600),139386,South Sudan,626,Africa,1,1,2013-03-29 00:00:00.000,2013-03-29 00:00:00.000,0,0,2,0,2,2,2,626,
64157,SSD-2013-3-626-9,2013,2013,2013,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""HRW ""They are Killing us"",1753-01-01,.""","HRW ""They are Killing us""",1753-01-01,.,,2,Gumuruk town,near an SPLA camp close to Gumuruk town.,Jonglei state,Pibor county,6.643600,SSD,32.823600,POINT (32.823600 6.643600),139386,South Sudan,626,Africa,1,4,2013-04-01 00:00:00.000,2013-04-30 00:00:00.000,0,0,1,0,1,1,1,626,
64146,SSD-2013-3-626-3,2013,2013,2013,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""HRW ""They are Killing us"",1753-01-01,.""","HRW ""They are Killing us""",1753-01-01,.,,2,Gumuruk town,near to Gumuruk town,Jonglei state,Pibor county,6.643600,SSD,32.823600,POINT (32.823600 6.643600),139386,South Sudan,626,Africa,1,1,2013-04-01 00:00:00.000,2013-04-01 00:00:00.000,0,0,5,0,5,5,5,626,
64160,SSD-2013-3-626-12,2013,2013,2013,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""HRW ""They are Killing us"",1753-01-01,.""","HRW ""They are Killing us""",1753-01-01,.,,1,Manyabol village,Manyabol,Jonglei state,Pibor county,6.604594,SSD,32.768486,POINT (32.768486 6.604594),139386,South Sudan,626,Africa,1,1,2013-04-12 00:00:00.000,2013-04-12 00:00:00.000,0,0,3,0,3,3,3,626,
64147,SSD-2013-3-626-4,2013,2013,2013,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""HRW ""They are Killing us"",1753-01-01,.""","HRW ""They are Killing us""",1753-01-01,.,,1,Pibor town,Pibor town,Jonglei state,Pibor county,6.800000,SSD,33.133300,POINT (33.133300 6.800000),139387,South Sudan,626,Africa,1,1,2013-04-28 00:00:00.000,2013-04-28 00:00:00.000,0,0,3,0,3,3,3,626,
64150,SSD-2013-3-626-6,2013,2013,2013,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""HRW ""They are Killing us"",1753-01-01,.""","HRW ""They are Killing us""",1753-01-01,.,,1,Pibor town,Pibor,Jonglei state,Pibor county,6.800000,SSD,33.133300,POINT (33.133300 6.800000),139387,South Sudan,626,Africa,1,4,2013-05-01 00:00:00.000,2013-05-31 00:00:00.000,0,0,2,0,2,2,2,626,
64149,SSD-2013-3-626-5,2013,2013,2013,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""HRW ""They are Killing us"",1753-01-01,.""","HRW ""They are Killing us""",1753-01-01,.,,1,Pibor town,Pibor Town,Jonglei state,Pibor county,6.800000,SSD,33.133300,POINT (33.133300 6.800000),139387,South Sudan,626,Africa,1,1,2013-05-08 00:00:00.000,2013-05-08 00:00:00.000,0,0,3,0,3,3,3,626,
64158,SSD-2013-3-626-10,2013,2013,2013,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""HRW ""They are Killing us"",1753-01-01,.""","HRW ""They are Killing us""",1753-01-01,.,,2,Gumuruk town,"a cattle camp in Vivino boma,near Gumuruk town",Jonglei state,Pibor county,6.643600,SSD,32.823600,POINT (32.823600 6.643600),139386,South Sudan,626,Africa,1,1,2013-05-10 00:00:00.000,2013-05-10 00:00:00.000,0,0,1,0,1,1,1,626,
64151,SSD-2013-3-626-7,2013,2013,2013,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""HRW ""They are Killing us"",1753-01-01,.""","HRW ""They are Killing us""",1753-01-01,.,,3,Pibor county,Hai Matar area of Pibor,Jonglei state,Pibor county,6.800000,SSD,33.133300,POINT (33.133300 6.800000),139387,South Sudan,626,Africa,1,1,2013-05-25 00:00:00.000,2013-05-25 00:00:00.000,0,0,1,0,1,1,1,626,
64137,SSD-2013-3-626-2,2013,2013,2013,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""Hrw ""The are killing us"",1753-01-01,.""","Hrw ""The are killing us""",1753-01-01,.,,1,Manyabol village,Manyabol,Jonglei state,Pibor county,6.604594,SSD,32.768486,POINT (32.768486 6.604594),139386,South Sudan,626,Africa,1,1,2013-05-26 00:00:00.000,2013-05-26 00:00:00.000,0,0,12,0,12,12,12,626,
64187,SSD-2013-3-626-24,2013,2013,2013,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""Reuters News,2013-12-26,UPDATE 1-South Sudan rebels seize oil wells, mediators urge talks""",Reuters News,2013-12-26,"UPDATE 1-South Sudan rebels seize oil wells, mediators urge talks",,1,Juba city,Juba,Central Equatoria state,Juba county,4.850000,SSD,31.616667,POINT (31.616667 4.850000),136504,South Sudan,626,Africa,1,4,2013-12-15 00:00:00.000,2013-12-26 00:00:00.000,0,0,1,0,1,1,1,626,
64177,SSD-2013-3-626-22,2013,2013,2013,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""All Africa,2013-12-21,South Sudan Leaders Must Prevent 'Disturbing' Spread of Violence""",All Africa,2013-12-21,South Sudan Leaders Must Prevent 'Disturbing' Spread of Violence,,1,Juba city,,Central Equatoria state,Juba county,4.850000,SSD,31.616667,POINT (31.616667 4.850000),136504,South Sudan,626,Africa,2,1,2013-12-15 00:00:00.000,2013-12-15 00:00:00.000,0,0,2,0,2,2,2,626,
64181,SSD-2013-3-626-23,2013,2013,2013,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,3,"""Agence France Presse,2013-12-24,Witnesses recount massacre, murders and rape in South Sudan"";""HRW 2014-01-16 ""South Sudan: Ethnic Targeting, Widespread Killings"",2014-01-16,."";""All Africa,2014-08-08,South Sudan's New War - Abuses By Government and Opposition Forces [document]""","Agence France Presse;HRW 2014-01-16 ""South Sudan: Ethnic Targeting, Widespread Killings"";All Africa",2013-12-24;2014-01-16;2014-08-08,"Witnesses recount massacre, murders and rape in South Sudan;.;South Sudan's New War - Abuses By Government and Opposition Forces [document]",HRW,1,Juba city,Juba,Central Equatoria state,Juba county,4.850000,SSD,31.616667,POINT (31.616667 4.850000),136504,South Sudan,626,Africa,1,2,2013-12-15 00:00:00.000,2013-12-16 00:00:00.000,0,0,238,0,238,400,238,626,
64169,SSD-2013-3-626-17,2013,2013,2013,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""HRW ""South Sudan: Soldiers Target Ethnic Group in Juba Fighting"" ,1753-01-01,.""","HRW ""South Sudan: Soldiers Target Ethnic Group in Juba Fighting""",1753-01-01,.,,1,Juba city,"Khor William neighborhood, Amarat neighborhood",Central Equatoria state,Juba county,4.850000,SSD,31.616667,POINT (31.616667 4.850000),136504,South Sudan,626,Africa,1,2,2013-12-15 00:00:00.000,2013-12-18 00:00:00.000,0,0,2,0,2,2,2,626,
64168,SSD-2013-3-626-16,2013,2013,2013,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""HRW ""South Sudan: Soldiers Target Ethnic Group in Juba Fighting"" ,1753-01-01,.""","HRW ""South Sudan: Soldiers Target Ethnic Group in Juba Fighting""",1753-01-01,.,,1,Juba city,Gudele area of Juba,Central Equatoria state,Juba county,4.850000,SSD,31.616667,POINT (31.616667 4.850000),136504,South Sudan,626,Africa,1,1,2013-12-16 00:00:00.000,2013-12-16 00:00:00.000,0,0,15,0,15,15,15,626,
64170,SSD-2013-3-626-18,2013,2013,2013,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""HRW ""South Sudan: Soldiers Target Ethnic Group in Juba Fighting "",1753-01-01,.""","HRW ""South Sudan: Soldiers Target Ethnic Group in Juba Fighting """,1753-01-01,.,,1,Juba city,Juba’s New Site area,Central Equatoria state,Juba county,4.850000,SSD,31.616667,POINT (31.616667 4.850000),136504,South Sudan,626,Africa,1,1,2013-12-16 00:00:00.000,2013-12-16 00:00:00.000,0,0,2,0,2,2,2,626,
64171,SSD-2013-3-626-19,2013,2013,2013,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""HRW ""South Sudan: Soldiers Target Ethnic Group in Juba Fighting"" ,1753-01-01,.""","HRW ""South Sudan: Soldiers Target Ethnic Group in Juba Fighting""",1753-01-01,.,,1,Juba city,"Misah Sabah neighborhood, Juba",Central Equatoria state,Juba county,4.850000,SSD,31.616667,POINT (31.616667 4.850000),136504,South Sudan,626,Africa,1,1,2013-12-16 00:00:00.000,2013-12-16 00:00:00.000,0,0,3,0,3,3,3,626,
155407,SSD-2013-3-626-26,2013,2013,2013,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""All Africa,2014-08-08,South Sudan's New War - Abuses By Government and Opposition Forces [document]""",All Africa,2014-08-08,South Sudan's New War - Abuses By Government and Opposition Forces [document],HRW interviews,1,Juba city,"Juba
Along the main roads to the UN base.",Central Equatoria state,Juba county,4.850000,SSD,31.616667,POINT (31.616667 4.850000),136504,South Sudan,626,Africa,1,1,2013-12-16 00:00:00.000,2013-12-16 00:00:00.000,0,0,12,0,12,12,12,626,
155451,SSD-2013-3-626-29,2013,2013,2013,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""All Africa,2014-08-08,South Sudan's New War - Abuses By Government and Opposition Forces [document]""",All Africa,2014-08-08,South Sudan's New War - Abuses By Government and Opposition Forces [document],HRW interviews,1,Juba city,"Juba
Mia Saba neighborhood, New Site, Mangaten",Central Equatoria state,Juba county,4.850000,SSD,31.616667,POINT (31.616667 4.850000),136504,South Sudan,626,Africa,1,1,2013-12-16 00:00:00.000,2013-12-16 00:00:00.000,0,0,14,0,14,15,14,626,
155458,SSD-2013-3-626-31,2013,2013,2013,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""All Africa,2014-08-08,South Sudan's New War - Abuses By Government and Opposition Forces [document]""",All Africa,2014-08-08,South Sudan's New War - Abuses By Government and Opposition Forces [document],HRW,1,Juba city,"Juba
Near camp fence UN Tomping base",Central Equatoria state,Juba county,4.850000,SSD,31.616667,POINT (31.616667 4.850000),136504,South Sudan,626,Africa,1,1,2013-12-16 00:00:00.000,2013-12-16 00:00:00.000,0,0,1,0,1,1,1,626,
