Level,Indicator,Value,Region,Subregion,Territory,Year,Source,Source Description
Country,Homicide count,124,Europe,Southern Europe,Albania,2013,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,117,Europe,Southern Europe,Albania,2014,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,64,Europe,Southern Europe,Albania,2015,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,79,Europe,Southern Europe,Albania,2016,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,58,Europe,Southern Europe,Albania,2017,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,66,Europe,Southern Europe,Albania,2018,NSO,National Statistical Office
Country,Homicide rate,4.0050685683,Europe,Southern Europe,Albania,1992,MD,World Health Organization Mortality Database
Country,Homicide rate,5.9777240582,Europe,Southern Europe,Albania,1993,MD,World Health Organization Mortality Database
Country,Homicide rate,3.5594902047,Europe,Southern Europe,Albania,1994,MD,World Health Organization Mortality Database
Country,Homicide rate,8.3201544015,Europe,Southern Europe,Albania,1995,MD,World Health Organization Mortality Database
Country,Homicide rate,8.7778774253,Europe,Southern Europe,Albania,1996,MD,World Health Organization Mortality Database
Country,Homicide rate,43.035770339,Europe,Southern Europe,Albania,1997,MD,World Health Organization Mortality Database
Country,Homicide rate,21.217096222,Europe,Southern Europe,Albania,1998,MD,World Health Organization Mortality Database
Country,Homicide rate,17.036538893,Europe,Southern Europe,Albania,1999,MD,World Health Organization Mortality Database
Country,Homicide rate,4.1863119742,Europe,Southern Europe,Albania,2000,MD,World Health Organization Mortality Database
Country,Homicide rate,7.0294254946,Europe,Southern Europe,Albania,2001,MD,World Health Organization Mortality Database
Country,Homicide rate,6.9093843834,Europe,Southern Europe,Albania,2002,MD,World Health Organization Mortality Database
Country,Homicide rate,5.3238965663,Europe,Southern Europe,Albania,2003,MD,World Health Organization Mortality Database
Country,Homicide rate,4.2191470044,Europe,Southern Europe,Albania,2004,MD,World Health Organization Mortality Database
Country,Homicide rate,4.9889691947,Europe,Southern Europe,Albania,2005,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,3.1015131793,Europe,Southern Europe,Albania,2006,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,3.4607858357,Europe,Southern Europe,Albania,2007,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,3.0972300439,Europe,Southern Europe,Albania,2008,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,2.8590226044,Europe,Southern Europe,Albania,2009,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,4.3079630492,Europe,Southern Europe,Albania,2010,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,4.8487315274,Europe,Southern Europe,Albania,2011,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,5.3876148686,Europe,Southern Europe,Albania,2012,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,4.2702841943,Europe,Southern Europe,Albania,2013,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,4.0396270147,Europe,Southern Europe,Albania,2014,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,2.214131417,Europe,Southern Europe,Albania,2015,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,2.7369477905,Europe,Southern Europe,Albania,2016,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,2.0109778588,Europe,Southern Europe,Albania,2017,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,2.2894924438,Europe,Southern Europe,Albania,2018,NSO,National Statistical Office
Country,Homicide count,650,Africa,Northern Africa,Algeria,2003,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,449,Africa,Northern Africa,Algeria,2004,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,204,Africa,Northern Africa,Algeria,2005,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,312,Africa,Northern Africa,Algeria,2006,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,271,Africa,Northern Africa,Algeria,2007,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,328,Africa,Northern Africa,Algeria,2008,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,277,Africa,Northern Africa,Algeria,2009,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,254,Africa,Northern Africa,Algeria,2010,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,280,Africa,Northern Africa,Algeria,2011,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,523,Africa,Northern Africa,Algeria,2012,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,480,Africa,Northern Africa,Algeria,2013,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,577,Africa,Northern Africa,Algeria,2014,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,542,Africa,Northern Africa,Algeria,2015,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,2.01461938,Africa,Northern Africa,Algeria,2003,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,1.3734182634,Africa,Northern Africa,Algeria,2004,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,0.61538981325,Africa,Northern Africa,Algeria,2005,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,0.9274395383,Africa,Northern Africa,Algeria,2006,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,0.79316355068,Africa,Northern Africa,Algeria,2007,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,0.94441202347,Africa,Northern Africa,Algeria,2008,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,0.78395009074,Africa,Northern Africa,Algeria,2009,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,0.7059977651,Africa,Northern Africa,Algeria,2010,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,0.76374527371,Africa,Northern Africa,Algeria,2011,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,1.3989980018,Africa,Northern Africa,Algeria,2012,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,1.2585167829,Africa,Northern Africa,Algeria,2013,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,1.4823877943,Africa,Northern Africa,Algeria,2014,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,1.3642763974,Africa,Northern Africa,Algeria,2015,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,1,Oceania,Polynesia,American Samoa,2001,NSO,National Statistical Office
Country,Homicide count,7,Oceania,Polynesia,American Samoa,2002,NSO,National Statistical Office
Country,Homicide count,3,Oceania,Polynesia,American Samoa,2003,NSO,National Statistical Office
Country,Homicide count,4,Oceania,Polynesia,American Samoa,2004,NSO,National Statistical Office
Country,Homicide count,6,Oceania,Polynesia,American Samoa,2005,NSO,National Statistical Office
Country,Homicide count,4,Oceania,Polynesia,American Samoa,2006,NSO,National Statistical Office
Country,Homicide count,1,Oceania,Polynesia,American Samoa,2007,NSO,National Statistical Office
Country,Homicide count,3,Oceania,Polynesia,American Samoa,2008,NSO,National Statistical Office
Country,Homicide count,2,Oceania,Polynesia,American Samoa,2009,NSO,National Statistical Office
Country,Homicide count,5,Oceania,Polynesia,American Samoa,2010,NSO,National Statistical Office
Country,Homicide count,5,Oceania,Polynesia,American Samoa,2011,NSO,National Statistical Office
Country,Homicide count,2,Oceania,Polynesia,American Samoa,2012,NSO,National Statistical Office
Country,Homicide count,3,Oceania,Polynesia,American Samoa,2013,NSO,National Statistical Office
Country,Homicide count,3,Oceania,Polynesia,American Samoa,2014,NSO,National Statistical Office
Country,Homicide count,4,Oceania,Polynesia,American Samoa,2015,NSO,National Statistical Office
Country,Homicide count,3,Oceania,Polynesia,American Samoa,2016,SDG,Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub)
Country,Homicide rate,1.7095185996,Oceania,Polynesia,American Samoa,2001,NSO,National Statistical Office
Country,Homicide rate,11.848942905,Oceania,Polynesia,American Samoa,2002,NSO,National Statistical Office
Country,Homicide rate,5.0424405412,Oceania,Polynesia,American Samoa,2003,NSO,National Statistical Office
Country,Homicide rate,6.7019636754,Oceania,Polynesia,American Samoa,2004,NSO,National Statistical Office
Country,Homicide rate,10.074382524,Oceania,Polynesia,American Samoa,2005,NSO,National Statistical Office
Country,Homicide rate,6.7671589775,Oceania,Polynesia,American Samoa,2006,NSO,National Statistical Office
Country,Homicide rate,1.7132968972,Oceania,Polynesia,American Samoa,2007,NSO,National Statistical Office
Country,Homicide rate,5.2182988346,Oceania,Polynesia,American Samoa,2008,NSO,National Statistical Office
Country,Homicide rate,3.5288928099,Oceania,Polynesia,American Samoa,2009,NSO,National Statistical Office
Country,Homicide rate,8.9151986306,Oceania,Polynesia,American Samoa,2010,NSO,National Statistical Office
Country,Homicide rate,8.967805578,Oceania,Polynesia,American Samoa,2011,NSO,National Statistical Office
Country,Homicide rate,3.5926637806,Oceania,Polynesia,American Samoa,2012,NSO,National Statistical Office
Country,Homicide rate,5.38435307,Oceania,Polynesia,American Samoa,2013,NSO,National Statistical Office
Country,Homicide rate,5.3772113782,Oceania,Polynesia,American Samoa,2014,NSO,National Statistical Office
Country,Homicide rate,7.1676880622,Oceania,Polynesia,American Samoa,2015,NSO,National Statistical Office
Country,Homicide rate,5.3822278835,Oceania,Polynesia,American Samoa,2016,SDG,Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub)
Country,Homicide count,1,Europe,Southern Europe,Andorra,2004,Interpol,International Criminal Police Organization (ICPO; Interpol)
Country,Homicide count,0,Europe,Southern Europe,Andorra,2007,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,1,Europe,Southern Europe,Andorra,2008,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,0,Europe,Southern Europe,Andorra,2009,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,0,Europe,Southern Europe,Andorra,2010,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,1,Europe,Southern Europe,Andorra,2011,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,0,Europe,Southern Europe,Andorra,2012,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,0,Europe,Southern Europe,Andorra,2013,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,0,Europe,Southern Europe,Andorra,2014,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,0,Europe,Southern Europe,Andorra,2015,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,1.311578616,Europe,Southern Europe,Andorra,2004,Interpol,International Criminal Police Organization (ICPO; Interpol)
Country,Homicide rate,0,Europe,Southern Europe,Andorra,2007,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,1.1924494103,Europe,Southern Europe,Andorra,2008,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,0,Europe,Southern Europe,Andorra,2009,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,0,Europe,Southern Europe,Andorra,2010,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,1.1940155938,Europe,Southern Europe,Andorra,2011,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,0,Europe,Southern Europe,Andorra,2012,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,0,Europe,Southern Europe,Andorra,2013,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,0,Europe,Southern Europe,Andorra,2014,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide rate,0,Europe,Southern Europe,Andorra,2015,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,1055,Africa,Middle Africa,Angola,2011,NSO,National Statistical Office
Country,Homicide count,1217,Africa,Middle Africa,Angola,2012,NSO,National Statistical Office
Country,Homicide rate,4.3557855153,Africa,Middle Africa,Angola,2011,NSO,National Statistical Office
Country,Homicide rate,4.8470751765,Africa,Middle Africa,Angola,2012,NSO,National Statistical Office
Country,Homicide count,0,Americas,Caribbean,Anguilla,1990,WHO,World Health Organization (WHO)
Country,Homicide count,1,Americas,Caribbean,Anguilla,1991,WHO,World Health Organization (WHO)
Country,Homicide count,0,Americas,Caribbean,Anguilla,1992,WHO,World Health Organization (WHO)
Country,Homicide count,1,Americas,Caribbean,Anguilla,1993,WHO,World Health Organization (WHO)
Country,Homicide count,0,Americas,Caribbean,Anguilla,1994,WHO,World Health Organization (WHO)
Country,Homicide count,1,Americas,Caribbean,Anguilla,1995,NSO,National Statistical Office
Country,Homicide count,0,Americas,Caribbean,Anguilla,1996,NSO,National Statistical Office
Country,Homicide count,1,Americas,Caribbean,Anguilla,1997,NSO,National Statistical Office
Country,Homicide count,0,Americas,Caribbean,Anguilla,1998,NSO,National Statistical Office
Country,Homicide count,0,Americas,Caribbean,Anguilla,1999,NSO,National Statistical Office
Country,Homicide count,1,Americas,Caribbean,Anguilla,2000,NSO,National Statistical Office
Country,Homicide count,0,Americas,Caribbean,Anguilla,2001,NSO,National Statistical Office
Country,Homicide count,2,Americas,Caribbean,Anguilla,2002,NSO,National Statistical Office
Country,Homicide count,2,Americas,Caribbean,Anguilla,2003,NSO,National Statistical Office
Country,Homicide count,1,Americas,Caribbean,Anguilla,2004,NSO,National Statistical Office
Country,Homicide count,0,Americas,Caribbean,Anguilla,2005,SDG,Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub)
Country,Homicide count,5,Americas,Caribbean,Anguilla,2006,SDG,Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub)
Country,Homicide count,4,Americas,Caribbean,Anguilla,2007,NSO,National Statistical Office
Country,Homicide count,1,Americas,Caribbean,Anguilla,2008,NSO,National Statistical Office
Country,Homicide count,1,Americas,Caribbean,Anguilla,2009,PAHO,Pan American Health Organization (PAHO)
Country,Homicide count,0,Americas,Caribbean,Anguilla,2010,SDG,Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub)
Country,Homicide count,0,Americas,Caribbean,Anguilla,2011,SDG,Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub)
Country,Homicide count,5,Americas,Caribbean,Anguilla,2012,SDG,Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub)
Country,Homicide count,1,Americas,Caribbean,Anguilla,2013,SDG,Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub)
Country,Homicide count,4,Americas,Caribbean,Anguilla,2014,SDG,Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub)
Country,Homicide rate,0,Americas,Caribbean,Anguilla,1990,WHO,World Health Organization (WHO)
Country,Homicide rate,10.943313635,Americas,Caribbean,Anguilla,1991,WHO,World Health Organization (WHO)
Country,Homicide rate,0,Americas,Caribbean,Anguilla,1992,WHO,World Health Organization (WHO)
Country,Homicide rate,10.536297545,Americas,Caribbean,Anguilla,1993,WHO,World Health Organization (WHO)
Country,Homicide rate,0,Americas,Caribbean,Anguilla,1994,WHO,World Health Organization (WHO)
Country,Homicide rate,10.133765707,Americas,Caribbean,Anguilla,1995,NSO,National Statistical Office
Country,Homicide rate,0,Americas,Caribbean,Anguilla,1996,NSO,National Statistical Office
Country,Homicide rate,9.6264921063,Americas,Caribbean,Anguilla,1997,NSO,National Statistical Office
Country,Homicide rate,0,Americas,Caribbean,Anguilla,1998,NSO,National Statistical Office
Country,Homicide rate,0,Americas,Caribbean,Anguilla,1999,NSO,National Statistical Office
Country,Homicide rate,8.8912598915,Americas,Caribbean,Anguilla,2000,NSO,National Statistical Office
Country,Homicide rate,0,Americas,Caribbean,Anguilla,2001,NSO,National Statistical Office
Country,Homicide rate,17.012589316,Americas,Caribbean,Anguilla,2002,NSO,National Statistical Office
Country,Homicide rate,16.676394563,Americas,Caribbean,Anguilla,2003,NSO,National Statistical Office
Country,Homicide rate,8.1766148814,Americas,Caribbean,Anguilla,2004,NSO,National Statistical Office
Country,Homicide rate,0,Americas,Caribbean,Anguilla,2005,SDG,Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub)
Country,Homicide rate,39.494470774,Americas,Caribbean,Anguilla,2006,SDG,Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub)
Country,Homicide rate,31.099362463,Americas,Caribbean,Anguilla,2007,NSO,National Statistical Office
Country,Homicide rate,7.6593137255,Americas,Caribbean,Anguilla,2008,NSO,National Statistical Office
Country,Homicide rate,7.5483091787,Americas,Caribbean,Anguilla,2009,PAHO,Pan American Health Organization (PAHO)
Country,Homicide rate,0,Americas,Caribbean,Anguilla,2010,SDG,Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub)
Country,Homicide rate,0,Americas,Caribbean,Anguilla,2011,SDG,Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub)
Country,Homicide rate,36.247643903,Americas,Caribbean,Anguilla,2012,SDG,Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub)
Country,Homicide rate,7.1674311927,Americas,Caribbean,Anguilla,2013,SDG,Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub)
Country,Homicide rate,28.340654669,Americas,Caribbean,Anguilla,2014,SDG,Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub)
Country,Homicide count,1,Americas,Caribbean,Antigua and Barbuda,1990,MD,World Health Organization Mortality Database
Country,Homicide count,3,Americas,Caribbean,Antigua and Barbuda,1991,MD,World Health Organization Mortality Database
Country,Homicide count,2,Americas,Caribbean,Antigua and Barbuda,1992,MD,World Health Organization Mortality Database
Country,Homicide count,4,Americas,Caribbean,Antigua and Barbuda,1993,MD,World Health Organization Mortality Database
Country,Homicide count,5,Americas,Caribbean,Antigua and Barbuda,1994,MD,World Health Organization Mortality Database
Country,Homicide count,7,Americas,Caribbean,Antigua and Barbuda,1995,MD,World Health Organization Mortality Database
Country,Homicide count,3,Americas,Caribbean,Antigua and Barbuda,1996,PAHO,Pan American Health Organization (PAHO)
Country,Homicide count,1,Americas,Caribbean,Antigua and Barbuda,1997,PAHO,Pan American Health Organization (PAHO)
Country,Homicide count,5,Americas,Caribbean,Antigua and Barbuda,2000,OAS,Organization of American States (OAS)
Country,Homicide count,7,Americas,Caribbean,Antigua and Barbuda,2001,OAS,Organization of American States (OAS)
Country,Homicide count,5,Americas,Caribbean,Antigua and Barbuda,2002,OAS,Organization of American States (OAS)
Country,Homicide count,5,Americas,Caribbean,Antigua and Barbuda,2003,OAS,Organization of American States (OAS)
Country,Homicide count,4,Americas,Caribbean,Antigua and Barbuda,2004,OAS,Organization of American States (OAS)
Country,Homicide count,3,Americas,Caribbean,Antigua and Barbuda,2005,OAS,Organization of American States (OAS)
Country,Homicide count,11,Americas,Caribbean,Antigua and Barbuda,2006,OAS,Organization of American States (OAS)
