"","show_id","type","title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"31","s31","Movie","#cats_the_mewvie","Michael Margolis","","Canada","February 5, 2020",2020,"TV-14","90 min","Documentaries, International Movies","this pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers."
"32","s32","Movie","#FriendButMarried","Rako Prijanto","Adipati Dolken, Vanesha Prescilla, Rendi Jhon, Beby Tsabina, Denira Wiraguna, Refal Hady, Diandra Agatha, Sari Nila","Indonesia","May 21, 2020",2018,"TV-G","102 min","Dramas, International Movies, Romantic Movies","pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married."
"33","s33","Movie","#FriendButMarried 2","Rako Prijanto","Adipati Dolken, Mawar de Jongh, Sari Nila, Vonny Cornellya, Clay Gribble, Ivan Leonardy, Sarah Sechan, Jourdy Pranata","Indonesia","June 28, 2020",2020,"TV-G","104 min","Dramas, International Movies, Romantic Movies","as ayu and ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage."
"34","s34","Movie","#realityhigh","Fernando Lebrija","Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis","United States","September 8, 2017",2017,"TV-14","99 min","Comedies","when nerdy high schooler dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity."
"35","s35","Movie","#Roxy","Michael Kennedy","Jake Short, Sarah Fisher, Booboo Stewart, Danny Trejo, Pippa Mackie, Jake Smith, Patricia Zentilli, Carter Thicke","Canada","April 10, 2019",2018,"TV-14","105 min","Comedies, Romantic Movies","a teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with."
"36","s36","Movie","#Rucker50","Robert McCullough Jr.","","United States","December 1, 2016",2016,"TV-PG","56 min","Documentaries, Sports Movies","this documentary celebrates the 50th anniversary of the harlem sports program that has inspired countless city kids to become pro basketball players."
"37","s37","Movie","#Selfie","Cristina Jacob","Flavia Hojda, Crina Semciuc, Olimpia Melinte, Levent Sali, Vlad Logigan, Alex Calin, Alina Chivulescu, Razvan Vasilescu","Romania","June 1, 2019",2014,"TV-MA","125 min","Comedies, Dramas, International Movies","two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang."
"38","s38","Movie","#Selfie 69","Cristina Jacob","Maia Morgenstern, Olimpia Melinte, Crina Semciuc, Flavia Hojda, Maria Dinulescu, Alex Calin, Vlad Logigan, Levent Sali, Silvia Busuioc, Mihaela Mihut","Romania","June 1, 2019",2016,"TV-MA","119 min","Comedies, Dramas, International Movies","after a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days."
"39","s39","TV Show","แผนร้ายนายเจ้าเล่ห์","","Chutavuth Pattarakampol, Sheranut Yusananda, Nichaphat Chatchaipholrat, Thassapak Hsu","","March 30, 2019",2016,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","when two brothers fall for two sisters, they quickly realize the age differences between them are too big to ignore."
"40","s40","Movie","¡Ay, mi madre!","Frank Ariza","Estefanía de los Santos, Secun de la Rosa, Terele Pávez, María Alfonsa Rosso, Mariola Fuentes, Alfonso Sánchez, Paz Vega, Marta Torné, Concha Galán","Spain","July 19, 2019",2019,"TV-MA","81 min","Comedies, International Movies","when her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance."
"41","s41","Movie","Çarsi Pazar","Muharrem Gülmez","Erdem Yener, Ayhan Taş, Emin Olcay, Muharrem Gülmez, Elif Nur Kerkük, Tarık Papuççuoğlu, Suzan Aksoy, Doğa Konakoğlu, Esin Eden, Deniz Özerman","Turkey","March 10, 2017",2015,"TV-14","97 min","Comedies, International Movies","the slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall."
"42","s42","Movie","Ég man þig","Óskar Thór Axelsson","Jóhannes Haukur Jóhannesson, Ágústa Eva Erlendsdóttir, Elma Stefania Agustsdottir, Thor Kristjansson, Anna Gunndís Guðmundsdóttir, Sara Dögg Ásgeirsdóttir, Þröstur Leó Gunnarsson, Jóhann Sigurðarson, Sveinn Geirsson, Arnar Páll Harðarson","Iceland","March 27, 2018",2017,"TV-MA","106 min","Horror Movies, International Movies","young urbanites renovating a rundown house, and a psychiatrist grieving his son's disappearance, are connected to a supernatural, decades-old secret."
"43","s43","Movie","Çok Filim Hareketler Bunlar","Ozan Açıktan","Ayça Erturan, Aydan Taş, Ayşegül Akdemir, Burcu Gönder, Bülent Emrah Parlak, Büşra Pekin, Emre Canpolat, Ersin Korkut, Eser Yenenler, Gizem Tuğral, Gülhan Tekin, Gülsüm Alkan, Hamdi Kahraman, İbrahim Büyükak, Metin Keçeci","Turkey","March 10, 2017",2010,"TV-MA","99 min","Comedies, International Movies","vignettes of the summer holidays follow vacationers as they battle mosquitoes, suffer ruined plans and otherwise hit snags in their precious time off."
"44","s44","Movie","Òlòtūré","Kenneth Gyang","Beverly Osu, Sharon Ooja, Omowunmi Dada, Pearl Okorie, Wofai Samuel, Ikechukwu Onunaku, Kemi Lala Akindoju, Blossom Chukwujekwu, Adebukola Oladipupo, Omoni Oboli, Segun Arinze, Ada Ameh, Sambasa Nzeribe, Patrick Doyle, Gregory Ojefua","Nigeria","October 2, 2020",2020,"TV-MA","107 min","Dramas, International Movies","in lagos, a journalist goes undercover as a prostitute to expose human trafficking. what she finds is a world of exploited women and ruthless violence."
"45","s45","Movie","Æon Flux","Karyn Kusama","Charlize Theron, Marton Csokas, Jonny Lee Miller, Sophie Okonedo, Frances McDormand, Pete Postlethwaite, Amelia Warner, Caroline Chikezie, Nikolai Kinski, Paterson Joseph, Yangzom Brauen","United States","February 1, 2018",2005,"PG-13","93 min","Action & Adventure, Sci-Fi & Fantasy","aiming to hasten an uprising, the leader of an underground rebellion dispatches acrobatic assassin aeon flux to eliminate the government's top leader."
"46","s46","TV Show","Şubat","","Alican Yücesoy, Melisa Sözen, Musa Uzunlar, Serkan Ercan, Özkan Uğur, Ülkü Duru, Tansu Biçer, Nadir Sarıbacak, Sermet Yeşil, Ayhan Kavas","Turkey","January 17, 2017",2013,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","an orphan subjected to tests that gave him superpowers is rescued and raised on istanbul's streets, where he falls for a reporter linked to his past."
"47","s47","Movie","1 Chance 2 Dance","Adam Deyoe","Lexi Giovagnoli, Justin Ray, Rae Latt, Poonam Basu, Teresa Biter, Kalilah Harris, Alexia Dox, Adam Powell, Sean McBride","United States","July 1, 2017",2014,"TV-PG","89 min","Dramas, Romantic Movies","when an aspiring dancer is uprooted during her senior year of high school, she finds herself torn between two boys – and with one shot at her dream."
"48","s48","Movie","1 Mile to You","Leif Tilden","Billy Crudup, Graham Rogers, Liana Liberato, Stefanie Scott, Tim Roth, Melanie Lynskey, Thomas Cocquerel, Peter Coyote","United States","July 7, 2017",2017,"TV-14","105 min","Dramas, Romantic Movies, Sports Movies","after escaping the bus accident that killed his girlfriend, a high school student channels his grief into running, with the help of a new coach."
"49","s49","Movie","10 Days in Sun City","Adze Ugah","Ayo Makun, Adesua Etomi, Richard Mofe-Damijo, Mercy Johnson, Falz, Tuface Idibia, Thenjiwe Moseley, Motlatsi Mafatshe, Celeste Ntuli, Miguel A. Núñez Jr.","South Africa, Nigeria","October 18, 2019",2017,"TV-14","87 min","Comedies, International Movies, Romantic Movies","after his girlfriend wins the miss nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in south africa."
"50","s50","Movie","10 jours en or","Nicolas Brossette","Franck Dubosc, Claude Rich, Marie Kremer, Mathis Touré, Rufus, Olivier Claverie","France","July 1, 2017",2012,"TV-14","97 min","Comedies, Dramas, International Movies","when a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives."
"51","s51","Movie","10,000 B.C.","Roland Emmerich","Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zinal, Nathanael Baring, Mona Hammond, Omar Sharif","United States, South Africa","June 1, 2019",2008,"PG-13","109 min","Action & Adventure","fierce mammoth hunter d'leh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village."
"52","s52","TV Show","100 Days My Prince","","Doh Kyung-soo, Nam Ji-hyun, Cho Seong-ha, Cho Han-cheul, Kim Seon-ho, Han So-hee","South Korea","December 7, 2020",2018,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","upon losing his memory, a crown prince encounters a commoner’s life and experiences unforgettable love as the husband to joseon’s oldest bachelorette."
"53","s53","Movie","100 Days Of Solitude","","","Spain","July 6, 2018",2018,"TV-MA","93 min","Documentaries, International Movies","spanish photographer jos� d�az spends 100 days living alone on a remote mountain, connecting to nature and documenting the beauty of his surroundings."
"54","s54","TV Show","100 Humans","","Zainab Johnson, Sammy Obeid, Alie Ward","United States","March 13, 2020",2020,"TV-14","1 Season","Docuseries, Science & Nature TV","one hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human."
"55","s55","Movie","100 Meters","Marcel Barrena","Dani Rovira, Karra Elejalde, Alexandra Jiménez, David Verdaguer, Clara Segura, Alba Ribas, Bruno Bergonzini, Ricardo Pereira, Manuela Couto, Marc Balaguer","Portugal, Spain","March 10, 2017",2016,"TV-MA","109 min","Dramas, International Movies, Sports Movies","a man who is diagnosed with multiple sclerosis responds by training for an ironman triathlon, with his cranky father-in-law's help."
"56","s56","Movie","100 Things to do Before High School","","Isabela Moner, Jaheem Toombs, Owen Joyner, Jack De Sena, Brady Reiter, Lisa Arch, Stephanie Escajeda","United States","November 2, 2019",2014,"TV-Y","44 min","Movies","led by seventh-grader c.j., three students who have been warned about the dangers of high school decide to make the best of their middle-school years."
"57","s57","Movie","100 Years: One Woman's Fight for Justice","Melinda Janko","","United States","March 20, 2018",2016,"TV-14","75 min","Documentaries","this documentary chronicles elouise cobell's long fight against the u.s. government for the gross mismanagement of mineral-rich native american land."
"58","s58","Movie","100% Halal","Jastis Arimba","Anisa Rahma, Ariyo Wahab, Anandito Dwis, Fitria Rasyidi, Arafah Rianti, Kinaryosih","Indonesia","January 7, 2021",2020,"TV-14","101 min","Dramas, International Movies","after high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid."
"59","s59","TV Show","100% Hotter","","Daniel Palmer, Melissa Sophia, Karen Williams, Grace Woodward","United Kingdom","November 1, 2019",2017,"TV-14","1 Season","British TV Shows, International TV Shows, Reality TV","a stylist, a hair designer and a makeup artist team up to give britain's biggest fashion disasters some much-needed makeunders."
"60","s60","Movie","1000 Rupee Note","Shrihari Sathe","Usha Naik, Sandeep Pathak, Shrikant Yadav, Ganesh Yadav, Pooja Nayak, Devendra Gaikwad","India","December 1, 2016",2014,"TV-14","89 min","Dramas, International Movies","after randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly."
"61","s61","Movie","12 ROUND GUN","Sam Upton","Sam Upton, Jared Abrahamson, Mark Boone Junior, Laila Ali, Kate Vernon, Cassi Thomson, Colby French, Miguel Perez, Jay Acovone","United States","March 14, 2019",2017,"TV-MA","90 min","Dramas, Independent Movies, Sports Movies","dealing with personal demons and the death of his son, a prizefighter attempts a return to the ring by challenging his rival to a 12-round rematch."
"62","s62","TV Show","12 Years Promise","","So-yeon Lee, Namkoong Min, Tae-im Lee, So-hui Yoon, Won-keun Lee, Hyo-young Ryu","South Korea","May 22, 2017",2014,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","a pregnant teen is forced by her family to leave her boyfriend and assume a new identity in america, but 12 years later, the couple reunites in korea."
"63","s63","Movie","13 Cameras","Victor Zarcoff","PJ McCabe, Brianne Moncrief, Sarah Baldwin, Jim Cummings, Heidi Niedermeyer, Neville Archambault","United States","August 13, 2016",2015,"NR","90 min","Horror Movies, Independent Movies, Thrillers","young parents-to-be claire and ryan move into a suburban rental home, unaware that someone is secretly watching their every move via hidden cameras."
"64","s64","TV Show","13 Reasons Why","","Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Brian d'Arcy James, Alisha Boe, Christian Navarro, Miles Heizer, Ross Butler, Devin Druid, Michele Selene Ang, Steven Silver, Amy Hargreaves","United States","June 5, 2020",2020,"TV-MA","4 Seasons","Crime TV Shows, TV Dramas, TV Mysteries","after a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice."
"65","s65","TV Show","13 Reasons Why: Beyond the Reasons","","Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Alisha Boe, Justin Prentice, Brandon Flynn, Miles Heizer, Christian Navarro, Brian Yorkey, Tom McCarthy, Selena Gomez, Mandy Teefey, Jay Asher, Dr. Rona Hu, Dr. Helen Hsu, Dr. Rebecca Hedrick, Alexis Jones, Elaine Welteroth, Julia Bicknell, Dr. Christine Moutier, Nic Sheff, Carrie Goldberg, Anne Winters, Joy Gorman, Brandon Butler, Marissa Jo Cerar, Susanne Timms","United States","August 23, 2019",2019,"TV-MA","3 Seasons","Crime TV Shows, Docuseries","cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 reasons why."""
"66","s66","Movie","13 Sins","Daniel Stamm","Mark Webber, Rutina Wesley, Devon Graye, Tom Bower, Ron Perlman, Pruitt Taylor Vince","United States","January 13, 2019",2014,"R","93 min","Horror Movies, Thrillers","a man agrees to appear on a game show with a $6 million prize. but as the challenges become more extreme, he realizes he's made a grave mistake."
"67","s67","Movie","13TH","Ava DuVernay","","United States","October 7, 2016",2016,"TV-MA","101 min","Documentaries","in this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of african americans and the u.s. prison boom."
"68","s68","Movie","13TH: A Conversation with Oprah Winfrey & Ava DuVernay","","Oprah Winfrey, Ava DuVernay","","January 26, 2017",2017,"","37 min","Movies","oprah winfrey sits down with director ava duvernay to discuss her oscar-nominated film, historical cycles of oppression and the broken prison system."
"69","s69","Movie","14 Blades","Daniel Lee","Donnie Yen, Zhao Wei, Wu Chun, Law Kar-Ying, Kate Tsui, Yuwu Qi, Wu Ma, Chen Kuan Tai, Sammo Kam-Bo Hung, Chen Zhi Hui, Damian Lau, Xiang Dong Xu","Hong Kong, China, Singapore","April 3, 2019",2010,"R","113 min","Action & Adventure, International Movies","in the age of the ming dynasty, quinglong is the best of the jinyiwei, an elite assassin squad made up of highly trained former street urchins. when evil eunuch jia unseats the emperor, quinglong is called to action but is quickly betrayed."
"70","s70","Movie","14 Cameras","Scott Hussion, Seth Fuller","Neville Archambault, Amber Midthunder, Brytnee Ratledge, Hank Rogerson, Chelsea Edmundson, John-Paul Howard, Lora Martinez-Cunningham, Brianne Moncrief","United States","October 27, 2018",2018,"TV-MA","89 min","Horror Movies, Thrillers","upping the “13 cameras” ante, this sequel finds a family renting a vacation house that’s been customized to violate their privacy."
"71","s71","Movie","14 Minutes from Earth","Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm","","United States","February 1, 2019",2016,"TV-MA","84 min","Documentaries","a google executive boldly attempts a death-defying mission to travel to space and free-fall back to earth without a rocket."
"72","s72","Movie","16 Blocks","Richard Donner","Bruce Willis, Mos Def, David Morse, Jenna Stern, Cylk Cozart, Casey Sander, David Zayas, Robert Racki, Patrick Garrow, Sasha Roiz","United States, Germany","November 1, 2019",2006,"PG-13","102 min","Action & Adventure","tasked with escorting a prosecution witness to court, an aging cop gears up for the 16-block trek – but they'll be lucky to make it there alive."
"73","s73","Movie","17 Again","Burr Steers","Zac Efron, Leslie Mann, Matthew Perry, Thomas Lennon, Michelle Trachtenberg, Melora Hardin, Sterling Knight, Hunter Parrish, Nicole Sullivan, Allison Miller","United States","January 1, 2021",2009,"PG-13","102 min","Comedies","nearing a midlife crisis, thirty-something mike wishes for a ""do-over"" – and that's exactly what he gets when he wakes up to find he's 17 again."
"74","s74","Movie","18 Presents","Francesco Amato","Vittoria Puccini, Benedetta Porcaroli, Edoardo Leo, Sara Lazzaro, Marco Messeri, Betty Pedrazzi, Alessandro Giallocosta, Filippo Gili, Giacomo Rosselli","Italy","May 8, 2020",2020,"TV-MA","114 min","Dramas, Independent Movies, International Movies","a pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood."
"75","s75","Movie","1898: Our Last Men in the Philippines","Salvador Calvo","Luis Tosar, Javier Gutiérrez, Álvaro Cervantes, Karra Elejalde, Carlos Hipólito, Ricardo Gómez, Patrick Criado, Eduard Fernández, Miguel Herrán, Emilio Palacios","Spain","June 2, 2017",2016,"R","130 min","Dramas, International Movies","while spain relinquishes its last colonies, a battle-fatigued outpost engages in a long, brutal and sometimes bizarre clash with filipino insurgents."
"76","s76","Movie","1BR","David Marmor","Nicole Brydon Bloom, Giles Matthey, Taylor Nichols, Alan Blumenfeld, Celeste Sully, Susan Davis, Clayton Hoff, Earnestine Phillips","United States","August 23, 2020",2019,"TV-MA","90 min","Horror Movies, Independent Movies, Thrillers","seeking her independence, a young woman moves to los angeles and settles into a cozy apartment complex with a disturbing sense of community."
