Country / Dependency,Total in km² (mi²),Percentage of Earth's Surface
Estonia,"45,227 (17,462)",0.01%
Denmark,"43,094 (16,639)",0.01%
Netherlands,"41,850 (16,160)",0.01%
Switzerland,"41,284 (15,940)",0.01%
Bhutan,"38,394 (14,824)",0.01%
Taiwan,"36,193 (13,974)",0.01%
Guinea-Bissau,"36,125 (13,948)",0.01%
Moldova,"33,846 (13,068)",0.01%
Belgium,"30,528 (11,787)",0.01%
Lesotho,"30,355 (11,720)",0.01%
Armenia,"29,743 (11,484)",0.01%
Solomon Islands,"28,896 (11,157)",0.01%
Albania,"28,748 (11,100)",0.01%
Equatorial Guinea,"28,051 (10,831)",0.01%
Burundi,"27,834 (10,747)",0.01%
Haiti,"27,750 (10,710)",0.01%
Rwanda,"26,338 (10,169)",0.01%
North Macedonia,"25,713 (9,928)",0.01%
Djibouti,"23,200 (9,000)",0.01%
Belize,"22,966 (8,867)",0.01%
El Salvador,"21,041 (8,124)",0.00%
Israel,"20,770 (8,020)",0.00%
Slovenia,"20,273 (7,827)",0.00%
Fiji,"18,272 (7,055)",0.00%
Kuwait,"17,818 (6,880)",0.00%
Eswatini,"17,364 (6,704)",0.00%
East Timor,"14,919 (5,760)",0.00%
The Bahamas,"13,943 (5,383)",0.00%
Montenegro,"13,812 (5,333)",0.00%
Vanuatu,"12,189 (4,706)",0.00%
Qatar,"11,586 (4,473)",0.00%
The Gambia,"11,295 (4,361)",0.00%
Jamaica,"10,991 (4,244)",0.00%
Kosovo,"10,887 (4,203)",0.00%
Lebanon,"10,452 (4,036)",0.00%
Cyprus,"9,251 (3,572)",0.00%
State of Palestine,"6,020 (2,320)",0.00%
Brunei,"5,765 (2,226)",0.00%
Trinidad and Tobago,"5,130 (1,980)",0.00%
Cape Verde,"4,033 (1,557)",0.00%
Samoa,"2,842 (1,097)",0.00%
Luxembourg,"2,586 (998)",0.00%
Mauritius,"2,040 (790)",0.00%
Comoros,"1,862 (719)",0.00%
São Tomé and Príncipe,964 (372),0.00%
Kiribati,811 (313),0.00%
Bahrain,778 (300),0.00%
Dominica,751 (290),0.00%
Tonga,747 (288),0.00%
Singapore,728 (281),0.00%
Federated States of Micronesia,702 (271),0.00%
Saint Lucia,616 (238),0.00%
Andorra,468 (181),0.00%
Palau,459 (177),0.00%
Seychelles,452 (175),0.00%
Antigua and Barbuda,442 (171),0.00%
Barbados,430 (170),0.00%
Saint Vincent and the Grenadines,389 (150),0.00%
Grenada,344 (133),0.00%
Malta,316 (122),0.00%
Maldives,300 (120),0.00%
Saint Kitts and Nevis,261 (101),0.00%
Marshall Islands,181 (70),0.00%
Liechtenstein,160 (62),0.00%
San Marino,61 (24),0.00%
Tuvalu,26 (10),0.00%
Nauru,21 (8.1),0.00%
Monaco,2.02 (0.78),0.00%
Vatican City,0.49 (0.19),0.00%
