"REGION","Region","LOCATION","Country","INC","Income","VAR","Variable","TIME","Year","Value","Flag Codes","Flags"
"ALL","All regions","HUN","Hungary","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",10.1,,
"EUR","Europe","ISL","Iceland","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",38.1,,
"ALL","All regions","ISL","Iceland","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",38.1,,
"EUR","Europe","IRL","Ireland","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",22.2,,
"ALL","All regions","IRL","Ireland","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",22.2,,
"EUR","Europe","ITA","Italy","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",31,,
"ALL","All regions","ITA","Italy","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",31,,
"ASI","Asia","JPN","Japan","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",10.1,,
"ALL","All regions","JPN","Japan","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",10.1,,
"ASI","Asia","KOR","Korea","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",17,,
"ALL","All regions","KOR","Korea","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",17,,
"EUR","Europe","LUX","Luxembourg","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",28.3,,
"ALL","All regions","LUX","Luxembourg","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",28.3,,
"EUR","Europe","NLD","Netherlands","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",36,,
"ALL","All regions","NLD","Netherlands","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",36,,
"ASI","Asia","NZL","New Zealand","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",38.3,,
"ALL","All regions","NZL","New Zealand","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",38.3,,
"EUR","Europe","NOR","Norway","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",41.4,,
"ALL","All regions","NOR","Norway","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",41.4,,
"EUR","Europe","POL","Poland","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",28,,
"ALL","All regions","POL","Poland","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",28,,
"EUR","Europe","PRT","Portugal","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",34.8,,
"ALL","All regions","PRT","Portugal","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",34.8,,
"EUR","Europe","SVK","Slovak Republic","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",20,,
"ALL","All regions","SVK","Slovak Republic","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",20,,
"EUR","Europe","ESP","Spain","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",39.1,,
"ALL","All regions","ESP","Spain","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",39.1,,
"EUR","Europe","SWE","Sweden","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",43.6,,
"ALL","All regions","SWE","Sweden","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",43.6,,
"EUR","Europe","CHE","Switzerland","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",32.5,,
"ALL","All regions","CHE","Switzerland","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",32.5,,
"EUR","Europe","GBR","United Kingdom","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",32,,
"ALL","All regions","GBR","United Kingdom","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",32,,
"AME","Americas","USA","United States","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",19.4,,
"ALL","All regions","USA","United States","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",19.4,,
"AME","Americas","ATG","Antigua and Barbuda","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",11.1,,
"ALL","All regions","ATG","Antigua and Barbuda","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",11.1,,
"AME","Americas","ARG","Argentina","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",38.9,,
"ALL","All regions","ARG","Argentina","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",38.9,,
"AME","Americas","BHS","Bahamas","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",12.8,,
"ALL","All regions","BHS","Bahamas","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",12.8,,
"ASI","Asia","BHR","Bahrain","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",7.5,,
"ALL","All regions","BHR","Bahrain","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",7.5,,
"AME","Americas","BRB","Barbados","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",16.7,,
"ALL","All regions","BRB","Barbados","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",16.7,,
"ASI","Asia","BRN","Brunei Darussalam","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",9.1,,
"ALL","All regions","BRN","Brunei Darussalam","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",9.1,,
"AME","Americas","CHL","Chile","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",22.6,,
"ALL","All regions","CHL","Chile","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",22.6,,
"EUR","Europe","HRV","Croatia","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",18.5,,
"ALL","All regions","HRV","Croatia","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",18.5,,
"ASI","Asia","CYP","Cyprus","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",17.9,,
"ALL","All regions","CYP","Cyprus","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",17.9,,
"EUR","Europe","EST","Estonia","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",26.7,,
"ALL","All regions","EST","Estonia","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",26.7,,
"ASI","Asia","HKG","Hong Kong, China","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",14.7,,
"ALL","All regions","HKG","Hong Kong, China","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",14.7,,
"ASI","Asia","ISR","Israel","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",27.5,,
"ALL","All regions","ISR","Israel","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",27.5,,
"ASI","Asia","KWT","Kuwait","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",3.1,,
"ALL","All regions","KWT","Kuwait","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",3.1,,
"EUR","Europe","LVA","Latvia","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",16,,
"ALL","All regions","LVA","Latvia","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",16,,
"EUR","Europe","LTU","Lithuania","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",21.3,,
"ALL","All regions","LTU","Lithuania","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",21.3,,
"EUR","Europe","MLT","Malta","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",11.9,,
"ALL","All regions","MLT","Malta","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",11.9,,
"ASI","Asia","OMN","Oman","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",1.2,,
"ALL","All regions","OMN","Oman","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",1.2,,
"AME","Americas","PAN","Panama","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",18.3,,
"ALL","All regions","PAN","Panama","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",18.3,,
"ASI","Asia","QAT","Qatar","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",9.8,,
"ALL","All regions","QAT","Qatar","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",9.8,,
"ASI","Asia","SAU","Saudi Arabia","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",19.9,,
"ALL","All regions","SAU","Saudi Arabia","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",19.9,,
"AFR","Africa","SYC","Seychelles","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",21.2,,
"ALL","All regions","SYC","Seychelles","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",21.2,,
"ASI","Asia","SGP","Singapore","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",23,,
"ALL","All regions","SGP","Singapore","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",23,,
"EUR","Europe","SVN","Slovenia","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",36.7,,
"ALL","All regions","SVN","Slovenia","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",36.7,,
"ASI","Asia","TWN","Chinese Taipei","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",38.1,,
"ALL","All regions","TWN","Chinese Taipei","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",38.1,,
"AME","Americas","TTO","Trinidad and Tobago","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",31,,
"ALL","All regions","TTO","Trinidad and Tobago","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",31,,
"ASI","Asia","ARE","United Arab Emirates","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",22.5,,
"ALL","All regions","ARE","United Arab Emirates","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",22.5,,
"AME","Americas","URY","Uruguay","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",20.2,,
"ALL","All regions","URY","Uruguay","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",20.2,,
"AME","Americas","MEX","Mexico","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",42.6,,
"ALL","All regions","MEX","Mexico","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",42.6,,
"ASI","Asia","TUR","Turkey","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",14.6,,
"ALL","All regions","TUR","Turkey","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",14.6,,
"EUR","Europe","ALB","Albania","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",27.9,,
"ALL","All regions","ALB","Albania","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",27.9,,
"AFR","Africa","DZA","Algeria","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",25.8,,
"ALL","All regions","DZA","Algeria","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",25.8,,
"ASI","Asia","ARM","Armenia","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",18.1,,
"ALL","All regions","ARM","Armenia","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",18.1,,
"ASI","Asia","AZE","Azerbaijan","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",16.8,,
"ALL","All regions","AZE","Azerbaijan","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",16.8,,
"EUR","Europe","BLR","Belarus","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",34.5,,
"ALL","All regions","BLR","Belarus","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",34.5,,
"AME","Americas","BLZ","Belize","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",9.4,,
"ALL","All regions","BLZ","Belize","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",9.4,,
"EUR","Europe","BIH","Bosnia and Herzegovina","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",21.4,,
"ALL","All regions","BIH","Bosnia and Herzegovina","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",21.4,,
"AFR","Africa","BWA","Botswana","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",9.5,,
"ALL","All regions","BWA","Botswana","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",9.5,,
"AME","Americas","BRA","Brazil","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",10.7,,
"ALL","All regions","BRA","Brazil","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",10.7,,
"EUR","Europe","BGR","Bulgaria","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",23.8,,
"ALL","All regions","BGR","Bulgaria","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",23.8,,
"ASI","Asia","CHN","China (People's Republic of)","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",24.2,,
"ALL","All regions","CHN","China (People's Republic of)","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",24.2,,
"AME","Americas","COL","Colombia","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",18.7,,
"ALL","All regions","COL","Colombia","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",18.7,,
"AME","Americas","CRI","Costa Rica","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",35.1,,
"ALL","All regions","CRI","Costa Rica","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",35.1,,
"AME","Americas","CUB","Cuba","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",48.9,,
"ALL","All regions","CUB","Cuba","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",48.9,,
"AME","Americas","DMA","Dominica","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",25,,
"ALL","All regions","DMA","Dominica","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",25,,
"AME","Americas","DOM","Dominican Republic","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",26.8,,
"ALL","All regions","DOM","Dominican Republic","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",26.8,,
"AME","Americas","ECU","Ecuador","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",38,,
"ALL","All regions","ECU","Ecuador","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",38,,
"AFR","Africa","GNQ","Equatorial Guinea","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",20,,
"ALL","All regions","GNQ","Equatorial Guinea","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",20,,
"ASI","Asia","FJI","Fiji","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",16,,
"ALL","All regions","FJI","Fiji","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",16,,
"AFR","Africa","GAB","Gabon","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",17.1,,
"ALL","All regions","GAB","Gabon","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",17.1,,
"AME","Americas","GRD","Grenada","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",33.3,,
"ALL","All regions","GRD","Grenada","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",33.3,,
"AME","Americas","GTM","Guatemala","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",12.7,,
"ALL","All regions","GTM","Guatemala","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",12.7,,
"AME","Americas","GUY","Guyana","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",31.9,,
"ALL","All regions","GUY","Guyana","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",31.9,,
"ASI","Asia","IRN","Iran","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",5.9,,
"ALL","All regions","IRN","Iran","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",5.9,,
"ASI","Asia","IRQ","Iraq","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",25.3,,
"ALL","All regions","IRQ","Iraq","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",25.3,,
"AME","Americas","JAM","Jamaica","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",17.5,,
"ALL","All regions","JAM","Jamaica","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",17.5,,
"ASI","Asia","JOR","Jordan","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",15.4,,
"ALL","All regions","JOR","Jordan","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",15.4,,
"ASI","Asia","KAZ","Kazakhstan","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",27.1,,
"ALL","All regions","KAZ","Kazakhstan","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",27.1,,
"ASI","Asia","LBN","Lebanon","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",3.1,,
"ALL","All regions","LBN","Lebanon","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",3.1,,
"AFR","Africa","LBY","Libya","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",16,,
"ALL","All regions","LBY","Libya","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",16,,
"EUR","Europe","MKD","North Macedonia","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",37.5,,
"ALL","All regions","MKD","North Macedonia","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",37.5,,
"ASI","Asia","MYS","Malaysia","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",10.4,,
"ALL","All regions","MYS","Malaysia","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",10.4,,
"ASI","Asia","MDV","Maldives","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",5.9,,
"ALL","All regions","MDV","Maldives","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",5.9,,
"AFR","Africa","MUS","Mauritius","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",11.6,,
"ALL","All regions","MUS","Mauritius","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",11.6,,
"AFR","Africa","NAM","Namibia","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",41.3,,
"ALL","All regions","NAM","Namibia","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",41.3,,
"AME","Americas","PRY","Paraguay","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",13.8,,
"ALL","All regions","PRY","Paraguay","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",13.8,,
"AME","Americas","PER","Peru","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",27.7,,
"ALL","All regions","PER","Peru","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",27.7,,
"EUR","Europe","ROU","Romania","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",20.7,,
"ALL","All regions","ROU","Romania","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",20.7,,
"EUR","Europe","RUS","Russia","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",15.8,,
"ALL","All regions","RUS","Russia","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",15.8,,
"ASI","Asia","WSM","Samoa","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",10,,
"ALL","All regions","WSM","Samoa","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",10,,
"AFR","Africa","ZAF","South Africa","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",42.1,,
"ALL","All regions","ZAF","South Africa","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",42.1,,
"ASI","Asia","THA","Thailand","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",4.8,,
"ALL","All regions","THA","Thailand","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",4.8,,
"ASI","Asia","TKM","Turkmenistan","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",25.8,,
"ALL","All regions","TKM","Turkmenistan","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",25.8,,
"AME","Americas","VEN","Venezuela","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",22.2,,
"ALL","All regions","VEN","Venezuela","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",22.2,,
"EUR","Europe","SRB","Serbia","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",34.4,,
"ALL","All regions","SRB","Serbia","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",34.4,,
"EUR","Europe","MNE","Montenegro","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",23.5,,
"ALL","All regions","MNE","Montenegro","UMI","Upper middle income","RCL_PV_PRACT","Practice","2019","2019",23.5,,
"AFR","Africa","AGO","Angola","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",30.5,,
"ALL","All regions","AGO","Angola","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",30.5,,
"ASI","Asia","BGD","Bangladesh","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",20.3,,
"ALL","All regions","BGD","Bangladesh","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",20.3,,
"ASI","Asia","BTN","Bhutan","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",8.5,,
"ALL","All regions","BTN","Bhutan","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",8.5,,
"AME","Americas","BOL","Bolivia","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",53.1,,
"ALL","All regions","BOL","Bolivia","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",53.1,,
"ASI","Asia","KHM","Cambodia","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",20.3,,
"ALL","All regions","KHM","Cambodia","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",20.3,,
"AFR","Africa","CMR","Cameroon","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",31.1,,
"ALL","All regions","CMR","Cameroon","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",31.1,,
"AFR","Africa","CPV","Cabo Verde","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",23.6,,
"ALL","All regions","CPV","Cabo Verde","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",23.6,,
"AFR","Africa","COG","Congo","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",11.3,,
"ALL","All regions","COG","Congo","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",11.3,,
"AFR","Africa","CIV","Côte d'Ivoire","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",10.6,,
"ALL","All regions","CIV","Côte d'Ivoire","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",10.6,,
"AFR","Africa","DJI","Djibouti","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",10.8,,
"ALL","All regions","DJI","Djibouti","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",10.8,,
"AFR","Africa","EGY","Egypt","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",14.9,,
"ALL","All regions","EGY","Egypt","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",14.9,,
"AME","Americas","SLV","El Salvador","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",32.1,,
"ALL","All regions","SLV","El Salvador","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",32.1,,
"ASI","Asia","GEO","Georgia","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",16,,
"ALL","All regions","GEO","Georgia","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",16,,
"AFR","Africa","GHA","Ghana","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",12.7,,
"ALL","All regions","GHA","Ghana","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",12.7,,
"AME","Americas","HND","Honduras","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",21.1,,
"ALL","All regions","HND","Honduras","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",21.1,,
"ASI","Asia","IND","India","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",11.8,,
"ALL","All regions","IND","India","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",11.8,,
"ASI","Asia","IDN","Indonesia","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",19.8,,
"ALL","All regions","IDN","Indonesia","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",19.8,,
"AFR","Africa","KEN","Kenya","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",21.8,,
"ALL","All regions","KEN","Kenya","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",21.8,,
"ASI","Asia","KGZ","Kyrgyzstan","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",19.2,,
"ALL","All regions","KGZ","Kyrgyzstan","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",19.2,,
"ASI","Asia","LAO","Lao People's Democratic Republic","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",27.5,,
"ALL","All regions","LAO","Lao People's Democratic Republic","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",27.5,,
"AFR","Africa","LSO","Lesotho","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",22.1,,
"ALL","All regions","LSO","Lesotho","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",22.1,,
"AFR","Africa","MRT","Mauritania","LWI","Lower middle income ","RCL_PV_PRACT","Practice","2019","2019",25.2,,
