Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Kyrgyzstan,Europe,178036,2728.86,552,8.46,95,2595,39.78,14,0.21,0
Botswana,Africa,173788,7390.12,8144,346.31,0,2354,100.1,17,0.72,0
Uzbekistan,Europe,170520,509.48,3876,11.58,531,1207,3.61,32,0.1,4
Albania,Europe,165096,5736.88,5673,197.13,820,2601,90.38,44,1.53,7
Kosovo[1],Europe,159445,8879.44,1460,81.31,160,2907,161.89,72,4.01,5
Afghanistan,Eastern Mediterranean,154800,397.65,439,1.13,43,7199,18.49,16,0.04,0
Latvia,Europe,152693,8004.14,3612,189.34,776,2669,139.91,37,1.94,4
Estonia,Europe,151881,11428.42,3490,262.61,589,1339,100.75,20,1.5,4
Mozambique,Africa,150067,480.13,396,1.27,0,1903,6.09,5,0.02,0
Finland,Europe,138068,2498.84,2814,50.93,474,1062,19.22,0,0,0
Zimbabwe,Africa,128186,862.45,1103,7.42,0,4569,30.74,18,0.12,0
Montenegro,Europe,127883,20361.52,4111,654.55,565,1868,297.42,55,8.76,9
Namibia,Africa,126900,4994.28,402,15.82,0,3471,136.6,23,0.91,0
Ghana,Africa,125565,404.1,1691,5.44,0,1125,3.62,27,0.09,0
China,Western Pacific,124283,8.45,475,0.03,51,5690,0.39,2,0,1
Uganda,Africa,122405,267.6,22704,49.64,0,3132,6.85,101,0.22,0
Cyprus,Europe,119336,13438.66,890,100.22,106,548,61.71,4,0.45,0
Cambodia,Western Pacific,105981,633.9,4538,27.14,637,2154,12.88,87,0.52,14
El Salvador,Americas,102024,1572.94,2323,35.81,0,3138,48.38,82,1.26,13
Rwanda,Africa,95503,737.35,1448,11.18,0,1216,9.39,32,0.25,0
Australia,Western Pacific,90372,354.4,11855,46.49,1684,1186,4.65,70,0.27,8
Cameroon,Africa,85414,321.76,0,0,0,1368,5.15,0,0,0
Maldives,South-East Asia,84017,15543.05,769,142.26,0,229,42.36,2,0.37,0
Singapore,Western Pacific,81356,1390.62,7418,126.8,1457,68,1.16,10,0.17,3
Jamaica,Americas,80959,2734.02,3462,116.91,179,1803,60.89,46,1.55,3
Luxembourg,Europe,77552,12386.36,556,88.8,141,835,133.36,1,0.16,1
Senegal,Africa,73654,439.88,115,0.69,0,1845,11.02,7,0.04,0
Malawi,Africa,61382,320.87,175,0.91,0,2264,11.83,18,0.09,0
Côte d’Ivoire,Africa,59153,224.25,812,3.08,0,569,2.16,29,0.11,0
Democratic Republic of the Congo,Africa,56463,63.04,106,0.12,0,1068,1.19,0,0,0
Réunion,Africa,53241,5946.64,598,66.79,0,363,40.54,5,0.56,0
Angola,Africa,52644,160.18,1237,3.76,0,1409,4.29,49,0.15,0
Guadeloupe,Americas,52463,13111.69,978,244.42,0,747,186.69,52,13,0
Fiji,Western Pacific,50270,5607.71,880,98.17,72,579,64.59,39,4.35,3
Trinidad and Tobago,Americas,48826,3488.85,1463,104.54,197,1426,101.89,40,2.86,4
Eswatini,Africa,45395,3912.81,217,18.7,0,1200,103.43,10,0.86,0
French Polynesia,Western Pacific,44612,15881.36,0,0,0,606,215.73,23,8.19,4
Madagascar,Africa,43570,157.34,697,2.52,0,958,3.46,2,0.01,0
Martinique,Americas,40685,10841.67,739,196.93,113,602,160.42,21,5.6,2
French Guiana,Americas,39239,13137.38,1483,496.51,274,250,83.7,19,6.36,2
Suriname,Americas,38137,6501.01,3500,596.63,547,819,139.61,46,7.84,5
Sudan,Eastern Mediterranean,38077,86.84,82,0.19,0,2835,6.47,2,0,0
Cabo Verde,Africa,37157,6683.07,341,61.33,0,331,59.53,7,1.26,0
Malta,Europe,37036,7197.55,161,31.29,18,456,88.62,6,1.17,0
Mauritania,Africa,35515,763.82,373,8.02,0,766,16.47,6,0.13,0
Syrian Arab Republic,Eastern Mediterranean,31426,179.57,1621,9.26,278,2158,12.33,68,0.39,12
Guinea,Africa,30271,230.5,186,1.42,0,375,2.86,7,0.05,0
Guyana,Americas,29824,3791.74,1590,202.15,141,738,93.83,46,5.85,5
Gabon,Africa,28120,1263.4,829,37.25,0,176,7.91,2,0.09,0
Togo,Africa,24655,297.81,562,6.79,0,215,2.6,6,0.07,0
Haiti,Americas,21453,188.14,123,1.08,0,607,5.32,11,0.1,0
Benin,Africa,21450,176.93,0,0,0,146,1.2,0,0,0
Seychelles,Africa,21180,21535.99,219,222.68,0,110,111.85,0,0,0
Bahamas,Americas,20288,5159.14,493,125.37,0,512,130.2,43,10.93,0
Mayotte,Africa,20205,7406.12,138,50.58,7,177,64.88,1,0.37,1
Lao People's Democratic Republic,Western Pacific,19952,274.23,2047,28.14,222,16,0.22,0,0,0
Timor-Leste,South-East Asia,19264,1461.12,408,30.95,58,109,8.27,7,0.53,1
Somalia,Eastern Mediterranean,19234,121.02,666,4.19,0,1079,6.79,47,0.3,0
Papua New Guinea,Western Pacific,19182,214.4,640,7.15,113,217,2.43,13,0.15,5
Belize,Americas,18902,4753.69,935,235.14,0,395,99.34,12,3.02,0
Tajikistan,Europe,17484,183.32,0,0,0,125,1.31,0,0,0
Burundi,Africa,16356,137.55,360,3.03,0,12,0.1,0,0,0
Curaçao,Americas,16150,9841.98,336,204.76,64,158,96.29,3,1.83,0
Aruba,Americas,15305,14335.09,176,164.85,31,159,148.92,4,3.75,0
Andorra,Europe,15153,19611.73,45,58.24,13,130,168.25,0,0,0
Mali,Africa,15075,74.44,72,0.36,0,545,2.69,2,0.01,0
Mauritius,Africa,14863,1168.69,790,62.12,0,60,4.72,12,0.94,0
Lesotho,Africa,14395,671.96,0,0,0,403,18.81,0,0,0
Burkina Faso,Africa,14064,67.28,92,0.44,0,172,0.82,0,0,0
Congo,Africa,14014,253.96,313,5.67,0,191,3.46,8,0.14,0
Guam,Western Pacific,12412,7354.17,540,319.95,86,182,107.84,11,6.52,1
Djibouti,Eastern Mediterranean,12207,1235.53,310,31.38,64,159,16.09,2,0.2,0
South Sudan,Africa,11831,105.69,64,0.57,0,121,1.08,0,0,0
Iceland,Europe,11594,3183.99,256,70.3,36,33,9.06,0,0,0
Central African Republic,Africa,11340,234.79,31,0.64,0,100,2.07,0,0,0
Equatorial Guinea,Africa,11063,788.53,271,19.32,0,137,9.76,1,0.07,0
Nicaragua,Americas,10757,162.38,512,7.73,0,203,3.06,1,0.02,0
Saint Lucia,Americas,10727,5841.73,645,351.26,103,168,91.49,32,17.43,18
Gambia,Africa,9888,409.16,21,0.87,0,332,13.74,2,0.08,0
Jersey,Europe,9863,9149.69,157,145.65,21,78,72.36,0,0,0
Yemen,Eastern Mediterranean,8789,29.47,262,0.88,37,1658,5.56,46,0.15,4
Isle of Man,Europe,7265,8543.84,197,231.68,48,50,58.8,1,1.18,0
Barbados,Americas,6736,2343.98,683,237.67,105,59,20.53,7,2.44,0
Eritrea,Africa,6674,188.19,11,0.31,0,40,1.13,0,0,0
United States Virgin Islands,Americas,6557,6279.15,259,248.02,68,69,66.08,3,2.87,2
Sierra Leone,Africa,6388,80.08,0,0,0,121,1.52,0,0,0
Guinea-Bissau,Africa,6080,308.94,38,1.93,0,130,6.61,0,0,0
Niger,Africa,5964,24.64,35,0.14,0,201,0.83,1,0,0
Liberia,Africa,5915,116.95,188,3.72,0,283,5.6,38,0.75,0
Brunei Darussalam,Western Pacific,5586,1276.86,1020,233.15,201,26,5.94,6,1.37,0
Gibraltar,Europe,5490,16295.15,36,106.85,7,97,287.91,0,0,0
San Marino,Europe,5426,15987.98,18,53.04,3,90,265.19,0,0,0
Chad,Africa,5031,30.63,8,0.05,0,174,1.06,0,0,0
New Caledonia,Western Pacific,4727,1655.7,3379,1183.55,331,49,17.16,45,15.76,16
Bermuda,Americas,4632,7438.22,755,1212.4,0,43,69.05,7,11.24,0
Grenada,Americas,4356,3871.21,1616,1436.15,143,75,66.65,37,32.88,12
Sint Maarten,Americas,4146,9668.39,125,291.5,29,61,142.25,3,7,1
Comoros,Africa,4109,472.52,9,1.03,0,147,16.9,0,0,0
New Zealand,Western Pacific,3779,78.37,137,2.84,17,27,0.56,0,0,0
Saint Martin,Americas,3740,9674.33,81,209.52,0,35,90.54,2,5.17,0
Liechtenstein,Europe,3545,9149.1,32,82.59,0,58,149.69,0,0,0
Monaco,Europe,3299,8406.38,14,35.67,2,35,89.19,0,0,0
Dominica,Americas,3134,4353.32,500,694.53,226,11,15.28,3,4.17,1
Sao Tome and Principe,Africa,3097,1413.13,204,93.08,0,45,20.53,3,1.37,0
Saint Vincent and the Grenadines,Americas,2964,2671.71,405,365.06,116,17,15.32,4,3.61,1
Turks and Caicos Islands,Americas,2813,7265.35,39,100.73,8,22,56.82,1,2.58,0
British Virgin Islands,Americas,2676,8850.08,34,112.45,0,37,122.37,0,0,0
Antigua and Barbuda,Americas,2603,2658.05,299,305.32,0,55,56.16,7,7.15,0
Bhutan,South-East Asia,2599,336.83,3,0.39,0,3,0.39,0,0,0
Bonaire,Americas,1945,9299.55,35,167.34,6,18,86.06,1,4.78,0
Saint Kitts and Nevis,Americas,1718,3229.81,162,304.56,38,10,18.8,1,1.88,0
Saint Barthélemy,Americas,1624,16428.93,11,111.28,0,2,20.23,0,0,0
Guernsey,Europe,1530,2373.27,68,105.48,4,21,32.57,3,4.65,0
United Republic of Tanzania,Africa,1367,2.29,0,0,0,50,0.08,0,0,0
Faroe Islands,Europe,1078,2206.08,32,65.49,1,2,4.09,0,0,0
Cayman Islands,Americas,787,1197.5,42,63.91,5,2,3.04,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Greenland,Europe,528,930.04,95,167.34,24,0,0,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Anguilla,Americas,350,2333.02,25,166.64,10,1,6.67,1,6.67,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,265,460.41,7,12.16,0,2,3.47,0,0,0
Falkland Islands (Malvinas),Americas,67,1923.63,3,86.13,0,0,0,0,0,0
Montserrat,Americas,33,660.13,1,20,0,1,20,0,0,0
Saint Pierre and Miquelon,Americas,31,534.94,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Sint Eustatius,Americas,24,764.57,0,0,0,1,31.86,1,31.86,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,11,569.06,0,0,0,0,0,0,0,0
Palau,Western Pacific,5,27.64,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,1,1.81,1,1.81,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
