"Appendix Table 6a. Relative risks used by age and sex for each outcome for all risk factors except for ambient air pollution, alcohol, and smoking",,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk - Outcome,Category / Units,Morbidity / Mortality,Sex,Ages,,,,,,,,,,,,,,,,,,,,,,,
,,,,All-age,0-6 days,7-27 days,28-364 days,1-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85-89 years,90-94 years,95+ years
Diarrhoeal diseases,Improved,Both,Both,,"2.595
(2.044 to 3.285)","2.595
(2.044 to 3.285)","2.595
(2.044 to 3.285)","2.595
(2.044 to 3.285)","2.595
(2.044 to 3.285)","2.595
(2.044 to 3.285)","2.595
(2.044 to 3.285)","2.595
(2.044 to 3.285)","2.595
(2.044 to 3.285)","2.595
(2.044 to 3.285)","2.595
(2.044 to 3.285)","2.595
(2.044 to 3.285)","2.595
(2.044 to 3.285)","2.595
(2.044 to 3.285)","2.595
(2.044 to 3.285)","2.595
(2.044 to 3.285)","2.595
(2.044 to 3.285)","2.595
(2.044 to 3.285)","2.595
(2.044 to 3.285)","2.595
(2.044 to 3.285)","2.595
(2.044 to 3.285)","2.595
(2.044 to 3.285)","2.595
(2.044 to 3.285)"
Diarrhoeal diseases,Sewer,Both,Both,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
No access to handwashing facility,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower respiratory infections,No handwashing w/soap & water,Both,Both,,"1.191
(1.119 to 1.266)","1.191
(1.119 to 1.266)","1.191
(1.119 to 1.266)","1.191
(1.119 to 1.266)","1.191
(1.119 to 1.266)","1.191
(1.119 to 1.266)","1.191
(1.119 to 1.266)","1.191
(1.119 to 1.266)","1.191
(1.119 to 1.266)","1.191
(1.119 to 1.266)","1.191
(1.119 to 1.266)","1.191
(1.119 to 1.266)","1.191
(1.119 to 1.266)","1.191
(1.119 to 1.266)","1.191
(1.119 to 1.266)","1.191
(1.119 to 1.266)","1.191
(1.119 to 1.266)","1.191
(1.119 to 1.266)","1.191
(1.119 to 1.266)","1.191
(1.119 to 1.266)","1.191
(1.119 to 1.266)","1.191
(1.119 to 1.266)","1.191
(1.119 to 1.266)"
Lower respiratory infections,Handwashing w/soap & water,Both,Both,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Diarrhoeal diseases,No handwashing w/soap & water,Both,Both,,"1.908
(1.32 to 2.668)","1.908
(1.32 to 2.668)","1.908
(1.32 to 2.668)","1.908
(1.32 to 2.668)","1.908
(1.32 to 2.668)","1.908
(1.32 to 2.668)","1.908
(1.32 to 2.668)","1.908
(1.32 to 2.668)","1.908
(1.32 to 2.668)","1.908
(1.32 to 2.668)","1.908
(1.32 to 2.668)","1.908
(1.32 to 2.668)","1.908
(1.32 to 2.668)","1.908
(1.32 to 2.668)","1.908
(1.32 to 2.668)","1.908
(1.32 to 2.668)","1.908
(1.32 to 2.668)","1.908
(1.32 to 2.668)","1.908
(1.32 to 2.668)","1.908
(1.32 to 2.668)","1.908
(1.32 to 2.668)","1.908
(1.32 to 2.668)","1.908
(1.32 to 2.668)"
Diarrhoeal diseases,Handwashing w/soap & water,Both,Both,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Household air pollution from solid fuels,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cataract,Exposed,morbidity,Both,"2.47
(1.61 to 3.73)",,,,,,,,,,,,,,,,,,,,,,,
Ambient ozone pollution,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic obstructive pulmonary disease,10 ppb,Mortality,Both,,,,,,,,,,"1.06
(1.017 to 1.101)","1.06
(1.017 to 1.101)","1.06
(1.017 to 1.101)","1.06
(1.017 to 1.101)","1.06
(1.017 to 1.101)","1.06
(1.017 to 1.101)","1.06
(1.017 to 1.101)","1.06
(1.017 to 1.101)","1.06
(1.017 to 1.101)","1.06
(1.017 to 1.101)","1.06
(1.017 to 1.101)","1.06
(1.017 to 1.101)","1.06
(1.017 to 1.101)","1.06
(1.017 to 1.101)","1.06
(1.017 to 1.101)"
Residential radon,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tracheal, bronchus, and lung cancer",Bq/m3,Both,Both,,"1.002
(1.0 to 1.003)","1.002
(1.0 to 1.003)","1.002
(1.0 to 1.003)","1.002
(1.0 to 1.003)","1.002
(1.0 to 1.003)","1.002
(1.0 to 1.003)","1.002
(1.0 to 1.003)","1.002
(1.0 to 1.003)","1.002
(1.0 to 1.003)","1.002
(1.0 to 1.003)","1.002
(1.0 to 1.003)","1.002
(1.0 to 1.003)","1.002
(1.0 to 1.003)","1.002
(1.0 to 1.003)","1.002
(1.0 to 1.003)","1.002
(1.0 to 1.003)","1.002
(1.0 to 1.003)","1.002
(1.0 to 1.003)","1.002
(1.0 to 1.003)","1.002
(1.0 to 1.003)","1.002
(1.0 to 1.003)","1.002
(1.0 to 1.003)","1.002
(1.0 to 1.003)"
Lead exposure in blood,,,,,,,,,,,,,,,,,,,,,,,,,,,
IQ shift,10 µg/dL,Morbidity,Both,"4.688
(1.719 to 7.656)",,,,,,,,,,,,,,,,,,,,,,,
IQ shift,12 µg/dL,Morbidity,Both,"5.014
(1.839 to 8.19)",,,,,,,,,,,,,,,,,,,,,,,
IQ shift,15 µg/dL,Morbidity,Both,"5.42
(1.988 to 8.853)",,,,,,,,,,,,,,,,,,,,,,,
IQ shift,2 µg/dL,Morbidity,Both,"0.0
(0.0 to 0.0)",,,,,,,,,,,,,,,,,,,,,,,
IQ shift,20 µg/dL,Morbidity,Both,"5.952
(2.183 to 9.721)",,,,,,,,,,,,,,,,,,,,,,,
IQ shift,25 µg/dL,Morbidity,Both,"6.37
(2.336 to 10.403)",,,,,,,,,,,,,,,,,,,,,,,
IQ shift,30 µg/dL,Morbidity,Both,"6.713
(2.462 to 10.965)",,,,,,,,,,,,,,,,,,,,,,,
IQ shift,35 µg/dL,Morbidity,Both,"7.006
(2.569 to 11.442)",,,,,,,,,,,,,,,,,,,,,,,
IQ shift,4 µg/dL,Morbidity,Both,"3.146
(1.154 to 5.139)",,,,,,,,,,,,,,,,,,,,,,,
IQ shift,40 µg/dL,Morbidity,Both,"7.26
(2.662 to 11.857)",,,,,,,,,,,,,,,,,,,,,,,
IQ shift,6 µg/dL,Morbidity,Both,"3.804
(1.395 to 6.213)",,,,,,,,,,,,,,,,,,,,,,,
IQ shift,8 µg/dL,Morbidity,Both,"4.296
(1.575 to 7.016)",,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in bone,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rheumatic heart disease,10 µg/g,Both,Both,,,,,,,,,,"1.03
(1.01 to 1.052)","1.024
(1.01 to 1.04)","1.017
(1.008 to 1.028)","1.013
(1.005 to 1.022)","1.012
(1.006 to 1.019)","1.011
(1.006 to 1.017)","1.01
(1.006 to 1.016)","1.009
(1.005 to 1.014)","1.008
(1.003 to 1.014)","1.007
(1.003 to 1.013)","1.007
(1.004 to 1.013)","1.006
(1.002 to 1.015)","1.006
(1.002 to 1.015)","1.006
(1.002 to 1.015)","1.006
(1.002 to 1.015)"
Ischaemic heart disease,10 µg/g,Both,Both,,,,,,,,,,"1.042
(1.022 to 1.06)","1.037
(1.023 to 1.049)","1.032
(1.023 to 1.04)","1.028
(1.021 to 1.036)","1.026
(1.02 to 1.033)","1.024
(1.02 to 1.03)","1.023
(1.019 to 1.026)","1.021
(1.018 to 1.025)","1.019
(1.014 to 1.023)","1.018
(1.012 to 1.022)","1.016
(1.012 to 1.021)","1.014
(1.008 to 1.022)","1.014
(1.008 to 1.022)","1.014
(1.008 to 1.022)","1.014
(1.008 to 1.022)"
Ischaemic stroke,10 µg/g,Both,Both,,,,,,,,,,"1.038
(1.021 to 1.06)","1.036
(1.022 to 1.051)","1.033
(1.021 to 1.044)","1.03
(1.019 to 1.042)","1.028
(1.019 to 1.037)","1.026
(1.019 to 1.033)","1.024
(1.018 to 1.029)","1.021
(1.016 to 1.026)","1.019
(1.012 to 1.025)","1.017
(1.01 to 1.023)","1.015
(1.01 to 1.02)","1.011
(1.006 to 1.019)","1.011
(1.006 to 1.019)","1.011
(1.006 to 1.019)","1.011
(1.006 to 1.019)"
Intracerebral hemorrhage,10 µg/g,Both,Both,,,,,,,,,,"1.047
(1.027 to 1.068)","1.045
(1.029 to 1.061)","1.042
(1.029 to 1.057)","1.039
(1.025 to 1.052)","1.036
(1.024 to 1.047)","1.032
(1.023 to 1.041)","1.028
(1.021 to 1.035)","1.024
(1.018 to 1.03)","1.02
(1.012 to 1.027)","1.017
(1.009 to 1.025)","1.017
(1.011 to 1.023)","1.015
(1.007 to 1.026)","1.015
(1.007 to 1.026)","1.015
(1.007 to 1.026)","1.015
(1.007 to 1.026)"
Subarachnoid hemorrhage,10 µg/g,Both,Both,,,,,,,,,,"1.047
(1.027 to 1.068)","1.045
(1.029 to 1.061)","1.042
(1.029 to 1.057)","1.039
(1.025 to 1.052)","1.036
(1.024 to 1.047)","1.032
(1.023 to 1.041)","1.028
(1.021 to 1.035)","1.024
(1.018 to 1.03)","1.02
(1.012 to 1.027)","1.017
(1.009 to 1.025)","1.017
(1.011 to 1.023)","1.015
(1.007 to 1.026)","1.015
(1.007 to 1.026)","1.015
(1.007 to 1.026)","1.015
(1.007 to 1.026)"
Hypertensive heart disease,10 µg/g,Both,Both,,,,,,,,,,"1.066
(1.038 to 1.09)","1.066
(1.038 to 1.091)","1.065
(1.037 to 1.094)","1.063
(1.035 to 1.091)","1.058
(1.037 to 1.084)","1.052
(1.036 to 1.079)","1.046
(1.031 to 1.076)","1.04
(1.023 to 1.073)","1.033
(1.011 to 1.074)","1.03
(1.003 to 1.072)","1.031
(1.005 to 1.071)","1.033
(1.006 to 1.075)","1.033
(1.006 to 1.075)","1.033
(1.006 to 1.075)","1.033
(1.006 to 1.075)"
Non-rheumatic calcific aortic valve disease,10 µg/g,Both,Both,,,,,,,,,,"1.035
(1.015 to 1.055)","1.029
(1.016 to 1.044)","1.023
(1.015 to 1.031)","1.019
(1.013 to 1.025)","1.018
(1.012 to 1.023)","1.016
(1.012 to 1.02)","1.015
(1.012 to 1.018)","1.014
(1.01 to 1.016)","1.012
(1.008 to 1.015)","1.011
(1.007 to 1.014)","1.01
(1.007 to 1.013)","1.007
(1.004 to 1.013)","1.007
(1.004 to 1.013)","1.007
(1.004 to 1.013)","1.007
(1.004 to 1.013)"
Other cardiomyopathy,10 µg/g,Both,Both,,,,,,,,,,"1.035
(1.015 to 1.055)","1.029
(1.016 to 1.044)","1.023
(1.015 to 1.031)","1.019
(1.013 to 1.025)","1.018
(1.012 to 1.023)","1.016
(1.012 to 1.02)","1.015
(1.012 to 1.018)","1.014
(1.01 to 1.016)","1.012
(1.008 to 1.015)","1.011
(1.007 to 1.014)","1.01
(1.007 to 1.013)","1.007
(1.004 to 1.013)","1.007
(1.004 to 1.013)","1.007
(1.004 to 1.013)","1.007
(1.004 to 1.013)"
Atrial fibrillation and flutter,10 µg/g,Both,Both,,,,,,,,,,"1.035
(1.018 to 1.056)","1.03
(1.02 to 1.044)","1.025
(1.021 to 1.031)","1.022
(1.018 to 1.025)","1.02
(1.017 to 1.023)","1.019
(1.017 to 1.021)","1.018
(1.016 to 1.019)","1.016
(1.014 to 1.018)","1.015
(1.013 to 1.017)","1.013
(1.011 to 1.015)","1.012
(1.01 to 1.013)","1.008
(1.005 to 1.01)","1.008
(1.005 to 1.01)","1.008
(1.005 to 1.01)","1.008
(1.005 to 1.01)"
Aortic aneurysm,10 µg/g,Both,Both,,,,,,,,,,"1.027
(1.014 to 1.048)","1.024
(1.016 to 1.037)","1.02
(1.016 to 1.026)","1.018
(1.013 to 1.023)","1.017
(1.013 to 1.021)","1.016
(1.013 to 1.019)","1.015
(1.012 to 1.017)","1.014
(1.011 to 1.016)","1.012
(1.009 to 1.015)","1.011
(1.008 to 1.014)","1.01
(1.007 to 1.013)","1.007
(1.004 to 1.01)","1.007
(1.004 to 1.01)","1.007
(1.004 to 1.01)","1.007
(1.004 to 1.01)"
Peripheral vascular disease,10 µg/g,Both,Both,,,,,,,,,,"1.034
(1.011 to 1.056)","1.025
(1.012 to 1.039)","1.014
(1.01 to 1.018)","1.008
(1.001 to 1.014)","1.008
(1.003 to 1.013)","1.008
(1.004 to 1.012)","1.009
(1.005 to 1.012)","1.009
(1.006 to 1.011)","1.009
(1.007 to 1.012)","1.009
(1.006 to 1.011)","1.008
(1.006 to 1.01)","1.006
(1.003 to 1.009)","1.006
(1.003 to 1.009)","1.006
(1.003 to 1.009)","1.006
(1.003 to 1.009)"
Endocarditis,10 µg/g,Both,Both,,,,,,,,,,"1.035
(1.015 to 1.055)","1.029
(1.016 to 1.044)","1.023
(1.015 to 1.031)","1.019
(1.013 to 1.025)","1.018
(1.012 to 1.023)","1.016
(1.012 to 1.02)","1.015
(1.012 to 1.018)","1.014
(1.01 to 1.016)","1.012
(1.008 to 1.015)","1.011
(1.007 to 1.014)","1.01
(1.007 to 1.013)","1.007
(1.004 to 1.013)","1.007
(1.004 to 1.013)","1.007
(1.004 to 1.013)","1.007
(1.004 to 1.013)"
Other cardiovascular and circulatory diseases,10 µg/g,Both,Both,,,,,,,,,,"1.034
(1.018 to 1.055)","1.03
(1.02 to 1.043)","1.025
(1.021 to 1.03)","1.022
(1.019 to 1.025)","1.021
(1.018 to 1.023)","1.019
(1.017 to 1.021)","1.018
(1.016 to 1.019)","1.016
(1.015 to 1.018)","1.014
(1.013 to 1.016)","1.013
(1.011 to 1.015)","1.012
(1.01 to 1.013)","1.008
(1.006 to 1.011)","1.008
(1.006 to 1.011)","1.008
(1.006 to 1.011)","1.008
(1.006 to 1.011)"
Chronic kidney disease due to diabetes mellitus type 1,10 µg/g,Both,Both,,,,,,,,,,"1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)"
