Appendix Table 6d. Relative risks used by age and sex for each outcome for smoking globally,,,,,,,,,,,,,,,,,
Latent tuberculosis infection,27 Cigarettes Per Smoker Per Day,Both,Female,"3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)"
Latent tuberculosis infection,36 Cigarettes Per Smoker Per Day,Both,Male,"4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)"
Latent tuberculosis infection,36 Cigarettes Per Smoker Per Day,Both,Female,"4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)"
Drug-susceptible tuberculosis,0 Cigarettes Per Smoker Per Day,Both,Male,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Drug-susceptible tuberculosis,0 Cigarettes Per Smoker Per Day,Both,Female,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Drug-susceptible tuberculosis,9 Cigarettes Per Smoker Per Day,Both,Male,"2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)"
Drug-susceptible tuberculosis,9 Cigarettes Per Smoker Per Day,Both,Female,"2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)"
Drug-susceptible tuberculosis,18 Cigarettes Per Smoker Per Day,Both,Male,"2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)"
Drug-susceptible tuberculosis,18 Cigarettes Per Smoker Per Day,Both,Female,"2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)"
Drug-susceptible tuberculosis,27 Cigarettes Per Smoker Per Day,Both,Male,"3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)"
Drug-susceptible tuberculosis,27 Cigarettes Per Smoker Per Day,Both,Female,"3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)"
Drug-susceptible tuberculosis,36 Cigarettes Per Smoker Per Day,Both,Male,"4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)"
Drug-susceptible tuberculosis,36 Cigarettes Per Smoker Per Day,Both,Female,"4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)"
Multidrug-resistant tuberculosis without extensive drug resistance,0 Cigarettes Per Smoker Per Day,Both,Male,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Multidrug-resistant tuberculosis without extensive drug resistance,0 Cigarettes Per Smoker Per Day,Both,Female,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Multidrug-resistant tuberculosis without extensive drug resistance,9 Cigarettes Per Smoker Per Day,Both,Male,"2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)"
Multidrug-resistant tuberculosis without extensive drug resistance,9 Cigarettes Per Smoker Per Day,Both,Female,"2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)"
Multidrug-resistant tuberculosis without extensive drug resistance,18 Cigarettes Per Smoker Per Day,Both,Male,"2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)"
Multidrug-resistant tuberculosis without extensive drug resistance,18 Cigarettes Per Smoker Per Day,Both,Female,"2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)"
Multidrug-resistant tuberculosis without extensive drug resistance,27 Cigarettes Per Smoker Per Day,Both,Male,"3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)"
Multidrug-resistant tuberculosis without extensive drug resistance,27 Cigarettes Per Smoker Per Day,Both,Female,"3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)"
Multidrug-resistant tuberculosis without extensive drug resistance,36 Cigarettes Per Smoker Per Day,Both,Male,"4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)"
Multidrug-resistant tuberculosis without extensive drug resistance,36 Cigarettes Per Smoker Per Day,Both,Female,"4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)"
Extensively drug-resistant tuberculosis,0 Cigarettes Per Smoker Per Day,Both,Male,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Extensively drug-resistant tuberculosis,0 Cigarettes Per Smoker Per Day,Both,Female,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Extensively drug-resistant tuberculosis,9 Cigarettes Per Smoker Per Day,Both,Male,"2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)"
Extensively drug-resistant tuberculosis,9 Cigarettes Per Smoker Per Day,Both,Female,"2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)"
Extensively drug-resistant tuberculosis,18 Cigarettes Per Smoker Per Day,Both,Male,"2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)"
Extensively drug-resistant tuberculosis,18 Cigarettes Per Smoker Per Day,Both,Female,"2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)"
Extensively drug-resistant tuberculosis,27 Cigarettes Per Smoker Per Day,Both,Male,"3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)"
Extensively drug-resistant tuberculosis,27 Cigarettes Per Smoker Per Day,Both,Female,"3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)"
Extensively drug-resistant tuberculosis,36 Cigarettes Per Smoker Per Day,Both,Male,"4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)"
Extensively drug-resistant tuberculosis,36 Cigarettes Per Smoker Per Day,Both,Female,"4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)","4.013
(2.49 to 5.991)"
Lower respiratory infections,0 Cigarettes Per Smoker Per Day,Both,Male,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Lower respiratory infections,0 Cigarettes Per Smoker Per Day,Both,Female,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Lower respiratory infections,1.5 Cigarettes Per Smoker Per Day,Both,Male,"1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)"
Lower respiratory infections,1.5 Cigarettes Per Smoker Per Day,Both,Female,"1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)","1.318
(1.0 to 1.785)"
Lower respiratory infections,10 Cigarettes Per Smoker Per Day,Both,Male,"1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)"
Lower respiratory infections,10 Cigarettes Per Smoker Per Day,Both,Female,"1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)","1.958
(1.356 to 2.731)"
Lower respiratory infections,19.5 Cigarettes Per Smoker Per Day,Both,Male,"2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)"
Lower respiratory infections,19.5 Cigarettes Per Smoker Per Day,Both,Female,"2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)","2.434
(1.738 to 3.307)"
Lower respiratory infections,31.2 Cigarettes Per Smoker Per Day,Both,Male,"3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)"
Lower respiratory infections,31.2 Cigarettes Per Smoker Per Day,Both,Female,"3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)","3.158
(2.286 to 4.195)"
Lip and oral cavity cancer,0 Pack-Years,Both,Male,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
