Country,Current_Legal_Status,Legalization,Pollster,Year,For,Against,Neither,Margin_of_Error
 Norway,Same-sex marriage performed nationwide,2008,Pew Research Center,2017,0.72,0.19,,
 Panama,,,AmericasBarometer,2017,0.22,0.78,,±1.1%
 Paraguay,,,AmericasBarometer,2017,0.26,0.74,,±0.9%
 Peru,,,Ipsos,2021,0.35,0.51,(another 33% support some rights),±4.8% [+ more urban/educated than representative]
 Philippines,,,SWS,2018,0.22,0.61,0.16,
 Poland,,,Ipsos,2021,0.29,0.6,(another 38% support some rights),±4.8%
 Poland,,,Eurobarometer,2019,0.45,0.5,0.05,
 Portugal,Same-sex marriage performed nationwide,2010,Eurobarometer,2019,0.74,0.2,0.06,
 Romania,,,ACCEPT Romania,2021,0.26,0.74,(another 17% support legal protection),±3%
 Russia,,,Ipsos,2021,0.17,0.64,(another 12% support some rights),±4.8% [+ more urban/educated than representative]
 Russia,,,FOM,2019,0.07,0.85,0.08,±3.6%
 Saint Kitts and Nevis,Same-sex sexual activity is illegal,,AmericasBarometer,2017,0.09,0.91,,±1.0%
 Saint Lucia,Same-sex sexual activity is illegal,,AmericasBarometer,2017,0.11,0.89,,±0.9%
 Saint Vincent and the Grenadines,Same-sex sexual activity is illegal,,AmericasBarometer,2017,0.04,0.96,,±0.6%
 Serbia,,,Pew Research Center,2015,0.12,0.83,0.05,±4%
 Singapore,Same-sex sexual activity is illegal,,IPS,2019,0.27,0.6,0.13,
 Slovakia,,,Eurobarometer,2019,0.2,0.7,0.1,
 Slovenia,Civil unions or registered partnerships nationwide,,Eurobarometer,2019,0.62,0.35,0.03,
 South Africa,Same-sex marriage performed nationwide,2006,HSRC,2015,0.37,0.46,0.17,
 South Africa,Same-sex marriage performed nationwide,2006,Ipsos,2021,0.59,0.27,(another 12% support some rights),±4.8% [+ more urban/educated than representative]
 South Korea,,,Ipsos,2021,0.36,0.44,(another 18% support some rights),±4.8%
 Spain,Same-sex marriage performed nationwide,2005,Eurobarometer,2019,0.86,0.09,0.05,
 Spain,Same-sex marriage performed nationwide,2005,Ipsos,2021,0.76,0.13,(another 8% support some rights),±3.5%
 Suriname,,,AmericasBarometer,2014,0.18,,,
 Sweden,Same-sex marriage performed nationwide,2009,Ipsos,2021,0.79,0.13,(another 10% support some rights),±4.8%
 Sweden,Same-sex marriage performed nationwide,2009,Eurobarometer,2019,0.92,0.06,0.02,
 Switzerland,Civil unions or registered partnerships nationwide,,gfs-zürich,2020,0.82,0.17,0.01,±3.2%
 Taiwan,Same-sex marriage performed nationwide,2019,Taiwan’s Election and Democratization Study,2020,0.43,0.57,,
 Thailand,,,NIDA Poll,2015,0.59,0.35,0.06,
 Trinidad and Tobago,,,AmericasBarometer,2014,0.16,,,
 Turkey,,,Ipsos,2021,0.24,0.45,(another 20% support some rights),±4.8% [+ more urban/educated than representative]
 Ukraine,,,Pew Research Center,2015,0.09,0.85,0.06,±4%
 United Kingdom,Same-sex marriage performed nationwide,England/Wales 2013; Scotland 2014,Ipsos,2021,0.68,0.21,(another 14% support some rights),±3.5%
 United Kingdom,Same-sex marriage performed nationwide,England/Wales 2013; Scotland 2014,Eurobarometer,2019,0.85,0.12,0.03,
 United States,Same-sex marriage performed nationwide,2015,Ipsos,2021,0.59,0.28,(another 13% support some rights),±3.5%
 United States,Same-sex marriage performed nationwide,2015,Gallup,2021,0.7,0.29,0.01,±4%
 Uruguay,Same-sex marriage performed nationwide,2013,AmericasBarometer,2017,0.75,0.25,,±1.1%
 Venezuela,,,AmericasBarometer,2017,0.39,0.61,,±1.2%
 Vietnam,,,iSEE,2014,0.34,0.53,0.13,
