"word","pos"
"abstractionist","A"
"abstractive","A"
"abstract","A"
"abstruse","A"
"absurd","A"
"abulic","A"
"abundant","A"
"abusable","A"
"abusive","A"
"abutting","A"
"abuzz","A"
"abysmal","A"
"abyssal","A"
"Abyssinian","A"
"AC/DC","A"
"academical","A"
"academic","A"
"Acadian","A"
"acanthaceous","A"
"acanthine","A"
"acanthocarpous","A"
"acanthocephalan","A"
"acanthocladous","A"
"acanthoid","A"
"acanthopterygian","A"
"acanthotic","A"
"acanthous","A"
"acapnial","A"
"acardiac","A"
"acaricidal","A"
"acaridan","A"
"acarid","A"
"acarine","A"
"acaroid","A"
"acarpellous","A"
"acarpelous","A"
"acarpous","A"
"acatalectic","A"
"acaudal","A"
"acaulescent","A"
"Accadian","A"
"accelerable","A"
"accelerando","A"
"accelerative","A"
"accentless","A"
"accentuable","A"
"accentual","A"
"acceptable","A"
"acceptant","A"
"accepted","A"
"accessible","A"
"accessional","A"
"accessorial","A"
"accessory","A"
"accident-prone","A"
"accidentalist","A"
"accidental","A"
"accipitral","A"
"accipitrine","A"
"acclamatory","A"
"acclimatable","A"
"acclimatisable","A"
"acclimatizable","A"
"acclivitous","A"
"acclivous","A"
"accoladed","A"
"accolated","A"
"accommodable","A"
"accommodating","A"
"accommodational","A"
"accommodative","A"
"accomplishable","A"
"accomplished","A"
"accordable","A"
"accordant","A"
"according","A"
"accostable","A"
"accosted","A"
"accountable","A"
"accrescent","A"
"accrete","A"
"accretionary","A"
"accretive","A"
"acculturational","A"
"acculturative","A"
"accumbent","A"
"accumulable","A"
"accumulative","A"
"accurate","A"
"accursed","A"
"accusable","A"
"accusatival","A"
"accusative","A"
"accusatorial","A"
"accusatory","A"
"accustomed","A"
"acellular","A"
"acentric","A"
"acephalous","A"
"acerate","A"
"acerbic","A"
"acerb","A"
"acerose","A"
"acerous","A"
"acervate","A"
"acescent","A"
"acesodyne","A"
"acesodynous","A"
"acetabular","A"
"acetabuliform","A"
"acetated","A"
"acetic","A"
"acetimetric","A"
"acetometrical","A"
"acetonic","A"
"acetous","A"
"acetylenic","A"
"acetylic","A"
"ace","A"
"Achaean","A"
"Achaemenian","A"
"acheilary","A"
"achenial","A"
"Acheulean","A"
"Acheulian","A"
"achievable","A"
"achilary","A"
"Achillean","A"
"achlamydate","A"
"achlamydeous","A"
"achlorhydric","A"
"achlorophyllous","A"
"acholic","A"
"acholuric","A"
"achondritic","A"
"achondroplastic","A"
"achromatic","A"
"achromatophil","A"
"achromatous","A"
"achromic","A"
"achronychous","A"
"acicular","A"
"aciculate","A"
"acid-fast","A"
"acid-forming","A"
"acidic","A"
"acidifiable","A"
"acidimetrical","A"
"acidimetric","A"
"acidogenic","A"
"acidophilic","A"
"acidophil","A"
"acidotic","A"
"acidulent","A"
"acidulous","A"
"aciduric","A"
"acidy","A"
"acid","A"
"aciform","A"
"acinaceous","A"
"acinacifolious","A"
"acinaciform","A"
"acinarious","A"
"acinic","A"
"aciniform","A"
"acinous","A"
"acknowledgeable","A"
"acmic","A"
"acnodal","A"
"acockbill","A"
"acock","A"
"acoelomate","A"
"acoelous","A"
"acold","A"
"aconitic","A"
"acorned","A"
"acosmistic","A"
"acotyledonous","A"
"acoustic","A"
"acquainted","A"
"acquiescent","A"
"acquirable","A"
"acquisitive","A"
"acred","A"
"acrid","A"
"acrimonious","A"
"acritical","A"
"acrobatic","A"
"acrocarpous","A"
"acrocephalic","A"
"acrocephalous","A"
"acrodont","A"
"acrodrome","A"
"acrogenic","A"
"acrogynous","A"
"acrolithic","A"
"acrologic","A"
"acromegalic","A"
"acronal","A"
"acronical","A"
"acronychal","A"
"acronychous","A"
"acronymic","A"
"acronymous","A"
"acropetal","A"
"acrophonic","A"
"acropolitan","A"
"acrosporous","A"
"across-the-board","A"
"acroteral","A"
"acroterial","A"
"acrotic","A"
"acrylic","A"
"actable","A"
"actinal","A"
"acting","A"
"actinian","A"
"actinic","A"
"actiniform","A"
"actinobacillotic","A"
"actinochemical","A"
"actinodrome","A"
"actinographic","A"
"actinoid","A"
"actinolitic","A"
"actinometrical","A"
"actinometric","A"
"actinomorphic","A"
"actinomycetous","A"
"actinomycotic","A"
"actinopterygian","A"
"actinozoan","A"
"actionable","A"
"actionless","A"
"active","A"
"actor-proof","A"
"actualistic","A"
"actualist","A"
"actual","A"
"actuarial","A"
"actuarian","A"
"acuate","A"
"aculeate","A"
"acuminate","A"
"acuminous","A"
"acute","A"
"acutilingual","A"
"acyclic","A"
"ad hoc","A"
"ad hominem","A"
"ad interim","A"
"ad litem","A"
"ad rem","A"
"ad valorem","A"
"ad-lib","A"
"adactylous","A"
"adagial","A"
"adagietto","A"
"adagio","A"
"adagissimo","A"
"adamantine","A"
"adamant","A"
"Adamic","A"
"Adamitical","A"
"Adamitic","A"
"Adam","A"
"adaptable","A"
"adaptational","A"
"adaptive","A"
"adaxial","A"
"addable","A"
"addible","A"
"addicted","A"
"addictive","A"
"Addisonian","A"
"additamentary","A"
"additional","A"
"additive","A"
"additory","A"
"addlebrained","A"
"addlepated","A"
"addle","A"
"addorsed","A"
"adduceable","A"
"adducent","A"
"adducible","A"
"adductive","A"
"adenocarcinomatous","A"
"adenoidal","A"
"adenoid","A"
"adenological","A"
"adenomatous","A"
"adenophyllous","A"
"adept","A"
"adequate","A"
"adessive","A"
"adherent","A"
"adhesional","A"
"adhesive","A"
"adiabatic","A"
"adiactinic","A"
"adiaphoretic","A"
"adiaphoristic","A"
"adiaphorous","A"
"adient","A"
"adipocerous","A"
"adipopectic","A"
"adipopexic","A"
"adipose","A"
"adjacent","A"
"adjectival","A"
"adjective","A"
"adjoining","A"
"adjudicative","A"
"adjunctive","A"
"adjunct","A"
"adjuratory","A"
"adjustable-pitch","A"
"adjustable","A"
"adjustmental","A"
"adjuvant","A"
"Adlerian","A"
"adminicular","A"
"administrable","A"
"administrant","A"
"administrational","A"
"administrative","A"
"admirable","A"
"admirative","A"
"admissible","A"
"admissive","A"
"admittable","A"
"admittible","A"
"admonitorial","A"
"admonitory","A"
"adnate","A"
"adnominal","A"
"adolescent","A"
"Adonic","A"
"adoptable","A"
"adopted","A"
"adoptional","A"
"adoptive","A"
"adorable","A"
"adorsed","A"
"adrenal","A"
"adrenergic","A"
"adrenocorticotropic","A"
"Adriatic","A"
"adroit","A"
"adscititious","A"
"adscript","A"
"adsorbable","A"
"adsorbent","A"
"adsorptive","A"
"adularescent","A"
"adulatory","A"
"adulterant","A"
"adulterate","A"
"adulterine","A"
"adulterous","A"
"adult","A"
"adumbral","A"
"adumbrative","A"
"adunc","A"
"adust","A"
"advanced","A"
"advantageous","A"
"advective","A"
"adventitial","A"
"adventitious","A"
"adventive","A"
"adventureful","A"
"adventuresome","A"
"adventurous","A"
"adverbial","A"
"adverbless","A"
"adversative","A"
"adverse","A"
"advertent","A"
"advertisable","A"
"advertizable","A"
"advisable","A"
"advised","A"
"advisory","A"
"advocatory","A"
"adynamic","A"
"aecial","A"
"aedeagal","A"
"aedilitian","A"
"Aegean","A"
"Aeginetan","A"
"Aeneolithic","A"
"aeneous","A"
"Aeolian","A"
"Aeolic","A"
"aeolotropic","A"
"aeonian","A"
"aerarian","A"
"aerial","A"
"aeriferous","A"
"aeriform","A"
"aerobacteriological","A"
"aeroballistic","A"
"aerobatic","A"
"aerobic","A"
"aerobiological","A"
"aerobiologic","A"
"aerobiosis","A"
"aerobiotic","A"
"aerodonetic","A"
"aerodynamical","A"
"aerodynamic","A"
"aeroelastic","A"
"aerogenic","A"
"aerographical","A"
"aerographic","A"
"aerolitic","A"
"aerological","A"
"aerologic","A"
"aeromantic","A"
"aeromarine","A"
"aeromechanical","A"
"aeromechanic","A"
"aeromedical","A"
"aerometric","A"
"aeronautical","A"
"aeronautic","A"
"aerophilatelic","A"
"aerophobic","A"
"aeroscopic","A"
"aerostatic","A"
"aerothermodynamic","A"
"aerotropic","A"
"aeruginous","A"
"aery","A"
"Aeschylean","A"
"Aesculapian","A"
"Aesopian","A"
"aesthetical","A"
"aestival","A"
"aetiological","A"
"Aetolian","A"
"ae","A"
"afeard","A"
"afebrile","A"
"affable","A"
"affected","A"
"affecting","A"
"affectional","A"
"affectionate","A"
"affective","A"
"afferent","A"
"affettuoso","A"
"affianced","A"
"affiliable","A"
"affinal","A"
"affined","A"
"affine","A"
"affinitive","A"
"affirmable","A"
"affirmative-action","A"
"affirmative","A"
"affirmatory","A"
"affixal","A"
"afflated","A"
"afflictionless","A"
"afflictive","A"
"affluent","A"
"affordable","A"
"affricative","A"
"affrontive","A"
"affront<U+FFFD>","A"
"Afghan","A"
"afocal","A"
"aforementioned","A"
"aforesaid","A"
"aforethought","A"
"afraid","A"
"Aframerican","A"
"Afrasian","A"
"African","A"
"Afric","A"
"Afro-American","A"
"Afro-Asian","A"
"Afro-Asiatic","A"
"Afro-Cuban","A"
"after-dinner","A"
"aftermost","A"
"aftershafted","A"
"after","A"
"aftmost","A"
"aft","A"
"agamic","A"
"agamid","A"
"agamogenetic","A"
"agape","A"
"agaricaceous","A"
"agatelike","A"
"agatoid","A"
"agaze","A"
"age-old","A"
"aged","A"
"agee","A"
"ageless","A"
"agelong","A"
"agenetic","A"
"agential","A"
"agentival","A"
"agentive","A"
"ageusic","A"
"aggadic","A"
"Aggadic","A"
"agglomerate","A"
"agglomerative","A"
"agglutinable","A"
"agglutinant","A"
"agglutinate","A"
"agglutinative","A"
"agglutinogenic","A"
"aggradational","A"
"aggravative","A"
"aggregable","A"
"aggregately","A"
"aggregate","A"
"aggregative","A"
"aggregatory","A"
"aggressive","A"
"aghast","A"
"agile","A"
"agitable","A"
"agitational","A"
"agitative","A"
"agitatorial","A"
"agitato","A"
"agleam","A"
"agley","A"
"aglimmer","A"
"aglint","A"
"aglisten","A"
"aglitter","A"
"aglow","A"
"agminate","A"
"agnate","A"
"agnathous","A"
"agnatical","A"
"agnatic","A"
"agnominal","A"
"agnostic","A"
"agog","A"
"agonal","A"
"agonic","A"
"agonistic","A"
"agonizing","A"
"agraphic","A"
"agrarian","A"
"agravic","A"
"agreeable","A"
"agreed","A"
"agrestal","A"
"agrestic","A"
"agricultural","A"
"agriological","A"
"agrobiological","A"
"agrobiologic","A"
"agrological","A"
"agrologic","A"
"agronomical","A"
"agronomic","A"
"agrostographical","A"
"agrostographic","A"
"agrostological","A"
"agrostologic","A"
"agrypnotic","A"
"aguelike","A"
"aguish","A"
"ahistorical","A"
"ahistoric","A"
"ahorse","A"
"ahull","A"
"ahungered","A"
"aidful","A"
"aidless","A"
"aiguilletted","A"
"ailanthic","A"
"ailing","A"
"ailurophilic","A"
"ailurophobic","A"
"aimful","A"
"aimless","A"
"air-bound","A"
"air-conditioning","A"
"air-core","A"
"air-hardening","A"
"air-line","A"
"air-logged","A"
"air-mail","A"
"air-minded","A"
"air-raid","A"
"air-sprayed","A"
"air-spray","A"
"air-to-air","A"
"air-to-surface","A"
"air-twisted","A"
"airborne","A"
"airbrasive","A"
"airdrop","A"
"airier","A"
"airiest","A"
"airless","A"
"airlike","A"
"airproof","A"
"airsick","A"
"airtight","A"
"airworthy","A"
"airy-fairy","A"
"airy","A"
"aisled","A"
"akinetic","A"
"akin","A"
"Akkadian","A"
"al dente","A"
"Alabaman","A"
"Alabamian","A"
"alabaster","A"
"alacritous","A"
"Alamannic","A"
"alarmable","A"
"alarmist","A"
"alary","A"
"alar","A"
"Alaskan","A"
"alate","A"
"Albanian","A"
"albescent","A"
"Albigensian","A"
"albinic","A"
"albinistic","A"
"albitic","A"
"albuminoidal","A"
"albuminoid","A"
"albuminous","A"
"albuminuric","A"
"alburnous","A"
"Alcaic","A"
"alchemic","A"
"alchemistical","A"
"Alcibiadean","A"
"alcidine","A"
"alcid","A"
"alclad","A"
"alcoholic","A"
"alcoholometrical","A"
"alcoholometric","A"
"alcoholytic","A"
"Alcoranic","A"
"alcyonarian","A"
"aldehydic","A"
"aldermanic","A"
"Aldine","A"
"aleatory","A"
"alecithal","A"
"Alemannic","A"
"alembicated","A"
"alert","A"
"alethic","A"
"alethiological","A"
"alethiologic","A"
"aleuronic","A"
"Aleutian","A"
"Alexandrian","A"
"Alexandrine","A"
"alexinic","A"
"alexipharmic","A"
"alfresco","A"
"algal","A"
"algebraic","A"
"Algerian","A"
"Algerine","A"
"algesic","A"
"algetic","A"
"algid","A"
"algoid","A"
"algolagnic","A"
"algological","A"
"Algoman","A"
"algometrical","A"
"algometric","A"
"Algonkian","A"
"Algonkin","A"
"Algonquian","A"
"Algonquin","A"
"algophagous","A"
"algorismic","A"
"algorithmic","A"
"algraphic","A"
"Alhambresque","A"
"alible","A"
"Alice-in-Wonderland","A"
"alicyclic","A"
"alienable","A"
"alien","A"
"aliform","A"
"alimental","A"
"alimentary","A"
"alimentative","A"
"alimonied","A"
"aliped","A"
"aliphatic","A"
"aliquant","A"
"aliquot","A"
"alist","A"
"aliturgical","A"
"aliunde","A"
"alive","A"
"alkahestical","A"
"alkahestic","A"
"alkalescent","A"
"alkalic","A"
"alkalifiable","A"
"alkalimetrical","A"
"alkalimetric","A"
"alkaline","A"
"alkalisable","A"
"alkalizable","A"
"alkaloidal","A"
"alkylic","A"
"all in","A"
"all'ottava","A"
"all-American","A"
"all-around","A"
"all-day","A"
"all-embracing","A"
"all-expense","A"
"all-fired","A"
"all-important","A"
"all-inclusive","A"
"all-in","A"
"all-night","A"
"all-out","A"
"all-over","A"
"all-pass","A"
"all-powerful","A"
"all-purpose","A"
"all-round","A"
"all-star","A"
"all-time","A"
"all-weather","A"
"all-year","A"
"alla breve","A"
"alla prima","A"
"allanitic","A"
"allantoic","A"
"allantoid","A"
"allargando","A"
"allative","A"
"allegeable","A"
"alleged","A"
"Alleghanian","A"
"Alleghenian","A"
"allegiant","A"
"allegorical","A"
"allegoristic","A"
"allegretto","A"
"allegro","A"
"allelic","A"
"allelomorphic","A"
"alleluiatic","A"
"allergenic","A"
"allergic","A"
"alleviative","A"
"alleviatory","A"
"alliable","A"
"alliaceous","A"
"Allied","A"
"allied","A"
"alliterative","A"
"allobaric","A"
"allocable","A"
"allochthonous","A"
"allodial","A"
"allogamous","A"
"allogenic","A"
"allomerous","A"
"allometric","A"
"allomorphic","A"
"allong<U+FFFD>","A"
"allonymous","A"
"allopathic","A"
"allopatric","A"
"allopelagic","A"
"allophonic","A"
"allophylian","A"
"alloplasmatic","A"
"alloplasmic","A"
"allopolyploid","A"
"allotriomorphic","A"
"allotropic","A"
"allottable","A"
"allotypic","A"
"allover","A"
"allowable","A"
"allowed","A"
"alluring","A"
"allusive","A"
"alluvial","A"
"allylic","A"
"Almerian","A"
"almighty","A"
"almond-eyed","A"
"almond-shaped","A"
"almondlike","A"
"almondy","A"
"alodial","A"
"aloetic","A"
"alongships","A"
"aloof","A"
"alopecic","A"
"alpestrine","A"
"alphabetical","A"
"alphabetic","A"
"alphameric","A"
"alphanumeric","A"
"alpine","A"
"Alpine","A"
"Alsatian","A"
"alsinaceous","A"
"Altaic","A"
"alterable","A"
"alterant","A"
"alterative","A"
"alternant","A"
"alternate","A"
"alternative","A"
"altern","A"
"altimetrical","A"
"altissimo","A"
"altitudinal","A"
"alto","A"
"altricial","A"
"altruistic","A"
"alt","A"
"alular","A"
"aluminic","A"
"aluminiferous","A"
"aluminographic","A"
"aluminous","A"
"aluminum","A"
"alutaceous","A"
"alveated","A"
"alveolar","A"
"alveolate","A"
"alvine","A"
"alwite","A"
"amalgamable","A"
"amalgamative","A"
"amandine","A"
"amaranthaceous","A"
"amaranthine","A"
"Amarna","A"
"amaryllidaceous","A"
"amassable","A"
"amateurish","A"
"amateur","A"
"amative","A"
"amatory","A"
"amaurotic","A"
"amazed","A"
"amazing","A"
"Amazonian","A"
"ambagious","A"
"ambassadorial","A"
"amberlike","A"
"amberous","A"
"ambery","A"
"ambidexter","A"
"ambidextral","A"
"ambidextrous","A"
"ambient","A"
"ambiguous","A"
"ambil-anak","A"
"ambilateral","A"
"ambisexual","A"
"ambisinister","A"
"ambisyllabic","A"
"ambitionless","A"
"ambitious","A"
"ambivalent","A"
"amblyopic","A"
"Amboinese","A"
"ambrosiaceous","A"
"ambrosial","A"
"ambulacral","A"
"ambulant","A"
"ambulatory","A"
"ambushlike","A"
"amebic","A"
"ameboid","A"
"ameiotic","A"
"ameliorable","A"
"ameliorative","A"
"ameloblastic","A"
"amenable","A"
"amendable","A"
"amendatory","A"
"amenorrheal","A"
"amenorrheic","A"
"amenorrhoeal","A"
"amenorrhoeic","A"
"amentaceous","A"
"amental","A"
"amentiferous","A"
"amentiform","A"
"amerceable","A"
"American Indian","A"
"Americanistic","A"
"American","A"
"Amerindian","A"
"Amerindic","A"
"ameristic","A"
"ametabolic","A"
"amethystine","A"
"amethystlike","A"
"ametropic","A"
"Amharic","A"
"amiable","A"
"amianthine","A"
"amianthoidal","A"
"amianthoid","A"
"amicable","A"
"amic","A"
"amidic","A"
"aminic","A"
"Amish","A"
"amitotic","A"
"ammiaceous","A"
"ammoniacal","A"
"ammoniac","A"
"ammonic","A"
"Ammonite","A"
"ammonitic","A"
"Ammonitish","A"
"ammonitoid","A"
"ammonolitic","A"
"ammono","A"
"ammophilous","A"
"amnesiac","A"
"amnestic","A"
"amniotic","A"
"amoebaean","A"
"amoebalike","A"
"amoebic","A"
"amoeboid","A"
"amoral","A"
"amoristic","A"
"amoroso","A"
"amorous","A"
"amorphous","A"
"amortisable","A"
"amortizable","A"
"amort","A"
"ampelitic","A"
"Amperian","A"
"amperometric","A"
"ampherotokous","A"
"amphiarthrodial","A"
"amphibian","A"
"amphibiotic","A"
"amphibious","A"
"amphibolic","A"
"amphibolitic","A"
"amphibological","A"
"amphibolous","A"
"amphibrachic","A"
"amphicarpous","A"
"amphichroic","A"
"amphicoelous","A"
"amphictyonic","A"
"amphigenous","A"
"amphigoric","A"
"amphikaryotic","A"
"Amphionic","A"
"amphipneustic","A"
"amphipod","A"
"amphiprostylar","A"
"amphiprostyle","A"
"amphiprotic","A"
"amphisbaenian","A"
"amphisbaenic","A"
"amphisbaenoid","A"
"amphisbaenous","A"
"amphistylar","A"
"amphitheatrical","A"
"amphitheatric","A"
"amphithecial","A"
"amphitokal","A"
"amphitokous","A"
"amphitrichate","A"
"amphitropous","A"
"amphogenic","A"
"ampholytic","A"
"amphoral","A"
"amphoric","A"
"amphoteric","A"
"amplectant","A"
"ampler","A"
"amplest","A"
"amplexicaul","A"
"amplexifoliate","A"
"ample","A"
"ampliate","A"
"amplifiable","A"
"amplificatory","A"
"ampullaceous","A"
"amputative","A"
"Amratian","A"
"amusable","A"
"amused","A"
"amusing","A"
"amusive","A"
"amyatonic","A"
"amyelic","A"
"amygdalaceous","A"
"amygdalate","A"
"amygdalic","A"
