Country,Country Code,Rwanda,Year,Number of Records,Proportion of seats held by women in national parliaments (%),Proportion of seats held by women in national parliaments (%) (copy),Random Noise,World %,Year Jittered,Year Jittered (copy)
Angola,AGO,No,2015,1,37%,36.8%,0.080005829,,2014.994312993,2015.157726610
Angola,AGO,No,2016,1,37%,36.8%,0.521015357,,2016.041841331,2016.127432046
Angola,AGO,No,2017,1,30%,30.5%,0.238292779,,2017.283162122,2017.083780788
Angola,AGO,No,2018,1,30%,30.5%,0.231493098,,2017.969155155,2018.104068049
Angola,AGO,No,2019,1,30%,30.0%,0.230934922,,2019.068163305,2019.117557987
Antigua and Barbuda,ATG,No,1997,1,5%,5.3%,0.915801027,,1996.977833638,1997.244270766
Antigua and Barbuda,ATG,No,1998,1,5%,5.3%,0.277420404,,1997.772926684,1998.270514503
Antigua and Barbuda,ATG,No,2000,1,5%,5.3%,0.023020905,,1999.998844286,2000.127878195
Antigua and Barbuda,ATG,No,2001,1,5%,5.3%,0.815801574,,2000.908713013,2001.206479259
Antigua and Barbuda,ATG,No,2002,1,5%,5.3%,0.425028049,,2001.972829289,2002.203633821
Antigua and Barbuda,ATG,No,2003,1,5%,5.3%,0.930176201,,2003.091560956,2003.184744577
Antigua and Barbuda,ATG,No,2004,1,11%,10.5%,0.579725911,,2004.107786270,2004.141546218
Antigua and Barbuda,ATG,No,2005,1,11%,10.5%,0.656586030,,2004.699916613,2005.221926327
Antigua and Barbuda,ATG,No,2006,1,11%,10.5%,0.636069256,,2005.776507931,2006.224479772
Antigua and Barbuda,ATG,No,2007,1,11%,10.5%,0.906768486,,2007.030812888,2007.098337146
Antigua and Barbuda,ATG,No,2008,1,11%,10.5%,0.221284985,,2008.247640668,2008.123114474
Antigua and Barbuda,ATG,No,2009,1,11%,10.5%,0.592142030,,2008.729754403,2009.267958657
Antigua and Barbuda,ATG,No,2010,1,11%,10.5%,0.878691673,,2009.795468385,2010.229228855
Antigua and Barbuda,ATG,No,2011,1,11%,10.5%,0.395595336,,2011.028399940,2011.000957417
Antigua and Barbuda,ATG,No,2012,1,11%,10.5%,0.307845229,,2011.998232627,2012.072922870
Antigua and Barbuda,ATG,No,2013,1,11%,10.5%,0.526980197,,2012.965283695,2013.208485212
Antigua and Barbuda,ATG,No,2014,1,11%,11.1%,0.369258666,,2013.809059538,2014.275207676
Antigua and Barbuda,ATG,No,2015,1,11%,11.1%,0.754506802,,2014.716190491,2015.273222084
Antigua and Barbuda,ATG,No,2016,1,11%,11.1%,0.928985764,,2015.852175274,2016.254470127
Antigua and Barbuda,ATG,No,2017,1,11%,11.1%,0.446490305,,2017.255303319,2017.148811343
Antigua and Barbuda,ATG,No,2018,1,11%,11.1%,0.190805862,,2017.762945083,2018.051161262
Antigua and Barbuda,ATG,No,2019,1,11%,11.1%,0.337721185,,2018.895127512,2019.183688503
Arab World,ARB,No,1997,1,4%,3.7%,0.067874133,,1996.708763436,1997.081565275
Arab World,ARB,No,1998,1,3%,3.5%,0.619770938,,1997.923344192,1998.054567292
Arab World,ARB,No,1999,1,4%,3.6%,0.273538022,,1999.112738629,1999.305901999
Arab World,ARB,No,2000,1,4%,3.8%,0.372010287,,1999.816680053,2000.186980920
Arab World,ARB,No,2001,1,5%,4.6%,0.450099434,,2000.989322122,2001.124962853
Arab World,ARB,No,2002,1,6%,6.1%,0.062728261,,2001.918672571,2002.063601658
Arab World,ARB,No,2003,1,6%,6.0%,0.030651715,,2002.839955060,2003.065414504
Arab World,ARB,No,2004,1,7%,6.7%,0.381393354,,2004.288730260,2004.032887120
Arab World,ARB,No,2005,1,7%,7.0%,0.850038702,,2004.952715884,2005.246160231
Arab World,ARB,No,2006,1,9%,9.3%,0.942604805,,2005.941662713,2006.093368136
Arab World,ARB,No,2007,1,10%,9.8%,0.585070514,,2006.813710932,2007.245645217
Arab World,ARB,No,2008,1,10%,9.8%,0.301802482,,2007.754535396,2008.233679842
Arab World,ARB,No,2009,1,10%,9.9%,0.249873599,,2009.227358330,2009.270956981
Arab World,ARB,No,2010,1,12%,11.9%,0.220247825,,2010.099015086,2010.040545321
Arab World,ARB,No,2011,1,11%,11.3%,0.149133109,,2011.159478526,2011.231686948
Arab World,ARB,No,2012,1,15%,14.9%,0.582119469,,2011.859729275,2012.171664819
Arab World,ARB,No,2013,1,17%,17.4%,0.814541615,,2012.948853125,2013.282591395
Arab World,ARB,No,2014,1,18%,17.8%,0.753082361,,2013.723194414,2014.133339126
Arab World,ARB,No,2015,1,19%,18.8%,0.162921500,,2015.200840222,2015.307473379
Arab World,ARB,No,2016,1,19%,19.3%,0.023218001,,2016.157850795,2016.275928975
Arab World,ARB,No,2017,1,19%,18.9%,0.029880939,,2017.226372393,2017.087760343
Arab World,ARB,No,2018,1,19%,19.1%,0.348472939,,2018.157017707,2018.287452750
Arab World,ARB,No,2019,1,18%,17.6%,0.462675366,,2019.086928307,2019.273699652
Argentina,ARG,No,1997,1,28%,27.6%,0.913971350,,1997.287723848,1997.013822163
Argentina,ARG,No,1998,1,28%,27.6%,0.189134746,,1998.094311338,1998.136231659
Argentina,ARG,No,2000,1,26%,26.5%,0.979225567,,1999.792865333,2000.225184401
Argentina,ARG,No,2002,1,31%,30.7%,0.533369101,,2001.780585815,2002.030275675
Argentina,ARG,No,2003,1,31%,30.7%,0.848303376,,2003.064538509,2003.319887524
Argentina,ARG,No,2004,1,34%,33.7%,0.949158573,,2004.327154239,2004.264866319
Argentina,ARG,No,2005,1,36%,36.2%,0.243485266,,2005.248250801,2005.190800070
Argentina,ARG,No,2006,1,35%,35.0%,0.426157760,,2006.066876420,2006.056744068
Argentina,ARG,No,2007,1,40%,40.0%,0.766996037,,2007.091316684,2007.220485462
Argentina,ARG,No,2008,1,40%,40.0%,0.835204019,,2008.030792204,2008.319459710
Argentina,ARG,No,2009,1,39%,38.5%,0.848310155,,2008.768659507,2009.233485485
Argentina,ARG,No,2010,1,39%,38.5%,0.355756019,,2009.936442403,2010.127748558
Argentina,ARG,No,2011,1,37%,37.4%,0.741096938,,2010.787280823,2011.135090601
Argentina,ARG,No,2012,1,37%,37.4%,0.447263216,,2011.797794266,2012.088108236
Argentina,ARG,No,2013,1,37%,36.6%,0.342777739,,2012.900391220,2013.113849439
Argentina,ARG,No,2014,1,37%,36.6%,0.927345443,,2014.053822426,2014.224150021
Argentina,ARG,No,2016,1,36%,35.8%,0.008701085,,2016.310821259,2016.208503710
Argentina,ARG,No,2017,1,38%,38.1%,0.392910989,,2017.105956923,2017.023407728
Argentina,ARG,No,2018,1,39%,38.9%,0.217577393,,2018.236717736,2018.266107393
Argentina,ARG,No,2019,1,40%,40.2%,0.409436347,,2019.271364590,2019.272522730
Armenia,ARM,No,1997,1,6%,6.3%,0.338755459,,1996.957878701,1997.001873430
Armenia,ARM,No,1998,1,6%,6.3%,0.909087540,,1997.729968977,1998.138649343
Armenia,ARM,No,1999,1,3%,3.1%,0.701710361,,1998.942944282,1999.157314651
Armenia,ARM,No,2000,1,3%,3.1%,0.950463730,,2000.297284319,2000.028551173
Armenia,ARM,No,2001,1,3%,3.1%,0.738161017,,2000.685843482,2001.016892229
Armenia,ARM,No,2002,1,3%,3.1%,0.841328869,,2001.767937892,2002.108124861
Armenia,ARM,No,2003,1,5%,4.6%,0.194871956,,2003.037941549,2003.247539218
Armenia,ARM,No,2004,1,5%,5.3%,0.783662137,,2004.218251893,2004.226750272
Armenia,ARM,No,2005,1,5%,5.3%,0.625246859,,2004.754961179,2005.094768156
Armenia,ARM,No,2006,1,5%,5.3%,0.432035601,,2006.032142690,2006.059711252
Armenia,ARM,No,2007,1,9%,9.2%,0.329703808,,2007.330438552,2007.154367172
Armenia,ARM,No,2008,1,8%,8.4%,0.643190456,,2008.098487888,2008.172759190
Armenia,ARM,No,2009,1,9%,9.2%,0.526656936,,2009.172261468,2009.271911980
Armenia,ARM,No,2010,1,9%,9.2%,0.778333731,,2009.860889796,2010.121472450
Armenia,ARM,No,2011,1,8%,8.4%,0.594182833,,2011.234415533,2011.273028828
Armenia,ARM,No,2012,1,11%,10.7%,0.006710377,,2012.214828176,2012.027258676
Armenia,ARM,No,2013,1,11%,10.7%,0.322873596,,2012.707556079,2013.272291263
Armenia,ARM,No,2014,1,11%,10.7%,0.020131848,,2014.136177854,2014.301289598
Armenia,ARM,No,2015,1,11%,10.7%,0.224724189,,2014.876364981,2015.004952140
Armenia,ARM,No,2016,1,11%,10.7%,0.865977116,,2016.151891095,2016.046448877
Armenia,ARM,No,2017,1,18%,18.1%,0.738720766,,2017.165630746,2017.089179091
Armenia,ARM,No,2018,1,18%,18.1%,0.678236086,,2017.666742303,2018.164131018
Armenia,ARM,No,2019,1,23%,23.5%,0.374153561,,2019.293080736,2019.243859396
Australia,AUS,No,1997,1,16%,15.5%,0.050518864,,1997.171784127,1997.038173827
Australia,AUS,No,1998,1,16%,15.5%,0.536715915,,1997.817717340,1998.324524078
Australia,AUS,No,1999,1,22%,22.4%,0.855882523,,1999.151209760,1999.061617415
Australia,AUS,No,2000,1,23%,23.0%,0.012418353,,1999.773610162,2000.262573502
Australia,AUS,No,2002,1,25%,25.3%,0.961304359,,2001.808019761,2002.044983577
Australia,AUS,No,2003,1,25%,25.3%,0.968243978,,2003.192940727,2003.320411089
Australia,AUS,No,2004,1,25%,24.7%,0.881442531,,2003.795441414,2004.071082196
Australia,AUS,No,2005,1,25%,24.7%,0.884529646,,2004.973521598,2005.181273472
Australia,AUS,No,2006,1,25%,24.7%,0.786824003,,2005.842545436,2006.284744300
Australia,AUS,No,2007,1,27%,26.7%,0.624284129,,2007.173251623,2007.205575846
Australia,AUS,No,2008,1,27%,26.7%,0.698154040,,2007.694924025,2008.177017349
Australia,AUS,No,2009,1,27%,27.3%,0.617522007,,2008.937400853,2009.135003261
Australia,AUS,No,2010,1,25%,24.7%,0.207189242,,2009.826260650,2010.330178768
Australia,AUS,No,2011,1,25%,24.7%,0.265458576,,2011.326377043,2011.064687569
Australia,AUS,No,2012,1,25%,24.7%,0.740281025,,2011.698042380,2012.026668448
Australia,AUS,No,2013,1,26%,26.0%,0.743402137,,2012.756944448,2013.221336382
Australia,AUS,No,2014,1,26%,26.0%,0.542216646,,2013.952420235,2014.105412501
Australia,AUS,No,2015,1,27%,26.7%,0.217890795,,2015.204765698,2015.210086597
Australia,AUS,No,2016,1,29%,28.7%,0.375391853,,2015.919700262,2016.312983617
Australia,AUS,No,2017,1,29%,28.7%,0.413384212,,2017.133602814,2017.185257721
Australia,AUS,No,2018,1,29%,28.7%,0.323969269,,2017.699896207,2018.235661626
Australia,AUS,No,2019,1,30%,30.5%,0.462702803,,2019.119829660,2019.109048631
Austria,AUT,No,1997,1,26%,26.2%,0.742664345,,1997.233817258,1997.099468654
Austria,AUT,No,1998,1,26%,26.2%,0.439839959,,1998.174335942,1998.252833067
Austria,AUT,No,2000,1,27%,26.8%,0.593228064,,1999.925028360,2000.253763020
Austria,AUT,No,2001,1,27%,26.8%,0.673678843,,2001.218902982,2001.171748623
Austria,AUT,No,2003,1,34%,33.9%,0.038153785,,2002.679626013,2003.243071173
Austria,AUT,No,2004,1,34%,33.9%,0.938903764,,2004.042860977,2004.102942526
Austria,AUT,No,2005,1,34%,33.9%,0.887494669,,2004.887859493,2005.050412596
Austria,AUT,No,2006,1,32%,32.2%,0.561344582,,2005.879921553,2006.168673111
Austria,AUT,No,2007,1,33%,32.8%,0.700633649,,2007.094190895,2007.189836575
Austria,AUT,No,2008,1,27%,27.3%,0.999744150,,2007.667376085,2008.227645022
Austria,AUT,No,2009,1,28%,27.9%,0.401005284,,2009.045176964,2009.160791986
Austria,AUT,No,2010,1,28%,27.9%,0.540543479,,2009.939380642,2010.252417691
Austria,AUT,No,2011,1,28%,27.9%,0.853151930,,2010.952071150,2011.298562144
Austria,AUT,No,2012,1,28%,27.9%,0.275951576,,2011.810313503,2012.236051811
Austria,AUT,No,2013,1,33%,33.3%,0.450632153,,2013.266693526,2013.316359680
Austria,AUT,No,2014,1,32%,32.2%,0.767873331,,2013.748252288,2014.298230042
Austria,AUT,No,2015,1,31%,30.6%,0.644942232,,2014.810568865,2015.235750375
Austria,AUT,No,2016,1,31%,30.6%,0.778145016,,2015.953021884,2016.198797475
Austria,AUT,No,2017,1,34%,34.4%,0.458366496,,2016.827612955,2017.046505292
Austria,AUT,No,2018,1,34%,34.4%,0.217624761,,2017.752025912,2018.322325187
Austria,AUT,No,2019,1,39%,39.3%,0.394717499,,2018.803431111,2019.178921348
Azerbaijan,AZE,No,1997,1,12%,12.0%,0.302166995,,1996.792210482,1997.097593108
Azerbaijan,AZE,No,1998,1,12%,12.0%,0.786672859,,1997.740819816,1998.103137621
Azerbaijan,AZE,No,1999,1,12%,12.0%,0.607251353,,1998.788249184,1999.026198908
Azerbaijan,AZE,No,2001,1,10%,10.5%,0.183021298,,2001.195582116,2001.136339288
Azerbaijan,AZE,No,2002,1,10%,10.5%,0.479050955,,2001.844521439,2002.087002142
Azerbaijan,AZE,No,2003,1,10%,10.5%,0.238708711,,2002.865167014,2003.089754437
Azerbaijan,AZE,No,2004,1,10%,10.5%,0.921719016,,2003.871362306,2004.297264588
Azerbaijan,AZE,No,2005,1,13%,13.0%,0.919580196,,2004.790198514,2005.060062078
Azerbaijan,AZE,No,2006,1,11%,11.3%,0.834088502,,2005.966419365,2006.063370192
Azerbaijan,AZE,No,2007,1,11%,11.4%,0.458777065,,2007.262252372,2007.146939966
Azerbaijan,AZE,No,2008,1,11%,11.4%,0.299001763,,2007.904541892,2008.123231292
Azerbaijan,AZE,No,2009,1,11%,11.4%,0.423246646,,2009.156076644,2009.098227706
Azerbaijan,AZE,No,2010,1,16%,16.0%,0.111471494,,2010.315154228,2010.161425220
Azerbaijan,AZE,No,2011,1,16%,16.0%,0.742641366,,2011.276788605,2011.248392437
Azerbaijan,AZE,No,2012,1,16%,16.0%,0.384141766,,2012.124182254,2012.265549386
Azerbaijan,AZE,No,2013,1,16%,15.6%,0.853395671,,2012.684740325,2013.125604171
Azerbaijan,AZE,No,2014,1,16%,15.6%,0.837667235,,2014.179461464,2014.232717700
Azerbaijan,AZE,No,2015,1,17%,16.9%,0.439627179,,2014.944372588,2015.129230348
Azerbaijan,AZE,No,2016,1,17%,16.8%,0.347313267,,2015.753072196,2016.278197170
Azerbaijan,AZE,No,2017,1,17%,16.8%,0.984898844,,2017.240249809,2017.192873924
Azerbaijan,AZE,No,2018,1,17%,16.8%,0.139349294,,2017.986526921,2018.003454437
Azerbaijan,AZE,No,2019,1,17%,16.8%,0.659360447,,2019.322778384,2019.275527204
Bahamas,BHS,No,1997,1,15%,15.0%,0.595331152,,1997.145526980,1997.073543407
Bahamas,BHS,No,1998,1,15%,15.0%,0.457939210,,1997.747946679,1998.114204140
Bahamas,BHS,No,1999,1,15%,15.0%,0.192743529,,1998.790261068,1999.216791988
Bahamas,BHS,No,2000,1,15%,15.0%,0.055459990,,2000.252116691,2000.014372163
Bahamas,BHS,No,2001,1,15%,15.0%,0.361665204,,2001.072016027,2001.263935133
Bahamas,BHS,No,2003,1,20%,20.0%,0.150351314,,2002.781035701,2003.082746990
Bahamas,BHS,No,2004,1,20%,20.0%,0.938917570,,2003.902219190,2004.275177955
Bahamas,BHS,No,2005,1,20%,20.0%,0.386206456,,2004.917753879,2005.234666165
Bahamas,BHS,No,2006,1,20%,20.0%,0.222628885,,2006.233331165,2006.236523690
Bahamas,BHS,No,2007,1,12%,12.2%,0.097889264,,2007.008571168,2007.313146729
Bahamas,BHS,No,2008,1,12%,12.2%,0.499689739,,2008.285436404,2008.240948603
Bahamas,BHS,No,2009,1,12%,12.2%,0.403620183,,2009.058445266,2009.081556473
Bahamas,BHS,No,2010,1,12%,12.2%,0.079896781,,2009.857176485,2010.264769402
Bahamas,BHS,No,2011,1,12%,12.2%,0.947658685,,2010.970164314,2011.178299247
Bahamas,BHS,No,2012,1,13%,13.2%,0.317863447,,2011.928785966,2012.245595536
Bahamas,BHS,No,2013,1,13%,13.2%,0.179602017,,2012.729132908,2013.214159274
Bahamas,BHS,No,2014,1,13%,13.2%,0.806989977,,2013.774629353,2014.050197077
Bahamas,BHS,No,2015,1,13%,13.2%,0.298560032,,2014.776143933,2015.279752169
Bahamas,BHS,No,2016,1,13%,13.2%,0.513898466,,2015.845026293,2016.022955726
Bahamas,BHS,No,2017,1,13%,12.8%,0.986501607,,2017.327839054,2017.255772317
Bahamas,BHS,No,2018,1,13%,12.8%,0.140548319,,2017.787747006,2018.161474546
Bahamas,BHS,No,2019,1,13%,12.8%,0.737023089,,2018.851661676,2019.043186346
Bangladesh,BGD,No,1997,1,9%,9.1%,0.008663029,,1996.693096619,1997.197779073
Bangladesh,BGD,No,1998,1,9%,9.1%,0.666648817,,1998.237573186,1998.185669531
Bangladesh,BGD,No,1999,1,9%,9.1%,0.599375255,,1999.124386862,1999.064033396
Bangladesh,BGD,No,2000,1,9%,9.1%,0.208675179,,1999.846556781,2000.332820724
Bangladesh,BGD,No,2002,1,2%,2.0%,0.468136330,,2001.959128632,2002.216569279
Bangladesh,BGD,No,2003,1,2%,2.0%,0.215168814,,2003.252232437,2003.284319397
Bangladesh,BGD,No,2004,1,2%,2.0%,0.340741851,,2003.919082510,2004.309077374
Bangladesh,BGD,No,2005,1,15%,14.8%,0.399991961,,2004.862500497,2005.179306050
Bangladesh,BGD,No,2006,1,15%,15.1%,0.289019784,,2005.959720897,2006.013550866
Bangladesh,BGD,No,2008,1,6%,6.3%,0.220286583,,2008.005050020,2008.002762758
Bangladesh,BGD,No,2009,1,19%,18.6%,0.765251381,,2009.000700228,2009.132610746
Bangladesh,BGD,No,2010,1,19%,18.6%,0.028474795,,2010.098285022,2010.326141647
Bangladesh,BGD,No,2011,1,20%,19.7%,0.637030586,,2010.831481983,2011.064282610
Bangladesh,BGD,No,2012,1,20%,19.7%,0.254355227,,2012.292877726,2012.069986096
Bangladesh,BGD,No,2013,1,20%,19.7%,0.742440028,,2013.130771399,2013.192250871
Bangladesh,BGD,No,2014,1,20%,19.8%,0.978944751,,2013.797021250,2014.290785823
Bangladesh,BGD,No,2015,1,20%,20.0%,0.681489895,,2014.876544328,2015.155287569
Bangladesh,BGD,No,2016,1,20%,20.0%,0.756017116,,2016.222905903,2016.057245411
Bangladesh,BGD,No,2017,1,20%,20.3%,0.741848276,,2017.035712724,2017.182859396
Bangladesh,BGD,No,2018,1,20%,20.3%,0.826816743,,2018.021366229,2018.131517680
Bangladesh,BGD,No,2019,1,21%,20.6%,0.830941524,,2019.191028618,2019.028664673
Barbados,BRB,No,1997,1,11%,10.7%,0.576219027,,1996.774857195,1997.308839370
Barbados,BRB,No,1998,1,11%,10.7%,0.268454585,,1997.967202167,1998.224809976
Barbados,BRB,No,1999,1,11%,10.7%,0.740551973,,1998.707563978,1999.278406144
Barbados,BRB,No,2000,1,11%,10.7%,0.467275606,,2000.156690935,2000.277091194
Barbados,BRB,No,2001,1,11%,10.7%,0.491519911,,2000.76445287,2001.272289757
Barbados,BRB,No,2002,1,11%,10.7%,0.784175153,,2002.217760587,2002.303031395
Barbados,BRB,No,2003,1,13%,13.3%,0.403142547,,2003.132309724,2003.082751897
Barbados,BRB,No,2004,1,13%,13.3%,0.122166422,,2004.233390183,2004.326365595
Barbados,BRB,No,2005,1,13%,13.3%,0.939093282,,2005.025264529,2005.198075598
Barbados,BRB,No,2006,1,13%,13.3%,0.455267346,,2005.705728465,2006.211260862
Barbados,BRB,No,2007,1,13%,13.3%,0.406915709,,2006.692574860,2007.121358243
Barbados,BRB,No,2008,1,10%,10.0%,0.347402438,,2007.997211037,2008.296052983
Barbados,BRB,No,2009,1,10%,10.0%,0.797152097,,2008.925469132,2009.277760709
Barbados,BRB,No,2010,1,10%,10.0%,0.579356305,,2009.670674873,2010.053169568
Barbados,BRB,No,2011,1,10%,10.0%,0.547018334,,2010.851000291,2011.236268517
Barbados,BRB,No,2012,1,10%,10.0%,0.443785960,,2012.220688699,2012.136244977
Barbados,BRB,No,2013,1,17%,16.7%,0.834087255,,2013.236054631,2013.059448436
