Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7223938,7177991,7127822,7075947,7025037,6975761,6927288
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,17586029,18110616,18646350,19193236,19751466,20321383,20903278
"Population, total",SP.POP.TOTL,Burundi,BDI,9844301,10160034,10488002,10827010,11175379,11530577,11890781
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,518276,524740,531140,537499,543764,549936,555988
"Population, total",SP.POP.TOTL,Cambodia,KHM,15274506,15521435,15766290,16009413,16249795,16486542,16718971
"Population, total",SP.POP.TOTL,Cameroon,CMR,22681853,23298376,23926549,24566070,25216261,25876387,26545864
"Population, total",SP.POP.TOTL,Canada,CAN,35437435,35702908,36109487,36545295,37065178,37593384,38005238
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,60848,61721,62564,63382,64172,64948,65720
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4464171,4493171,4537683,4596023,4666375,4745179,4829764
"Population, total",SP.POP.TOTL,Chad,TCD,13663562,14110971,14561658,15016761,15477727,15946882,16425859
"Population, total",SP.POP.TOTL,Channel Islands,CHI,164107,165387,166922,168666,170496,172264,173859
"Population, total",SP.POP.TOTL,Chile,CHL,17758969,17969356,18209072,18470435,18729166,18952035,19116209
"Population, total",SP.POP.TOTL,China,CHN,1364270000,1371220000,1378665000,1386395000,1392730000,1397715000,1402112000
"Population, total",SP.POP.TOTL,Colombia,COL,46967706,47520667,48175048,48909844,49661056,50339443,50882884
"Population, total",SP.POP.TOTL,Comoros,COM,759390,777435,795597,813890,832322,850891,869595
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,73767445,76244532,78789130,81398765,84068092,86790568,89561404
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,4736965,4856093,4980996,5110701,5244363,5380504,5518092
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4795390,4847805,4899336,4949955,4999443,5047561,5094114
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,22647672,23226148,23822726,24437475,25069226,25716554,26378275
"Population, total",SP.POP.TOTL,Croatia,HRV,4238389,4203604,4174349,4124531,4087843,4065253,4047200
"Population, total",SP.POP.TOTL,Cuba,CUB,11306909,11324777,11335108,11339255,11338146,11333484,11326616
"Population, total",SP.POP.TOTL,Curacao,CUW,155909,157980,159664,160175,159336,157441,155014
"Population, total",SP.POP.TOTL,Cyprus,CYP,1152297,1160987,1170189,1179685,1189262,1198574,1207361
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10525347,10546059,10566332,10594438,10629928,10671870,10698896
"Population, total",SP.POP.TOTL,Denmark,DNK,5643475,5683483,5728010,5764980,5793636,5814422,5831404
"Population, total",SP.POP.TOTL,Djibouti,DJI,898707,913998,929117,944100,958923,973557,988002
"Population, total",SP.POP.TOTL,Dominica,DMA,71091,71175,71307,71460,71626,71808,71991
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10165182,10281675,10397738,10513111,10627147,10738957,10847904
"Population, total",SP.POP.TOTL,Ecuador,ECU,15951832,16212022,16491116,16785356,17084359,17373657,17643060
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,90424668,92442549,94447071,96442590,98423602,100388076,102334403
"Population, total",SP.POP.TOTL,El Salvador,SLV,6295124,6325121,6356137,6388124,6420740,6453550,6486201
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1122273,1168575,1215181,1262008,1308966,1355982,1402985
"Population, total",SP.POP.TOTL,Eritrea,ERI,..,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,Estonia,EST,1314545,1315407,1315790,1317384,1321977,1326898,1331057
"Population, total",SP.POP.TOTL,Ethiopia,ETH,98094264,100835453,103603461,106399926,109224410,112078727,114963583
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,47965,48055,48173,48326,48497,48677,48865
"Population, total",SP.POP.TOTL,Fiji,FJI,866447,868632,872406,877460,883490,889955,896444
"Population, total",SP.POP.TOTL,Finland,FIN,5461512,5479531,5495303,5508214,5515525,5521606,5530719
"Population, total",SP.POP.TOTL,France,FRA,66312067,66548272,66724104,66918020,67101930,67248926,67391582
"Population, total",SP.POP.TOTL,French Polynesia,PYF,271713,273119,274576,276108,277673,279285,280904
"Population, total",SP.POP.TOTL,Gabon,GAB,1883801,1947690,2007882,2064812,2119275,2172578,2225728
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2024037,2085860,2149134,2213900,2280092,2347696,2416664
"Population, total",SP.POP.TOTL,Georgia,GEO,3719414,3725276,3727505,3728004,3726549,3720161,3714000
"Population, total",SP.POP.TOTL,Germany,DEU,80982500,81686611,82348669,82657002,82905782,83092962,83240525
"Population, total",SP.POP.TOTL,Ghana,GHA,27224480,27849203,28481947,29121464,29767108,30417858,31072945
"Population, total",SP.POP.TOTL,Gibraltar,GIB,33726,33742,33738,33723,33715,33706,33691
"Population, total",SP.POP.TOTL,Greece,GRC,10892413,10820883,10775971,10754679,10732882,10721582,10715549
"Population, total",SP.POP.TOTL,Greenland,GRL,56295,56114,56186,56172,56023,56225,56367
"Population, total",SP.POP.TOTL,Grenada,GRD,108900,109603,110263,110874,111449,112002,112519
"Population, total",SP.POP.TOTL,Guam,GUM,161007,161851,162948,164281,165770,167295,168783
"Population, total",SP.POP.TOTL,Guatemala,GTM,15306316,15567419,15827690,16087418,16346950,16604026,16858333
"Population, total",SP.POP.TOTL,Guinea,GIN,11150970,11432096,11738434,12067516,12414292,12771246,13132792
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1692433,1737207,1782434,1828146,1874304,1920917,1967998
"Population, total",SP.POP.TOTL,Guyana,GUY,763371,767433,771363,775218,779007,782775,786559
"Population, total",SP.POP.TOTL,Haiti,HTI,10549007,10695540,10839976,10982367,11123183,11263079,11402533
"Population, total",SP.POP.TOTL,Honduras,HND,8955579,9112904,9270794,9429016,9587523,9746115,9904608
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7229500,7291300,7336600,7391700,7451000,7507400,7481800
"Population, total",SP.POP.TOTL,Hungary,HUN,9866468,9843028,9814023,9787966,9775564,9771141,9749763
"Population, total",SP.POP.TOTL,Iceland,ISL,327386,330815,335439,343400,352721,360563,366425
"Population, total",SP.POP.TOTL,India,IND,1295600768,1310152392,1324517250,1338676779,1352642283,1366417756,1380004385
"Population, total",SP.POP.TOTL,Indonesia,IDN,255128076,258383257,261556386,264650969,267670549,270625567,273523621
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,77465769,78492208,79563991,80673888,81800204,82913893,83992953
"Population, total",SP.POP.TOTL,Iraq,IRQ,34411949,35572269,36610632,37552789,38433604,39309789,40222503
"Population, total",SP.POP.TOTL,Ireland,IRL,4657740,4701957,4755335,4807388,4867316,4934340,4994724
"Population, total",SP.POP.TOTL,Isle of Man,IMN,83488,83232,83296,83610,84073,84589,85032
"Population, total",SP.POP.TOTL,Israel,ISR,8215700,8380100,8546000,8713300,8882800,9054000,9216900
"Population, total",SP.POP.TOTL,Italy,ITA,60789140,60730582,60627498,60536709,60421760,59729081,59554023
"Population, total",SP.POP.TOTL,Jamaica,JAM,2875137,2891024,2906242,2920848,2934853,2948277,2961161
"Population, total",SP.POP.TOTL,Japan,JPN,127276000,127141000,126994511,126785797,126529100,126264931,125836021
"Population, total",SP.POP.TOTL,Jordan,JOR,8918822,9266573,9554286,9785840,9965322,10101697,10203140
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,17288285,17542806,17794055,18037776,18276452,18513673,18754440
"Population, total",SP.POP.TOTL,Kenya,KEN,46700063,47878339,49051531,50221146,51392570,52573967,53771300
"Population, total",SP.POP.TOTL,Kiribati,KIR,109387,110927,112529,114153,115842,117608,119446
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,25057793,25183832,25307665,25429816,25549606,25666158,25778815
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,50746659,51014947,51217803,51361911,51606633,51709098,51780579
"Population, total",SP.POP.TOTL,Kosovo,XKX,1812771,1788196,1777557,1791003,1797085,1788878,1775378
"Population, total",SP.POP.TOTL,Kuwait,KWT,3690939,3835588,3956862,4056102,4137314,4207077,4270563
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,5835500,5956900,6079500,6198200,6322800,6456200,6591600
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6639763,6741160,6845848,6953031,7061498,7169456,7275556
"Population, total",SP.POP.TOTL,Latvia,LVA,1993782,1977527,1959537,1942248,1927174,1913822,1901548
"Population, total",SP.POP.TOTL,Lebanon,LBN,6261046,6532681,6714281,6819373,6859408,6855709,6825442
"Population, total",SP.POP.TOTL,Lesotho,LSO,2043448,2059011,2075041,2091532,2108327,2125267,2142252
"Population, total",SP.POP.TOTL,Liberia,LBR,4359508,4472229,4586788,4702224,4818976,4937374,5057677
"Population, total",SP.POP.TOTL,Libya,LBY,6362039,6418315,6492160,6580723,6678565,6777453,6871287
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,37219,37465,37655,37805,37918,38020,38137
"Population, total",SP.POP.TOTL,Lithuania,LTU,2932367,2904910,2868231,2828403,2801543,2794137,2794700
"Population, total",SP.POP.TOTL,Luxembourg,LUX,556319,569604,582014,596336,607950,620001,632275
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,590210,602093,612824,622578,631633,640446,649342
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2077780,2079335,2080746,2081996,2082957,2083458,2083380
"Population, total",SP.POP.TOTL,Madagascar,MDG,23589897,24234080,24894370,25570511,26262313,26969306,27691019
"Population, total",SP.POP.TOTL,Malawi,MWI,16289550,16745305,17205253,17670193,18143215,18628749,19129955
"Population, total",SP.POP.TOTL,Malaysia,MYS,29866606,30270965,30684652,31104655,31528033,31949789,32365998
"Population, total",SP.POP.TOTL,Maldives,MDV,435018,454914,475505,496398,515704,530957,540542
"Population, total",SP.POP.TOTL,Mali,MLI,16934213,17438772,17965448,18512429,19077755,19658023,20250834
"Population, total",SP.POP.TOTL,Malta,MLT,434558,445053,455356,467999,484630,504062,525285
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,57183,57444,57723,58053,58412,58791,59194
"Population, total",SP.POP.TOTL,Mauritania,MRT,3930894,4046304,4163532,4282582,4403312,4525698,4649660
"Population, total",SP.POP.TOTL,Mauritius,MUS,1260934,1262605,1263473,1264613,1265303,1265711,1265740
"Population, total",SP.POP.TOTL,Mexico,MEX,120355137,121858251,123333379,124777326,126190782,127575529,128932753
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,107444,108886,110215,111461,112640,113811,115021
"Population, total",SP.POP.TOTL,Moldova,MDA,2856950,2834530,2802170,2755158,2708214,2663251,2617820
"Population, total",SP.POP.TOTL,Monaco,MCO,37320,37723,38070,38392,38682,38967,39244
"Population, total",SP.POP.TOTL,Mongolia,MNG,2940111,2998433,3056358,3113788,3170214,3225166,3278292
"Population, total",SP.POP.TOTL,Montenegro,MNE,621810,622159,622303,622373,622227,622028,621718
"Population, total",SP.POP.TOTL,Morocco,MAR,34192358,34663608,35126274,35581257,36029089,36471766,36910558
"Population, total",SP.POP.TOTL,Mozambique,MOZ,26286192,27042001,27829930,28649007,29496009,30366043,31255435
"Population, total",SP.POP.TOTL,Myanmar,MMR,52280816,52680724,53045199,53382521,53708318,54045422,54409794
"Population, total",SP.POP.TOTL,Namibia,NAM,2273426,2314901,2358044,2402623,2448300,2494524,2540916
"Population, total",SP.POP.TOTL,Nauru,NRU,10289,10374,10474,10577,10678,10764,10834
"Population, total",SP.POP.TOTL,Nepal,NPL,26905982,27015033,27263430,27632682,28095712,28608715,29136808
"Population, total",SP.POP.TOTL,Netherlands,NLD,16865008,16939923,17030314,17131296,17231624,17344874,17441139
"Population, total",SP.POP.TOTL,New Caledonia,NCL,268050,268700,269350,270000,270650,271300,271960
"Population, total",SP.POP.TOTL,New Zealand,NZL,4516500,4609400,4714100,4813600,4900600,4979300,5084300
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6142734,6223234,6303970,6384843,6465502,6545503,6624554
"Population, total",SP.POP.TOTL,Niger,NER,19240182,20001663,20788789,21602388,22442831,23310719,24206636
"Population, total",SP.POP.TOTL,Nigeria,NGA,176404931,181137454,185960244,190873247,195874685,200963603,206139587
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,55301,55779,56187,56553,56889,57213,57557
"Population, total",SP.POP.TOTL,Norway,NOR,5137232,5188607,5234519,5276968,5311916,5347896,5379475
"Population, total",SP.POP.TOTL,Oman,OMN,4027255,4267341,4479217,4665926,4829476,4974992,5106622
"Population, total",SP.POP.TOTL,Pakistan,PAK,195305012,199426953,203631356,207906210,212228288,216565317,220892331
"Population, total",SP.POP.TOTL,Palau,PLW,17625,17665,17718,17809,17911,18001,18092
"Population, total",SP.POP.TOTL,Panama,PAN,3901311,3968490,4037073,4106764,4176868,4246440,4314768
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,7946733,8107772,8271766,8438038,8606324,8776119,8947027
"Population, total",SP.POP.TOTL,Paraguay,PRY,6599524,6688746,6777878,6867058,6956069,7044639,7132530
"Population, total",SP.POP.TOTL,Peru,PER,30090372,30470739,30926036,31444299,31989265,32510462,32971846
"Population, total",SP.POP.TOTL,Philippines,PHL,100513137,102113206,103663812,105172921,106651394,108116622,109581085
"Population, total",SP.POP.TOTL,Poland,POL,38011735,37986412,37970087,37974826,37974750,37965475,37950802
"Population, total",SP.POP.TOTL,Portugal,PRT,10401062,10358076,10325452,10300300,10283822,10286263,10305564
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3534874,3473232,3406672,3325286,3193354,3193694,3194034
"Population, total",SP.POP.TOTL,Qatar,QAT,2459202,2565708,2654379,2724727,2781682,2832071,2881060
"Population, total",SP.POP.TOTL,Romania,ROU,19908979,19815616,19702267,19588715,19473970,19371648,19286123
"Population, total",SP.POP.TOTL,Russian Federation,RUS,143819667,144096870,144342397,144496739,144477859,144406261,144104080
"Population, total",SP.POP.TOTL,Rwanda,RWA,11083629,11369066,11668829,11980960,12301969,12626938,12952209
"Population, total",SP.POP.TOTL,Samoa,WSM,192220,193510,194540,195358,196128,197093,198410
"Population, total",SP.POP.TOTL,San Marino,SMR,32941,33270,33503,33671,33784,33864,33938
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,195727,199439,203221,207086,211032,215048,219161
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,30916603,31717676,32443443,33101183,33702757,34268529,34813867
"Population, total",SP.POP.TOTL,Senegal,SEN,14174740,14578450,14993514,15419354,15854324,16296362,16743930
"Population, total",SP.POP.TOTL,Serbia,SRB,7130576,7095383,7058322,7020858,6982604,6945235,6908224
"Population, total",SP.POP.TOTL,Seychelles,SYC,91359,93419,94677,95843,96762,97625,98462
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,7017153,7171909,7328846,7488427,7650149,7813207,7976985
"Population, total",SP.POP.TOTL,Singapore,SGP,5469724,5535002,5607283,5612253,5638676,5703569,5685807
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,37685,38825,39969,40574,40654,40733,40812
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5418649,5423801,5430798,5439232,5446771,5454147,5458827
"Population, total",SP.POP.TOTL,Slovenia,SVN,2061980,2063531,2065042,2066388,2073894,2088385,2100126
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,587079,603133,619438,636030,652856,669821,686878
"Population, total",SP.POP.TOTL,Somalia,SOM,13423571,13797204,14185635,14589165,15008225,15442906,15893219
"Population, total",SP.POP.TOTL,South Africa,ZAF,54544184,55386369,56207649,57009751,57792520,58558267,59308690
"Population, total",SP.POP.TOTL,South Sudan,SSD,10554882,10715657,10832520,10910774,10975924,11062114,11193729
"Population, total",SP.POP.TOTL,Spain,ESP,46480882,46444832,46484062,46593236,46797754,47133521,47351567
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,20778000,20970000,21203000,21444000,21670000,21803000,21919000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,50776,51204,51629,52036,52438,52834,53192
"Population, total",SP.POP.TOTL,St. Lucia,LCA,178307,179131,180028,180955,181890,182795,183629
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,36018,35865,36061,36569,37264,38002,38659
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,108868,109135,109467,109826,110210,110593,110947
"Population, total",SP.POP.TOTL,Sudan,SDN,37977657,38902948,39847433,40813398,41801532,42813237,43849269
"Population, total",SP.POP.TOTL,Suriname,SUR,553278,559136,564883,570501,575987,581363,586634
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1095022,1104038,1113994,1124808,1136274,1148133,1160164
"Population, total",SP.POP.TOTL,Sweden,SWE,9696110,9799186,9923085,10057698,10175214,10278887,10353442
"Population, total",SP.POP.TOTL,Switzerland,CHE,8188649,8282396,8373338,8451840,8514329,8575280,8636896
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,18710711,17997411,17465567,17095669,16945062,17070132,17500657
"Population, total",SP.POP.TOTL,Tajikistan,TJK,8252828,8454019,8663575,8880270,9100847,9321023,9537642
"Population, total",SP.POP.TOTL,Tanzania,TZA,49960563,51482638,53049231,54660345,56313444,58005461,59734213
"Population, total",SP.POP.TOTL,Thailand,THA,68438748,68714519,68971313,69209817,69428454,69625581,69799978
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1174333,1196294,1219289,1243260,1267975,1293120,1318442
"Population, total",SP.POP.TOTL,Togo,TGO,7137997,7323162,7509952,7698476,7889095,8082359,8278737
"Population, total",SP.POP.TOTL,Tonga,TON,101023,100780,101143,102002,103199,104497,105697
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1362337,1370332,1377563,1384060,1389841,1394969,1399491
"Population, total",SP.POP.TOTL,Tunisia,TUN,11063195,11179951,11303942,11433438,11565203,11694721,11818618
"Population, total",SP.POP.TOTL,Turkey,TUR,77229262,78529413,79827868,81116451,82340090,83429607,84339067
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,5466324,5565283,5662371,5757667,5850902,5942094,6031187
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,35371,35979,36558,37116,37667,38194,38718
"Population, total",SP.POP.TOTL,Tuvalu,TUV,10973,11099,11232,11365,11505,11655,11792
"Population, total",SP.POP.TOTL,Uganda,UGA,36911530,38225447,39649173,41166588,42729032,44269587,45741000
"Population, total",SP.POP.TOTL,Ukraine,UKR,45272155,45154036,45004673,44831135,44622518,44386203,44134693
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,9214182,9262896,9360975,9487206,9630966,9770526,9890400
"Population, total",SP.POP.TOTL,United Kingdom,GBR,64602298,65116219,65611593,66058859,66460344,66836327,67215293
"Population, total",SP.POP.TOTL,United States,USA,318386329,320738994,323071755,325122128,326838199,328329953,329484123
"Population, total",SP.POP.TOTL,Uruguay,URY,3400439,3412013,3424139,3436645,3449290,3461731,3473727
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,30757700,31298900,31847900,32388600,32956100,33580350,34232050
"Population, total",SP.POP.TOTL,Vanuatu,VUT,263888,271128,278326,285499,292675,299882,307150
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,30042973,30081827,29851249,29402480,28887117,28515829,28435943
"Population, total",SP.POP.TOTL,Vietnam,VNM,91713850,92677082,93640435,94600643,95545959,96462108,97338583
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,107882,107712,107516,107281,107001,106669,106290
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,4173398,4270092,4367088,4454805,4569087,4685306,4803269
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,25823488,26497881,27168210,27834811,28498683,29161922,29825968
"Population, total",SP.POP.TOTL,Zambia,ZMB,15399793,15879370,16363449,16853608,17351714,17861034,18383956
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,13586710,13814642,14030338,14236599,14438812,14645473,14862927
"Population, total",SP.POP.TOTL,Africa Eastern and Southern,AFE,578075373,593871847,609978946,626392880,643090131,660046272,677243299
"Population, total",SP.POP.TOTL,Africa Western and Central,AFW,390882979,401586651,412551299,423769930,435229381,446911598,458803476
"Population, total",SP.POP.TOTL,Arab World,ARB,387899835,396028301,404042892,411942825,419851989,427870273,436080728
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,7173443,7222197,7269385,7314956,7358929,7401389,7442291
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,103496179,103257886,102994278,102740078,102538451,102398537,102246330
"Population, total",SP.POP.TOTL,Early-demographic dividend,EAR,3079685581,3122156833,3164439749,3206485623,3248413593,3290291029,3332105361
"Population, total",SP.POP.TOTL,East Asia & Pacific,EAS,2267485985,2282863725,2298500738,2314112848,2328193462,2340673749,2352037717
"Population, total",SP.POP.TOTL,East Asia & Pacific (excluding high income),EAP,2023595907,2038190024,2053107304,2068150870,2081650327,2093675075,2105003391
"Population, total",SP.POP.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,1998510237,2012978425,2027772092,2042693823,2056073849,2067982370,2079198305
"Population, total",SP.POP.TOTL,Euro area,EMU,338462234,339488382,340481755,341217243,341979171,342282081,342949773
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,902404181,906707413,910910900,914655081,918082509,920809471,923489941
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,407567142,410111294,412578888,414892969,416931527,418760880,420249459
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,449817266,452301310,454723324,456992326,458994120,460791608,462247461
"Population, total",SP.POP.TOTL,European Union,EUU,443576675,444543761,445487730,446186344,446915113,447196538,447794691
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,811249811,830536041,849739853,868954263,888488369,908739462,930006546
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,698336663,718128408,738387077,759106118,780234453,801708019,823480038
"Population, total",SP.POP.TOTL,High income,HIC,1180423771,1187317397,1194191812,1200273639,1205941621,1210795776,1214930230
"Population, total",SP.POP.TOTL,IBRD only,IBD,4604818094,4648913836,4692822905,4736245535,4777365115,4816232592,4853608684
"Population, total",SP.POP.TOTL,IDA & IBRD total,IBT,6098309666,6176132700,6254651557,6333519283,6410926655,6486925157,6562212357
"Population, total",SP.POP.TOTL,IDA blend,IDB,501146189,512877239,524794580,536871945,549127807,561571929,574159138
"Population, total",SP.POP.TOTL,IDA only,IDX,992345383,1014341625,1037034072,1060401803,1084433733,1109120636,1134444535
"Population, total",SP.POP.TOTL,IDA total,IDA,1493491572,1527218864,1561828652,1597273748,1633561540,1670692565,1708603673
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,2233865679,2247405366,2261410364,2275536083,2287851415,2298495924,2307887395
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,615999056,622301041,628493594,634566052,640483586,646430786,652276325
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,558534202,564618410,570838477,577151682,583432088,589503742,595242966
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,599935349,606271936,612511541,618653508,624698076,630644771,636492840
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,919222955,941131317,963519718,986385402,1009691252,1033388868,1057438163
"Population, total",SP.POP.TOTL,Low & middle income,LMY,6043826104,6121677430,6200441680,6279734109,6357646877,6434033786,6509474374
"Population, total",SP.POP.TOTL,Low income,LIC,569367413,584084928,599290280,614965124,631147232,647870823,665149035
"Population, total",SP.POP.TOTL,Lower middle income,LMC,3058248975,3103569257,3149022555,3194517542,3240031866,3285416867,3330652547
"Population, total",SP.POP.TOTL,Middle East & North Africa,MEA,417924350,425821771,433616042,441298977,448974232,456709496,464554123
"Population, total",SP.POP.TOTL,Middle East & North Africa (excluding high income),MNA,357629838,363975556,370294017,376588457,382955167,389457075,396147843
"Population, total",SP.POP.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,353456440,359705464,365926929,372133652,378386080,384771769,391344574
"Population, total",SP.POP.TOTL,Middle income,MIC,5474458691,5537592502,5601151400,5664768985,5726499645,5786162963,5844325339
"Population, total",SP.POP.TOTL,North America,NAC,353888902,356507139,359245796,361731296,363967296,365987250,367553264
