from,to,relation
sdg.g04,sdg.g04.t0407,has_target
sdg.g04,sdg.g04.t040a,has_target
sdg.g04,sdg.g04.t040b,has_target
sdg.g04,sdg.g04.t040c,has_target
sdg.g05,sdg.g05.t0501,has_target
sdg.g05,sdg.g05.t0502,has_target
sdg.g05,sdg.g05.t0503,has_target
sdg.g05,sdg.g05.t0504,has_target
sdg.g05,sdg.g05.t0505,has_target
sdg.g05,sdg.g05.t0506,has_target
sdg.g05,sdg.g05.t050a,has_target
sdg.g05,sdg.g05.t050b,has_target
sdg.g05,sdg.g05.t050c,has_target
sdg.g06,sdg.g06.t0601,has_target
sdg.g06,sdg.g06.t0602,has_target
sdg.g06,sdg.g06.t0603,has_target
sdg.g06,sdg.g06.t0604,has_target
sdg.g06,sdg.g06.t0605,has_target
sdg.g06,sdg.g06.t0606,has_target
sdg.g06,sdg.g06.t060a,has_target
sdg.g06,sdg.g06.t060b,has_target
sdg.g07,sdg.g07.t0701,has_target
sdg.g07,sdg.g07.t0702,has_target
sdg.g07,sdg.g07.t0703,has_target
sdg.g07,sdg.g07.t070a,has_target
sdg.g07,sdg.g07.t070b,has_target
sdg.g08,sdg.g08.t0801,has_target
sdg.g08,sdg.g08.t0802,has_target
sdg.g08,sdg.g08.t0803,has_target
sdg.g08,sdg.g08.t0804,has_target
sdg.g08,sdg.g08.t0805,has_target
sdg.g08,sdg.g08.t0806,has_target
sdg.g08,sdg.g08.t0807,has_target
sdg.g08,sdg.g08.t0808,has_target
sdg.g08,sdg.g08.t0809,has_target
sdg.g08,sdg.g08.t0810,has_target
sdg.g08,sdg.g08.t080a,has_target
sdg.g08,sdg.g08.t080b,has_target
sdg.g09,sdg.g09.t0901,has_target
sdg.g09,sdg.g09.t0902,has_target
sdg.g09,sdg.g09.t0903,has_target
sdg.g09,sdg.g09.t0904,has_target
sdg.g09,sdg.g09.t0905,has_target
sdg.g09,sdg.g09.t090a,has_target
sdg.g09,sdg.g09.t090b,has_target
sdg.g09,sdg.g09.t090c,has_target
sdg.g10,sdg.g10.t1001,has_target
sdg.g10,sdg.g10.t1002,has_target
sdg.g10,sdg.g10.t1003,has_target
sdg.g10,sdg.g10.t1004,has_target
sdg.g10,sdg.g10.t1005,has_target
sdg.g10,sdg.g10.t1006,has_target
sdg.g10,sdg.g10.t1007,has_target
sdg.g10,sdg.g10.t100a,has_target
sdg.g10,sdg.g10.t100b,has_target
sdg.g10,sdg.g10.t100c,has_target
sdg.g11,sdg.g11.t1101,has_target
sdg.g11,sdg.g11.t1102,has_target
sdg.g11,sdg.g11.t1103,has_target
sdg.g11,sdg.g11.t1104,has_target
sdg.g11,sdg.g11.t1105,has_target
sdg.g11,sdg.g11.t1106,has_target
sdg.g11,sdg.g11.t1107,has_target
sdg.g11,sdg.g11.t110a,has_target
sdg.g11,sdg.g11.t110b,has_target
sdg.g11,sdg.g11.t110c,has_target
sdg.g12,sdg.g12.t1201,has_target
sdg.g12,sdg.g12.t1202,has_target
sdg.g12,sdg.g12.t1203,has_target
sdg.g12,sdg.g12.t1204,has_target
sdg.g12,sdg.g12.t1205,has_target
sdg.g12,sdg.g12.t1206,has_target
sdg.g12,sdg.g12.t1207,has_target
sdg.g12,sdg.g12.t1208,has_target
sdg.g12,sdg.g12.t120a,has_target
sdg.g12,sdg.g12.t120b,has_target
sdg.g12,sdg.g12.t120c,has_target
sdg.g13,sdg.g13.t1301,has_target
sdg.g13,sdg.g13.t1302,has_target
sdg.g13,sdg.g13.t1303,has_target
sdg.g13,sdg.g13.t130a,has_target
sdg.g13,sdg.g13.t130b,has_target
sdg.g14,sdg.g14.t1401,has_target
sdg.g14,sdg.g14.t1402,has_target
sdg.g14,sdg.g14.t1403,has_target
sdg.g14,sdg.g14.t1404,has_target
sdg.g14,sdg.g14.t1405,has_target
sdg.g14,sdg.g14.t1406,has_target
sdg.g14,sdg.g14.t1407,has_target
sdg.g14,sdg.g14.t140a,has_target
sdg.g14,sdg.g14.t140b,has_target
sdg.g14,sdg.g14.t140c,has_target
sdg.g15,sdg.g15.t1501,has_target
sdg.g15,sdg.g15.t1502,has_target
sdg.g15,sdg.g15.t1503,has_target
sdg.g15,sdg.g15.t1504,has_target
sdg.g15,sdg.g15.t1505,has_target
sdg.g15,sdg.g15.t1506,has_target
sdg.g15,sdg.g15.t1507,has_target
sdg.g15,sdg.g15.t1508,has_target
sdg.g15,sdg.g15.t1509,has_target
sdg.g15,sdg.g15.t150a,has_target
sdg.g15,sdg.g15.t150b,has_target
sdg.g15,sdg.g15.t150c,has_target
sdg.g16,sdg.g16.t1601,has_target
sdg.g16,sdg.g16.t1602,has_target
sdg.g16,sdg.g16.t1603,has_target
sdg.g16,sdg.g16.t1604,has_target
sdg.g16,sdg.g16.t1605,has_target
sdg.g16,sdg.g16.t1606,has_target
sdg.g16,sdg.g16.t1607,has_target
sdg.g16,sdg.g16.t1608,has_target
sdg.g16,sdg.g16.t1609,has_target
sdg.g16,sdg.g16.t1610,has_target
sdg.g16,sdg.g16.t160a,has_target
sdg.g16,sdg.g16.t160b,has_target
sdg.g17,sdg.g17.t1701,has_target
sdg.g17,sdg.g17.t1702,has_target
sdg.g17,sdg.g17.t1703,has_target
sdg.g17,sdg.g17.t1704,has_target
sdg.g17,sdg.g17.t1705,has_target
sdg.g17,sdg.g17.t1706,has_target
sdg.g17,sdg.g17.t1707,has_target
sdg.g17,sdg.g17.t1708,has_target
sdg.g17,sdg.g17.t1709,has_target
sdg.g17,sdg.g17.t1710,has_target
sdg.g17,sdg.g17.t1711,has_target
sdg.g17,sdg.g17.t1712,has_target
sdg.g17,sdg.g17.t1713,has_target
sdg.g17,sdg.g17.t1714,has_target
sdg.g17,sdg.g17.t1715,has_target
sdg.g17,sdg.g17.t1716,has_target
sdg.g17,sdg.g17.t1717,has_target
sdg.g17,sdg.g17.t1718,has_target
sdg.g17,sdg.g17.t1719,has_target
