NAME_LONG,FORMAL_EN,NAME_AR,NAME_BN,NAME_DE,NAME_ES,NAME_FR,NAME_EL,NAME_HI,NAME_HU,NAME_ID,NAME_IT,NAME_JA,NAME_KO,NAME_NL,NAME_PL,NAME_PT,NAME_RU,NAME_SV,NAME_TR,NAME_VI,NAME_ZH
Chile,Republic of Chile,تشيلي,চিলি,Chile,Chile,Chili,Χιλή,चिली,Chile,Chili,Cile,チリ,칠레,Chili,Chile,Chile,Чили,Chile,Şili,Chile,智利
Democratic Republic of the Congo,Democratic Republic of the Congo,جمهورية الكونغو الديمقراطية,গণতান্ত্রিক কঙ্গো প্রজাতন্ত্র,Demokratische Republik Kongo,República Democrática del Congo,République démocratique du Congo,Λαϊκή Δημοκρατία του Κονγκό,कांगो लोकतान्त्रिक गणराज्य,Kongói Demokratikus Köztársaság,Republik Demokratik Kongo,Repubblica Democratica del Congo,コンゴ民主共和国,콩고 민주 공화국,Congo-Kinshasa,Demokratyczna Republika Konga,República Democrática do Congo,Демократическая Республика Конго,Kongo-Kinshasa,Demokratik Kongo Cumhuriyeti,Cộng hòa Dân chủ Congo,刚果民主共和国
Somalia,Federal Republic of Somalia,الصومال,সোমালিয়া,Somalia,Somalia,Somalie,Σομαλία,सोमालिया,Szomália,Somalia,Somalia,ソマリア,소말리아,Somalië,Somalia,Somália,Сомали,Somalia,Somali,Somalia,索马里
Kenya,Republic of Kenya,كينيا,কেনিয়া,Kenia,Kenia,Kenya,Κένυα,कीनिया,Kenya,Kenya,Kenya,ケニア,케냐,Kenia,Kenia,Quénia,Кения,Kenya,Kenya,Kenya,肯尼亚
Sudan,Republic of the Sudan,السودان,সুদান,Sudan,Sudán,Soudan,Σουδάν,सूडान,Szudán,Sudan,Sudan,スーダン,수단,Soedan,Sudan,Sudão,Судан,Sudan,Sudan,Sudan,苏丹共和国
Chad,Republic of Chad,تشاد,চাদ,Tschad,Chad,Tchad,Τσαντ,चाड,Csád,Chad,Ciad,チャド,차드,Tsjaad,Czad,Chade,Чад,Tchad,Çad,Tchad,乍得
Haiti,Republic of Haiti,هايتي,হাইতি,Haiti,Haití,Haïti,Αϊτή,हैती,Haiti,Haiti,Haiti,ハイチ,아이티,Haïti,Haiti,Haiti,Республика Гаити,Haiti,Haiti,Haiti,海地
Dominican Republic,Dominican Republic,جمهورية الدومينيكان,ডোমিনিকান প্রজাতন্ত্র,Dominikanische Republik,República Dominicana,République dominicaine,Δομινικανή Δημοκρατία,डोमिनिकन गणराज्य,Dominikai Köztársaság,Republik Dominika,Repubblica Dominicana,ドミニカ共和国,도미니카 공화국,Dominicaanse Republiek,Dominikana,República Dominicana,Доминиканская Республика,Dominikanska republiken,Dominik Cumhuriyeti,Cộng hòa Dominica,多明尼加
Russian Federation,Russian Federation,روسيا,রাশিয়া,Russland,Rusia,Russie,Ρωσία,रूस,Oroszország,Rusia,Russia,ロシア,러시아,Rusland,Rosja,Rússia,Россия,Ryssland,Rusya,Nga,俄罗斯
Bahamas,Commonwealth of the Bahamas,باهاماس,বাহামা দ্বীপপুঞ্জ,Bahamas,Bahamas,Bahamas,Μπαχάμες,बहामास,Bahama-szigetek,Bahama,Bahama,バハマ,바하마,Bahama's,Bahamy,Bahamas,Багамские Острова,Bahamas,Bahamalar,Bahamas,巴哈马
Falkland Islands,Falkland Islands,جزر فوكلاند,ফক্‌ল্যান্ড দ্বীপপুঞ্জ,Falklandinseln,Islas Malvinas,îles Malouines,Νήσοι Φώκλαντ,फ़ॉकलैंड द्वीपसमूह,Falkland-szigetek,Kepulauan Falkland,Isole Falkland,フォークランド諸島,포클랜드 제도,Falklandeilanden,Falklandy,Ilhas Malvinas,Фолклендские острова,Falklandsöarna,Falkland Adaları,Quần đảo Falkland,福克兰群岛
Norway,Kingdom of Norway,النرويج,নরওয়ে,Norwegen,Noruega,Norvège,Νορβηγία,नॉर्वे,Norvégia,Norwegia,Norvegia,ノルウェー,노르웨이,Noorwegen,Norwegia,Noruega,Норвегия,Norge,Norveç,Na Uy,挪威
Greenland,Greenland,جرينلاند,গ্রিনল্যান্ড,Grönland,Groenlandia,Groenland,Γροιλανδία,ग्रीनलैण्ड,Grönland,Greenland,Groenlandia,グリーンランド,그린란드,Groenland,Grenlandia,Gronelândia,Гренландия,Grönland,Grönland,Greenland,格陵兰
French Southern and Antarctic Lands,Territory of the French Southern and Antarctic Lands,أراض فرنسية جنوبية وأنتارتيكية,,Französische Süd- und Antarktisgebiete,Tierras Australes y Antárticas Francesas,Terres australes et antarctiques françaises,Γαλλικά Νότια και Ανταρκτικά Εδάφη,दक्षिण फ्रांसीसी और अंटार्कटिक लैंड,Francia déli és antarktiszi területek,Daratan Selatan dan Antarktika Perancis,Terre australi e antartiche francesi,フランス領南方・南極地域,프랑스령 남방 및 남극,Franse Zuidelijke en Antarctische Gebieden,Francuskie Terytoria Południowe i Antarktyczne,Terras Austrais e Antárticas Francesas,Французские Южные и Антарктические территории,Franska sydterritorierna,Fransız Güney ve Antarktika Toprakları,Vùng đất phía Nam và châu Nam Cực thuộc Pháp,法属南部领地
Timor-Leste,Democratic Republic of Timor-Leste,تيمور الشرقية,পূর্ব তিমুর,Osttimor,Timor Oriental,Timor oriental,Ανατολικό Τιμόρ,पूर्वी तिमोर,Kelet-Timor,Timor Leste,Timor Est,東ティモール,동티모르,Oost-Timor,Timor Wschodni,Timor-Leste,Восточный Тимор,Östtimor,Doğu Timor,Đông Timor,东帝汶
South Africa,Republic of South Africa,جنوب أفريقيا,দক্ষিণ আফ্রিকা,Südafrika,Sudáfrica,Afrique du Sud,Νότια Αφρική,दक्षिण अफ़्रीका,Dél-afrikai Köztársaság,Afrika Selatan,Sudafrica,南アフリカ共和国,남아프리카 공화국,Zuid-Afrika,Południowa Afryka,África do Sul,Южно-Африканская Республика,Sydafrika,Güney Afrika Cumhuriyeti,Cộng hòa Nam Phi,南非
Lesotho,Kingdom of Lesotho,ليسوتو,লেসোথো,Lesotho,Lesoto,Lesotho,Λεσότο,लेसोथो,Lesotho,Lesotho,Lesotho,レソト,레소토,Lesotho,Lesotho,Lesoto,Лесото,Lesotho,Lesotho,Lesotho,莱索托
Mexico,United Mexican States,المكسيك,মেক্সিকো,Mexiko,México,Mexique,Μεξικό,मेक्सिको,Mexikó,Meksiko,Messico,メキシコ,멕시코,Mexico,Meksyk,México,Мексика,Mexiko,Meksika,México,墨西哥
Uruguay,Oriental Republic of Uruguay,الأوروغواي,উরুগুয়ে,Uruguay,Uruguay,Uruguay,Ουρουγουάη,उरुग्वे,Uruguay,Uruguay,Uruguay,ウルグアイ,우루과이,Uruguay,Urugwaj,Uruguai,Уругвай,Uruguay,Uruguay,Uruguay,乌拉圭
Brazil,Federative Republic of Brazil,البرازيل,ব্রাজিল,Brasilien,Brasil,Brésil,Βραζιλία,ब्राज़ील,Brazília,Brasil,Brasile,ブラジル,브라질,Brazilië,Brazylia,Brasil,Бразилия,Brasilien,Brezilya,Brasil,巴西
Bolivia,Plurinational State of Bolivia,بوليفيا,বলিভিয়া,Bolivien,Bolivia,Bolivie,Βολιβία,बोलिविया,Bolívia,Bolivia,Bolivia,ボリビア,볼리비아,Bolivia,Boliwia,Bolívia,Боливия,Bolivia,Bolivya,Bolivia,玻利維亞
Peru,Republic of Peru,بيرو,পেরু,Peru,Perú,Pérou,Περού,पेरू,Peru,Peru,Perù,ペルー,페루,Peru,Peru,Peru,Перу,Peru,Peru,Peru,秘鲁
Colombia,Republic of Colombia,كولومبيا,কলম্বিয়া,Kolumbien,Colombia,Colombie,Κολομβία,कोलम्बिया,Kolumbia,Kolombia,Colombia,コロンビア,콜롬비아,Colombia,Kolumbia,Colômbia,Колумбия,Colombia,Kolombiya,Colombia,哥伦比亚
Panama,Republic of Panama,بنما,পানামা,Panama,Panamá,Panama,Παναμάς,पनामा,Panama,Panama,Panama,パナマ,파나마,Panama,Panama,Panamá,Панама,Panama,Panama,Panama,巴拿马
Costa Rica,Republic of Costa Rica,كوستاريكا,কোস্টা রিকা,Costa Rica,Costa Rica,Costa Rica,Κόστα Ρίκα,कोस्टा रीका,Costa Rica,Kosta Rika,Costa Rica,コスタリカ,코스타리카,Costa Rica,Kostaryka,Costa Rica,Коста-Рика,Costa Rica,Kosta Rika,Costa Rica,哥斯达黎加
Nicaragua,Republic of Nicaragua,نيكاراغوا,নিকারাগুয়া,Nicaragua,Nicaragua,Nicaragua,Νικαράγουα,निकारागुआ,Nicaragua,Nikaragua,Nicaragua,ニカラグア,니카라과,Nicaragua,Nikaragua,Nicarágua,Никарагуа,Nicaragua,Nikaragua,Nicaragua,尼加拉瓜
Honduras,Republic of Honduras,هندوراس,হন্ডুরাস,Honduras,Honduras,Honduras,Ονδούρα,हौण्डुरस,Honduras,Honduras,Honduras,ホンジュラス,온두라스,Honduras,Honduras,Honduras,Гондурас,Honduras,Honduras,Honduras,洪都拉斯
El Salvador,Republic of El Salvador,السلفادور,এল সালভাদোর,El Salvador,El Salvador,Salvador,Ελ Σαλβαδόρ,अल साल्वाडोर,El Salvador,El Salvador,El Salvador,エルサルバドル,엘살바도르,El Salvador,Salwador,El Salvador,Сальвадор,El Salvador,El Salvador,El Salvador,萨尔瓦多
Guatemala,Republic of Guatemala,غواتيمالا,গুয়াতেমালা,Guatemala,Guatemala,Guatemala,Γουατεμάλα,ग्वाटेमाला,Guatemala,Guatemala,Guatemala,グアテマラ,과테말라,Guatemala,Gwatemala,Guatemala,Гватемала,Guatemala,Guatemala,Guatemala,危地马拉
Belize,Belize,بليز,বেলিজ,Belize,Belice,Belize,Μπελίζε,बेलीज़,Belize,Belize,Belize,ベリーズ,벨리즈,Belize,Belize,Belize,Белиз,Belize,Belize,Belize,伯利兹
Venezuela,Bolivarian Republic of Venezuela,فنزويلا,ভেনেজুয়েলা,Venezuela,Venezuela,Venezuela,Βενεζουέλα,वेनेज़ुएला,Venezuela,Venezuela,Venezuela,ベネズエラ,베네수엘라,Venezuela,Wenezuela,Venezuela,Венесуэла,Venezuela,Venezuela,Venezuela,委內瑞拉
Guyana,Co-operative Republic of Guyana,غيانا,গায়ানা,Guyana,Guyana,Guyana,Γουιάνα,गयाना,Guyana,Guyana,Guyana,ガイアナ,가이아나,Guyana,Gujana,Guiana,Гайана,Guyana,Guyana,Guyana,圭亚那
Suriname,Republic of Suriname,سورينام,সুরিনাম,Suriname,Surinam,Suriname,Σουρινάμ,सूरीनाम,Suriname,Suriname,Suriname,スリナム,수리남,Suriname,Surinam,Suriname,Суринам,Surinam,Surinam,Suriname,蘇利南
France,French Republic,فرنسا,ফ্রান্স,Frankreich,Francia,France,Γαλλία,फ़्रान्स,Franciaország,Perancis,Francia,フランス,프랑스,Frankrijk,Francja,França,Франция,Frankrike,Fransa,Pháp,法国
Ecuador,Republic of Ecuador,الإكوادور,ইকুয়েডর,Ecuador,Ecuador,Équateur,Εκουαδόρ,ईक्वाडोर,Ecuador,Ekuador,Ecuador,エクアドル,에콰도르,Ecuador,Ekwador,Equador,Эквадор,Ecuador,Ekvador,Ecuador,厄瓜多尔
Puerto Rico,Commonwealth of Puerto Rico,بورتوريكو,পুয়ের্তো রিকো,Puerto Rico,Puerto Rico,Porto Rico,Πουέρτο Ρίκο,प्युर्तो रिको,Puerto Rico,Puerto Riko,Porto Rico,プエルトリコ,푸에르토리코,Puerto Rico,Portoryko,Porto Rico,Пуэрто-Рико,Puerto Rico,Porto Riko,Puerto Rico,波多黎各
Jamaica,Jamaica,جامايكا,জ্যামাইকা,Jamaika,Jamaica,Jamaïque,Τζαμάικα,जमैका,Jamaica,Jamaika,Giamaica,ジャマイカ,자메이카,Jamaica,Jamajka,Jamaica,Ямайка,Jamaica,Jamaika,Jamaica,牙买加
Cuba,Republic of Cuba,كوبا,কিউবা,Kuba,Cuba,Cuba,Κούβα,क्यूबा,Kuba,Kuba,Cuba,キューバ,쿠바,Cuba,Kuba,Cuba,Куба,Kuba,Küba,Cuba,古巴
Zimbabwe,Republic of Zimbabwe,زيمبابوي,জিম্বাবুয়ে,Simbabwe,Zimbabue,Zimbabwe,Ζιμπάμπουε,ज़िम्बाब्वे,Zimbabwe,Zimbabwe,Zimbabwe,ジンバブエ,짐바브웨,Zimbabwe,Zimbabwe,Zimbábue,Зимбабве,Zimbabwe,Zimbabve,Zimbabwe,辛巴威
Botswana,Republic of Botswana,بوتسوانا,বতসোয়ানা,Botswana,Botsuana,Botswana,Μποτσουάνα,बोत्सवाना,Botswana,Botswana,Botswana,ボツワナ,보츠와나,Botswana,Botswana,Botsuana,Ботсвана,Botswana,Botsvana,Botswana,波札那
Namibia,Republic of Namibia,ناميبيا,নামিবিয়া,Namibia,Namibia,Namibie,Ναμίμπια,नामीबिया,Namíbia,Namibia,Namibia,ナミビア,나미비아,Namibië,Namibia,Namíbia,Намибия,Namibia,Namibya,Namibia,纳米比亚
Senegal,Republic of Senegal,السنغال,সেনেগাল,Senegal,Senegal,Sénégal,Σενεγάλη,सेनेगल,Szenegál,Senegal,Senegal,セネガル,세네갈,Senegal,Senegal,Senegal,Сенегал,Senegal,Senegal,Sénégal,塞内加尔
Mali,Republic of Mali,مالي,মালি,Mali,Malí,Mali,Μάλι,माली,Mali,Mali,Mali,マリ共和国,말리,Mali,Mali,Mali,Мали,Mali,Mali,Mali,马里共和国
Mauritania,Islamic Republic of Mauritania,موريتانيا,মৌরিতানিয়া,Mauretanien,Mauritania,Mauritanie,Μαυριτανία,मॉरीतानिया,Mauritánia,Mauritania,Mauritania,モーリタニア,모리타니,Mauritanië,Mauretania,Mauritânia,Мавритания,Mauretanien,Moritanya,Mauritanie,毛里塔尼亚
Benin,Republic of Benin,بنين,বেনিন,Benin,Benín,Bénin,Μπενίν,बेनिन,Benin,Benin,Benin,ベナン,베냉,Benin,Benin,Benim,Бенин,Benin,Benin,Bénin,贝宁
Niger,Republic of Niger,النيجر,নাইজার,Niger,Níger,Niger,Νίγηρας,नाइजर,Niger,Niger,Niger,ニジェール,니제르,Niger,Niger,Níger,Нигер,Niger,Nijer,Niger,尼日尔
Nigeria,Federal Republic of Nigeria,نيجيريا,নাইজেরিয়া,Nigeria,Nigeria,Nigeria,Νιγηρία,नाईजीरिया,Nigéria,Nigeria,Nigeria,ナイジェリア,나이지리아,Nigeria,Nigeria,Nigéria,Нигерия,Nigeria,Nijerya,Nigeria,奈及利亞
Cameroon,Republic of Cameroon,الكاميرون,ক্যামেরুন,Kamerun,Camerún,Cameroun,Καμερούν,कैमरुन,Kamerun,Kamerun,Camerun,カメルーン,카메룬,Kameroen,Kamerun,Camarões,Камерун,Kamerun,Kamerun,Cameroon,喀麦隆
Togo,Togolese Republic,توغو,টোগো,Togo,Togo,Togo,Τόγκο,टोगो,Togo,Togo,Togo,トーゴ,토고,Togo,Togo,Togo,Того,Togo,Togo,Togo,多哥
Ghana,Republic of Ghana,غانا,ঘানা,Ghana,Ghana,Ghana,Γκάνα,घाना,Ghána,Ghana,Ghana,ガーナ,가나,Ghana,Ghana,Gana,Гана,Ghana,Gana,Ghana,迦納
Côte d'Ivoire,Republic of Ivory Coast,ساحل العاج,কোত দিভোয়ার,Elfenbeinküste,Costa de Marfil,Côte d'Ivoire,Ακτή Ελεφαντοστού,कोत द'ईवोआर,Elefántcsontpart,Pantai Gading,Costa d'Avorio,コートジボワール,코트디부아르,Ivoorkust,Wybrzeże Kości Słoniowej,Costa do Marfim,Кот-д’Ивуар,Elfenbenskusten,Fildişi Sahili,Bờ Biển Ngà,科特迪瓦
Guinea,Republic of Guinea,غينيا,গিনি,Guinea,Guinea,Guinée,Γουινέα,गिनी,Guinea,Guinea,Guinea,ギニア,기니,Guinee,Gwinea,Guiné,Гвинея,Guinea,Gine,Guinée,几内亚
Guinea-Bissau,Republic of Guinea-Bissau,غينيا بيساو,গিনি-বিসাউ,Guinea-Bissau,Guinea-Bisáu,Guinée-Bissau,Γουινέα-Μπισσάου,गिनी-बिसाऊ,Bissau-Guinea,Guinea-Bissau,Guinea-Bissau,ギニアビサウ,기니비사우,Guinee-Bissau,Gwinea Bissau,Guiné-Bissau,Гвинея-Бисау,Guinea-Bissau,Gine-Bissau,Guiné-Bissau,幾內亞比索
Liberia,Republic of Liberia,ليبيريا,লাইবেরিয়া,Liberia,Liberia,Liberia,Λιβερία,लाइबेरिया,Libéria,Liberia,Liberia,リベリア,라이베리아,Liberia,Liberia,Libéria,Либерия,Liberia,Liberya,Liberia,利比里亚
Sierra Leone,Republic of Sierra Leone,سيراليون,সিয়েরা লিওন,Sierra Leone,Sierra Leona,Sierra Leone,Σιέρα Λεόνε,सिएरा लियोन,Sierra Leone,Sierra Leone,Sierra Leone,シエラレオネ,시에라리온,Sierra Leone,Sierra Leone,Serra Leoa,Сьерра-Леоне,Sierra Leone,Sierra Leone,Sierra Leone,塞拉利昂
Burkina Faso,Burkina Faso,بوركينا فاسو,বুর্কিনা ফাসো,Burkina Faso,Burkina Faso,Burkina Faso,Μπουρκίνα Φάσο,बुर्किना फासो,Burkina Faso,Burkina Faso,Burkina Faso,ブルキナファソ,부르키나파소,Burkina Faso,Burkina Faso,Burkina Faso,Буркина-Фасо,Burkina Faso,Burkina Faso,Burkina Faso,布吉納法索
Central African Republic,Central African Republic,جمهورية أفريقيا الوسطى,মধ্য আফ্রিকান প্রজাতন্ত্র,Zentralafrikanische Republik,República Centroafricana,République centrafricaine,Κεντροαφρικανική Δημοκρατία,मध्य अफ़्रीकी गणराज्य,Közép-afrikai Köztársaság,Republik Afrika Tengah,Repubblica Centrafricana,中央アフリカ共和国,중앙아프리카 공화국,Centraal-Afrikaanse Republiek,Republika Środkowoafrykańska,República Centro-Africana,Центральноафриканская Республика,Centralafrikanska republiken,Orta Afrika Cumhuriyeti,Cộng hòa Trung Phi,中非共和國
Republic of the Congo,Republic of the Congo,جمهورية الكونغو,কঙ্গো প্রজাতন্ত্র,Republik Kongo,República del Congo,République du Congo,Δημοκρατία του Κονγκό,कांगो गणराज्य,Kongói Köztársaság,Republik Kongo,Repubblica del Congo,コンゴ共和国,콩고 공화국,Republiek Congo,Kongo,Congo,Республика Конго,Kongo-Brazzaville,Kongo Cumhuriyeti,Cộng hòa Congo,刚果共和国
Gabon,Gabonese Republic,الغابون,গ্যাবন,Gabun,Gabón,Gabon,Γκαμπόν,गबॉन,Gabon,Gabon,Gabon,ガボン,가봉,Gabon,Gabon,Gabão,Габон,Gabon,Gabon,Gabon,加蓬
Equatorial Guinea,Republic of Equatorial Guinea,غينيا الاستوائية,বিষুবীয় গিনি,Äquatorialguinea,Guinea Ecuatorial,Guinée équatoriale,Ισημερινή Γουινέα,भूमध्यरेखीय गिनी,Egyenlítői-Guinea,Guinea Khatulistiwa,Guinea Equatoriale,赤道ギニア,적도 기니,Equatoriaal-Guinea,Gwinea Równikowa,Guiné Equatorial,Экваториальная Гвинея,Ekvatorialguinea,Ekvator Ginesi,Guinea Xích Đạo,赤道几内亚
Zambia,Republic of Zambia,زامبيا,জাম্বিয়া,Sambia,Zambia,Zambie,Ζάμπια,ज़ाम्बिया,Zambia,Zambia,Zambia,ザンビア,잠비아,Zambia,Zambia,Zâmbia,Замбия,Zambia,Zambiya,Zambia,赞比亚
Malawi,Republic of Malawi,مالاوي,মালাউই,Malawi,Malaui,Malawi,Μαλάουι,मलावी,Malawi,Malawi,Malawi,マラウイ,말라위,Malawi,Malawi,Malawi,Малави,Malawi,Malavi,Malawi,马拉维
Mozambique,Republic of Mozambique,موزمبيق,মোজাম্বিক,Mosambik,Mozambique,Mozambique,Μοζαμβίκη,मोज़ाम्बीक,Mozambik,Mozambik,Mozambico,モザンビーク,모잠비크,Mozambique,Mozambik,Moçambique,Мозамбик,Moçambique,Mozambik,Mozambique,莫桑比克
eSwatini,Kingdom of eSwatini,سوازيلاند,সোয়াজিল্যান্ড,Swasiland,eSwatini,Swaziland,Σουαζιλάνδη,स्वाज़ीलैण्ड,Szváziföld,Swaziland,Swaziland,スワジランド,스와질란드,Swaziland,Suazi,eSwatini,Свазиленд,Swaziland,Svaziland,Swaziland,斯威士兰
Angola,People's Republic of Angola,أنغولا,অ্যাঙ্গোলা,Angola,Angola,Angola,Ανγκόλα,अंगोला,Angola,Angola,Angola,アンゴラ,앙골라,Angola,Angola,Angola,Ангола,Angola,Angola,Angola,安哥拉
Burundi,Republic of Burundi,بوروندي,বুরুন্ডি,Burundi,Burundi,Burundi,Μπουρούντι,बुरुण्डी,Burundi,Burundi,Burundi,ブルンジ,부룬디,Burundi,Burundi,Burundi,Бурунди,Burundi,Burundi,Burundi,蒲隆地
Israel,State of Israel,إسرائيل,ইসরায়েল,Israel,Israel,Israël,Ισραήλ,इज़राइल,Izrael,Israel,Israele,イスラエル,이스라엘,Israël,Izrael,Israel,Израиль,Israel,İsrail,Israel,以色列
Lebanon,Lebanese Republic,لبنان,লেবানন,Libanon,Líbano,Liban,Λίβανος,लेबनान,Libanon,Lebanon,Libano,レバノン,레바논,Libanon,Liban,Líbano,Ливан,Libanon,Lübnan,Liban,黎巴嫩
Madagascar,Republic of Madagascar,مدغشقر,মাদাগাস্কার,Madagaskar,Madagascar,Madagascar,Μαδαγασκάρη,मेडागास्कर,Madagaszkár,Madagaskar,Madagascar,マダガスカル,마다가스카르,Madagaskar,Madagaskar,Madagáscar,Мадагаскар,Madagaskar,Madagaskar,Madagascar,马达加斯加
Palestine,West Bank and Gaza,فلسطين,ফিলিস্তিন অঞ্চল,Palästina,Palestina,Palestine,Παλαιστίνη,फ़िलिस्तीनी राज्यक्षेत्र,Palesztina,Palestina,Palestina,パレスチナ,팔레스타인,Palestina,Palestyna,Palestina,Палестина,Palestina,Filistin,Palestine,巴勒斯坦
The Gambia,Republic of the Gambia,غامبيا,গাম্বিয়া,Gambia,Gambia,Gambie,Γκάμπια,गाम्बिया,Gambia,Gambia,Gambia,ガンビア,감비아,Gambia,Gambia,Gâmbia,Гамбия,Gambia,Gambiya,Gambia,冈比亚
Tunisia,Republic of Tunisia,تونس,তিউনিসিয়া,Tunesien,Túnez,Tunisie,Τυνησία,ट्यूनिशिया,Tunézia,Tunisia,Tunisia,チュニジア,튀니지,Tunesië,Tunezja,Tunísia,Тунис,Tunisien,Tunus,Tunisia,突尼西亞
Algeria,People's Democratic Republic of Algeria,الجزائر,আলজেরিয়া,Algerien,Argelia,Algérie,Αλγερία,अल्जीरिया,Algéria,Aljazair,Algeria,アルジェリア,알제리,Algerije,Algieria,Argélia,Алжир,Algeriet,Cezayir,Algérie,阿尔及利亚
Jordan,Hashemite Kingdom of Jordan,الأردن,জর্দান,Jordanien,Jordania,Jordanie,Ιορδανία,जॉर्डन,Jordánia,Yordania,Giordania,ヨルダン,요르단,Jordanië,Jordania,Jordânia,Иордания,Jordanien,Ürdün,Jordan,约旦
United Arab Emirates,United Arab Emirates,الإمارات العربية المتحدة,সংযুক্ত আরব আমিরাত,Vereinigte Arabische Emirate,Emiratos Árabes Unidos,Émirats arabes unis,Ηνωμένα Αραβικά Εμιράτα,संयुक्त अरब अमीरात,Egyesült Arab Emírségek,Uni Emirat Arab,Emirati Arabi Uniti,アラブ首長国連邦,아랍에미리트,Verenigde Arabische Emiraten,Zjednoczone Emiraty Arabskie,Emirados Árabes Unidos,Объединённые Арабские Эмираты,Förenade Arabemiraten,Birleşik Arap Emirlikleri,Các Tiểu vương quốc Ả Rập Thống nhất,阿拉伯联合酋长国
Qatar,State of Qatar,قطر,কাতার,Katar,Catar,Qatar,Κατάρ,क़तर,Katar,Qatar,Qatar,カタール,카타르,Qatar,Katar,Catar,Катар,Qatar,Katar,Qatar,卡塔尔
Kuwait,State of Kuwait,الكويت,কুয়েত,Kuwait,Kuwait,Koweït,Κουβέιτ,कुवैत,Kuvait,Kuwait,Kuwait,クウェート,쿠웨이트,Koeweit,Kuwejt,Kuwait,Кувейт,Kuwait,Kuveyt,Kuwait,科威特
