from,to,billion_pounds,percent,contribution_per_taxpayer_per_day,color
Transport,Research,4.79,0.006859811,0.108930035,9acdaa
Outcomes,Environment protection,11.61,0.016626806,0.264024573,56827a
Outcomes,Housing & community amenities,10.01,0.014335429,0.227638757,9acdaa
Outcomes,Health,138.7,0.198633766,3.154195369,9acdaa
Health,NHS,105.6,0.151230899,2.401463813,46a49d
NHS,Technical & managerial staff,29.22,0.041846277,0.664495953,46a49d
NHS,Doctors & nurses,19.48,0.027897518,0.442997302,46a49d
NHS,Admin  ,2.4,0.003437066,0.054578723,46a49d
NHS,Equipment & medicines,9.3,0.01331863,0.211492552,46a49d
NHS,Prescriptions,8.5,0.012172942,0.193299644,46a49d
NHS,Procurement,12.1,0.017328541,0.275167729,46a49d
NHS,"GPs, pharmacies & other primary care",11.1,0.01589643,0.252426594,46a49d
NHS,Other,10,0.014321108,0.227411346,46a49d
NHS,Private healthcare,16.17,0.023157231,0.367724146,46a49d
NHS,Medical research,2.14,0.003064717,0.048666028,46a49d
Outcomes,"Recreation, culture & religion",11.42,0.016354705,0.259703757,87a38e
"Recreation, culture & religion",Sport,3.19,0.004568433,0.072544219,87a38e
"Recreation, culture & religion",Culture,4,0.005728443,0.090964538,87a38e
"Recreation, culture & religion",Broadcasting,3.95,0.005656838,0.089827482,87a38e
Outcomes,Education,84.01,0.120311627,1.910482717,9acdaa
Education,Under fives,3.86,0.005527948,0.08778078,9acdaa
Education,Primary,27.69,0.039655148,0.629702017,9acdaa
Education,Secondary,38.19,0.054692311,0.86848393,9acdaa
Education,Post-secondary,5.9,0.008449454,0.134172694,9acdaa
Education,Education services,4.09,0.005857333,0.093011241,9acdaa
Outcomes,Social protection,264.16,0.378306386,6.007298115,326965
Social protection,Sickness & disability,52.96,0.075844587,1.204370488,326965
Social protection,Pensions & old age,120.1,0.171996506,2.731210265,326965
Social protection,Children,9.48,0.01357641,0.215585956,326965
Social protection,Families,24.8,0.035516348,0.563980138,326965
Social protection,Unemployment,2.7,0.003866699,0.061401063,326965
Social protection,Housing,26.37,0.037764761,0.599683719,326965
Social protection,The socially excluded,31.49,0.045097169,0.716118328,326965
Outcomes,EU membership fees,7.67,0.01098429,0.174424502,7f7f7f
Outcomes,Scotland,43.5,0.062296819,0.989239355,7f7f7f
Outcomes,Wales,17.1,0.024489094,0.388873402,7f7f7f
Outcomes,N. Ireland,25.1,0.035945981,0.570802478,7f7f7f
