Entity,Code,Year,Annual CO2 emissions (per capita),GDP per capita,145446-annotations,"Total population (Gapminder, HYDE & UN)",Continent
Africa,,800,,,,31602848,
Africa,,900,,,,35593687,
Africa,,1000,,,,39673660,
Africa,,1100,,,,42223444,
Africa,,1200,,,,45290408,
Africa,,1300,,,,50658338,
Africa,,1400,,,,54510504,
Africa,,1500,,,,58251566,
Africa,,1600,,,,68167009,
Africa,,1700,,,,74806013,
Africa,,1710,,,,74126796,
Africa,,1720,,,,74594159,
Africa,,1730,,,,75107068,
Africa,,1740,,,,75667288,
Africa,,1750,,,,76278068,
Africa,,1760,,,,76942994,
Africa,,1770,,,,77667543,
Africa,,1780,,,,78459461,
Africa,,1790,,,,79313374,
Africa,,1800,,,,81271175,
Africa,,1801,,,,81313551,
Africa,,1802,,,,81418900,
Africa,,1803,,,,81525621,
Africa,,1804,,,,81633731,
Africa,,1805,,,,81743247,
Africa,,1806,,,,81854174,
Africa,,1807,,,,81966528,
Africa,,1808,,,,82080332,
Africa,,1809,,,,82195596,
Africa,,1810,,,,82385588,
Africa,,1811,,,,82440934,
Africa,,1812,,,,82579573,
Africa,,1813,,,,82729616,
Africa,,1814,,,,82891459,
Africa,,1815,,,,83065241,
Africa,,1816,,,,83251124,
Africa,,1817,,,,83449261,
Africa,,1818,,,,83659804,
Africa,,1819,,,,83954434,
Africa,,1820,,,,84416701,
Africa,,1821,,,,84811641,
Africa,,1822,,,,85376766,
Africa,,1823,,,,86056105,
Africa,,1824,,,,86755919,
Africa,,1825,,,,87476538,
Africa,,1826,,,,88218276,
Africa,,1827,,,,88981474,
Africa,,1828,,,,89766472,
Africa,,1829,,,,90573904,
Africa,,1830,,,,91494028,
Africa,,1831,,,,92257560,
Africa,,1832,,,,93125349,
Africa,,1833,,,,94007792,
Africa,,1834,,,,94904834,
Africa,,1835,,,,95816766,
Africa,,1836,,,,96743850,
Africa,,1837,,,,97686357,
Africa,,1838,,,,98644581,
Africa,,1839,,,,99638115,
Africa,,1840,,,,100772649,
Africa,,1841,,,,101734515,
Africa,,1842,,,,102839146,
Africa,,1843,,,,103982621,
Africa,,1844,,,,105146559,
Africa,,1845,,,,106331394,
Africa,,1846,,,,107537534,
Africa,,1847,,,,108765412,
Africa,,1848,,,,110015469,
Africa,,1849,,,,111156406,
Africa,,1850,,,,112295370,
Africa,,1851,,,,112846162,
Africa,,1852,,,,113385258,
Africa,,1853,,,,113801930,
Africa,,1854,,,,114222280,
Africa,,1855,,,,114646381,
Africa,,1856,,,,115074281,
Africa,,1857,,,,115506066,
Africa,,1858,,,,115941807,
Africa,,1859,,,,116390242,
Africa,,1860,,,,117016275,
Africa,,1861,,,,117325088,
Africa,,1862,,,,117811414,
Africa,,1863,,,,118310277,
Africa,,1864,,,,118812918,
Africa,,1865,,,,119319375,
Africa,,1866,,,,119829679,
Africa,,1867,,,,120343860,
Africa,,1868,,,,120861940,
Africa,,1869,,,,121396213,
Africa,,1870,,,,122130573,
Africa,,1871,,,,122512483,
Africa,,1872,,,,123096528,
Africa,,1873,,,,123697570,
Africa,,1874,,,,124303524,
Africa,,1875,,,,124914434,
Africa,,1876,,,,125530329,
Africa,,1877,,,,126151259,
Africa,,1878,,,,126777272,
Africa,,1879,,,,127418579,
Africa,,1880,,,,128257119,
Africa,,1881,,,,128747572,
Africa,,1882,,,,129435490,
Africa,,1883,,,,130139177,
Africa,,2021,,,,1373486472,
Akrotiri and Dhekelia,OWID_AKD,2015,,,,,Asia
Albania,ALB,1933,0.0071,,,1032142,
Albania,ALB,1934,0.007,,,1042776,
Albania,ALB,1935,0.0174,,,1053520,
Albania,ALB,1936,0.1205,,,1064375,
Albania,ALB,1937,0.276,,,1075341,
Albania,ALB,1938,0.3204,,,1086421,
Albania,ALB,1939,0.3938,,,1098015,
Albania,ALB,1940,0.6238,,,1110133,
Albania,ALB,1941,0.558,,,1122787,
Albania,ALB,1942,0.6548,,,1135986,
Albania,ALB,1943,0.4015,,,1149741,
Albania,ALB,1944,0.1322,,,1163663,
Albania,ALB,1945,0.1027,,,1177753,
Albania,ALB,1946,0.4057,,,1192014,
Albania,ALB,1947,0.7684,,,1206448,
Albania,ALB,1948,0.5761,,,1221056,
Albania,ALB,1949,0.8186,,,1239906,
Albania,ALB,1950,0.235,1596,,1263164,
Albania,ALB,1951,0.313,1666,,1287499,
Albania,ALB,1952,0.284,1667,,1316090,
Albania,ALB,1953,0.3071,1736,,1348113,
Albania,ALB,1954,0.363,1785,,1382898,
Albania,ALB,1955,0.467,1882,,1419991,
Albania,ALB,1956,0.575,1902,,1459115,
Albania,ALB,1957,1.0038,2023,,1500180,
Albania,ALB,1958,0.7787,2114,,1543256,
Albania,ALB,1959,0.9088,2201,,1588506,
Albania,ALB,1960,1.2362,2313,,1636091,
Albania,ALB,1961,1.3518,2332,,1685926,
Albania,ALB,1962,1.417,2409,,1737675,
Albania,ALB,1963,1.1623,2491,,1790571,
Albania,ALB,1964,1.093,2576,,1843649,
Albania,ALB,1965,1.1459,2670,,1896175,
Albania,ALB,1966,1.3092,2770,,1947836,
Albania,ALB,1967,1.34,2876,,1998743,
Albania,ALB,1968,1.4983,2979,,2049214,
Albania,ALB,1969,1.5443,3080,,2099738,
Albania,ALB,1970,1.7394,3194,,2150704,
Albania,ALB,1971,1.9749,3322,,2202186,
Albania,ALB,1972,2.5017,3451,,2254058,
Albania,ALB,1973,2.2925,3623,,2306284,
Albania,ALB,1974,1.8407,3637,,2358852,
Albania,ALB,1975,1.9036,3649,,2411733,
Albania,ALB,1976,2.0067,3665,,2464981,
Albania,ALB,1977,2.2694,3681,,2518685,
Albania,ALB,1978,2.5221,3696,,2572852,
Albania,ALB,1979,2.8852,3716,,2627506,
Albania,ALB,1980,1.9258,3741,,2682697,
Albania,ALB,1981,2.68,3762,,2737018,
Albania,ALB,1982,2.6171,3783,,2790284,
Albania,ALB,1983,2.6802,3805,,2844867,
Albania,ALB,1984,2.6924,3826,,2904142,
Albania,ALB,1985,2.6515,3846,,2969671,
Albania,ALB,1986,2.6443,3870,,3044201,
Albania,ALB,1987,2.3802,3894,,3124892,
Albania,ALB,1988,2.287,3920,,3200972,
Albania,ALB,1989,2.7554,3948,,3257913,
Albania,ALB,1990,1.6569,3983,,3286070,
Albania,ALB,1991,1.2889,2942.1006,,3280397,
Albania,ALB,1992,0.7687,2841.7652,,3245887,
Albania,ALB,1993,0.7247,3137.0239,,3195196,
Albania,ALB,1994,0.6078,3399.7102,,3146518,
Albania,ALB,1995,0.6638,3666.6506,,3112923,
Albania,ALB,1996,0.6432,3965.6853,,3098699,
Albania,ALB,1997,0.4941,3526.9856,,3099747,
Albania,ALB,1998,0.5607,3873.3732,,3110699,
Albania,ALB,1999,0.9528,4432.0426,,3122700,
Albania,ALB,2000,0.9601,4808.4796,,3129246,
Albania,ALB,2001,1.0291,5285.8091,,3129701,
Albania,ALB,2002,1.199,5608.9623,,3126183,
Albania,ALB,2003,1.3572,6004.6452,,3118017,
Albania,ALB,2004,1.3217,6419.8704,,3104893,
Albania,ALB,2005,1.3603,6858.467,,3086810,
Albania,ALB,2006,1.2548,7347.3301,,3063021,
Albania,ALB,2007,1.262,7866.1577,,3033993,
Albania,ALB,2008,1.4228,8522.1298,,3002683,
Albania,ALB,2009,1.4308,8859.4716,,2973044,
Albania,ALB,2010,1.5088,9222.9728,,2948029,
Albania,ALB,2011,1.7178,9484,,2928601,
Albania,ALB,2012,1.6018,9592,,2914091,
Albania,ALB,2013,1.6971,9660,,2903788,
Albania,ALB,2014,1.9406,9808,,2896307,
Albania,ALB,2015,1.5553,10032,,2890524,Europe
Albania,ALB,2016,1.5563,10342,,2886427,
Albania,ALB,2017,1.8382,10702.1201,,2884169,
Albania,ALB,2018,1.6422,11104.1665,,2882735,
Albania,ALB,2019,1.6882,,,2880913,
Albania,ALB,2020,1.5757,,,2877800,
Albania,ALB,1870,,711,,606465,
Albania,ALB,1890,,953,,734542,
Albania,ALB,1900,,1092,,811069,
Albania,ALB,1910,,1243,,887729,
Albania,ALB,1913,,1293,,907070,
Albania,ALB,1929,,1476,,996604,
Albania,ALB,-10000,,,,1199,
Albania,ALB,-9000,,,,1999,
Albania,ALB,-8000,,,,3332,
Albania,ALB,-7000,,,,5554,
Albania,ALB,-6000,,,,9256,
Albania,ALB,-5000,,,,15428,
Albania,ALB,-4000,,,,25713,
Albania,ALB,-3000,,,,42855,
Albania,ALB,-2000,,,,71426,
Albania,ALB,-1000,,,,119043,
Albania,ALB,0,,,,198405,
Albania,ALB,100,,,,198604,
Albania,ALB,200,,,,198803,
Albania,ALB,300,,,,199001,
Albania,ALB,400,,,,199201,
Albania,ALB,500,,,,199400,
Albania,ALB,600,,,,199600,
Albania,ALB,700,,,,199799,
Albania,ALB,800,,,,200000,
Albania,ALB,900,,,,200000,
Albania,ALB,1000,,,,200000,
Albania,ALB,1100,,,,200000,
Albania,ALB,1200,,,,200000,
Albania,ALB,1300,,,,200000,
Albania,ALB,1400,,,,200000,
Albania,ALB,1500,,,,200000,
Albania,ALB,1600,,,,200000,
Albania,ALB,1700,,,,299999,
Albania,ALB,1710,,,,311416,
Albania,ALB,1720,,,,322833,
Albania,ALB,1730,,,,334250,
Albania,ALB,1740,,,,345666,
Albania,ALB,1750,,,,357083,
Albania,ALB,1760,,,,368499,
Albania,ALB,1770,,,,379916,
