X-axis title,Year,Region,Indicator,Regional Estimate,Value
"persons held per 100,000 population (rate)",2008,Asia,"Persons held per 100,000 population",110.404966453,110.40
"persons held per 100,000 population (rate)",2009,Asia,"Persons held per 100,000 population",107.329504266,107.33
"persons held per 100,000 population (rate)",2010,Asia,"Persons held per 100,000 population",106.061651443,106.06
"persons held per 100,000 population (rate)",2011,Asia,"Persons held per 100,000 population",106.448284254,106.45
"persons held per 100,000 population (rate)",2012,Asia,"Persons held per 100,000 population",106.85878906,106.86
"persons held per 100,000 population (rate)",2013,Asia,"Persons held per 100,000 population",108.573493613,108.57
"persons held per 100,000 population (rate)",2014,Asia,"Persons held per 100,000 population",108.553895592,108.55
"persons held per 100,000 population (rate)",2015,Asia,"Persons held per 100,000 population",107.54767146,107.55
"persons held per 100,000 population (rate)",2016,Asia,"Persons held per 100,000 population",108.983266954,108.98
"persons held per 100,000 population (rate)",2017,Asia,"Persons held per 100,000 population",113.61456614,113.61
"persons held per 100,000 population (rate)",2018,Asia,"Persons held per 100,000 population",115.575983959,115.58
"persons held per 100,000 population (rate)",2019,Asia,"Persons held per 100,000 population",117.167329554,117.17
"persons held per 100,000 population (rate)",2000,Africa,"Persons held per 100,000 population",116.087349213,116.09
"persons held per 100,000 population (rate)",2001,Africa,"Persons held per 100,000 population",113.301101842,113.30
"persons held per 100,000 population (rate)",2002,Africa,"Persons held per 100,000 population",110.812229256,110.81
"persons held per 100,000 population (rate)",2003,Africa,"Persons held per 100,000 population",108.279656197,108.28
"persons held per 100,000 population (rate)",2004,Africa,"Persons held per 100,000 population",108.467552806,108.47
"persons held per 100,000 population (rate)",2005,Africa,"Persons held per 100,000 population",102.241359992,102.24
"persons held per 100,000 population (rate)",2006,Africa,"Persons held per 100,000 population",102.351636948,102.35
"persons held per 100,000 population (rate)",2007,Africa,"Persons held per 100,000 population",100.765623352,100.77
"persons held per 100,000 population (rate)",2008,Africa,"Persons held per 100,000 population",102.292159941,102.29
"persons held per 100,000 population (rate)",2009,Africa,"Persons held per 100,000 population",101.798972544,101.80
"persons held per 100,000 population (rate)",2010,Africa,"Persons held per 100,000 population",98.289147623,98.29
"persons held per 100,000 population (rate)",2011,Africa,"Persons held per 100,000 population",95.257017868,95.26
"persons held per 100,000 population (rate)",2012,Africa,"Persons held per 100,000 population",91.756690935,91.76
"persons held per 100,000 population (rate)",2013,Africa,"Persons held per 100,000 population",93.936156743,93.94
"persons held per 100,000 population (rate)",2014,Africa,"Persons held per 100,000 population",92.723318384,92.72
"persons held per 100,000 population (rate)",2015,Africa,"Persons held per 100,000 population",93.686058568,93.69
"persons held per 100,000 population (rate)",2016,Africa,"Persons held per 100,000 population",94.312568081,94.31
"persons held per 100,000 population (rate)",2017,Africa,"Persons held per 100,000 population",94.40046939,94.40
"persons held per 100,000 population (rate)",2018,Africa,"Persons held per 100,000 population",93.696681365,93.70
"persons held per 100,000 population (rate)",2019,Africa,"Persons held per 100,000 population",91.865428961,91.87
"persons held per 100,000 population (rate)",2000,Europe,"Persons held per 100,000 population",207.145577173,207.15
"persons held per 100,000 population (rate)",2001,Europe,"Persons held per 100,000 population",210.318845619,210.32
"persons held per 100,000 population (rate)",2002,Europe,"Persons held per 100,000 population",214.202228775,214.20
"persons held per 100,000 population (rate)",2003,Europe,"Persons held per 100,000 population",218.962115612,218.96
"persons held per 100,000 population (rate)",2004,Europe,"Persons held per 100,000 population",225.82295272,225.82
"persons held per 100,000 population (rate)",2005,Europe,"Persons held per 100,000 population",231.878829191,231.88
"persons held per 100,000 population (rate)",2006,Europe,"Persons held per 100,000 population",235.113561073,235.11
"persons held per 100,000 population (rate)",2007,Europe,"Persons held per 100,000 population",235.740970065,235.74
"persons held per 100,000 population (rate)",2008,Europe,"Persons held per 100,000 population",236.241019663,236.24
"persons held per 100,000 population (rate)",2009,Europe,"Persons held per 100,000 population",234.88462613,234.88
"persons held per 100,000 population (rate)",2010,Europe,"Persons held per 100,000 population",229.710759319,229.71
"persons held per 100,000 population (rate)",2011,Europe,"Persons held per 100,000 population",221.172343809,221.17
"persons held per 100,000 population (rate)",2012,Europe,"Persons held per 100,000 population",212.033650198,212.03
"persons held per 100,000 population (rate)",2013,Europe,"Persons held per 100,000 population",204.930223046,204.93
"persons held per 100,000 population (rate)",2014,Europe,"Persons held per 100,000 population",197.542698471,197.54
"persons held per 100,000 population (rate)",2015,Europe,"Persons held per 100,000 population",188.070182629,188.07
"persons held per 100,000 population (rate)",2016,Europe,"Persons held per 100,000 population",182.258321581,182.26
"persons held per 100,000 population (rate)",2017,Europe,"Persons held per 100,000 population",177.720820892,177.72
"persons held per 100,000 population (rate)",2018,Europe,"Persons held per 100,000 population",171.517155893,171.52
"persons held per 100,000 population (rate)",2019,Europe,"Persons held per 100,000 population",166.181607212,166.18
"persons held per 100,000 population (rate)",2000,Oceania,"Persons held per 100,000 population",112.465820908,112.47
"persons held per 100,000 population (rate)",2001,Oceania,"Persons held per 100,000 population",112.574705288,112.57
"persons held per 100,000 population (rate)",2002,Oceania,"Persons held per 100,000 population",113.050344877,113.05
"persons held per 100,000 population (rate)",2003,Oceania,"Persons held per 100,000 population",113.989341771,113.99
"persons held per 100,000 population (rate)",2004,Oceania,"Persons held per 100,000 population",115.88868418,115.89
"persons held per 100,000 population (rate)",2005,Oceania,"Persons held per 100,000 population",120.131116382,120.13
"persons held per 100,000 population (rate)",2006,Oceania,"Persons held per 100,000 population",123.07501933,123.08
"persons held per 100,000 population (rate)",2007,Oceania,"Persons held per 100,000 population",124.605330137,124.61
"persons held per 100,000 population (rate)",2008,Oceania,"Persons held per 100,000 population",124.761454921,124.76
"persons held per 100,000 population (rate)",2009,Oceania,"Persons held per 100,000 population",128.707566506,128.71
"persons held per 100,000 population (rate)",2010,Oceania,"Persons held per 100,000 population",128.660915239,128.66
"persons held per 100,000 population (rate)",2011,Oceania,"Persons held per 100,000 population",122.183755708,122.18
"persons held per 100,000 population (rate)",2012,Oceania,"Persons held per 100,000 population",120.619117461,120.62
"persons held per 100,000 population (rate)",2013,Oceania,"Persons held per 100,000 population",123.660637528,123.66
"persons held per 100,000 population (rate)",2014,Oceania,"Persons held per 100,000 population",134.779230403,134.78
"persons held per 100,000 population (rate)",2015,Oceania,"Persons held per 100,000 population",140.821118775,140.82
"persons held per 100,000 population (rate)",2016,Oceania,"Persons held per 100,000 population",148.817100383,148.82
"persons held per 100,000 population (rate)",2017,Oceania,"Persons held per 100,000 population",154.709905536,154.71
"persons held per 100,000 population (rate)",2018,Oceania,"Persons held per 100,000 population",155.869066639,155.87
"persons held per 100,000 population (rate)",2019,Oceania,"Persons held per 100,000 population",157.646025839,157.65
"persons held per 100,000 population (rate)",2000,World,"Persons held per 100,000 population",151.125591077,151.13
"persons held per 100,000 population (rate)",2001,World,"Persons held per 100,000 population",151.277985198,151.28
"persons held per 100,000 population (rate)",2002,World,"Persons held per 100,000 population",151.702782772,151.70
"persons held per 100,000 population (rate)",2003,World,"Persons held per 100,000 population",151.715019274,151.72
"persons held per 100,000 population (rate)",2004,World,"Persons held per 100,000 population",153.181526071,153.18
"persons held per 100,000 population (rate)",2005,World,"Persons held per 100,000 population",154.112064108,154.11
"persons held per 100,000 population (rate)",2006,World,"Persons held per 100,000 population",157.332336262,157.33
"persons held per 100,000 population (rate)",2007,World,"Persons held per 100,000 population",157.952041044,157.95
"persons held per 100,000 population (rate)",2008,World,"Persons held per 100,000 population",159.325911052,159.33
"persons held per 100,000 population (rate)",2009,World,"Persons held per 100,000 population",156.931727781,156.93
"persons held per 100,000 population (rate)",2010,World,"Persons held per 100,000 population",154.851170935,154.85
"persons held per 100,000 population (rate)",2011,World,"Persons held per 100,000 population",153.815249652,153.82
"persons held per 100,000 population (rate)",2012,World,"Persons held per 100,000 population",152.635000496,152.64
"persons held per 100,000 population (rate)",2013,World,"Persons held per 100,000 population",153.399636246,153.40
"persons held per 100,000 population (rate)",2014,World,"Persons held per 100,000 population",152.23940525,152.24
"persons held per 100,000 population (rate)",2015,World,"Persons held per 100,000 population",150.883245957,150.88
"persons held per 100,000 population (rate)",2016,World,"Persons held per 100,000 population",151.008539984,151.01
"persons held per 100,000 population (rate)",2017,World,"Persons held per 100,000 population",153.007777753,153.01
"persons held per 100,000 population (rate)",2018,World,"Persons held per 100,000 population",152.975580716,152.98
"persons held per 100,000 population (rate)",2019,World,"Persons held per 100,000 population",152.284883887,152.28
"persons held per 100,000 population (rate)",2000,World,"Persons held per 100,000 population",151.312102015,151.31
"persons held per 100,000 population (rate)",2001,World,"Persons held per 100,000 population",151.471751384,151.47
"persons held per 100,000 population (rate)",2002,World,"Persons held per 100,000 population",151.903165459,151.90
"persons held per 100,000 population (rate)",2003,World,"Persons held per 100,000 population",151.920459926,151.92
"persons held per 100,000 population (rate)",2004,World,"Persons held per 100,000 population",153.389511439,153.39
"persons held per 100,000 population (rate)",2005,World,"Persons held per 100,000 population",154.331931181,154.33
"persons held per 100,000 population (rate)",2006,World,"Persons held per 100,000 population",157.558099396,157.56
"persons held per 100,000 population (rate)",2007,World,"Persons held per 100,000 population",158.175369524,158.18
"persons held per 100,000 population (rate)",2008,World,"Persons held per 100,000 population",159.541509323,159.54
"persons held per 100,000 population (rate)",2009,World,"Persons held per 100,000 population",157.139084679,157.14
"persons held per 100,000 population (rate)",2010,World,"Persons held per 100,000 population",155.041740559,155.04
"persons held per 100,000 population (rate)",2011,World,"Persons held per 100,000 population",153.994699922,153.99
"persons held per 100,000 population (rate)",2012,World,"Persons held per 100,000 population",152.810387119,152.81
"persons held per 100,000 population (rate)",2013,World,"Persons held per 100,000 population",153.569799523,153.57
"persons held per 100,000 population (rate)",2014,World,"Persons held per 100,000 population",152.399203132,152.40
"persons held per 100,000 population (rate)",2015,World,"Persons held per 100,000 population",151.034210025,151.03
"persons held per 100,000 population (rate)",2016,World,"Persons held per 100,000 population",151.153293709,151.15
"persons held per 100,000 population (rate)",2017,World,"Persons held per 100,000 population",153.155993617,153.16
"persons held per 100,000 population (rate)",2018,World,"Persons held per 100,000 population",153.127461124,153.13
"persons held per 100,000 population (rate)",2019,World,"Persons held per 100,000 population",152.448934858,152.45
