LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
MEX,TEACHERSALARY,PRY_START,USD,A,2020,21443.81788
MEX,TEACHERSALARY,PRY_TOP,USD,A,2020,42704.3844
NLD,TEACHERSALARY,PRY15YREXP,USD,A,2020,71023.8456
NLD,TEACHERSALARY,PRY_START,USD,A,2020,46041.51708
NLD,TEACHERSALARY,PRY_TOP,USD,A,2020,85314.84555
NZL,TEACHERSALARY,PRY15YREXP,USD,A,2020,53246.83823
NZL,TEACHERSALARY,PRY_START,USD,A,2020,34846.52722
NZL,TEACHERSALARY,PRY_TOP,USD,A,2020,53246.83823
NOR,TEACHERSALARY,PRY15YREXP,USD,A,2020,51351.80665
NOR,TEACHERSALARY,PRY_START,USD,A,2020,43048.27309
NOR,TEACHERSALARY,PRY_TOP,USD,A,2020,55187.8861
POL,TEACHERSALARY,PRY15YREXP,USD,A,2020,30768.1697
POL,TEACHERSALARY,PRY_START,USD,A,2020,18890.19574
POL,TEACHERSALARY,PRY_TOP,USD,A,2020,32070.68766
PRT,TEACHERSALARY,PRY15YREXP,USD,A,2020,44801.70159
PRT,TEACHERSALARY,PRY_START,USD,A,2020,34700.86399
PRT,TEACHERSALARY,PRY_TOP,USD,A,2020,74902.38393
SVK,TEACHERSALARY,PRY15YREXP,USD,A,2020,19294.73023
SVK,TEACHERSALARY,PRY_START,USD,A,2020,16757.3583
SVK,TEACHERSALARY,PRY_TOP,USD,A,2020,21583.40194
ESP,TEACHERSALARY,PRY15YREXP,USD,A,2020,49897.72388
ESP,TEACHERSALARY,PRY_START,USD,A,2020,43135.31086
ESP,TEACHERSALARY,PRY_TOP,USD,A,2020,61456.11479
SWE,TEACHERSALARY,PRY15YREXP,USD,A,2019,47664.03663
SWE,TEACHERSALARY,PRY_START,USD,A,2019,40994.85436
SWE,TEACHERSALARY,PRY_TOP,USD,A,2019,54473.18472
CHE,TEACHERSALARY,PRY_START,USD,A,2020,59642.29478
CHE,TEACHERSALARY,PRY_TOP,USD,A,2020,90837.51745
TUR,TEACHERSALARY,PRY15YREXP,USD,A,2020,30811.91627
TUR,TEACHERSALARY,PRY_START,USD,A,2020,28896.85363
TUR,TEACHERSALARY,PRY_TOP,USD,A,2020,32428.36146
USA,TEACHERSALARY,PRY15YREXP,USD,A,2020,62101.93982
USA,TEACHERSALARY,PRY_START,USD,A,2020,41762.06169
USA,TEACHERSALARY,PRY_TOP,USD,A,2020,72544.52863
BRA,TEACHERSALARY,PRY_START,USD,A,2018,13983.05999
CHL,TEACHERSALARY,PRY15YREXP,USD,A,2020,37823.55567
CHL,TEACHERSALARY,PRY_START,USD,A,2020,25147.39262
CHL,TEACHERSALARY,PRY_TOP,USD,A,2020,46637.10696
EST,TEACHERSALARY,PRY_START,USD,A,2020,24730.26956
ISR,TEACHERSALARY,PRY15YREXP,USD,A,2020,33163.04354
ISR,TEACHERSALARY,PRY_START,USD,A,2020,22833.22319
ISR,TEACHERSALARY,PRY_TOP,USD,A,2020,55655.32235
SVN,TEACHERSALARY,PRY15YREXP,USD,A,2020,45857.10243
SVN,TEACHERSALARY,PRY_START,USD,A,2020,30530.23398
SVN,TEACHERSALARY,PRY_TOP,USD,A,2020,55032.27491
AUS,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,62021.47692
AUS,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,65714.14314
AUT,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,57732.38043
AUT,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,62881.78542
CAN,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,71663.5687
CAN,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,71663.5687
CZE,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,28266.27451
CZE,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,28266.27451
DNK,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,60765.11919
DNK,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,64258.9748
FIN,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,47714.51273
FIN,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,51496.11451
FRA,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,42078.87886
FRA,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,42078.87886
DEU,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,88037.07332
DEU,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,91041.31608
GRC,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,27335.49787
GRC,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,27335.49787
HUN,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,19891.10282
HUN,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,22101.22535
IRL,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,62906.06905
IRL,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,62906.06905
ITA,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,42385.45839
ITA,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,43564.38159
JPN,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,49497.48426
JPN,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,49497.48426
KOR,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,59164.85847
KOR,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,58425.80763
LUX,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,109203.9101
LUX,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,109203.9101
MEX,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,43329.94117
MEX,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,64490.79743
NLD,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,81064.00782
NLD,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,81064.00782
NZL,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,53246.83823
NZL,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,53246.83823
NOR,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,51351.80665
NOR,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,56259.30979
POL,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,30768.1697
POL,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,30768.1697
PRT,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,44801.70159
PRT,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,44801.70159
SVK,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,19294.73023
SVK,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,19294.73023
ESP,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,55687.45848
ESP,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,55687.45848
SWE,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2019,48988.03765
SWE,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2019,49309.58076
TUR,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,31967.05929
TUR,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,31967.05929
USA,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,66104.60391
USA,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,65248.29712
CHL,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,37823.55567
CHL,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,39137.68315
COL,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2019,39960.927
COL,TEACHERSALARY,PRY15YREXP,USD,A,2019,39960.927
COL,TEACHERSALARY,PRY_START,USD,A,2019,21911.87557
COL,TEACHERSALARY,PRY_TOP,USD,A,2019,45955.0277
COL,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2019,39960.927
CRI,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,34161.12012
CRI,TEACHERSALARY,PRY15YREXP,USD,A,2020,33143.9191
CRI,TEACHERSALARY,PRY_START,USD,A,2020,26262.32231
CRI,TEACHERSALARY,PRY_TOP,USD,A,2020,40025.51589
CRI,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,34161.12012
ISR,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,36717.71124
ISR,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,35768.85693
LVA,TEACHERSALARY,PRY_START,USD,A,2020,15932.95413
LTU,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,33667.24835
LTU,TEACHERSALARY,PRY15YREXP,USD,A,2020,33667.24835
LTU,TEACHERSALARY,PRY_TOP,USD,A,2020,38342.8637
LTU,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,33667.24835
SVN,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,45857.10243
SVN,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,45857.10243
AUS,TEACHERSALARY,LOWSRY_START,USD,A,2020,45680.96698
AUS,TEACHERSALARY,UPPSRY_START,USD,A,2020,45680.96698
AUS,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,67093.96785
AUT,TEACHERSALARY,LOWSRY_START,USD,A,2020,45665.29929
AUT,TEACHERSALARY,UPPSRY_START,USD,A,2020,45785.22521
AUT,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,91296.32676
CAN,TEACHERSALARY,LOWSRY_START,USD,A,2020,40304.80128
CAN,TEACHERSALARY,UPPSRY_START,USD,A,2020,40304.80128
CAN,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,71663.5687
CZE,TEACHERSALARY,LOWSRY_START,USD,A,2020,25388.86932
CZE,TEACHERSALARY,UPPSRY_START,USD,A,2020,25388.86932
CZE,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,33428.67794
DNK,TEACHERSALARY,LOWSRY_START,USD,A,2020,52557.89609
DNK,TEACHERSALARY,UPPSRY_START,USD,A,2020,49446.56903
DNK,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,64258.9748
FIN,TEACHERSALARY,LOWSRY_START,USD,A,2020,38734.45767
FIN,TEACHERSALARY,UPPSRY_START,USD,A,2020,41074.07541
FIN,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,54585.88138
FRA,TEACHERSALARY,LOWSRY_START,USD,A,2020,34832.96777
FRA,TEACHERSALARY,UPPSRY_START,USD,A,2020,34832.96777
FRA,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,59340.20032
DEU,TEACHERSALARY,LOWSRY_START,USD,A,2020,72588.38747
DEU,TEACHERSALARY,UPPSRY_START,USD,A,2020,75912.87536
DEU,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,106034.6369
GRC,TEACHERSALARY,LOWSRY_START,USD,A,2020,20643.40503
GRC,TEACHERSALARY,UPPSRY_START,USD,A,2020,20643.40503
GRC,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,40719.68354
HUN,TEACHERSALARY,LOWSRY_START,USD,A,2020,15812.86923
HUN,TEACHERSALARY,UPPSRY_START,USD,A,2020,15812.86923
HUN,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,31246.55998
IRL,TEACHERSALARY,LOWSRY_START,USD,A,2020,37096.34026
IRL,TEACHERSALARY,UPPSRY_START,USD,A,2020,37096.34026
IRL,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,72414.81083
ITA,TEACHERSALARY,LOWSRY_START,USD,A,2020,34909.58053
ITA,TEACHERSALARY,UPPSRY_START,USD,A,2020,34909.58053
ITA,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,54270.54097
JPN,TEACHERSALARY,LOWSRY_START,USD,A,2020,29897.5728
JPN,TEACHERSALARY,UPPSRY_START,USD,A,2020,29897.5728
JPN,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,62851.85089
KOR,TEACHERSALARY,LOWSRY_START,USD,A,2020,33538.98922
KOR,TEACHERSALARY,UPPSRY_START,USD,A,2020,32799.93838
KOR,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,93430.97106
LUX,TEACHERSALARY,LOWSRY_START,USD,A,2020,78680.79657
LUX,TEACHERSALARY,UPPSRY_START,USD,A,2020,78680.79657
LUX,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,137610.01
MEX,TEACHERSALARY,LOWSRY_START,USD,A,2020,27257.67141
MEX,TEACHERSALARY,UPPSRY_START,USD,A,2020,52449.29287
MEX,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,64490.79743
NLD,TEACHERSALARY,LOWSRY_START,USD,A,2020,46393.64694
NLD,TEACHERSALARY,UPPSRY_START,USD,A,2020,46393.64694
NLD,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,94660.13198
NZL,TEACHERSALARY,LOWSRY_START,USD,A,2020,34846.52722
NZL,TEACHERSALARY,UPPSRY_START,USD,A,2020,34846.52722
NZL,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,53246.83823
NOR,TEACHERSALARY,LOWSRY_START,USD,A,2020,43048.27309
NOR,TEACHERSALARY,UPPSRY_START,USD,A,2020,50863.92623
NOR,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,62276.50174
POL,TEACHERSALARY,LOWSRY_START,USD,A,2020,18890.19574
POL,TEACHERSALARY,UPPSRY_START,USD,A,2020,18890.19574
POL,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,32070.68766
PRT,TEACHERSALARY,LOWSRY_START,USD,A,2020,34700.86399
PRT,TEACHERSALARY,UPPSRY_START,USD,A,2020,34700.86399
PRT,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,74902.38393
SVK,TEACHERSALARY,LOWSRY_START,USD,A,2020,16757.3583
SVK,TEACHERSALARY,UPPSRY_START,USD,A,2020,16757.3583
SVK,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,21583.40194
ESP,TEACHERSALARY,LOWSRY_START,USD,A,2020,48177.52984
ESP,TEACHERSALARY,UPPSRY_START,USD,A,2020,48177.52984
ESP,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,68405.25483
SWE,TEACHERSALARY,LOWSRY_START,USD,A,2019,42304.9849
SWE,TEACHERSALARY,UPPSRY_START,USD,A,2019,43395.70954
SWE,TEACHERSALARY,UPPSRY_TOP,USD,A,2019,56742.90075
CHE,TEACHERSALARY,LOWSRY_START,USD,A,2020,66475.53403
CHE,TEACHERSALARY,UPPSRY_START,USD,A,2020,74868.53442
CHE,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,115199.5009
TUR,TEACHERSALARY,LOWSRY_START,USD,A,2020,30051.99664
TUR,TEACHERSALARY,UPPSRY_START,USD,A,2020,30051.99664
TUR,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,33583.50448
USA,TEACHERSALARY,LOWSRY_START,USD,A,2020,42487.74542
USA,TEACHERSALARY,UPPSRY_START,USD,A,2020,42460.79145
USA,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,74344.22427
CHL,TEACHERSALARY,LOWSRY_START,USD,A,2020,25147.39262
CHL,TEACHERSALARY,UPPSRY_START,USD,A,2020,26004.17221
CHL,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,48350.66615
COL,TEACHERSALARY,LOWSRY_START,USD,A,2019,21911.87557
COL,TEACHERSALARY,UPPSRY_START,USD,A,2019,21911.87557
COL,TEACHERSALARY,UPPSRY_TOP,USD,A,2019,45955.0277
CRI,TEACHERSALARY,LOWSRY_START,USD,A,2020,27064.41864
CRI,TEACHERSALARY,UPPSRY_START,USD,A,2020,27064.41864
CRI,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,41257.82161
EST,TEACHERSALARY,LOWSRY_START,USD,A,2020,24730.26956
EST,TEACHERSALARY,UPPSRY_START,USD,A,2020,24730.26956
ISR,TEACHERSALARY,LOWSRY_START,USD,A,2020,22947.64852
ISR,TEACHERSALARY,UPPSRY_START,USD,A,2020,27753.47845
ISR,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,56021.22692
LVA,TEACHERSALARY,LOWSRY_START,USD,A,2020,15932.95413
LVA,TEACHERSALARY,UPPSRY_START,USD,A,2020,15932.95413
LTU,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,38342.8637
SVN,TEACHERSALARY,LOWSRY_START,USD,A,2020,30530.23398
SVN,TEACHERSALARY,UPPSRY_START,USD,A,2020,30530.23398
SVN,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,55032.27491
AUS,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,67093.96785
AUT,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,85832.92995
CAN,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,71663.5687
CZE,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,33513.30751
DNK,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,60765.11919
FIN,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,50577.38349
FRA,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,59340.20032
DEU,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,95215.85243
GRC,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,40719.68354
HUN,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,28121.90398
IRL,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,72414.81083
ITA,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,51925.38214
JPN,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,61239.81323
KOR,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,94170.0219
MEX,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,54191.11227
NLD,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,94660.13198
NZL,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,53246.83823
NOR,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,55187.8861
POL,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,32070.68766
PRT,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,74902.38393
SVK,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,21583.40194
ESP,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,68405.25483
SWE,TEACHERSALARY,LOWSRY_TOP,USD,A,2019,56112.42408
CHE,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,101904.3941
TUR,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,33583.50448
USA,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,75850.53634
CHL,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,46637.10696
COL,TEACHERSALARY,LOWSRY_TOP,USD,A,2019,45955.0277
CRI,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,41257.82161
ISR,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,58226.11871
LTU,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,38342.8637
SVN,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,55032.27491
LUX,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,137610.01
AUS,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,68353.4854
AUS,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,45417.75624
AUS,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,70641.76644
CZE,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,25304.23976
CZE,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,23865.53716
CZE,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,28181.64495
DNK,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,51455.19966
DNK,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,45360.87435
DNK,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,51455.19966
FIN,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,34594.52314
FIN,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,31601.59397
FIN,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,34594.52314
FRA,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,39048.94052
FRA,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,31803.02943
FRA,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,56008.90114
GRC,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,27335.49787
GRC,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,20643.40503
GRC,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,40719.68354
HUN,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,19891.10282
HUN,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,15812.86923
HUN,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,28121.90398
ITA,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,38983.73066
ITA,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,32480.97497
ITA,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,47287.20021
KOR,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,59103.2709
KOR,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,33477.40165
KOR,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,94108.43433
LUX,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,101360.1427
LUX,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,69424.65646
LUX,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,122649.78
MEX,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,33906.49453
MEX,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,21443.81788
MEX,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,42704.3844
NLD,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,71023.8456
NLD,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,46041.51708
NLD,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,85314.84555
NOR,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,47831.41454
NOR,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,39221.75993
NOR,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,48309.72869
POL,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,30768.1697
POL,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,18890.19574
POL,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,32070.68766
PRT,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,44801.70159
PRT,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,34700.86399
PRT,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,74902.38393
SVK,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,15797.18654
SVK,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,13524.25536
SVK,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,17673.4566
ESP,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,49897.72388
ESP,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,43135.31086
ESP,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,61456.11479
SWE,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2019,42872.4139
SWE,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2019,40542.17211
SWE,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2019,47285.75063
CHE,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,55631.48044
CHE,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,84895.57028
TUR,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,30811.91627
TUR,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,28896.85363
