"International Category ID","International Category Name","International Sector Code","International Sector Name","Transaction Type ID","Transaction Type Name","Fiscal Year","current_amount","constant_amount"
1,Education,111,"Education, Level Unspecified",19,Initial Allocations,2018,41557000,42363127
1,Education,111,"Education, Level Unspecified",19,Initial Allocations,2019,30536000,30536000
1,Education,112,Basic Education,1,Appropriated and Planned,2006,520804000,651135276
1,Education,112,Basic Education,1,Appropriated and Planned,2007,601894000,732564929
1,Education,112,Basic Education,1,Appropriated and Planned,2008,707367000,843500082
1,Education,112,Basic Education,1,Appropriated and Planned,2009,841705000,992223732
1,Education,112,Basic Education,1,Appropriated and Planned,2010,942929000,1102076446
1,Education,112,Basic Education,1,Appropriated and Planned,2011,719485000,824467934
1,Education,112,Basic Education,1,Appropriated and Planned,2012,803404000,903508140
1,Education,112,Basic Education,1,Appropriated and Planned,2013,786727000,868767856
1,Education,112,Basic Education,1,Appropriated and Planned,2014,732070000,793146357
1,Education,112,Basic Education,1,Appropriated and Planned,2015,671858000,719591911
1,Education,112,Basic Education,1,Appropriated and Planned,2016,701932000,745202238
1,Education,112,Basic Education,1,Appropriated and Planned,2017,961917000,1003405861
1,Education,112,Basic Education,1,Appropriated and Planned,2018,1015379000,1035075436
1,Education,112,Basic Education,1,Appropriated and Planned,2019,1033409000,1033409000
1,Education,112,Basic Education,1,Appropriated and Planned,2020,1095000000,1073802760
1,Education,112,Basic Education,2,Obligations,2001,87335133,123017397
1,Education,112,Basic Education,2,Obligations,2002,122998638,170518068
1,Education,112,Basic Education,2,Obligations,2003,244940947,333487377
1,Education,112,Basic Education,2,Obligations,2004,306526516,407566466
1,Education,112,Basic Education,2,Obligations,2005,390480754,503825890
1,Education,112,Basic Education,2,Obligations,2006,464740361,581041703
1,Education,112,Basic Education,2,Obligations,2007,548815089,667962607
1,Education,112,Basic Education,2,Obligations,2008,520064195,620150756
1,Education,112,Basic Education,2,Obligations,2009,811133652,956185381
1,Education,112,Basic Education,2,Obligations,2010,896662291,1048000834
1,Education,112,Basic Education,2,Obligations,2011,768416311,880539002
1,Education,112,Basic Education,2,Obligations,2012,918620702,1033080824
1,Education,112,Basic Education,2,Obligations,2013,838337489,925760337
1,Education,112,Basic Education,2,Obligations,2014,972823259,1053985586
1,Education,112,Basic Education,2,Obligations,2015,791689809,847937472
1,Education,112,Basic Education,2,Obligations,2016,1143589115,1214085056
1,Education,112,Basic Education,2,Obligations,2017,1132089363,1180917990
1,Education,112,Basic Education,2,Obligations,2018,1184525283,1207502854
1,Education,112,Basic Education,2,Obligations,2019,1006613525,1006613525
1,Education,112,Basic Education,2,Obligations,2020,935478154,917368974
1,Education,112,Basic Education,2,Obligations,2021,602195089,578976319
1,Education,112,Basic Education,3,Disbursements,2001,104404359,147060556
1,Education,112,Basic Education,3,Disbursements,2002,127714177,177055405
1,Education,112,Basic Education,3,Disbursements,2003,202447251,275632173
1,Education,112,Basic Education,3,Disbursements,2004,197233280,262247035
1,Education,112,Basic Education,3,Disbursements,2005,365832661,472023173
1,Education,112,Basic Education,3,Disbursements,2006,386753844,483539025
1,Education,112,Basic Education,3,Disbursements,2007,481905068,586526407
1,Education,112,Basic Education,3,Disbursements,2008,420623765,501573010
1,Education,112,Basic Education,3,Disbursements,2009,698605099,823533711
1,Education,112,Basic Education,3,Disbursements,2010,812939365,950147121
1,Education,112,Basic Education,3,Disbursements,2011,844272597,967463739
1,Education,112,Basic Education,3,Disbursements,2012,862910962,970429672
1,Education,112,Basic Education,3,Disbursements,2013,861299395,951116749
1,Education,112,Basic Education,3,Disbursements,2014,869001944,941502462
1,Education,112,Basic Education,3,Disbursements,2015,840368395,900074539
1,Education,112,Basic Education,3,Disbursements,2016,1108471932,1176803110
1,Education,112,Basic Education,3,Disbursements,2017,1205532855,1257529179
1,Education,112,Basic Education,3,Disbursements,2018,1262795299,1287291163
1,Education,112,Basic Education,3,Disbursements,2019,1005228684,1005228684
1,Education,112,Basic Education,3,Disbursements,2020,1012853797,993246770
1,Education,112,Basic Education,3,Disbursements,2021,635421439,610921557
1,Education,112,Basic Education,18,President's Budget Requests,2008,535298000,638316329
1,Education,112,Basic Education,18,President's Budget Requests,2009,648889000,764927224
1,Education,112,Basic Education,18,President's Budget Requests,2010,1001332000,1170336698
1,Education,112,Basic Education,18,President's Budget Requests,2011,850043000,974076171
1,Education,112,Basic Education,18,President's Budget Requests,2012,749647000,843053016
1,Education,112,Basic Education,18,President's Budget Requests,2013,573081000,632842589
1,Education,112,Basic Education,18,President's Budget Requests,2014,501355000,543182883
1,Education,112,Basic Education,18,President's Budget Requests,2015,534291000,572251104
1,Education,112,Basic Education,18,President's Budget Requests,2016,600484000,637500523
1,Education,112,Basic Education,18,President's Budget Requests,2017,772782000,806113196
1,Education,112,Basic Education,18,President's Budget Requests,2018,377901000,385231567
1,Education,112,Basic Education,18,President's Budget Requests,2019,394530000,394530000
1,Education,112,Basic Education,18,President's Budget Requests,2020,299386000,293590420
1,Education,112,Basic Education,18,President's Budget Requests,2021,301043000,289435717
1,Education,112,Basic Education,18,President's Budget Requests,2022,682448000,643212386
1,Education,112,Basic Education,19,Initial Allocations,2008,712126000,849174952
1,Education,112,Basic Education,19,Initial Allocations,2009,750980000,885274745
1,Education,112,Basic Education,19,Initial Allocations,2010,942070000,1101072462
1,Education,112,Basic Education,19,Initial Allocations,2011,708859000,812291452
1,Education,112,Basic Education,19,Initial Allocations,2012,804297000,904512407
1,Education,112,Basic Education,19,Initial Allocations,2013,786727000,868767856
1,Education,112,Basic Education,19,Initial Allocations,2014,726470000,787079150
1,Education,112,Basic Education,19,Initial Allocations,2015,672801000,720601909
1,Education,112,Basic Education,19,Initial Allocations,2016,750000000,796233360
1,Education,112,Basic Education,19,Initial Allocations,2017,762930000,795836266
1,Education,112,Basic Education,19,Initial Allocations,2018,800000000,815518489
1,Education,112,Basic Education,19,Initial Allocations,2019,800000000,800000000
1,Education,113,Upper Secondary Education,2,Obligations,2001,24815,34954
1,Education,113,Upper Secondary Education,2,Obligations,2002,-2961599,-4105787
1,Education,113,Upper Secondary Education,2,Obligations,2003,107965,146993
1,Education,113,Upper Secondary Education,2,Obligations,2004,2564421,3409728
1,Education,113,Upper Secondary Education,2,Obligations,2005,8095041,10444796
1,Education,113,Upper Secondary Education,2,Obligations,2006,72883,91121
1,Education,113,Upper Secondary Education,2,Obligations,2007,8730025,10625308
1,Education,113,Upper Secondary Education,2,Obligations,2008,59536904,70994803
1,Education,113,Upper Secondary Education,2,Obligations,2009,35770983,42167768
1,Education,113,Upper Secondary Education,2,Obligations,2010,5642352,6594667
1,Education,113,Upper Secondary Education,2,Obligations,2011,7069234,8100735
1,Education,113,Upper Secondary Education,2,Obligations,2012,2007444,2257570
1,Education,113,Upper Secondary Education,2,Obligations,2013,9555669,10552149
1,Education,113,Upper Secondary Education,2,Obligations,2014,12125262,13136869
1,Education,113,Upper Secondary Education,2,Obligations,2015,90864229,97319916
1,Education,113,Upper Secondary Education,2,Obligations,2016,27466462,29159616
1,Education,113,Upper Secondary Education,2,Obligations,2017,115967577,120969424
1,Education,113,Upper Secondary Education,2,Obligations,2018,30504171,31095897
1,Education,113,Upper Secondary Education,2,Obligations,2019,161546520,161546520
1,Education,113,Upper Secondary Education,2,Obligations,2020,17409838,17072813
1,Education,113,Upper Secondary Education,2,Obligations,2021,7046734,6775035
1,Education,113,Upper Secondary Education,3,Disbursements,2001,18560003,26143008
1,Education,113,Upper Secondary Education,3,Disbursements,2002,13090363,18147710
1,Education,113,Upper Secondary Education,3,Disbursements,2003,93942,127901
1,Education,113,Upper Secondary Education,3,Disbursements,2004,661127,879056
1,Education,113,Upper Secondary Education,3,Disbursements,2005,3278868,4230630
1,Education,113,Upper Secondary Education,3,Disbursements,2006,4550546,5689317
1,Education,113,Upper Secondary Education,3,Disbursements,2007,8954234,10898193
1,Education,113,Upper Secondary Education,3,Disbursements,2008,1558904,1858909
1,Education,113,Upper Secondary Education,3,Disbursements,2009,3860719,4551118
1,Education,113,Upper Secondary Education,3,Disbursements,2010,8665031,10127515
1,Education,113,Upper Secondary Education,3,Disbursements,2011,13980721,16020706
1,Education,113,Upper Secondary Education,3,Disbursements,2012,37987388,42720626
1,Education,113,Upper Secondary Education,3,Disbursements,2013,34193847,37759630
1,Education,113,Upper Secondary Education,3,Disbursements,2014,18636611,20191464
1,Education,113,Upper Secondary Education,3,Disbursements,2015,8946791,9582436
1,Education,113,Upper Secondary Education,3,Disbursements,2016,9234220,9803457
1,Education,113,Upper Secondary Education,3,Disbursements,2017,15545942,16216457
1,Education,113,Upper Secondary Education,3,Disbursements,2018,28756912,29314744
1,Education,113,Upper Secondary Education,3,Disbursements,2019,61001522,61001522
1,Education,113,Upper Secondary Education,3,Disbursements,2020,74714045,73267714
1,Education,113,Upper Secondary Education,3,Disbursements,2021,39198598,37687218
1,Education,114,Post-Secondary Education,1,Appropriated and Planned,2006,168980000,211267272
1,Education,114,Post-Secondary Education,1,Appropriated and Planned,2007,152581000,185706269
1,Education,114,Post-Secondary Education,1,Appropriated and Planned,2008,127217000,151699967
1,Education,114,Post-Secondary Education,1,Appropriated and Planned,2009,215789000,254377680
1,Education,114,Post-Secondary Education,1,Appropriated and Planned,2010,275499000,321997687
1,Education,114,Post-Secondary Education,1,Appropriated and Planned,2011,193889000,222180122
1,Education,114,Post-Secondary Education,1,Appropriated and Planned,2012,258756000,290996998
1,Education,114,Post-Secondary Education,1,Appropriated and Planned,2013,364918000,402972095
1,Education,114,Post-Secondary Education,1,Appropriated and Planned,2014,252896000,273995032
1,Education,114,Post-Secondary Education,1,Appropriated and Planned,2015,204804000,219354836
1,Education,114,Post-Secondary Education,1,Appropriated and Planned,2016,242398000,257340497
1,Education,114,Post-Secondary Education,1,Appropriated and Planned,2017,249910000,260688976
1,Education,114,Post-Secondary Education,1,Appropriated and Planned,2018,256287000,261258484
1,Education,114,Post-Secondary Education,1,Appropriated and Planned,2019,235000000,235000000
1,Education,114,Post-Secondary Education,1,Appropriated and Planned,2020,235000000,230450821
1,Education,114,Post-Secondary Education,2,Obligations,2001,20200066,28453146
1,Education,114,Post-Secondary Education,2,Obligations,2002,29983346,41567147
1,Education,114,Post-Secondary Education,2,Obligations,2003,32086160,43685345
1,Education,114,Post-Secondary Education,2,Obligations,2004,18977792,25233417
1,Education,114,Post-Secondary Education,2,Obligations,2005,16714281,21565940
1,Education,114,Post-Secondary Education,2,Obligations,2006,7300585,9127558
1,Education,114,Post-Secondary Education,2,Obligations,2007,41506318,50517322
1,Education,114,Post-Secondary Education,2,Obligations,2008,91288295,108856757
1,Education,114,Post-Secondary Education,2,Obligations,2009,112580003,132712235
1,Education,114,Post-Secondary Education,2,Obligations,2010,209457200,244809362
1,Education,114,Post-Secondary Education,2,Obligations,2011,138665043,158898216
1,Education,114,Post-Secondary Education,2,Obligations,2012,122517230,137782882
1,Education,114,Post-Secondary Education,2,Obligations,2013,131723500,145459794
1,Education,114,Post-Secondary Education,2,Obligations,2014,243101194,263383048
1,Education,114,Post-Secondary Education,2,Obligations,2015,210916212,225901313
1,Education,114,Post-Secondary Education,2,Obligations,2016,153345468,162798361
1,Education,114,Post-Secondary Education,2,Obligations,2017,354776061,370078068
1,Education,114,Post-Secondary Education,2,Obligations,2018,156742132,159782635
1,Education,114,Post-Secondary Education,2,Obligations,2019,172000691,172000691
1,Education,114,Post-Secondary Education,2,Obligations,2020,113223393,111031595
1,Education,114,Post-Secondary Education,2,Obligations,2021,65187070,62673658
1,Education,114,Post-Secondary Education,3,Disbursements,2001,24681836,34766022
1,Education,114,Post-Secondary Education,3,Disbursements,2002,35758993,49574160
1,Education,114,Post-Secondary Education,3,Disbursements,2003,27886372,37967321
1,Education,114,Post-Secondary Education,3,Disbursements,2004,28842158,38349358
1,Education,114,Post-Secondary Education,3,Disbursements,2005,23851454,30774830
1,Education,114,Post-Secondary Education,3,Disbursements,2006,25216698,31527179
1,Education,114,Post-Secondary Education,3,Disbursements,2007,13606827,16560858
1,Education,114,Post-Secondary Education,3,Disbursements,2008,36119925,43071210
1,Education,114,Post-Secondary Education,3,Disbursements,2009,81434990,95997674
1,Education,114,Post-Secondary Education,3,Disbursements,2010,167647240,195942725
1,Education,114,Post-Secondary Education,3,Disbursements,2011,100499692,115163999
1,Education,114,Post-Secondary Education,3,Disbursements,2012,110459155,124222361
1,Education,114,Post-Secondary Education,3,Disbursements,2013,109745433,121189819
1,Education,114,Post-Secondary Education,3,Disbursements,2014,129755924,140581430
1,Education,114,Post-Secondary Education,3,Disbursements,2015,161800013,173295503
1,Education,114,Post-Secondary Education,3,Disbursements,2016,201496381,213917503
1,Education,114,Post-Secondary Education,3,Disbursements,2017,234588244,244706364
1,Education,114,Post-Secondary Education,3,Disbursements,2018,204673316,208643562
1,Education,114,Post-Secondary Education,3,Disbursements,2019,162714956,162714956
1,Education,114,Post-Secondary Education,3,Disbursements,2020,137642720,134978201
1,Education,114,Post-Secondary Education,3,Disbursements,2021,96974187,93235176
1,Education,114,Post-Secondary Education,18,President's Budget Requests,2008,142608000,170052968
1,Education,114,Post-Secondary Education,18,President's Budget Requests,2009,135476000,159702630
1,Education,114,Post-Secondary Education,18,President's Budget Requests,2010,188044000,219782045
1,Education,114,Post-Secondary Education,18,President's Budget Requests,2011,248837000,285145803
1,Education,114,Post-Secondary Education,18,President's Budget Requests,2012,233499000,262592976
1,Education,114,Post-Secondary Education,18,President's Budget Requests,2013,174887000,193124433
1,Education,114,Post-Secondary Education,18,President's Budget Requests,2014,221906000,240419547
1,Education,114,Post-Secondary Education,18,President's Budget Requests,2015,249592000,267324917
1,Education,114,Post-Secondary Education,18,President's Budget Requests,2016,255649000,271408348
1,Education,114,Post-Secondary Education,18,President's Budget Requests,2017,226352000,236114887
1,Education,114,Post-Secondary Education,18,President's Budget Requests,2018,131150000,133694062
1,Education,114,Post-Secondary Education,18,President's Budget Requests,2019,117419000,117419000
1,Education,114,Post-Secondary Education,18,President's Budget Requests,2020,107319000,105241494
1,Education,114,Post-Secondary Education,18,President's Budget Requests,2021,129489000,124496307
1,Education,114,Post-Secondary Education,18,President's Budget Requests,2022,206168000,194314896
1,Education,114,Post-Secondary Education,19,Initial Allocations,2008,132304000,157765964
1,Education,114,Post-Secondary Education,19,Initial Allocations,2009,161976000,190941517
1,Education,114,Post-Secondary Education,19,Initial Allocations,2010,248156000,290039742
1,Education,114,Post-Secondary Education,19,Initial Allocations,2011,188917000,216482637
1,Education,114,Post-Secondary Education,19,Initial Allocations,2012,229525000,258123815
1,Education,114,Post-Secondary Education,19,Initial Allocations,2013,364918000,402972095
1,Education,114,Post-Secondary Education,19,Initial Allocations,2014,231174000,250460772
1,Education,114,Post-Secondary Education,19,Initial Allocations,2015,226189000,242259189
1,Education,114,Post-Secondary Education,19,Initial Allocations,2016,225000000,238870006
1,Education,114,Post-Secondary Education,19,Initial Allocations,2017,240000000,250351545
1,Education,114,Post-Secondary Education,19,Initial Allocations,2018,235000000,239558556
1,Education,114,Post-Secondary Education,19,Initial Allocations,2019,235000000,235000000
2,Health and Population,121,"Health, General",2,Obligations,2001,117726136,165825159
2,Health and Population,121,"Health, General",2,Obligations,2002,124151182,172115900
2,Health and Population,121,"Health, General",2,Obligations,2003,137395272,187063823
2,Health and Population,121,"Health, General",2,Obligations,2004,223283448,296884101
2,Health and Population,121,"Health, General",2,Obligations,2005,192011004,247746176
2,Health and Population,121,"Health, General",2,Obligations,2006,190452789,238113630
2,Health and Population,121,"Health, General",2,Obligations,2007,96333644,117247629
2,Health and Population,121,"Health, General",2,Obligations,2008,102753267,122528168
2,Health and Population,121,"Health, General",2,Obligations,2009,56312550,66382695
2,Health and Population,121,"Health, General",2,Obligations,2010,46535495,54389747
2,Health and Population,121,"Health, General",2,Obligations,2011,268508731,307687917
2,Health and Population,121,"Health, General",2,Obligations,2012,569995334,641016740
2,Health and Population,121,"Health, General",2,Obligations,2013,442193873,488306400
2,Health and Population,121,"Health, General",2,Obligations,2014,540612508,585715622
2,Health and Population,121,"Health, General",2,Obligations,2015,104976376,112434706
2,Health and Population,121,"Health, General",2,Obligations,2016,499175468,529946877
2,Health and Population,121,"Health, General",2,Obligations,2017,452634934,472157717
2,Health and Population,121,"Health, General",2,Obligations,2018,377708279,385035119
2,Health and Population,121,"Health, General",2,Obligations,2019,167076282,167076282
2,Health and Population,121,"Health, General",2,Obligations,2020,60520763,59349188
2,Health and Population,121,"Health, General",2,Obligations,2021,24275628,23339638
2,Health and Population,121,"Health, General",3,Disbursements,2001,90779958,127869661
2,Health and Population,121,"Health, General",3,Disbursements,2002,82269857,114054069
2,Health and Population,121,"Health, General",3,Disbursements,2003,109290746,148799470
2,Health and Population,121,"Health, General",3,Disbursements,2004,167925499,223278567
2,Health and Population,121,"Health, General",3,Disbursements,2005,247425114,319245388
2,Health and Population,121,"Health, General",3,Disbursements,2006,216690706,270917593
2,Health and Population,121,"Health, General",3,Disbursements,2007,173209466,210813160
2,Health and Population,121,"Health, General",3,Disbursements,2008,144068568,171794612
2,Health and Population,121,"Health, General",3,Disbursements,2009,71244232,83984544
2,Health and Population,121,"Health, General",3,Disbursements,2010,34744986,40609228
2,Health and Population,121,"Health, General",3,Disbursements,2011,207139101,237363605
2,Health and Population,121,"Health, General",3,Disbursements,2012,533606083,600093395
2,Health and Population,121,"Health, General",3,Disbursements,2013,398057196,439567081
2,Health and Population,121,"Health, General",3,Disbursements,2014,574500167,622430507
2,Health and Population,121,"Health, General",3,Disbursements,2015,94060691,100743473
2,Health and Population,121,"Health, General",3,Disbursements,2016,984060005,1044721879
2,Health and Population,121,"Health, General",3,Disbursements,2017,421907975,440105451
2,Health and Population,121,"Health, General",3,Disbursements,2018,274271562,279591909
2,Health and Population,121,"Health, General",3,Disbursements,2019,149026049,149026049
2,Health and Population,121,"Health, General",3,Disbursements,2020,33954249,33296952
2,Health and Population,121,"Health, General",3,Disbursements,2021,25659037,24669705
2,Health and Population,122,Basic Health,1,Appropriated and Planned,2006,453242000,566665876
2,Health and Population,122,Basic Health,1,Appropriated and Planned,2007,594637000,723732435
2,Health and Population,122,Basic Health,1,Appropriated and Planned,2008,663383000,791051342
2,Health and Population,122,Basic Health,1,Appropriated and Planned,2009,791336000,932847447
2,Health and Population,122,Basic Health,1,Appropriated and Planned,2010,1374382000,1606350039
2,Health and Population,122,Basic Health,1,Appropriated and Planned,2011,1235607000,1415899361
2,Health and Population,122,Basic Health,1,Appropriated and Planned,2012,1273394000,1432058893
2,Health and Population,122,Basic Health,1,Appropriated and Planned,2013,1269175000,1401526126
2,Health and Population,122,Basic Health,1,Appropriated and Planned,2014,1364556000,1478400468
2,Health and Population,122,Basic Health,1,Appropriated and Planned,2015,1802704000,1930781820
2,Health and Population,122,Basic Health,1,Appropriated and Planned,2016,1534885000,1629502187
2,Health and Population,122,Basic Health,1,Appropriated and Planned,2017,1545269000,1611918673
2,Health and Population,122,Basic Health,1,Appropriated and Planned,2018,1478926000,1507614376
2,Health and Population,122,Basic Health,1,Appropriated and Planned,2019,1524868000,1524868000
2,Health and Population,122,Basic Health,1,Appropriated and Planned,2020,1476338000,1447758737
2,Health and Population,122,Basic Health,2,Obligations,2001,454076358,639597035
2,Health and Population,122,Basic Health,2,Obligations,2002,582354769,807342404
2,Health and Population,122,Basic Health,2,Obligations,2003,737657804,1004321983
2,Health and Population,122,Basic Health,2,Obligations,2004,1194647560,1588437756
2,Health and Population,122,Basic Health,2,Obligations,2005,663959951,856688110
2,Health and Population,122,Basic Health,2,Obligations,2006,1052920032,1316413444
2,Health and Population,122,Basic Health,2,Obligations,2007,894428658,1088608718
2,Health and Population,122,Basic Health,2,Obligations,2008,1104365534,1316901143
2,Health and Population,122,Basic Health,2,Obligations,2009,1104712744,1302264055
2,Health and Population,122,Basic Health,2,Obligations,2010,1418785403,1658247820
2,Health and Population,122,Basic Health,2,Obligations,2011,1535740143,1759826130
2,Health and Population,122,Basic Health,2,Obligations,2012,1525271583,1715320393
2,Health and Population,122,Basic Health,2,Obligations,2013,1236405823,1365339715
2,Health and Population,122,Basic Health,2,Obligations,2014,1558774213,1688822249
2,Health and Population,122,Basic Health,2,Obligations,2015,2509189756,2687461707
2,Health and Population,122,Basic Health,2,Obligations,2016,2231713675,2369286472
2,Health and Population,122,Basic Health,2,Obligations,2017,1854466679,1934452501
2,Health and Population,122,Basic Health,2,Obligations,2018,1926722726,1964097522
2,Health and Population,122,Basic Health,2,Obligations,2019,1679455602,1679455602
2,Health and Population,122,Basic Health,2,Obligations,2020,3175026494,3113563699
2,Health and Population,122,Basic Health,2,Obligations,2021,3340066672,3211284094
2,Health and Population,122,Basic Health,3,Disbursements,2001,519381327,731583437
2,Health and Population,122,Basic Health,3,Disbursements,2002,681787684,945190350
2,Health and Population,122,Basic Health,3,Disbursements,2003,603823355,822106203
2,Health and Population,122,Basic Health,3,Disbursements,2004,733887183,975797494
2,Health and Population,122,Basic Health,3,Disbursements,2005,994273440,1282881898
2,Health and Population,122,Basic Health,3,Disbursements,2006,972776243,1216213638
2,Health and Population,122,Basic Health,3,Disbursements,2007,818044365,995641385
2,Health and Population,122,Basic Health,3,Disbursements,2008,868943171,1036171615
2,Health and Population,122,Basic Health,3,Disbursements,2009,1074470445,1266613622
