Series Name,Series Code,Country Name,Country Code,1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1980 [YR1980],1985 [YR1985],1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020]
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Botswana,BWA,17649999.6185303,31409999.8474121,36069999.6948242,36450000.7629395,50939998.626709,105269996.643066,95620002.746582,145220001.220703,89660003.6621094,30620000.8392334,48270000.4577637,154669998.168945,65540000.9155273,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Brazil,BRA,120069999.694824,94430000.3051758,65099998.4741211,129809997.558594,132580001.831055,83150001.5258789,84970001.2207031,174380004.882813,264329986.572266,255679992.675781,217240005.493164,464779998.779297,1003190002.44141,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,British Virgin Islands,VGB,..,..,..,1679999.94754791,2420000.07629395,4610000.1335144,2039999.96185303,5570000.17166138,1429999.94754791,4840000.15258789,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Brunei Darussalam,BRN,50000.0007450581,19999.9995529652,119999.997317791,150000.005960464,140000.000596046,29999.9993294477,1399999.97615814,3880000.11444092,4289999.96185303,629999.995231628,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Bulgaria,BGR,..,..,..,..,..,..,..,13619999.8855591,113069999.694824,307140014.648438,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Burkina Faso,BFA,28790000.9155273,34319999.6948242,56900001.5258789,96319999.6948242,88500000,209960006.713867,188490005.493164,326529998.779297,490450012.207031,179779998.779297,698190002.441406,1044619995.11719,998390014.648438,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Burundi,BDI,21680000.3051758,25760000.2288818,26860000.6103516,37349998.4741211,47470001.2207031,115949996.948242,137160003.662109,262549987.792969,286950012.207031,93309997.5585938,365579986.572266,627609985.351563,366559997.558594,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Cabo Verde,CPV,..,..,..,..,8649999.61853027,61840000.1525879,64309997.5585938,105279998.779297,115730003.356934,94650001.5258789,162869995.117188,326980010.986328,153250000,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Cambodia,KHM,40240001.6784668,67150001.5258789,145679992.675781,307660003.662109,81239997.8637695,268670013.427734,13840000.1525879,41310001.373291,505579986.572266,345559997.558594,452899993.896484,681039978.027344,679039978.027344,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Cameroon,CMR,48189998.626709,62860000.6103516,60880001.0681152,61889999.3896484,109620002.746582,264760009.765625,152479995.727539,444380004.882813,443989990.234375,377160003.662109,416540008.544922,540229980.46875,664119995.117188,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Cayman Islands,CYM,..,..,..,1679999.94754791,1590000.0333786,1490000.00953674,70000.0002980232,2990000.00953674,-569999.992847443,-3599999.90463257,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Central African Republic,CAF,15550000.1907349,25649999.6185303,25600000.3814697,36580001.8310547,54750000,110120002.746582,103849998.474121,248889999.389648,167779998.779297,75900001.5258789,88970001.2207031,260980010.986328,486730010.986328,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Chad,TCD,30409999.8474121,30790000.9155273,45279998.7792969,78480003.3569336,66730003.3569336,34990001.6784668,179050003.051758,310579986.572266,235020004.272461,131330001.831055,386440002.441406,490160003.662109,606409973.144531,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Chile,CHL,27379999.1607666,38110000.6103516,39779998.7792969,15180000.3051758,113089996.337891,-7550000.19073486,49369998.9318848,109139999.389648,160740005.493164,50540000.9155273,170750000,181910003.662109,54330001.8310547,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,China,CHN,..,..,..,..,..,65500000,938750000,2030599975.58594,3463699951.17188,1749020019.53125,1798339965.82031,671890014.648438,-306290008.544922,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Colombia,COL,104099998.474121,102739997.86377,129220001.220703,87029998.7792969,70529998.7792969,42259998.3215332,52520000.4577637,101050003.051758,181750000,202369995.117188,643070007.324219,673090026.855469,1355920043.94531,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Comoros,COM,8819999.69482422,10210000.038147,17620000.8392334,27340000.1525879,21559999.4659424,43250000,47130001.0681152,44880001.0681152,41599998.4741211,19309999.4659424,23139999.3896484,69910003.6621094,65779998.7792969,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,"Congo, Dem. Rep.",COD,107269996.643066,121690002.441406,138919998.168945,180089996.337891,258079986.572266,431230010.986328,305359985.351563,895789978.027344,194750000,178440002.441406,1881800048.82813,3483649902.34375,2599040039.0625,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,"Congo, Rep.",COG,17170000.0762939,23100000.3814697,26620000.8392334,37819999.6948242,55930000.3051758,91150001.5258789,69019996.6430664,217160003.662109,126860000.610352,32150001.5258789,1425550048.82813,1315089965.82031,88800003.0517578,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Costa Rica,CRI,14159999.8474121,15659999.8474121,16239999.7711182,15939999.5803833,20190000.5340576,24700000.7629395,251770004.272461,222500000,46090000.1525879,25459999.0844727,32610000.6103516,101129997.253418,111300003.051758,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Cote d'Ivoire,CIV,51069999.6948242,48279998.7792969,63319999.6948242,75620002.746582,99680000.3051758,209800003.051758,117360000.610352,686400024.414063,1212439941.40625,350920013.427734,91279998.7792969,845309997.558594,651669982.910156,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Croatia,HRV,..,..,..,..,..,..,..,..,53279998.7792969,65510002.1362305,123459999.084473,131550003.051758,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Cuba,CUB,2480000.01907349,3569999.9332428,5190000.05722046,15229999.5422363,19629999.1607666,45279998.7792969,41990001.6784668,51810001.373291,63630001.0681152,45069999.6948242,90139999.3896484,132449996.948242,557960021.972656,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Cyprus,CYP,5980000.01907349,7300000.19073486,8079999.92370605,21250000,31149999.6185303,52680000.3051758,36860000.6103516,38430000.3051758,21430000.3051758,54400001.5258789,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Czech Republic,CZE,..,..,..,..,..,..,..,13680000.3051758,147380004.882813,437369995.117188,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Djibouti,DJI,10649999.6185303,13350000.3814697,19479999.5422363,29059999.4659424,34400001.5258789,73040000.9155273,81389999.3896484,207009994.506836,105559997.558594,72239997.8637695,74169998.1689453,132029998.779297,173389999.389648,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Dominica,DMA,..,..,90000.0035762787,3579999.92370605,7869999.88555908,17610000.6103516,16590000.1525879,19639999.3896484,25000000,15279999.7329712,21110000.6103516,32450000.7629395,11710000.038147,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Dominican Republic,DOM,24399999.6185303,24540000.9155273,19579999.9237061,16440000.5340576,20270000.4577637,70889999.3896484,167059997.558594,90910003.6621094,107809997.558594,61299999.2370605,95000000,193809997.558594,279959991.455078,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Ecuador,ECU,21739999.7711182,19159999.8474121,29459999.0844727,28139999.3896484,38849998.4741211,33040000.9155273,79129997.253418,144699996.948242,187619995.117188,155169998.168945,257799987.792969,168529998.779297,318160003.662109,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,"Egypt, Arab Rep.",EGY,138710006.713867,139940002.441406,886919982.910156,1376270019.53125,2513429931.64063,1383150024.41406,1774180053.71094,6065200195.3125,2028069946.28906,1370829956.05469,1046310058.59375,599159973.144531,2524530029.29688,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,El Salvador,SLV,10439999.5803833,15890000.3433228,12319999.6948242,9590000.15258789,16879999.1607666,84160003.6621094,325480010.986328,328480010.986328,279190002.441406,192440002.441406,218490005.493164,302420013.427734,89699996.9482422,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Equatorial Guinea,GNQ,..,..,1009999.99046326,15890000.3433228,2180000.0667572,9229999.54223633,17110000.6103516,60229999.5422363,33400001.5258789,21270000.4577637,38130001.0681152,85069999.6948242,7489999.77111816,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Eritrea,ERI,29999.9993294477,..,620000.004768372,2150000.09536743,1620000.00476837,4679999.82833862,..,4500000,148289993.286133,178020004.272461,349739990.234375,162309997.558594,93919998.1689453,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Estonia,EST,..,..,..,..,..,..,..,..,58049999.2370605,63830001.8310547,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Eswatini,SWZ,2059999.94277954,8710000.03814697,10449999.8092651,14319999.6948242,14460000.038147,48139999.3896484,23969999.3133545,53630001.0681152,57750000,13130000.1144409,46709999.0844727,91139999.3896484,92629997.253418,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Ethiopia,ETH,46979999.5422363,47319999.6948242,66279998.7792969,116900001.525879,131949996.948242,211100006.103516,718409973.144531,1009250000,876979980.46875,687799987.792969,1929119995.11719,3455159912.10938,3238889892.57813,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Fiji,FJI,10640000.3433228,8460000.03814697,14569999.6948242,14850000.3814697,19360000.6103516,35869998.9318848,31360000.6103516,49220001.2207031,42799999.2370605,29370000.8392334,66080001.8310547,75839996.3378906,102480003.356934,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Finland,FIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,French Polynesia,PYF,19670000.0762939,27489999.7711182,50349998.4741211,37659999.8474121,71739997.8637695,159460006.713867,171990005.493164,259660003.662109,450929992.675781,402589996.337891,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Gabon,GAB,23719999.3133545,26819999.6948242,39189998.626709,24620000.8392334,60400001.5258789,55580001.8310547,60750000,131229995.727539,143740005.493164,11850000.3814697,50299999.2370605,106269996.643066,98779998.7792969,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,"Gambia, The",GMB,3529999.97138977,4880000.11444092,6440000.05722046,10189999.5803833,8039999.96185303,52639999.3896484,48040000.9155273,97260002.1362305,45430000.3051758,49639999.3896484,60759998.3215332,121099998.474121,113940002.441406,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Georgia,GEO,..,..,..,..,..,..,..,..,209059997.558594,171949996.948242,293339996.337891,588859985.351563,448929992.675781,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Ghana,GHA,56840000.1525879,58560001.373291,40900001.5258789,36319999.6948242,124209999.084473,190809997.558594,194330001.831055,559719970.703125,649869995.117188,600650024.414063,1152640014.64844,1697219970.70313,1770479980.46875,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Gibraltar,GIB,3819999.9332428,4190000.05722046,6250000,6619999.88555908,3029999.97138977,11149999.6185303,28920000.0762939,560000.002384186,209999.993443489,39999.9991059303,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Greece,GRC,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Grenada,GRD,..,..,50000.0007450581,1850000.02384186,2750000,3849999.90463257,34409999.8474121,13800000.1907349,10819999.6948242,16870000.8392334,52599998.4741211,33849998.4741211,24100000.3814697,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Guatemala,GTM,11939999.5803833,18979999.5422363,18370000.8392334,22170000.0762939,30069999.6948242,41959999.0844727,76019996.6430664,185910003.662109,205350006.103516,260700012.207031,269480010.986328,402059997.558594,411290008.544922,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Guinea,GIN,9550000.19073486,4789999.96185303,11220000.2670288,19809999.4659424,24370000.8392334,88669998.1689453,112919998.168945,291579986.572266,415920013.427734,153410003.662109,192910003.662109,220970001.220703,538929992.675781,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Guinea-Bissau,GNB,109999.999403954,..,9999.99977648258,10060000.4196167,20760000.2288818,58099998.4741211,56470001.2207031,126349998.474121,117599998.474121,81069999.6948242,66760002.1362305,129000000,95040000.9155273,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Guyana,GUY,16430000.3051758,12460000.038147,8090000.15258789,12140000.3433228,10100000.3814697,26649999.6185303,10720000.2670288,164770004.272461,68089996.3378906,63630001.0681152,101360000.610352,106410003.662109,32139999.3896484,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Haiti,HTI,5929999.82833862,7010000.22888184,7809999.94277954,12880000.1144409,41549999.2370605,95029998.7792969,138119995.117188,155710006.713867,654799987.792969,181639999.389648,366630004.882813,2889840087.89063,1045859985.35156,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Honduras,HND,11739999.7711182,16329999.9237061,13960000.038147,19500000,37630001.0681152,86750000,237910003.662109,411049987.792969,374670013.427734,399850006.103516,649359985.351563,470500000,540599975.585938,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,"Hong Kong SAR, China",HKG,3630000.11444092,2890000.10490417,910000.026226044,1029999.97138977,-1139999.98569489,10890000.3433228,20479999.5422363,38159999.8474121,17729999.5422363,4329999.92370605,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Hungary,HUN,..,..,..,..,..,..,..,67010002.1362305,-245240005.493164,252169998.168945,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,India,IND,1002400024.41406,613900024.414063,778710021.972656,1230400024.41406,1605189941.40625,2185959960.9375,1587010009.76563,1395000000,1732829956.05469,1383420043.94531,1875959960.9375,2831340087.89063,3174350097.65625,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Indonesia,IDN,584500000,494959991.455078,597309997.558594,649929992.675781,668969970.703125,936909973.144531,590859985.351563,1592550048.82813,1251750000,1645430053.71094,2489000000,1323760009.76563,-28459999.0844727,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,"Iran, Islamic Rep.",IRN,7550000.19073486,8880000.11444092,-3740000.00953674,9079999.92370605,1519999.98092651,28159999.8474121,11430000.3051758,106449996.948242,186940002.441406,129869995.117188,100669998.168945,112440002.441406,110900001.525879,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Iraq,IRQ,16360000.6103516,22709999.0844727,13300000.1907349,4230000.01907349,110330001.831055,12430000.3051758,19899999.6185303,63090000.1525879,332769989.013672,101830001.831055,22057089843.75,2178330078.125,1482939941.40625,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Ireland,IRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Israel,ISR,72220001.2207031,85370002.746582,186039993.286133,117589996.337891,467480010.986328,892159973.144531,1978400024.41406,1371890014.64844,335589996.337891,800000000,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Jamaica,JAM,17950000.7629395,16950000.7629395,15430000.3051758,21219999.3133545,20250000,110790000.915527,165919998.168945,271579986.572266,114510002.13623,14130000.1144409,43750000,141100006.103516,59069999.6948242,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Jordan,JOR,64309997.5585938,109290000.915527,205380004.882813,311420013.427734,491679992.675781,1576130004.88281,607419982.910156,951659973.144531,540489990.234375,554179992.675781,709849975.585938,954750000,2141050048.82813,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Kazakhstan,KAZ,..,..,..,..,..,..,..,..,58860000.6103516,184839996.337891,225199996.948242,211990005.493164,81699996.9482422,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Kenya,KEN,66849998.4741211,71860000.6103516,94970001.2207031,116580001.831055,124819999.694824,394790008.544922,426660003.662109,1181290039.0625,733090026.855469,513919982.910156,756570007.324219,1631260009.76563,2463560058.59375,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Kiribati,KIR,2539999.96185303,4210000.03814697,5969999.79019165,5610000.1335144,5659999.84741211,19059999.4659424,11819999.6948242,19280000.6866455,14529999.7329712,16930000.3051758,26639999.3896484,23770000.4577637,64949996.9482422,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,5510000.22888184,7730000.01907349,13479999.5422363,73550003.0517578,87449996.9482422,78830001.8310547,131429992.675781,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,"Korea, Rep.",KOR,324510009.765625,365429992.675781,282000000,252039993.286133,247479995.727539,138710006.713867,-8819999.69482422,52279998.7792969,57000000,-198139999.389648,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,527520019.53125,437809997.558594,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Kuwait,KWT,509999.990463257,589999.973773956,389999.985694885,379999.995231628,330000.013113022,10250000,4210000.03814697,12859999.6566772,4230000.01907349,3890000.10490417,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Kyrgyz Republic,KGZ,..,..,..,..,..,..,..,..,244669998.168945,193350006.103516,237869995.117188,372040008.544922,774710021.972656,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Lao PDR,LAO,71860000.6103516,66650001.5258789,73809997.5585938,58939998.626709,35849998.4741211,45159999.8474121,35759998.3215332,104779998.779297,246470001.220703,233610000.610352,241289993.286133,389209991.455078,471089996.337891,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Latvia,LVA,..,..,..,..,..,..,..,..,63349998.4741211,90589996.3378906,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Lebanon,LBN,6070000.17166138,15020000.4577637,11630000.1144409,139199996.948242,14300000.1907349,297829986.572266,82410003.6621094,285679992.675781,191289993.286133,201190002.441406,230720001.220703,445089996.337891,965609985.351563,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Lesotho,LSO,16569999.6948242,13840000.1525879,13930000.3051758,20620000.8392334,28479999.5422363,93160003.6621094,92180000.3051758,139130004.882813,112650001.525879,37169998.1689453,68440002.4414063,256049987.792969,86489997.8637695,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Liberia,LBR,12750000,12909999.8474121,10289999.961853,14539999.961853,20010000.2288818,97050003.0517578,90489997.8637695,113739997.86377,123099998.474121,67419998.1689453,222089996.337891,1416109985.35156,1094430053.71094,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Libya,LBY,3369999.88555908,7090000.15258789,12310000.4196167,11329999.9237061,1549999.95231628,12130000.1144409,5230000.01907349,8340000.15258789,5840000.15258789,13750000,23840000.1525879,7610000.1335144,157369995.117188,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Lithuania,LTU,..,..,..,..,..,..,..,..,179130004.882813,97819999.6948242,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,..,..,..,..
