"year","topic","value","rank","color"
1995,"Flüchtlinge / Asyl",31,6,"#61b13e"
1997,"Flüchtlinge / Asyl",30,5,"#61b13e"
1999,"Flüchtlinge / Asyl",56,2,"#61b13e"
2001,"Flüchtlinge / Asyl",32,5,"#61b13e"
2003,"Flüchtlinge / Asyl",36,4,"#61b13e"
2005,"Flüchtlinge / Asyl",28,6,"#61b13e"
2007,"Flüchtlinge / Asyl",26,6,"#61b13e"
2009,"Flüchtlinge / Asyl",17,9,"#61b13e"
2011,"Flüchtlinge / Asyl",21,8,"#61b13e"
2013,"Flüchtlinge / Asyl",28,4,"#61b13e"
2015,"Flüchtlinge / Asyl",35,4,"#61b13e"
2017,"Flüchtlinge / Asyl",19,6,"#61b13e"
1995,"AusländerInnen",30,8,"#1cb373"
1997,"AusländerInnen",21,8,"#1cb373"
1999,"AusländerInnen",22,7,"#1cb373"
2001,"AusländerInnen",22,9,"#1cb373"
2003,"AusländerInnen",18,8,"#1cb373"
2005,"AusländerInnen",30,4,"#1cb373"
2007,"AusländerInnen",35,4,"#1cb373"
2009,"AusländerInnen",23,7,"#1cb373"
2011,"AusländerInnen",36,2,"#1cb373"
2013,"AusländerInnen",37,2,"#1cb373"
2015,"AusländerInnen",43,2,"#1cb373"
2017,"AusländerInnen",35,3,"#1cb373"
1995,"EU / Bilaterale / Integration",48,2,"#d9d9d9"
1997,"EU / Bilaterale / Integration",39,4,"#d9d9d9"
1999,"EU / Bilaterale / Integration",43,5,"#d9d9d9"
2001,"EU / Bilaterale / Integration",34,4,"#d9d9d9"
2003,"EU / Bilaterale / Integration",15,11,"#d9d9d9"
2005,"EU / Bilaterale / Integration",19,10,"#d9d9d9"
2007,"EU / Bilaterale / Integration",20,10,"#d9d9d9"
2009,"EU / Bilaterale / Integration",12,13,"#d9d9d9"
2011,"EU / Bilaterale / Integration",14,13,"#d9d9d9"
2013,"EU / Bilaterale / Integration",16,12,"#d9d9d9"
2015,"EU / Bilaterale / Integration",24,5,"#d9d9d9"
2017,"EU / Bilaterale / Integration",21,5,"#d9d9d9"
1995,"Soziale Sicherheit",22,9,"#d9d9d9"
1997,"Soziale Sicherheit",15,11,"#d9d9d9"
1999,"Soziale Sicherheit",17,11,"#d9d9d9"
2001,"Soziale Sicherheit",13,14,"#d9d9d9"
2003,"Soziale Sicherheit",21,7,"#d9d9d9"
2005,"Soziale Sicherheit",15,12,"#d9d9d9"
2007,"Soziale Sicherheit",19,12,"#d9d9d9"
2009,"Soziale Sicherheit",31,4,"#d9d9d9"
2011,"Soziale Sicherheit",26,7,"#d9d9d9"
2013,"Soziale Sicherheit",21,7,"#d9d9d9"
2015,"Soziale Sicherheit",12,14,"#d9d9d9"
2017,"Soziale Sicherheit",18,8,"#d9d9d9"
1995,"Neue Armut",NA,NA,"#d9d9d9"
1997,"Neue Armut",19,10,"#d9d9d9"
1999,"Neue Armut",18,9,"#d9d9d9"
2001,"Neue Armut",27,6,"#d9d9d9"
2003,"Neue Armut",27,5,"#d9d9d9"
2005,"Neue Armut",29,5,"#d9d9d9"
2007,"Neue Armut",25,8,"#d9d9d9"
2009,"Neue Armut",22,8,"#d9d9d9"
2011,"Neue Armut",17,9,"#d9d9d9"
2013,"Neue Armut",18,10,"#d9d9d9"
2015,"Neue Armut",15,10,"#d9d9d9"
2017,"Neue Armut",14,12,"#d9d9d9"
1995,"Umweltschutz",31,7,"#ca51af"
1997,"Umweltschutz",19,9,"#ca51af"
1999,"Umweltschutz",18,8,"#ca51af"
2001,"Umweltschutz",15,12,"#ca51af"
2003,"Umweltschutz",14,13,"#ca51af"
2005,"Umweltschutz",9,16,"#ca51af"
2007,"Umweltschutz",25,7,"#ca51af"
2009,"Umweltschutz",17,10,"#ca51af"
2011,"Umweltschutz",16,10,"#ca51af"
2013,"Umweltschutz",16,11,"#ca51af"
2015,"Umweltschutz",15,9,"#ca51af"
2017,"Umweltschutz",16,9,"#ca51af"
1995,"Persönliche Sicherheit",14,11,"#d9d9d9"
1997,"Persönliche Sicherheit",13,13,"#d9d9d9"
1999,"Persönliche Sicherheit",18,10,"#d9d9d9"
2001,"Persönliche Sicherheit",14,13,"#d9d9d9"
2003,"Persönliche Sicherheit",16,10,"#d9d9d9"
2005,"Persönliche Sicherheit",20,9,"#d9d9d9"
2007,"Persönliche Sicherheit",30,5,"#d9d9d9"
2009,"Persönliche Sicherheit",25,6,"#d9d9d9"
2011,"Persönliche Sicherheit",27,6,"#d9d9d9"
2013,"Persönliche Sicherheit",24,5,"#d9d9d9"
2015,"Persönliche Sicherheit",17,8,"#d9d9d9"
2017,"Persönliche Sicherheit",14,13,"#d9d9d9"
