"Year","Month","DATE","COUNT"
2014,6,"2014-06-28",17
2014,6,"2014-06-29",19
2014,6,"2014-06-30",19
2014,7,"2014-07-01",14
2014,7,"2014-07-02",21
2014,7,"2014-07-03",27
2014,7,"2014-07-04",18
2014,7,"2014-07-05",11
2014,7,"2014-07-06",12
2014,7,"2014-07-07",31
2014,7,"2014-07-08",9
2014,7,"2014-07-09",20
2014,7,"2014-07-10",28
2014,7,"2014-07-11",27
2014,7,"2014-07-12",19
2014,7,"2014-07-13",19
2014,7,"2014-07-14",20
2014,7,"2014-07-15",24
2014,7,"2014-07-16",23
2014,7,"2014-07-17",23
2014,7,"2014-07-18",21
2014,7,"2014-07-19",13
2014,7,"2014-07-20",11
2014,7,"2014-07-21",14
2014,7,"2014-07-22",11
2014,7,"2014-07-23",20
2014,7,"2014-07-24",23
2014,7,"2014-07-25",22
2014,7,"2014-07-26",6
2014,7,"2014-07-27",13
2014,7,"2014-07-28",8
2014,7,"2014-07-29",11
2014,7,"2014-07-30",19
2014,7,"2014-07-31",10
2014,8,"2014-08-01",12
2014,8,"2014-08-02",18
2014,8,"2014-08-03",12
2014,8,"2014-08-04",13
2014,8,"2014-08-05",17
2014,8,"2014-08-06",13
2014,8,"2014-08-07",12
2014,8,"2014-08-08",17
2014,8,"2014-08-09",9
2014,8,"2014-08-10",14
2014,8,"2014-08-11",18
2014,8,"2014-08-12",6
2014,8,"2014-08-13",17
2014,8,"2014-08-14",20
2014,8,"2014-08-15",18
2014,8,"2014-08-16",7
2014,8,"2014-08-17",13
2014,8,"2014-08-18",14
2014,8,"2014-08-19",8
2014,8,"2014-08-20",27
2014,8,"2014-08-21",11
2014,8,"2014-08-22",9
2014,8,"2014-08-23",26
2014,8,"2014-08-24",14
2014,8,"2014-08-25",14
2014,8,"2014-08-26",10
2014,8,"2014-08-27",9
2014,8,"2014-08-28",10
2014,8,"2014-08-29",21
2014,8,"2014-08-30",9
2014,8,"2014-08-31",16
2014,9,"2014-09-01",13
2014,9,"2014-09-02",9
2014,9,"2014-09-03",15
2014,9,"2014-09-04",20
2014,9,"2014-09-05",20
2014,9,"2014-09-06",12
2014,9,"2014-09-07",8
2014,9,"2014-09-08",17
2014,9,"2014-09-09",20
2014,9,"2014-09-10",11
2014,9,"2014-09-11",13
2014,9,"2014-09-12",18
2014,9,"2014-09-13",14
2014,9,"2014-09-14",17
2014,9,"2014-09-15",15
2014,9,"2014-09-16",10
2014,9,"2014-09-17",11
2014,9,"2014-09-18",19
2014,9,"2014-09-19",14
2014,9,"2014-09-20",10
2014,9,"2014-09-21",11
2014,9,"2014-09-22",5
2014,9,"2014-09-23",14
2014,9,"2014-09-24",21
2014,9,"2014-09-25",8
2014,9,"2014-09-26",12
2014,9,"2014-09-27",7
2014,9,"2014-09-28",11
2014,9,"2014-09-29",5
2014,9,"2014-09-30",16
2014,10,"2014-10-01",11
2014,10,"2014-10-02",11
2014,10,"2014-10-03",9
2014,10,"2014-10-04",7
2014,10,"2014-10-05",9
2014,10,"2014-10-06",8
2014,10,"2014-10-07",9
2014,10,"2014-10-08",10
2014,10,"2014-10-09",13
2014,10,"2014-10-10",7
2014,10,"2014-10-11",10
2014,10,"2014-10-12",7
2014,10,"2014-10-13",7
2014,10,"2014-10-14",12
2014,10,"2014-10-15",9
2014,10,"2014-10-16",15
2014,10,"2014-10-17",8
2014,10,"2014-10-18",7
2014,10,"2014-10-19",6
2014,10,"2014-10-20",4
2014,10,"2014-10-21",10
2014,10,"2014-10-22",12
2014,10,"2014-10-23",9
2014,10,"2014-10-24",7
2014,10,"2014-10-25",10
2014,10,"2014-10-26",6
2014,10,"2014-10-27",12
2014,10,"2014-10-28",4
2014,10,"2014-10-29",6
2014,10,"2014-10-30",6
2014,10,"2014-10-31",6
2014,11,"2014-11-01",5
2014,11,"2014-11-02",1
2014,11,"2014-11-03",7
2014,11,"2014-11-04",9
2014,11,"2014-11-05",7
2014,11,"2014-11-06",2
2014,11,"2014-11-07",4
2014,11,"2014-11-08",7
2014,11,"2014-11-09",2
2014,11,"2014-11-10",2
2014,11,"2014-11-11",10
2014,11,"2014-11-12",5
2014,11,"2014-11-13",7
2014,11,"2014-11-14",6
2014,11,"2014-11-15",6
2014,11,"2014-11-16",3
2014,11,"2014-11-17",4
2014,11,"2014-11-18",1
2014,11,"2014-11-19",3
2014,11,"2014-11-20",4
2014,11,"2014-11-21",2
2014,11,"2014-11-22",3
2014,11,"2014-11-23",2
2014,11,"2014-11-24",2
2014,11,"2014-11-25",3
2014,11,"2014-11-27",4
2014,11,"2014-11-28",4
2014,11,"2014-11-29",2
2014,11,"2014-11-30",2
2014,12,"2014-12-01",9
2014,12,"2014-12-03",7
2014,12,"2014-12-04",4
2014,12,"2014-12-05",5
2014,12,"2014-12-06",6
2014,12,"2014-12-07",5
2014,12,"2014-12-08",2
2014,12,"2014-12-09",3
2014,12,"2014-12-10",6
2014,12,"2014-12-11",1
2014,12,"2014-12-12",2
2014,12,"2014-12-14",1
2014,12,"2014-12-15",6
2014,12,"2014-12-16",7
2014,12,"2014-12-17",3
2014,12,"2014-12-18",2
2014,12,"2014-12-19",2
2014,12,"2014-12-20",4
2014,12,"2014-12-21",2
2014,12,"2014-12-23",3
2014,12,"2014-12-24",2
2014,12,"2014-12-25",3
2014,12,"2014-12-26",1
2014,12,"2014-12-27",3
2014,12,"2014-12-28",1
2014,12,"2014-12-29",4
2014,12,"2014-12-30",2
2014,12,"2014-12-31",5
2015,1,"2015-01-01",6
2015,1,"2015-01-02",4
2015,1,"2015-01-04",1
2015,1,"2015-01-05",1
2015,1,"2015-01-06",2
2015,1,"2015-01-07",1
2015,1,"2015-01-08",2
2015,1,"2015-01-09",5
2015,1,"2015-01-10",1
2015,1,"2015-01-11",5
2015,1,"2015-01-12",5
2015,1,"2015-01-13",5
2015,1,"2015-01-16",1
2015,1,"2015-01-17",3
2015,1,"2015-01-18",1
2015,1,"2015-01-19",4
2015,1,"2015-01-21",1
2015,1,"2015-01-22",2
2015,1,"2015-01-23",4
2015,1,"2015-01-24",3
2015,1,"2015-01-25",1
2015,1,"2015-01-26",5
2015,1,"2015-01-31",5
2015,2,"2015-02-01",2
2015,2,"2015-02-02",1
2015,2,"2015-02-03",2
2015,2,"2015-02-04",1
2015,2,"2015-02-05",2
2015,2,"2015-02-06",2
2015,2,"2015-02-08",1
2015,2,"2015-02-10",1
2015,2,"2015-02-11",2
2015,2,"2015-02-13",4
2015,2,"2015-02-14",3
2015,2,"2015-02-18",3
2015,2,"2015-02-19",2
2015,2,"2015-02-21",1
2015,2,"2015-02-25",2
2015,2,"2015-02-26",1
2015,2,"2015-02-27",1
2015,2,"2015-02-28",2
2015,3,"2015-03-01",4
2015,3,"2015-03-04",1
2015,3,"2015-03-05",5
2015,3,"2015-03-06",1
2015,3,"2015-03-07",3
2015,3,"2015-03-08",3
2015,3,"2015-03-09",2
2015,3,"2015-03-10",3
2015,3,"2015-03-11",3
2015,3,"2015-03-12",2
2015,3,"2015-03-13",1
2015,3,"2015-03-14",7
2015,3,"2015-03-15",4
2015,3,"2015-03-16",4
2015,3,"2015-03-17",4
2015,3,"2015-03-19",2
2015,3,"2015-03-20",7
2015,3,"2015-03-21",9
2015,3,"2015-03-22",2
2015,3,"2015-03-23",7
2015,3,"2015-03-24",5
2015,3,"2015-03-25",6
2015,3,"2015-03-26",2
2015,3,"2015-03-27",2
2015,3,"2015-03-28",2
2015,3,"2015-03-29",1
2015,3,"2015-03-31",5
2015,4,"2015-04-01",8
2015,4,"2015-04-02",12
2015,4,"2015-04-03",7
2015,4,"2015-04-04",3
2015,4,"2015-04-05",5
2015,4,"2015-04-06",3
2015,4,"2015-04-07",7
2015,4,"2015-04-08",4
2015,4,"2015-04-09",5
2015,4,"2015-04-10",10
2015,4,"2015-04-11",6
2015,4,"2015-04-12",2
2015,4,"2015-04-13",12
2015,4,"2015-04-14",11
2015,4,"2015-04-15",15
2015,4,"2015-04-16",11
2015,4,"2015-04-17",14
2015,4,"2015-04-18",14
2015,4,"2015-04-19",18
2015,4,"2015-04-20",8
2015,4,"2015-04-21",10
2015,4,"2015-04-22",10
2015,4,"2015-04-23",8
2015,4,"2015-04-24",9
2015,4,"2015-04-25",12
2015,4,"2015-04-26",8
2015,4,"2015-04-27",10
2015,4,"2015-04-28",8
2015,4,"2015-04-29",11
2015,4,"2015-04-30",8
2015,5,"2015-05-01",14
2015,5,"2015-05-02",14
2015,5,"2015-05-03",14
2015,5,"2015-05-04",19
2015,5,"2015-05-05",11
2015,5,"2015-05-06",13
2015,5,"2015-05-07",17
2015,5,"2015-05-08",12
2015,5,"2015-05-09",15
2015,5,"2015-05-10",14
2015,5,"2015-05-11",8
2015,5,"2015-05-12",15
2015,5,"2015-05-13",10
2015,5,"2015-05-14",16
2015,5,"2015-05-15",10
2015,5,"2015-05-16",8
2015,5,"2015-05-17",9
2015,5,"2015-05-18",14
2015,5,"2015-05-19",18
2015,5,"2015-05-20",15
2015,5,"2015-05-21",18
2015,5,"2015-05-22",14
2015,5,"2015-05-23",14
2015,5,"2015-05-24",22
2015,5,"2015-05-25",10
2015,5,"2015-05-26",17
2015,5,"2015-05-27",20
2015,5,"2015-05-28",14
2015,5,"2015-05-29",19
2015,5,"2015-05-30",10
2015,5,"2015-05-31",14
2015,6,"2015-06-01",16
2015,6,"2015-06-02",14
2015,6,"2015-06-03",12
2015,6,"2015-06-04",13
2015,6,"2015-06-05",19
2015,6,"2015-06-06",13
2015,6,"2015-06-07",12
2015,6,"2015-06-08",18
2015,6,"2015-06-09",16
2015,6,"2015-06-10",9
2015,6,"2015-06-11",12
2015,6,"2015-06-12",8
2015,6,"2015-06-13",21
2015,6,"2015-06-14",14
2015,6,"2015-06-15",13
2015,6,"2015-06-16",11
2015,6,"2015-06-17",20
2015,6,"2015-06-18",17
2015,6,"2015-06-19",19
2015,6,"2015-06-20",13
2015,6,"2015-06-21",15
2015,6,"2015-06-22",10
2015,6,"2015-06-23",13
2015,6,"2015-06-24",18
2015,6,"2015-06-25",11
2015,6,"2015-06-26",19
2015,6,"2015-06-27",6
2015,6,"2015-06-28",8
2015,6,"2015-06-29",12
2015,6,"2015-06-30",12
2015,7,"2015-07-01",15
2015,7,"2015-07-02",13
2015,7,"2015-07-03",22
2015,7,"2015-07-04",17
2015,7,"2015-07-05",19
2015,7,"2015-07-06",21
2015,7,"2015-07-07",14
2015,7,"2015-07-08",14
2015,7,"2015-07-09",14
2015,7,"2015-07-10",19
2015,7,"2015-07-11",17
2015,7,"2015-07-12",10
2015,7,"2015-07-13",12
2015,7,"2015-07-14",20
2015,7,"2015-07-15",20
2015,7,"2015-07-16",19
2015,7,"2015-07-17",12
2015,7,"2015-07-18",13
2015,7,"2015-07-19",19
2015,7,"2015-07-20",21
2015,7,"2015-07-21",21
2015,7,"2015-07-22",16
2015,7,"2015-07-23",23
2015,7,"2015-07-24",14
2015,7,"2015-07-25",10
2015,7,"2015-07-26",15
2015,7,"2015-07-27",18
2015,7,"2015-07-28",11
2015,7,"2015-07-29",14
2015,7,"2015-07-30",15
2015,7,"2015-07-31",12
2015,8,"2015-08-01",15
2015,8,"2015-08-02",13
2015,8,"2015-08-03",21
2015,8,"2015-08-04",12
2015,8,"2015-08-05",14
2015,8,"2015-08-06",23
2015,8,"2015-08-07",13
2015,8,"2015-08-08",16
2015,8,"2015-08-09",11
2015,8,"2015-08-10",14
2015,8,"2015-08-11",19
2015,8,"2015-08-12",14
2015,8,"2015-08-13",13
2015,8,"2015-08-14",13
2015,8,"2015-08-15",22
2015,8,"2015-08-16",22
2015,8,"2015-08-17",16
2015,8,"2015-08-18",10
2015,8,"2015-08-19",10
2015,8,"2015-08-20",7
2015,8,"2015-08-21",26
2015,8,"2015-08-22",8
2015,8,"2015-08-23",13
2015,8,"2015-08-24",11
2015,8,"2015-08-25",11
2015,8,"2015-08-26",11
2015,8,"2015-08-27",14
2015,8,"2015-08-28",23
2015,8,"2015-08-29",7
2015,8,"2015-08-30",12
2015,8,"2015-08-31",11
2015,9,"2015-09-01",19
2015,9,"2015-09-02",15
2015,9,"2015-09-03",15
2015,9,"2015-09-04",19
2015,9,"2015-09-05",9
2015,9,"2015-09-06",8
2015,9,"2015-09-07",17
2015,9,"2015-09-08",12
2015,9,"2015-09-09",13
2015,9,"2015-09-10",22
2015,9,"2015-09-11",19
2015,9,"2015-09-12",4
2015,9,"2015-09-13",5
2015,9,"2015-09-14",19
2015,9,"2015-09-15",17
2015,9,"2015-09-16",15
2015,9,"2015-09-17",14
2015,9,"2015-09-18",13
2015,9,"2015-09-19",16
2015,9,"2015-09-20",17
2015,9,"2015-09-21",12
2015,9,"2015-09-22",8
2015,9,"2015-09-23",11
2015,9,"2015-09-24",9
2015,9,"2015-09-25",19
2015,9,"2015-09-26",11
2015,9,"2015-09-27",9
2015,9,"2015-09-28",13
2015,9,"2015-09-29",6
2015,9,"2015-09-30",12
2015,10,"2015-10-01",8
2015,10,"2015-10-02",7
2015,10,"2015-10-03",7
2015,10,"2015-10-04",5
2015,10,"2015-10-05",11
2015,10,"2015-10-06",18
2015,10,"2015-10-07",9
2015,10,"2015-10-08",7
2015,10,"2015-10-09",12
2015,10,"2015-10-10",8
2015,10,"2015-10-11",20
2015,10,"2015-10-12",8
2015,10,"2015-10-13",2
2015,10,"2015-10-14",14
2015,10,"2015-10-15",15
2015,10,"2015-10-16",10
2015,10,"2015-10-17",5
2015,10,"2015-10-18",9
2015,10,"2015-10-19",10
2015,10,"2015-10-20",8
2015,10,"2015-10-21",14
2015,10,"2015-10-22",7
2015,10,"2015-10-23",6
2015,10,"2015-10-24",5
2015,10,"2015-10-25",7
2015,10,"2015-10-26",6
2015,10,"2015-10-27",9
2015,10,"2015-10-28",6
2015,10,"2015-10-29",6
2015,10,"2015-10-30",15
2015,10,"2015-10-31",3
2015,11,"2015-11-01",8
2015,11,"2015-11-02",10
2015,11,"2015-11-03",8
2015,11,"2015-11-04",9
2015,11,"2015-11-05",1
2015,11,"2015-11-06",13
2015,11,"2015-11-07",4
2015,11,"2015-11-08",5
2015,11,"2015-11-09",10
2015,11,"2015-11-10",8
2015,11,"2015-11-11",5
2015,11,"2015-11-12",2
2015,11,"2015-11-13",20
2015,11,"2015-11-14",2
2015,11,"2015-11-15",6
2015,11,"2015-11-16",6
2015,11,"2015-11-17",6
2015,11,"2015-11-18",14
2015,11,"2015-11-19",7
2015,11,"2015-11-20",6
2015,11,"2015-11-21",11
2015,11,"2015-11-22",6
2015,11,"2015-11-23",8
2015,11,"2015-11-24",4
2015,11,"2015-11-25",9
2015,11,"2015-11-26",2
2015,11,"2015-11-27",3
2015,11,"2015-11-28",2
2015,11,"2015-11-29",5
2015,11,"2015-11-30",4
2015,12,"2015-12-01",1
2015,12,"2015-12-02",4
2015,12,"2015-12-03",5
2015,12,"2015-12-04",5
2015,12,"2015-12-05",2
2015,12,"2015-12-06",3
2015,12,"2015-12-07",12
2015,12,"2015-12-08",5
2015,12,"2015-12-09",5
2015,12,"2015-12-10",8
2015,12,"2015-12-11",4
2015,12,"2015-12-12",4
2015,12,"2015-12-13",8
2015,12,"2015-12-14",11
2015,12,"2015-12-15",6
2015,12,"2015-12-16",3
2015,12,"2015-12-17",3
2015,12,"2015-12-18",6
2015,12,"2015-12-19",4
2015,12,"2015-12-20",4
2015,12,"2015-12-21",6
2015,12,"2015-12-22",3
2015,12,"2015-12-23",5
2015,12,"2015-12-24",5
2015,12,"2015-12-25",3
2015,12,"2015-12-26",2
2015,12,"2015-12-27",6
2015,12,"2015-12-28",2
2015,12,"2015-12-29",1
2015,12,"2015-12-30",5
2015,12,"2015-12-31",1
2016,1,"2016-01-01",7
2016,1,"2016-01-02",5
2016,1,"2016-01-03",1
2016,1,"2016-01-04",2
2016,1,"2016-01-05",3
2016,1,"2016-01-06",3
2016,1,"2016-01-07",2
2016,1,"2016-01-08",5
2016,1,"2016-01-09",3
2016,1,"2016-01-10",3
2016,1,"2016-01-11",2
2016,1,"2016-01-12",5
2016,1,"2016-01-13",2
2016,1,"2016-01-14",5
2016,1,"2016-01-15",5
2016,1,"2016-01-16",3
2016,1,"2016-01-19",3
2016,1,"2016-01-20",8
2016,1,"2016-01-21",2
2016,1,"2016-01-22",8
2016,1,"2016-01-24",2
2016,1,"2016-01-25",6
2016,1,"2016-01-26",3
2016,1,"2016-01-27",3
2016,1,"2016-01-28",4
2016,1,"2016-01-29",3
2016,1,"2016-01-30",8
2016,1,"2016-01-31",1
2016,2,"2016-02-01",6
2016,2,"2016-02-02",4
2016,2,"2016-02-03",7
2016,2,"2016-02-04",6
2016,2,"2016-02-05",2
2016,2,"2016-02-06",1
2016,2,"2016-02-07",5
2016,2,"2016-02-08",2
2016,2,"2016-02-09",5
2016,2,"2016-02-10",1
2016,2,"2016-02-11",2
2016,2,"2016-02-12",4
2016,2,"2016-02-13",3
2016,2,"2016-02-14",4
2016,2,"2016-02-15",7
2016,2,"2016-02-16",3
2016,2,"2016-02-17",1
2016,2,"2016-02-18",4
2016,2,"2016-02-19",1
2016,2,"2016-02-20",7
2016,2,"2016-02-21",9
2016,2,"2016-02-22",1
2016,2,"2016-02-23",3
2016,2,"2016-02-24",2
2016,2,"2016-02-25",4
2016,2,"2016-02-26",2
2016,2,"2016-02-27",5
2016,2,"2016-02-28",4
2016,2,"2016-02-29",7
2016,3,"2016-03-01",3
2016,3,"2016-03-02",1
2016,3,"2016-03-04",5
2016,3,"2016-03-05",3
2016,3,"2016-03-06",2
2016,3,"2016-03-07",3
2016,3,"2016-03-08",11
2016,3,"2016-03-09",4
2016,3,"2016-03-10",5
2016,3,"2016-03-11",9
2016,3,"2016-03-12",8
2016,3,"2016-03-13",5
2016,3,"2016-03-14",2
2016,3,"2016-03-15",8
2016,3,"2016-03-16",3
2016,3,"2016-03-17",6
2016,3,"2016-03-18",5
2016,3,"2016-03-19",4
2016,3,"2016-03-20",4
2016,3,"2016-03-21",7
2016,3,"2016-03-22",6
2016,3,"2016-03-23",3
2016,3,"2016-03-24",2
2016,3,"2016-03-25",3
2016,3,"2016-03-26",5
2016,3,"2016-03-27",8
2016,3,"2016-03-28",1
2016,3,"2016-03-29",10
2016,3,"2016-03-30",9
2016,3,"2016-03-31",2
2016,4,"2016-04-01",8
2016,4,"2016-04-02",6
2016,4,"2016-04-03",3
2016,4,"2016-04-04",5
2016,4,"2016-04-05",8
2016,4,"2016-04-06",4
2016,4,"2016-04-07",5
2016,4,"2016-04-08",3
2016,4,"2016-04-09",5
2016,4,"2016-04-10",4
2016,4,"2016-04-11",7
2016,4,"2016-04-12",5
2016,4,"2016-04-13",7
2016,4,"2016-04-14",4
2016,4,"2016-04-15",8
2016,4,"2016-04-16",10
2016,4,"2016-04-17",5
2016,4,"2016-04-18",8
2016,4,"2016-04-19",7
2016,4,"2016-04-20",12
2016,4,"2016-04-21",11
2016,4,"2016-04-22",17
2016,4,"2016-04-23",10
2016,4,"2016-04-24",14
2016,4,"2016-04-25",13
2016,4,"2016-04-26",3
2016,4,"2016-04-27",9
2016,4,"2016-04-28",9
2016,4,"2016-04-29",13
2016,4,"2016-04-30",11
2016,5,"2016-05-01",13
2016,5,"2016-05-02",5
2016,5,"2016-05-03",12
2016,5,"2016-05-04",14
2016,5,"2016-05-05",13
2016,5,"2016-05-06",16
2016,5,"2016-05-07",8
2016,5,"2016-05-08",7
2016,5,"2016-05-09",9
2016,5,"2016-05-10",17
2016,5,"2016-05-11",15
2016,5,"2016-05-12",16
2016,5,"2016-05-13",16
2016,5,"2016-05-14",10
2016,5,"2016-05-15",10
2016,5,"2016-05-16",14
2016,5,"2016-05-17",17
2016,5,"2016-05-18",11
2016,5,"2016-05-19",10
2016,5,"2016-05-20",12
2016,5,"2016-05-21",17
2016,5,"2016-05-22",8
2016,5,"2016-05-23",13
2016,5,"2016-05-24",22
2016,5,"2016-05-25",7
2016,5,"2016-05-26",16
2016,5,"2016-05-27",29
2016,5,"2016-05-28",20
2016,5,"2016-05-29",11
2016,5,"2016-05-30",16
2016,5,"2016-05-31",8
2016,6,"2016-06-01",9
2016,6,"2016-06-02",13
2016,6,"2016-06-03",16
2016,6,"2016-06-04",19
2016,6,"2016-06-05",7
2016,6,"2016-06-06",14
2016,6,"2016-06-07",12
2016,6,"2016-06-08",18
2016,6,"2016-06-09",12
2016,6,"2016-06-10",17
2016,6,"2016-06-11",14
2016,6,"2016-06-12",17
2016,6,"2016-06-13",20
2016,6,"2016-06-14",27
2016,6,"2016-06-15",17
2016,6,"2016-06-16",27
2016,6,"2016-06-17",24
2016,6,"2016-06-18",16
2016,6,"2016-06-19",21
2016,6,"2016-06-20",20
2016,6,"2016-06-21",20
2016,6,"2016-06-22",16
2016,6,"2016-06-23",25
2016,6,"2016-06-24",16
2016,6,"2016-06-25",9
2016,6,"2016-06-26",12
2016,6,"2016-06-27",11
2016,6,"2016-06-28",19
2016,6,"2016-06-29",11
2016,6,"2016-06-30",12
2016,7,"2016-07-01",16
2016,7,"2016-07-02",14
2016,7,"2016-07-03",14
2016,7,"2016-07-04",20
2016,7,"2016-07-05",16
2016,7,"2016-07-06",14
2016,7,"2016-07-07",21
2016,7,"2016-07-08",11
2016,7,"2016-07-09",13
2016,7,"2016-07-10",21
2016,7,"2016-07-11",12
2016,7,"2016-07-12",19
2016,7,"2016-07-13",12
2016,7,"2016-07-14",13
2016,7,"2016-07-15",11
2016,7,"2016-07-16",9
2016,7,"2016-07-17",28
2016,7,"2016-07-18",25
2016,7,"2016-07-19",16
2016,7,"2016-07-20",24
2016,7,"2016-07-21",21
2016,7,"2016-07-22",18
2016,7,"2016-07-23",16
2016,7,"2016-07-24",16
2016,7,"2016-07-25",14
2016,7,"2016-07-26",22
2016,7,"2016-07-27",12
2016,7,"2016-07-28",19
2016,7,"2016-07-29",23
2016,7,"2016-07-30",11
2016,7,"2016-07-31",9
2016,8,"2016-08-01",11
2016,8,"2016-08-02",21
2016,8,"2016-08-03",27
2016,8,"2016-08-04",15
2016,8,"2016-08-05",22
2016,8,"2016-08-06",22
2016,8,"2016-08-07",17
2016,8,"2016-08-08",23
2016,8,"2016-08-09",19
2016,8,"2016-08-10",18
2016,8,"2016-08-11",16
2016,8,"2016-08-12",20
2016,8,"2016-08-13",9
2016,8,"2016-08-14",16
2016,8,"2016-08-15",30
2016,8,"2016-08-16",14
2016,8,"2016-08-17",19
2016,8,"2016-08-18",15
2016,8,"2016-08-19",23
2016,8,"2016-08-20",21
2016,8,"2016-08-21",20
2016,8,"2016-08-22",22
2016,8,"2016-08-23",15
2016,8,"2016-08-24",14
2016,8,"2016-08-25",13
2016,8,"2016-08-26",17
2016,8,"2016-08-27",12
2016,8,"2016-08-28",14
2016,8,"2016-08-29",19
2016,8,"2016-08-30",9
2016,8,"2016-08-31",9
2016,9,"2016-09-01",22
2016,9,"2016-09-02",17
2016,9,"2016-09-03",17
2016,9,"2016-09-04",16
2016,9,"2016-09-05",10
2016,9,"2016-09-06",30
2016,9,"2016-09-07",8
2016,9,"2016-09-08",17
2016,9,"2016-09-09",24
2016,9,"2016-09-10",16
2016,9,"2016-09-11",16
2016,9,"2016-09-12",32
2016,9,"2016-09-13",25
2016,9,"2016-09-14",13
