Country_or_Subregion,Total_Cases,Cumulative_Incidence,Confirmed,Imported,Deaths,Year
Suriname,3031,553,622,0,0,2016
Suriname,9,2,1,,,2017
Suriname,3,1,,,,2018
Suriname,1,0,1,,0,2019
Suriname,1,0,0,,0,2020
Suriname,0,0,0,,0,2021
Trinidad and Tobago,0,0,0,0,0,2015
Turks and Caicos Islands,0,0,0,,,2015
Turks and Caicos Islands,194,380,24,,,2016
Virgin Islands (UK),0,0,0,,,2015
Virgin Islands (UK),127,374,53,,,2016
Virgin Islands (UK),0,0,0,,,2017
Virgin Islands (US),0,0,0,0,0,2015
Virgin Islands (US),456,443,56,0,0,2016
Virgin Islands (US),2,2,2,,,2018
Virgin Islands (US),0,0,0,,0,2019
Virgin Islands (US),0,0,0,0,0,2020
Virgin Islands (US),0,0,0,,0,2021
