Author	n (strains)	publication title	journal	publication URL	strains
Jeong-Min Kim et al	4	unknown	unknown	unknown	hCoV-19/SouthKorea/KCDC2193/2020,hCoV-19/SouthKorea/KCDC2062/2020,hCoV-19/SouthKorea/KCDC2149/2020,hCoV-19/SouthKorea/KCDC2173/2020
Issa Abu-Dayyeh et al	11	unknown	unknown	unknown	hCoV-19/Jordan/SR-0338/2020,hCoV-19/Jordan/AM-ALSR-2586/2020,hCoV-19/Jordan/SR-032/2020,hCoV-19/Jordan/Biolab0079/2021,hCoV-19/Jordan/AZ-Biolab038/2021,hCoV-19/Jordan/SEARCH-5466/2020,hCoV-19/Jordan/Biolab0084/2021,hCoV-19/Jordan/AM-Biolab042/2021,hCoV-19/Jordan/SR-044/2020,hCoV-19/Jordan/Biolab019/2021,hCoV-19/Jordan/Biolab0123/2021
Lex Leong et al	14	unknown	unknown	unknown	hCoV-19/Australia/SA0444/2020,hCoV-19/Australia/SA0097/2020,hCoV-19/Australia/SA0286/2020,hCoV-19/Australia/SA0214/2020,hCoV-19/Australia/SA0609/2021,hCoV-19/Australia/SA0561/2020,hCoV-19/Australia/SA0598/2020,hCoV-19/Australia/SA0212/2020,hCoV-19/Australia/SA0522/2020,hCoV-19/Australia/SA0672/2021,hCoV-19/Australia/SA0647/2021,hCoV-19/Australia/SA0624/2021,hCoV-19/Australia/SA0476/2020,hCoV-19/Australia/SA0481/2020
BRC: Fatiha M. Benslimane et al	12	unknown	unknown	unknown	hCoV-19/Qatar/QA-QU_02-3-32/2020,hCoV-19/Qatar/QA-QU_12-10-B8/2020,hCoV-19/Qatar/QA-QU_12-10-E3/2020,hCoV-19/Qatar/QA-QU_12-8-D6/2020,hCoV-19/Qatar/QA-QU_12-11-H12/2020,hCoV-19/Qatar/QA-QU_18-5-1-G12/2021,hCoV-19/Qatar/QA.QU_18.16.A10/2021,hCoV-19/Qatar/QA.QU_18.18.G11/2021,hCoV-19/Qatar/QA.QU_18.19.B1/2021,hCoV-19/Qatar/QA.QU_19.3.A2/2021,hCoV-19/Qatar/QA.QU_18.14.E3/2021,hCoV-19/Qatar/QA-QU_17-H8/2021
Cooley L. et al	5	unknown	unknown	unknown	hCoV-19/Australia/TAS103/2020,hCoV-19/Australia/TAS166/2020,hCoV-19/Australia/TAS97/2020,hCoV-19/Australia/TAS278/2020,hCoV-19/Australia/TAS00279/2020
Clinton R. Paden et al	1	First 12 patients with coronavirus disease 2019 (COVID-19) in the United States	unknown	https://dx.doi.org/10.1101/2020.03.09.20032896	hCoV-19/USA/MA1/2020
Shengyue Wang et al	1	unknown	unknown	unknown	hCoV-19/Shanghai/SH0050/2020
Teemu Smura et al	16	unknown	unknown	unknown	hCoV-19/Finland/13M79/2020,hCoV-19/Finland/28MR2CG3_S315/2020,hCoV-19/Finland/1LS18A9/2020,hCoV-19/Finland/27MR7CE5_S270/2020,hCoV-19/Finland/V10997/2021,hCoV-19/Finland/HEL4-36/2020,hCoV-19/Finland/12382/2021,hCoV-19/Finland/8199/2021,hCoV-19/Finland/6274/2021,hCoV-19/Finland/11059/2021,hCoV-19/Finland/9959/2021,hCoV-19/Finland/8188/2021,hCoV-19/Finland/8991/2021,hCoV-19/Finland/12453/2021,hCoV-19/Finland/12168/2021,hCoV-19/Finland/10446/2021
Ranjit Sah et al	1	Insights into The Codon Usage Bias of 13 Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Isolates from Different Geo-locations	unknown	http://biorxiv.org/lookup/doi/10.1101/2020.04.01.019463	hCoV-19/Nepal/61/2020
Kate Reddington et al	1	unknown	unknown	unknown	hCoV-19/Ireland/D-20G31531/2020
Jing Lu et al	1	Genomic Epidemiology of SARS-CoV-2 in Guangdong Province, China	unknown	https://dx.doi.org/10.1016/j.cell.2020.04.023	hCoV-19/Guangdong/GDFS2020054-P0005/2020
Yoong Min CHONG et al	1	unknown	unknown	unknown	hCoV-19/Malaysia/6359/2020
Erik A Karlsson et al	1	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	hCoV-19/Cambodia/0012/2020
Antoine Dara et al	4	unknown	unknown	unknown	hCoV-19/Mali/INSP480/2021,hCoV-19/Mali/CICM9777/2021,hCoV-19/Mali/INSP634/2021,hCoV-19/Mali/INSP420/2021
Mounerou SALOU et al	5	unknown	unknown	unknown	hCoV-19/Togo/C6783/2021,hCoV-19/Togo/BMC-16660-20/2020,hCoV-19/Togo/BMC-16658-20/2020,hCoV-19/Togo/BMC-16649-20/2020,hCoV-19/Togo/TGS4/2021
Yacouba Sawadogo et al	1	unknown	unknown	unknown	hCoV-19/BurkinaFaso/151/2021
Kuo-Chien Tsao et al A	1	SARS-CoV-2 genomic surveillance in Taiwan revealed novel ORF8-deletion mutant and clade possibly associated with infections in Middle East	unknown	https://dx.doi.org/10.1080/22221751.2020.1782271	hCoV-19/Taiwan/CGMH-CGU-01/2020
Adam Meijer et al	115	unknown	unknown	unknown	hCoV-19/Curacao/CW-RIVM-10308/2020,hCoV-19/Netherlands/FL-RIVM-10198/2020,hCoV-19/Curacao/CW-RIVM-10364/2020,hCoV-19/Curacao/CW-RIVM-21709/2020,hCoV-19/Curacao/CW-RIVM-21728/2020,hCoV-19/Curacao/CW-RIVM-21723/2020,hCoV-19/Aruba/AW-RIVM-10326/2020,hCoV-19/Curacao/CW-RIVM-35049/2021,hCoV-19/Curacao/CW-RIVM-35060/2021,hCoV-19/Aruba/AW-RIVM-35126/2021,hCoV-19/Aruba/AW-RIVM-39229/2021,hCoV-19/Curacao/CW-RIVM-43128/2021,hCoV-19/Curacao/CW-RIVM-43118/2021,hCoV-19/Aruba/AW-RIVM-39178/2021,hCoV-19/Aruba/AW-RIVM-39197/2021,hCoV-19/Curacao/CW-RIVM-33287/2021,hCoV-19/Bonaire/BQ-RIVM-35139/2021,hCoV-19/Bonaire/BQ-RIVM-39010/2021,hCoV-19/Bonaire/BQ-RIVM-35094/2021,hCoV-19/Aruba/AW-RIVM-11558/2021,hCoV-19/Bonaire/BQ-RIVM-21044/2021,hCoV-19/Curacao/CW-RIVM-31670/2021,hCoV-19/Aruba/AW-RIVM-30224/2021,hCoV-19/Aruba/AW-RIVM-40509/2021,hCoV-19/Aruba/AW-RIVM-31229/2021,hCoV-19/Aruba/AW-RIVM-30249/2021,hCoV-19/Curacao/CW-RIVM-11642/2021,hCoV-19/Aruba/AW-RIVM-14462/2021,hCoV-19/Curacao/CW-RIVM-44533/2021,hCoV-19/Curacao/CW-RIVM-43109/2021,hCoV-19/Curacao/CW-RIVM-43150/2021,hCoV-19/Aruba/AW-RIVM-31192/2021,hCoV-19/Aruba/AW-RIVM-33445/2021,hCoV-19/Aruba/AW-RIVM-38127/2021,hCoV-19/Aruba/AW-RIVM-39206/2021,hCoV-19/Aruba/AW-RIVM-41520/2021,hCoV-19/Aruba/AW-RIVM-44242/2021,hCoV-19/Aruba/AW-RIVM-46270/2021,hCoV-19/Aruba/AW-RIVM-29775/2021,hCoV-19/SintMaarten/SX-RIVM-38087/2021,hCoV-19/Bonaire/BQ-RIVM-35140/2021,hCoV-19/Netherlands/NB-RIVM-43934/2021,hCoV-19/Netherlands/NB-RIVM-38912/2021,hCoV-19/Netherlands/ZH-RIVM-33989/2021,hCoV-19/Curacao/CW-RIVM-33256/2021,hCoV-19/Netherlands/GE-RIVM-32456/2021,hCoV-19/SintMaarten/SX-RIVM-29902/2021,hCoV-19/SintMaarten/SX-RIVM-41586/2021,hCoV-19/Aruba/AW-RIVM-41537/2021,hCoV-19/Netherlands/GE-RIVM-36460/2021,hCoV-19/Curacao/CW-RIVM-31703/2021,hCoV-19/Bonaire/BQ-RIVM-27386/2021,hCoV-19/Curacao/CW-RIVM-30413/2021,hCoV-19/Curacao/CW-RIVM-33246/2021,hCoV-19/Curacao/CW-RIVM-35070/2021,hCoV-19/Curacao/CW-RIVM-41673/2021,hCoV-19/Curacao/CW-RIVM-31647/2021,hCoV-19/Curacao/CW-RIVM-31681/2021,hCoV-19/Curacao/CW-RIVM-31624/2021,hCoV-19/Curacao/CW-RIVM-35037/2021,hCoV-19/Curacao/CW-RIVM-30404/2021,hCoV-19/Aruba/AW-RIVM-25520/2021,hCoV-19/Aruba/AW-RIVM-38113/2021,hCoV-19/Aruba/AW-RIVM-20142/2021,hCoV-19/Aruba/AW-RIVM-30271/2021,hCoV-19/Aruba/AW-RIVM-40539/2021,hCoV-19/Aruba/AW-RIVM-31168/2021,hCoV-19/Aruba/AW-RIVM-31216/2021,hCoV-19/Aruba/AW-RIVM-35940/2021,hCoV-19/Netherlands/GE-RIVM-38254/2021,hCoV-19/Netherlands/UT-RIVM-29602/2021,hCoV-19/Bonaire/BQ-RIVM-35129/2021,hCoV-19/Curacao/CW-RIVM-44506/2021,hCoV-19/Bonaire/BQ-RIVM-15597/2021,hCoV-19/Curacao/CW-RIVM-16566/2021,hCoV-19/Curacao/CW-RIVM-18402/2021,hCoV-19/Curacao/CW-RIVM-25516/2021,hCoV-19/Bonaire/BQ-RIVM-35151/2021,hCoV-19/Bonaire/BQ-RIVM-40763/2021,hCoV-19/Bonaire/BQ-RIVM-42361/2021,hCoV-19/Bonaire/BQ-RIVM-41680/2021,hCoV-19/Bonaire/BQ-RIVM-41704/2021,hCoV-19/Bonaire/BQ-RIVM-42379/2021,hCoV-19/Bonaire/BQ-RIVM-42362/2021,hCoV-19/Bonaire/BQ-RIVM-42409/2021,hCoV-19/Bonaire/BQ-RIVM-35128/2021,hCoV-19/Netherlands/NB-RIVM-36567/2021,hCoV-19/Aruba/AW-RIVM-10391/2020,hCoV-19/Suriname/SR-RIVM-22467/2021,hCoV-19/Suriname/SR-RIVM-22534/2021,hCoV-19/Netherlands/ZH-RIVM-45529/2021,hCoV-19/Curacao/CW-RIVM-44535/2021,hCoV-19/Netherlands/NH-RIVM-49173/2021,hCoV-19/Curacao/CW-RIVM-48239/2021,hCoV-19/Bonaire/BQ-RIVM-46677/2021,hCoV-19/Curacao/CW-RIVM-50160/2021,hCoV-19/SintMaarten/SX-RIVM-50109/2021,hCoV-19/Curacao/CW-RIVM-46537/2021,hCoV-19/Bonaire/BQ-RIVM-49094/2021,hCoV-19/Aruba/AW-RIVM-46339/2021,hCoV-19/Curacao/CW-RIVM-50177/2021,hCoV-19/Bonaire/BQ-RIVM-46669/2021,hCoV-19/Bonaire/BQ-RIVM-46678/2021,hCoV-19/Curacao/CW-RIVM-46546/2021,hCoV-19/Aruba/AW-RIVM-44225/2021,hCoV-19/Bonaire/BQ-RIVM-49072/2021,hCoV-19/Curacao/CW-RIVM-50225/2021,hCoV-19/Aruba/AW-RIVM-46306/2021,hCoV-19/Curacao/CW-RIVM-46526/2021,hCoV-19/Aruba/AW-RIVM-49084/2021,hCoV-19/Aruba/AW-RIVM-49062/2021,hCoV-19/Bonaire/BQ-RIVM-45046/2021,hCoV-19/Curacao/CW-RIVM-44542/2021,hCoV-19/Curacao/CW-RIVM-44534/2021,hCoV-19/Bonaire/BQ-RIVM-49124/2021
Anna Majer et al	17	unknown	unknown	unknown	hCoV-19/Canada/MB-NML-841/2020,hCoV-19/Canada/SK-NML-74417/2021,hCoV-19/Canada/NS-NML-5524/2020,hCoV-19/Canada/MB-NML-70481/2021,hCoV-19/Canada/MB-NML-85429/2021,hCoV-19/Canada/NL-NML-97342/2021,hCoV-19/Canada/SK-NML-123329/2021,hCoV-19/Canada/NL-NML-55204/2021,hCoV-19/Canada/NL-NML-97358/2021,hCoV-19/Canada/SK-NML-109555/2021,hCoV-19/Canada/SK-NML-60062/2021,hCoV-19/Canada/SK-NML-17809/2021,hCoV-19/Canada/NS-NML-94507/2021,hCoV-19/Canada/NS-NML-94541/2021,hCoV-19/Canada/NS-NML-117357/2021,hCoV-19/Canada/NS-NML-5531/2020,hCoV-19/Canada/MB-NML-94877/2021
Rockett R et al	1	Revealing COVID-19 transmission in Australia by SARS-CoV-2 genome sequencing and agent-based modeling	unknown	https://www.nature.com/articles/s41591-020-1000-7	hCoV-19/Australia/NSW08/2020
Jezzy R Dewantari et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/JI-ITD-150Sp/2020
Nguyen Van Vinh Chau et al	4	unknown	unknown	unknown	hCoV-19/Vietnam/HCMC-05007/2020,hCoV-19/Vietnam/HCMC-05046-02/2021,hCoV-19/Vietnam/HCMC-05049-02/2021,hCoV-19/Vietnam/HCMC-05044-02/2021
Rima R Prasetya et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/JI-ITD-3101NT/2020
Abu-Ali et al	1	unknown	unknown	unknown	hCoV-19/Iraq/BAS-2/2020
Opass Putcharoen et al	1	unknown	unknown	unknown	hCoV-19/Thailand/CU-SI2011588-NT/2020
Matt Storey et al B	1	An emergent clade of SARS-CoV-2 linked to returned travellers from Iran	unknown	https://dx.doi.org/10.1101/2020.03.15.992818	hCoV-19/NewZealand/20VR0174/2020
Sandrine Moreira et al	8	unknown	unknown	unknown	hCoV-19/Canada/Qc-LSPQ-L00210314/2020,hCoV-19/Canada/Qc-JOL-S7123115UW/2020,hCoV-19/Canada/Qc-CHUM-2016902958A/2020,hCoV-19/Canada/QC-L00293297/2020,hCoV-19/Canada/QC-1nIOU-A8304933/2021,hCoV-19/Canada/QC-1nIEOQ-8946504352/2021,hCoV-19/Canada/QC-L00367366001/2021,hCoV-19/Canada/QC-L00359824001/2021
Bas Oude Munnink et al	8	unknown	unknown	unknown	hCoV-19/Bahrain/BAH-15/2020,hCoV-19/Netherlands/Gelderland_147/2020,hCoV-19/Suriname/SR-29/2020,hCoV-19/Suriname/SR-05/2020,hCoV-19/Bahrain/BAH-04/2020,hCoV-19/Suriname/SR-46/2020,hCoV-19/Netherlands/GE-EMC-187/2020,hCoV-19/Netherlands/OV-EMC-79/2020
Zohreh Fattahi et al	3	unknown	unknown	unknown	hCoV-19/Iran/GRC-4/2020,hCoV-19/Iran/GRC-6273/2020,hCoV-19/Iran/T11101/2021
J Yavarian et al	1	unknown	unknown	unknown	hCoV-19/Iran/Tehran-09/2020
Fahd Al-Mulla et al	1	unknown	unknown	unknown	hCoV-19/Kuwait/KU18/2020
Tsuyoshi Sekizuka et al A	1	A genome epidemiological study of SARS-CoV-2 introduction into Japan	unknown	https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1	hCoV-19/Japan/PG-0362/2020
Chisha Sikazwe et al	2	unknown	unknown	unknown	hCoV-19/Australia/WA34/2020,hCoV-19/Australia/WA01/2020
Meumann et al	24	unknown	unknown	unknown	hCoV-19/Australia/NT04/2020,hCoV-19/Australia/NT67/2020,hCoV-19/Australia/NT32/2020,hCoV-19/Australia/NT219/2021,hCoV-19/Australia/NT11/2020,hCoV-19/Australia/NT41/2020,hCoV-19/Australia/NT150/2021,hCoV-19/Australia/NT97/2020,hCoV-19/Australia/NT209/2021,hCoV-19/Australia/NT53/2020,hCoV-19/Australia/NT51/2020,hCoV-19/Australia/NT99/2021,hCoV-19/Australia/NT212/2021,hCoV-19/Australia/NT211/2021,hCoV-19/Australia/NT213/2021,hCoV-19/Australia/NT210/2021,hCoV-19/Australia/NT338/2021,hCoV-19/Australia/NT227/2021,hCoV-19/Australia/NT331/2021,hCoV-19/Australia/NT339/2021,hCoV-19/Australia/NT337/2021,hCoV-19/Australia/NT335/2021,hCoV-19/Australia/NT340/2021,hCoV-19/Australia/NT344/2021
Ma. Angelica Tujan et al	1	unknown	unknown	unknown	hCoV-19/Philippines/PH-RITM-0020/2020
Suppiah J et al	10	unknown	unknown	unknown	hCoV-19/Malaysia/IMR_WC80558/2020,hCoV-19/Malaysia/IMR-CV139154/2020,hCoV-19/Malaysia/IMR-CV139206/2020,hCoV-19/Malaysia/IMR_115898/2021,hCoV-19/Malaysia/IMR_55147/2021,hCoV-19/Malaysia/IMR_125361/2021,hCoV-19/Malaysia/IMR_WC443311/2021,hCoV-19/Malaysia/IMR_145167/2021,hCoV-19/Malaysia/IMR_CV01571/2021,hCoV-19/Malaysia/IMR_WC451949/2021
Xiaoyun Ren et al	52	unknown	unknown	unknown	hCoV-19/NewZealand/20CV0306/2020,hCoV-19/NewZealand/20CV0308/2020,hCoV-19/NewZealand/20VR0997/2020,hCoV-19/NewZealand/20CV0398/2020,hCoV-19/NewZealand/20CV0408/2020,hCoV-19/NewZealand/20VR3759/2020,hCoV-19/NewZealand/20CV0669/2020,hCoV-19/NewZealand/21CV0188/2021,hCoV-19/NewZealand/20CV0362/2020,hCoV-19/NewZealand/20CV0556/2020,hCoV-19/NewZealand/20CV0298/2020,hCoV-19/NewZealand/20CV0325/2020,hCoV-19/NewZealand/20VR3128/2020,hCoV-19/NewZealand/20VR3476/2020,hCoV-19/NewZealand/20CV0273/2020,hCoV-19/NewZealand/21CV0093/2021,hCoV-19/NewZealand/21MV0077/2021,hCoV-19/NewZealand/20CV0576/2020,hCoV-19/NewZealand/20CV0658/2020,hCoV-19/NewZealand/20CV0311/2020,hCoV-19/NewZealand/21CV0140/2021,hCoV-19/NewZealand/20VR3879/2020,hCoV-19/NewZealand/20CV0079/2020,hCoV-19/NewZealand/20CV0155/2020,hCoV-19/NewZealand/20VR3920/2020,hCoV-19/NewZealand/20CV0246/2020,hCoV-19/NewZealand/20CV0471/2020,hCoV-19/NewZealand/20CV0299/2020,hCoV-19/NewZealand/20CV0450/2020,hCoV-19/NewZealand/20VR3802/2020,hCoV-19/NewZealand/20CV0627/2020,hCoV-19/NewZealand/21CV0012/2021,hCoV-19/NewZealand/20CV0687/2020,hCoV-19/NewZealand/20VR3482/2020,hCoV-19/NewZealand/20CV0404/2020,hCoV-19/NewZealand/20VR3063/2020,hCoV-19/NewZealand/20VR3066/2020,hCoV-19/NewZealand/20VR3060/2020,hCoV-19/NewZealand/20VR1851/2020,hCoV-19/NewZealand/20CV0600/2020,hCoV-19/NewZealand/21CV0234/2021,hCoV-19/NewZealand/21CV0216/2021,hCoV-19/NewZealand/21CV0217/2021,hCoV-19/NewZealand/21CV0209/2021,hCoV-19/NewZealand/21CV0213/2021,hCoV-19/NewZealand/21CV0214/2021,hCoV-19/NewZealand/21CV0207/2021,hCoV-19/NewZealand/21CV0215/2021,hCoV-19/NewZealand/21CV0210/2021,hCoV-19/NewZealand/21CV0221/2021,hCoV-19/NewZealand/21CV0231/2021,hCoV-19/NewZealand/21CV0225/2021
Ghanchi et al	2	unknown	unknown	unknown	hCoV-19/Pakistan/AKUs21/2020,hCoV-19/Pakistan/AKUs5/2020
Lei Lanna Dancel et al	4	unknown	unknown	unknown	hCoV-19/Philippines/PH-RITM-0065/2020,hCoV-19/Philippines/PH-RITM-0072/2020,hCoV-19/Philippines/PH-RITM-0076/2020,hCoV-19/Philippines/PH-RITM-0075/2020
Soares da Silva et al	2	unknown	unknown	unknown	hCoV-19/Timor-Leste/TL17/2020,hCoV-19/Timor-Leste/TL14/2020
Chen YYC et al	1	unknown	unknown	unknown	hCoV-19/Singapore/1288/2020
Myat Htut Nyunt et al	1	unknown	unknown	unknown	hCoV-19/Myanmar/MMC_137/2020
Mohd Zaki Salleh et al	1	unknown	unknown	unknown	hCoV-19/Malaysia/UiTM-2601/2020
Goba et al	2	unknown	unknown	unknown	hCoV-19/SierraLeone/KGH-G-8604/2020,hCoV-19/SierraLeone/KGH-G-8626/2020
Son Nguyen et al	44	unknown	unknown	unknown	hCoV-19/Australia/QLD1361/2020,hCoV-19/Australia/QLD992/2020,hCoV-19/Australia/QLD1078/2020,hCoV-19/Australia/QLD1477/2020,hCoV-19/Australia/QLD1856/2021,hCoV-19/Australia/QLD1857/2021,hCoV-19/Australia/QLD1866/2021,hCoV-19/Australia/QLD1870/2021,hCoV-19/Australia/QLD1285/2020,hCoV-19/Australia/QLD1336/2020,hCoV-19/Australia/QLD1229/2020,hCoV-19/Australia/QLD1540/2021,hCoV-19/Australia/QLD1851/2021,hCoV-19/Australia/QLD1880/2021,hCoV-19/Australia/QLD1881/2021,hCoV-19/Australia/QLD1838/2021,hCoV-19/Australia/QLD1548/2021,hCoV-19/Australia/QLD1891/2021,hCoV-19/Australia/QLD1852/2021,hCoV-19/Australia/QLD1860/2021,hCoV-19/Australia/QLD1855/2021,hCoV-19/Australia/QLD1675/2021,hCoV-19/Australia/QLD1990/2021,hCoV-19/Australia/QLD1941/2021,hCoV-19/Australia/QLD1958/2021,hCoV-19/Australia/QLD1871/2021,hCoV-19/Australia/QLD1097/2020,hCoV-19/Australia/QLD1138/2020,hCoV-19/Australia/QLD961/2020,hCoV-19/Australia/QLD1874/2021,hCoV-19/Australia/QLD1896/2021,hCoV-19/Australia/QLD1907/2021,hCoV-19/Australia/QLD1923/2021,hCoV-19/Australia/QLD1933/2021,hCoV-19/Australia/QLD1932/2021,hCoV-19/Australia/QLD1912/2021,hCoV-19/Australia/QLD1925/2021,hCoV-19/Australia/QLD2001/2021,hCoV-19/Australia/QLD2019/2021,hCoV-19/Australia/QLD2015/2021,hCoV-19/Australia/QLD2044/2021,hCoV-19/Australia/QLD1902/2021,hCoV-19/Australia/QLD1979/2021,hCoV-19/Australia/QLD1970/2021
Tze Minn Mak et al	21	unknown	unknown	unknown	hCoV-19/PapuaNewGuinea/3/2020,hCoV-19/PapuaNewGuinea/4/2020,hCoV-19/PapuaNewGuinea/11/2020,hCoV-19/PapuaNewGuinea/12/2020,hCoV-19/PapuaNewGuinea/14/2020,hCoV-19/PapuaNewGuinea/12/2021,hCoV-19/PapuaNewGuinea/50/2020,hCoV-19/Singapore/17/2021,hCoV-19/Singapore/1807/2021,hCoV-19/Brunei/2/2021,hCoV-19/Singapore/1473/2020,hCoV-19/Singapore/1499/2020,hCoV-19/Singapore/707/2021,hCoV-19/Singapore/610/2021,hCoV-19/Singapore/856/2021,hCoV-19/Singapore/740/2021,hCoV-19/Singapore/1039/2021,hCoV-19/Singapore/1622/2021,hCoV-19/Singapore/1488/2021,hCoV-19/Singapore/2838/2021,hCoV-19/Singapore/3295/2021
Amirtharaj Francis et al	2	unknown	unknown	unknown	hCoV-19/UnitedArabEmirates/skmc-920569110/2020,hCoV-19/UnitedArabEmirates/skmc-3806331/2020
Potdar V et al A	1	Full-genome sequences of the first two SARS-CoV-2 viruses from India	unknown	https://dx.doi.org/10.4103/ijmr.IJMR_663_20	hCoV-19/India/MH-1-31/2020
To et al	1	unknown	unknown	unknown	hCoV-19/HongKong/HKU-907b/2020
CDPH IDLB COVIDNet et al	1	unknown	unknown	unknown	hCoV-19/USA/CA-CDPH018/2020
Danilo Franco et al	1	Early transmission dynamics, spread, and genomic characterization of SARS-CoV-2 in Panama.	unknown	https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1	hCoV-19/Panama/329694/2020
Rawlinson et al	1	unknown	unknown	unknown	hCoV-19/Australia/NSW2137/2020
Chu et al	1	unknown	unknown	unknown	hCoV-19/USA/WA-S685/2020
Loureiro CL et al	2	unknown	unknown	unknown	hCoV-19/Venezuela/1Z/2020,hCoV-19/Venezuela/20MZ/2020
Carlos Cortes et al	1	unknown	unknown	unknown	hCoV-19/EquatorialGuinea/253/2020
Yamilka Diaz et al	5	unknown	unknown	unknown	hCoV-19/Panama/GMI-PA369147/2020,hCoV-19/Panama/GMI-PA571783/2020,hCoV-19/Panama/GMI-PA350872/2020,hCoV-19/Panama/GMI-PA462115/2020,hCoV-19/Panama/GMI-PA461331/2020
Eduardo Arathon et al	12	unknown	unknown	unknown	hCoV-19/Guatemala/ASI4170/2021,hCoV-19/Guatemala/ASI4092/2021,hCoV-19/Guatemala/ASI4175/2021,hCoV-19/Guatemala/ASI4173/2021,hCoV-19/Guatemala/ASI4071/2021,hCoV-19/Guatemala/ASI4172/2021,hCoV-19/Guatemala/ASI4121/2021,hCoV-19/Guatemala/ASI4118/2021,hCoV-19/Guatemala/ASI4073/2021,hCoV-19/Guatemala/ASI4098/2021,hCoV-19/Guatemala/ASI4116/2021,hCoV-19/Guatemala/ASI4111/2021
Gonzalez Claudia et al	1	unknown	unknown	unknown	hCoV-19/Panama/GMI-PA653190/2021
